site,start_year,end_year,GPPday,GPPnight
,,,gC m-2 y-1,gC m-2 y-1
CA-Gro,2003,2014,1107.45725,1082.074333
CA-Man,1994,2008,617.1435867,1406.460133
CA-Oas,1996,2010,1130.501867,1103.676933
CA-Obs,1997,2010,-670.0067857,-695.9688571
CA-Qfo,2003,2010,761.93875,669.21925
CA-TP1,2002,2014,119.0806923,25.69476923
CA-TP3,2002,2014,670.8138462,604.2923077
CA-TP4,2002,2014,1377.899231,1445.154308
US-ARM,2003,2012,730.2608,685.6572
US-Atq,2003,2008,235.3363167,190.79
US-Blo,1997,2007,1640.650909,1588.787364
US-GLE,2004,2014,-276.1418182,-346.9247273
US-Goo,2002,2006,1350.8776,1451.782
US-Ha1,1991,2012,1503.266591,1444.385909
US-IB2,2004,2011,1216.963375,1187.228
US-Ivo,2004,2007,322.24575,292.5875
US-KS2,2003,2006,1833.4925,1830.2625
US-Los,2000,2014,-1941.9494,-2004.945133
US-MMS,1999,2014,1673.623125,1730.46875
US-Me2,2002,2014,1659.445385,1683.487692
US-Me6,2010,2014,885.2004,965.572
US-Myb,2010,2014,-835.9758,-821.7202
US-NR1,1998,2014,268.6837647,208.083
US-Ne1,2001,2013,1597.906615,1539.133846
US-Ne2,2001,2013,1459.668538,1326.230385
US-Ne3,2001,2013,1254.779775,1129.452792
US-Oho,2004,2013,1778.279,1814.235
US-PFa,1995,2014,352.88885,441.10255
US-SRG,2008,2014,436.9617143,428.9568571
US-SRM,2004,2014,354.1020909,278.3151818
US-Syv,2001,2014,-1287.5405,-1355.78
US-Ton,2001,2014,854.7785,891.8627143
US-Tw1,2012,2014,2235.58,2368.7
US-Twt,2009,2014,1246.996667,1358.455
US-UMB,2000,2014,1323.756667,1298.370667
US-UMd,2007,2014,1469.3375,1478.245
US-Var,2000,2014,705.6501333,687.4673333
US-Whs,2007,2014,182.8865875,111.271425
US-Wkg,2004,2014,344.5031818,234.4124455
