"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "ACKNOWLEDGEMENT", "ACKNOWLEDGEMENT_COMMENT", 
"BR-CMT", "31154", "GRP_ACKNOWLEDGEMENT", "Supported by grant number G8PJ-437376- 2012 (Belmont) and WTWPJ 506082-2016 (NSERC)", "First paper in preparation", 
"BR-CMT", "85936", "GRP_ACKNOWLEDGEMENT", "Supported by AgWIT project with funding through NSERC via Water JPI and FACCEJPI Joint Call 2016", , 
"BR-CST", "86508", "GRP_ACKNOWLEDGEMENT", "CNPq, FACEPE, CAPES (grants n° 465764/2014-2, APQ-0532-5.01/14, 441305/2017-2)", "The foundations listed above support the National Observatory of Water and Carbon in the Caatinga Biome (INCT-NOWCDCB) which this tower belongs.", 
"BR-Npw", "86494", "GRP_ACKNOWLEDGEMENT", "Brazilian National Institute for Science and Technology in Wetlands (INCT-INAU), Federal University of Mato Grosso (UFMT - PGFA and PGAT), University of Cuiabá (UNIC) and SESC-Pantanal.", , 
"BR-PRS", "88102", "GRP_ACKNOWLEDGEMENT", "CNPq, FAPERGS, FAPES, MCT, and UFSM", , 
"CA-Gro", "779", "GRP_ACKNOWLEDGEMENT", "We acknowledge the PI and the principal funders of the Groundhog River Flux Station for the provision of flux data plus ancillary meteorological and ecological data from this mixedwood boreal site", "Each time the data from the site are used to produce a publishable product.", 
"CA-HPC", "81598", "GRP_ACKNOWLEDGEMENT", "Eddy covariance and supporting measurements at the Havikpak Creek research site were funded by the Canada Research Chairs, Natural Sciences and Engineering Research Council Discovery Grant and various Canada Foundation for Innovation programs.", , 
"CA-LuM", "15413", "GRP_ACKNOWLEDGEMENT", "Deutsche Forschungsgemeinschaft (DFG) (BL563/21-1) and German Federal
Ministry of Education and Research (01LL0906D)", , 
"CA-Man", "9338", "GRP_ACKNOWLEDGEMENT", "The data collection was funded by many sources, including: the DOE Terrestrial Carbon Program, NASA Terrestrial Ecosystem Program, the Fluxnet Canada Research Network and the Canadian Carbon Program (supported by the Canadian National Science and Engineering Research Council (NSERC), the Canadian Foundation for Climate and Atmospheric Sciences and the BIOCAP Canada Foundation).", "When heavily using this site in a paper.", 
"CA-MR3", "85168", "GRP_ACKNOWLEDGEMENT", "Rangeland Research Institute (U. Alberta), NSERC, and CFI grants to John A. Gamon.", , 
"CA-MR5", "85169", "GRP_ACKNOWLEDGEMENT", "Rangeland Research Institute (U. Alberta), NSERC, and CFI grants to John A. Gamon", , 
"CA-Qcu", "5904", "GRP_ACKNOWLEDGEMENT", "Data collection at this flux site have been funded by CFCAS and NSERC with collaboration from NRCan and Environment Canada.", , 
"CA-RPn", "85977", "GRP_ACKNOWLEDGEMENT", "Supported by Natural Sciences and Engineering Research Council of Canada (NSERC) Discovery Grant; Canada Foundation for Innovation; John R. Evans Leaders Fund, Research & Development Corporation (RDC, NL); Leverage R&D, RDC-Ignite R&D, RDC-RCRI (Regional Collaborative Research Initiative); Agricultural Research Initiative (NL); Humber River Basin Research Initiative of NL; Grenfell Campus’ Start-up Research Fund; Vice-President Research Fund; Graduate Student Stipend funding from the Institute for Biodiversity, Ecosystem Science, and Sustainability (IBES, NL); Graduate Student Baseline Fellowship from School of Graduate Studies, Memorial University", , 
"CA-RPp", "85994", "GRP_ACKNOWLEDGEMENT", "Supported by Natural Sciences and Engineering Research Council of Canada (NSERC) Discovery Grant; Canada Foundation for Innovation; John R. Evans Leaders Fund, Research & Development Corporation (RDC, NL); Leverage R&D, RDC-Ignite R&D, RDC-RCRI (Regional Collaborative Research Initiative); Agricultural Research Initiative (NL); Humber River Basin Research Initiative of NL; Grenfell Campus’ Start-up Research Fund; Vice-President Research Fund; Graduate Student Stipend funding from the Institute for Biodiversity, Ecosystem Science, and Sustainability (IBES, NL); Graduate Student Baseline Fellowship from School of Graduate Studies, Memorial University", , 
"CA-SCB", "85740", "GRP_ACKNOWLEDGEMENT", "Eddy covariance and supporting measurements at the  Scotty Creek Research Station were funded by the Canada Research Chairs, Natural Sciences and Engineering Research Council Discovery Grant and various Canada Foundation for Innovation programs. We are grateful for the support of the Liidlii Kue First Nation and Jean-Marie River First Nation for their support of the Scotty Creek Research Station.", , 
