"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_CROP", "AG_BIOMASS_CROP_ORGAN", "AG_BIOMASS_CROP_PHEN", "AG_BIOMASS_CROP_UNIT", "AG_BIOMASS_APPROACH", "AG_BIOMASS_DATE", "AG_BIOMASS_COMMENT", 
"US-ARM", "23719", "GRP_AG_BIOMASS_CROP", "0.51", "Total", "Mixed/unknown", "gC m-2", "total AGB in 10 replicate 1m^2 plots along 400 m transect", "20060530", , 
"US-ARM", "23977", "GRP_AG_BIOMASS_CROP", "0.88", "Total", "Mixed/unknown", "gC m-2", "total AGB in 10 replicate 1m^2 plots along 400 m transect", "20030530", , 
"US-ARM", "25131", "GRP_AG_BIOMASS_CROP", "0.41", "Total", "Mixed/unknown", "gC m-2", "total AGB in 10 replicate 1m^2 plots along 400 m transect", "20020530", , 
"US-Atq", "23970", "GRP_AG_BIOMASS_CROP", "0", "Foliage", "Mixed/unknown", "gC m-2", , , "No trees or crops.", 
"US-Atq", "23979", "GRP_AG_BIOMASS_CROP", "0", "Total", "Mixed/unknown", "gC m-2", , , "No trees or crops.", 
"US-Atq", "24230", "GRP_AG_BIOMASS_CROP", "0", "Fruits", "Mixed/unknown", "gC m-2", , , "No trees or crops.", 
"US-Atq", "24995", "GRP_AG_BIOMASS_CROP", "0", "Total", "Mixed/unknown", "gC m-2", , , "No crops", 
"US-Brw", "23839", "GRP_AG_BIOMASS_CROP", "0", "Fruits", "Mixed/unknown", "gC m-2", , , "No trees or crops.", 
"US-Brw", "23980", "GRP_AG_BIOMASS_CROP", "0", "Total", "Mixed/unknown", "gC m-2", , , "No trees or crops.", 
"US-Brw", "24075", "GRP_AG_BIOMASS_CROP", "0", "Foliage", "Mixed/unknown", "gC m-2", , , "No trees or crops.", 
"US-Brw", "24347", "GRP_AG_BIOMASS_CROP", "0", "Total", "Mixed/unknown", "gC m-2", , , "No crops", 
"US-Dk1", "27969", "GRP_AG_BIOMASS_CROP", "100", "Total", "Mixed/unknown", "gC m-2", , "20010628", "There are no trees and an insignificant number of shrubs in this field. It is mowed annually for hay; biomass was estimated by counting bales and multiplying by measured mass/bale", 
"US-Dk1", "27970", "GRP_AG_BIOMASS_CROP", "100", "Total", "Mixed/unknown", "gC m-2", , "20020602", "There are no trees and an insignificant number of shrubs in this field. It is mowed annually for hay; biomass was estimated by counting bales and multiplying by measured mass/bale", 
"US-Dk1", "28320", "GRP_AG_BIOMASS_CROP", "200", "Total", "Mixed/unknown", "gC m-2", , "20040518", "There are no trees and an insignificant number of shrubs in this field. It is mowed annually for hay; biomass was estimated by counting bales and multiplying by measured mass/bale", 
"US-Dk1", "29516", "GRP_AG_BIOMASS_CROP", "400", "Total", "Mixed/unknown", "gC m-2", , "20030725", "There are no trees and an insignificant number of shrubs in this field. It is mowed annually for hay; biomass was estimated by counting bales and multiplying by measured mass/bale", 
"US-Dk1", "29517", "GRP_AG_BIOMASS_CROP", "100", "Total", "Mixed/unknown", "gC m-2", , "20050901", "There are no trees and an insignificant number of shrubs in this field. It is mowed annually for hay; biomass was estimated by counting bales and multiplying by measured mass/bale", 
"US-Dk2", "24270", "GRP_AG_BIOMASS_CROP", "0", "Fruits", "Mixed/unknown", "gC m-2", , "20021007", "Estimated based on allometric equations for DBH (Clark et al. 2006)", 
"US-Dk2", "25545", "GRP_AG_BIOMASS_CROP", "0", "Total", "Mixed/unknown", "gC m-2", , "20021007", "Estimated based on allometric equations for DBH (Clark et al. 2006)", 
"US-Dk2", "26050", "GRP_AG_BIOMASS_CROP", "0", "Foliage", "Mixed/unknown", "gC m-2", , "20021007", "Estimated based on allometric equations for DBH (Clark et al. 2006)", 
"US-IB1", "23987", "GRP_AG_BIOMASS_CROP", "370.3", "Fruits", "Mixed/unknown", "gC m-2", , "2004", "yield", 
"US-IB1", "24360", "GRP_AG_BIOMASS_CROP", "108", "Fruits", "Mixed/unknown", "gC m-2", , "2005", "yield", 
"US-IB1", "24361", "GRP_AG_BIOMASS_CROP", "155", "Fruits", "Mixed/unknown", "gC m-2", , "2007", "yield", 
"US-IB1", "24891", "GRP_AG_BIOMASS_CROP", "750", "Fruits", "Mixed/unknown", "gC m-2", , "2006", "yield", 
"US-Ne1", "27130", "GRP_AG_BIOMASS_CROP", "487.896", "Foliage", "Mixed/unknown", "gC m-2", , "20060720", "(assuming 43#9% C)", 
"US-Ne1", "27132", "GRP_AG_BIOMASS_CROP", "103.468", "Foliage", "Mixed/unknown", "gC m-2", , "20010629", "(assuming 43#9% C)", 
"US-Ne1", "27133", "GRP_AG_BIOMASS_CROP", "307.429", "Foliage", "Mixed/unknown", "gC m-2", , "20010713", "(assuming 43#9% C)", 
"US-Ne1", "27134", "GRP_AG_BIOMASS_CROP", "461.193", "Foliage", "Mixed/unknown", "gC m-2", , "20040726", "(assuming 43#9% C)", 
"US-Ne1", "27135", "GRP_AG_BIOMASS_CROP", "810.81", "Foliage", "Mixed/unknown", "gC m-2", , "20051003", "(assuming 43#9% C)", 
"US-Ne1", "27147", "GRP_AG_BIOMASS_CROP", "486.828", "Foliage", "Mixed/unknown", "gC m-2", , "20070716", "(assuming 43#9% C)", 
"US-Ne1", "27432", "GRP_AG_BIOMASS_CROP", "394.37", "Foliage", "Mixed/unknown", "gC m-2", , "20010719", "(assuming 43#9% C)", 
"US-Ne1", "27433", "GRP_AG_BIOMASS_CROP", "716.088", "Foliage", "Mixed/unknown", "gC m-2", , "20010809", "(assuming 43#9% C)", 
"US-Ne1", "27434", "GRP_AG_BIOMASS_CROP", "830.339", "Foliage", "Mixed/unknown", "gC m-2", , "20030826", "(assuming 43#9% C)", 
"US-Ne1", "27435", "GRP_AG_BIOMASS_CROP", "975.089", "Foliage", "Mixed/unknown", "gC m-2", , "20030926", "(assuming 43#9% C)", 
"US-Ne1", "27436", "GRP_AG_BIOMASS_CROP", "529.592", "Foliage", "Mixed/unknown", "gC m-2", , "20050801", "(assuming 43#9% C)", 
"US-Ne1", "27437", "GRP_AG_BIOMASS_CROP", "604.729", "Foliage", "Mixed/unknown", "gC m-2", , "20050809", "(assuming 43#9% C)", 
"US-Ne1", "27447", "GRP_AG_BIOMASS_CROP", "205.609", "Foliage", "Mixed/unknown", "gC m-2", , "20070626", "(assuming 43#9% C)", 
"US-Ne1", "27448", "GRP_AG_BIOMASS_CROP", "381.806", "Foliage", "Mixed/unknown", "gC m-2", , "20070709", "(assuming 43#9% C)", 
"US-Ne1", "27668", "GRP_AG_BIOMASS_CROP", "438", "Total", "Mixed/unknown", "gC m-2", , "20031021", , 
"US-Ne1", "27669", "GRP_AG_BIOMASS_CROP", "436", "Total", "Mixed/unknown", "gC m-2", , "20051009", , 
"US-Ne1", "27672", "GRP_AG_BIOMASS_CROP", "378.321", "Foliage", "Mixed/unknown", "gC m-2", , "20060712", "(assuming 43#9% C)", 
"US-Ne1", "27673", "GRP_AG_BIOMASS_CROP", "604.009", "Foliage", "Mixed/unknown", "gC m-2", , "20060728", "(assuming 43#9% C)", 
"US-Ne1", "27678", "GRP_AG_BIOMASS_CROP", "38.6729", "Foliage", "Mixed/unknown", "gC m-2", , "20010621", "(assuming 43#9% C)", 
"US-Ne1", "27679", "GRP_AG_BIOMASS_CROP", "201.247", "Foliage", "Mixed/unknown", "gC m-2", , "20010705", "(assuming 43#9% C)", 
"US-Ne1", "27680", "GRP_AG_BIOMASS_CROP", "26.4778", "Foliage", "Mixed/unknown", "gC m-2", , "20020618", "(assuming 43#9% C)", 
"US-Ne1", "27681", "GRP_AG_BIOMASS_CROP", "240.987", "Foliage", "Mixed/unknown", "gC m-2", , "20020708", "(assuming 43#9% C)", 
"US-Ne1", "27682", "GRP_AG_BIOMASS_CROP", "0.892291", "Foliage", "Mixed/unknown", "gC m-2", , "20030606", "(assuming 43#9% C)", 
"US-Ne1", "27683", "GRP_AG_BIOMASS_CROP", "143.449", "Foliage", "Mixed/unknown", "gC m-2", , "20030708", "(assuming 43#9% C)", 
"US-Ne1", "27684", "GRP_AG_BIOMASS_CROP", "416.843", "Foliage", "Mixed/unknown", "gC m-2", , "20030728", "(assuming 43#9% C)", 
"US-Ne1", "27685", "GRP_AG_BIOMASS_CROP", "20.1132", "Foliage", "Mixed/unknown", "gC m-2", , "20040615", "(assuming 43#9% C)", 
"US-Ne1", "27697", "GRP_AG_BIOMASS_CROP", "4.48646", "Foliage", "Mixed/unknown", "gC m-2", , "20060601", "(assuming 43#9% C)", 
"US-Ne1", "27699", "GRP_AG_BIOMASS_CROP", "4.01429", "Foliage", "Mixed/unknown", "gC m-2", , "20070529", "(assuming 43#9% C)", 
"US-Ne1", "27770", "GRP_AG_BIOMASS_CROP", "1015.71", "Foliage", "Mixed/unknown", "gC m-2", , "20060912", "(assuming 43#9% C)", 
"US-Ne1", "27774", "GRP_AG_BIOMASS_CROP", "8.23232", "Foliage", "Mixed/unknown", "gC m-2", , "20010613", "(assuming 43#9% C)", 
"US-Ne1", "27775", "GRP_AG_BIOMASS_CROP", "341.663", "Foliage", "Mixed/unknown", "gC m-2", , "20020715", "(assuming 43#9% C)", 
"US-Ne1", "27776", "GRP_AG_BIOMASS_CROP", "521.729", "Foliage", "Mixed/unknown", "gC m-2", , "20040805", "(assuming 43#9% C)", 
"US-Ne1", "27777", "GRP_AG_BIOMASS_CROP", "685.371", "Foliage", "Mixed/unknown", "gC m-2", , "20040817", "(assuming 43#9% C)", 
"US-Ne1", "28039", "GRP_AG_BIOMASS_CROP", "446", "Total", "Mixed/unknown", "gC m-2", , "20021015", , 
"US-Ne1", "28043", "GRP_AG_BIOMASS_CROP", "65.8304", "Foliage", "Mixed/unknown", "gC m-2", , "20060616", "(assuming 43#9% C)", 
"US-Ne1", "28047", "GRP_AG_BIOMASS_CROP", "790.954", "Foliage", "Mixed/unknown", "gC m-2", , "20010815", "(assuming 43#9% C)", 
"US-Ne1", "28048", "GRP_AG_BIOMASS_CROP", "0.21533", "Foliage", "Mixed/unknown", "gC m-2", , "20020529", "(assuming 43#9% C)", 
