"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_GRASS", "AG_BIOMASS_GRASS_ORGAN", "AG_BIOMASS_GRASS_PHEN", "AG_BIOMASS_GRASS_UNIT", "AG_BIOMASS_APPROACH", "AG_BIOMASS_DATE", "AG_BIOMASS_COMMENT", "AG_BIOMASS_GRASS_SPATIAL_VARIABILITY", 
"US-Var", "18758", "GRP_AG_BIOMASS_GRASS", "0.55939510749", "Total", "Senescent", "kgDM m-2", "one 10 m2 square", "19960730", "data from wefrost@ucdavis.edu", , 
"US-Var", "18759", "GRP_AG_BIOMASS_GRASS", "0.29370484309", "Total", "Mixed/unknown", "kgDM m-2", "one 10 m2 square", "19970730", "data from wefrost@ucdavis.edu", , 
"US-Var", "18760", "GRP_AG_BIOMASS_GRASS", "0.5095291574", "Total", "Mixed/unknown", "kgDM m-2", "one 10 m2 square", "19980730", "data from wefrost@ucdavis.edu", , 
"US-Var", "18761", "GRP_AG_BIOMASS_GRASS", "0.39803113417", "Total", "Mixed/unknown", "kgDM m-2", "one 10 m2 square", "19990730", "data from wefrost@ucdavis.edu", , 
"US-Var", "18762", "GRP_AG_BIOMASS_GRASS", "0.31197034841", "Total", "Mixed/unknown", "kgDM m-2", "one 10 m2 square", "20000730", "data from wefrost@ucdavis.edu", , 
"US-Var", "18763", "GRP_AG_BIOMASS_GRASS", "0.4285109958", "Total", "Mixed/unknown", "kgDM m-2", "one 10 m2 square", "20010730", "data from wefrost@ucdavis.edu", , 
"US-Var", "18764", "GRP_AG_BIOMASS_GRASS", "0.44106152706", "Total", "Mixed/unknown", "kgDM m-2", "one 10 m2 square", "20020730", "data from wefrost@ucdavis.edu", , 
"US-Var", "18765", "GRP_AG_BIOMASS_GRASS", "0.52398666667", "Total", "Mixed/unknown", "kgDM m-2", "one 10 m2 square", "20030730", "DDB Biomet Lab", , 
"US-Var", "18766", "GRP_AG_BIOMASS_GRASS", "0.18958333333", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20040506", "DDB Biomet Lab", "0.11019651008", 
"US-Var", "18767", "GRP_AG_BIOMASS_GRASS", "1.2890625", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20050610", "DDB Biomet Lab", "0.33151510147", 
"US-Var", "18768", "GRP_AG_BIOMASS_GRASS", "0.29245833333", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20060528", "DDB Biomet Lab", "0.07567419199", 
"US-Var", "18769", "GRP_AG_BIOMASS_GRASS", "0.46734508333", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20070525", "DDB Biomet Lab", "0.14828315819", 
"US-Var", "18770", "GRP_AG_BIOMASS_GRASS", "0.2129375", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20080531", "DDB Biomet Lab", "0.024813444566", 
"US-Var", "18771", "GRP_AG_BIOMASS_GRASS", "0.61625", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20090527", "DDB Biomet Lab", "0.11813943364", 
"US-Var", "18772", "GRP_AG_BIOMASS_GRASS", "0.912375", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20100610", "DDB Biomet Lab", "0.40189624263", 
"US-Var", "18773", "GRP_AG_BIOMASS_GRASS", "0.3251875", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20110706", "DDB Biomet Lab", "0.13476572554", 
"US-Var", "18774", "GRP_AG_BIOMASS_GRASS", "0.57047916667", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20120530", "DDB Biomet Lab", "0.037413511374", 
"US-Var", "18775", "GRP_AG_BIOMASS_GRASS", "0.81735416667", "Total", "Mixed/unknown", "kgDM m-2", "six 1 m2 squares", "20130530", "DDB Biomet Lab", "0.18258074341", 
