"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_OTHER", "AG_BIOMASS_OTHER_ORGAN", "AG_BIOMASS_OTHER_PHEN", "AG_BIOMASS_OTHER_UNIT", "AG_BIOMASS_COMMENT", "AG_BIOMASS_DATE", "AG_BIOMASS_APPROACH", "AG_BIOMASS_OTHER_SPATIAL_VARIABILITY", "AG_BIOMASS_OTHER_SPATIAL_REP_NUMBER", "AG_BIOMASS_DATE_UNC", 
"BR-Sa1", "24792", "GRP_AG_BIOMASS_OTHER", "29.11", "Total", "Mixed/unknown", "kgDM m-2", "live biomass (MgC/ha y)
143.7 
147.4
total (live +CWD):
195.4
source
A. H. Rice; et al 2004. Carbon balance and vegetation dynamics in an old-growth Amazonian forest, Ecological Applications, 14:4. S55-S71.", , , , , , 
"BR-Sa3", "24532", "GRP_AG_BIOMASS_OTHER", "40.8", "Total", "Mixed/unknown", "kgDM m-2", "Source:
Miller_et_al_EA_2004

1984 IBAMA 197 MgC/ha
2000 TREVISO 185 MgC/ha
2000 UCI 204 MgC/ha", , , , , , 
"CA-Ca1", "26202", "GRP_AG_BIOMASS_OTHER", "12", "Total", "Mixed/unknown", "gC m-2", "269-312/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", "20021108", , , , , 
"CA-Ca2", "28491", "GRP_AG_BIOMASS_OTHER", "7", "Total", "Mixed/unknown", "gC m-2", "265-310/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", "20021106", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , , 
"CA-Ca3", "29098", "GRP_AG_BIOMASS_OTHER", "14", "Total", "Mixed/unknown", "gC m-2", "C content assumed 50% for all veg except Douglas-fir, 50.5%", "20021105", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , , 
"CA-Gro", "25375", "GRP_AG_BIOMASS_OTHER", "7.37", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass ; tree biomass was measured on 29 plots with a radius of 11.28m. Assumed that C account for 50% of biomass", , , , , , 
"CA-Gro", "25755", "GRP_AG_BIOMASS_OTHER", "3.77", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass ; tree biomass was measured on 29 plots with a radius of 11.28m. Assumed that C account for 50% of biomass", , , , , , 
"CA-Gro", "25866", "GRP_AG_BIOMASS_OTHER", "1.43", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass ; tree biomass was measured on 29 plots with a radius of 11.28m. Assumed that C account for 50% of biomass", , , , , , 
"CA-Gro", "26503", "GRP_AG_BIOMASS_OTHER", "33.06", "Total", "Mixed/unknown", "kgDM m-2", "Above-ground understory total biomass ; tree biomass was measured on 29 plots with a radius of 11.28m. Assumed that C account for 50% of biomass", , , , , , 
"CA-Let", "25201", "GRP_AG_BIOMASS_OTHER", "94.861146", "Total", "Mixed/unknown", "gC m-2", "all above-ground green parts", "19980714", , , , , 
