"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_BIOMASS_SHRUB", "AG_BIOMASS_SHRUB_ORGAN", "AG_BIOMASS_SHRUB_PHEN", "AG_BIOMASS_SHRUB_UNIT", "AG_BIOMASS_DATE", "AG_BIOMASS_COMMENT", "AG_BIOMASS_APPROACH", "AG_BIOMASS_SHRUB_SPATIAL_VARIABILITY", "AG_BIOMASS_SHRUB_SPATIAL_REP_NUMBER", 
"CA-Ca1", "25693", "GRP_AG_BIOMASS_SHRUB", "22", "Total", "Mixed/unknown", "gC m-2", "20021108", "269-312/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", , , , 
"CA-Ca2", "28261", "GRP_AG_BIOMASS_SHRUB", "128", "Total", "Mixed/unknown", "gC m-2", "20021106", "265-310/2002; C content assumed 50% for all veg except Douglas-fir, 50.5%", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , 
"CA-Ca3", "27271", "GRP_AG_BIOMASS_SHRUB", "295", "Total", "Mixed/unknown", "gC m-2", "20021105", "C content assumed 50% for all veg except Douglas-fir, 50.5%", "average of  6 400 m plot estimates, using PLOTBIO_FOLIAGE_LIVE column in BC-DF49,HDF00,HDF88,HDF90_FC-GP_LTP_HEADER_2002.csv plus BC-DF49,HDF00,HDF88,HDF90_FC-GP_STP_HEADER_2002.csv. From Eco&SiteCharacteristicsDF1988Groundplot_2002 on CCP DIS", , , 
"CA-Man", "25489", "GRP_AG_BIOMASS_SHRUB", "0", "Total", "Mixed/unknown", "gC m-2", "1994", "data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , 
"CA-Mer", "25198", "GRP_AG_BIOMASS_SHRUB", "59.07", "Foliage", "Mixed/unknown", "gC m-2", "20030831", , , , , 
"CA-Mer", "25592", "GRP_AG_BIOMASS_SHRUB", "67.05", "Wood", "Mixed/unknown", "gC m-2", "20030831", , , , , 
"CA-Mer", "25706", "GRP_AG_BIOMASS_SHRUB", "72.5", "Foliage", "Mixed/unknown", "gC m-2", "19990808", "~220/1999; data from Moore et al. (2002, Journal of Ecology 90, 25-36). Assumed that carbon account for 50% of biomass", , , , 
"CA-Mer", "25830", "GRP_AG_BIOMASS_SHRUB", "75.5", "Wood", "Mixed/unknown", "gC m-2", "19990808", "~220/1999; data from Moore et al. (2002, Journal of Ecology 90, 25-36). Assumed that carbon account for 50% of biomass", , , , 
"CA-Mer", "26209", "GRP_AG_BIOMASS_SHRUB", "148", "Total", "Mixed/unknown", "gC m-2", "19990808", "~220/1999; data from Moore et al. (2002, Journal of Ecology 90, 25-36). Assumed that carbon account for 50% of biomass", , , , 
"CA-Mer", "26457", "GRP_AG_BIOMASS_SHRUB", "126.12", "Total", "Mixed/unknown", "gC m-2", "20030831", , , , , 
"CA-Oas", "25451", "GRP_AG_BIOMASS_SHRUB", "330", "Total", "Mixed/unknown", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , , , 
"CA-Oas", "25591", "GRP_AG_BIOMASS_SHRUB", "70", "Total", "Mixed/unknown", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , , , 
"CA-Obs", "26110", "GRP_AG_BIOMASS_SHRUB", "51", "Total", "Mixed/unknown", "gC m-2", "1993", "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , 
"CA-Ojp", "27119", "GRP_AG_BIOMASS_SHRUB", "20", "Total", "Mixed/unknown", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , , , 
"CA-Ojp", "29570", "GRP_AG_BIOMASS_SHRUB", "10", "Total", "Mixed/unknown", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , , , 
"CA-SJ1", "26703", "GRP_AG_BIOMASS_SHRUB", "9.238", "Total", "Mixed/unknown", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , 
