"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_LIT_BIOMASS", "AG_LIT_BIOMASS_UNIT", "AG_LIT_BIOMASS_DATE", "AG_LIT_BIOMASS_COMMENT", "AG_LIT_BIOMASS_SPATIAL_VARIABILITY", "AG_LIT_BIOMASS_SPATIAL_REP_NUMBER", "AG_LIT_BIOMASS_APPROACH", "AG_LIT_BIOMASS_DATE_UNC", 
"CA-Ca1", "25323", "GRP_AG_LIT_BIOMASS", "90", "gC m-2", "2005", "estimated from 27 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , 
"CA-Ca1", "25694", "GRP_AG_LIT_BIOMASS", "127", "gC m-2", "2003", "estimated from 27 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , 
"CA-Ca1", "25821", "GRP_AG_LIT_BIOMASS", "105", "gC m-2", "2004", "estimated from 27 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , 
"CA-Ca1", "26585", "GRP_AG_LIT_BIOMASS", "142", "gC m-2", "2002", "estimated from 27 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , 
"CA-Ca3", "26982", "GRP_AG_LIT_BIOMASS", "22", "gC m-2", "2002", "estimated from 17 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , 
"CA-Ca3", "28267", "GRP_AG_LIT_BIOMASS", "31", "gC m-2", "2004", "estimated from 17 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , 
"CA-Ca3", "29099", "GRP_AG_LIT_BIOMASS", "21", "gC m-2", "2003", "estimated from 17 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , 
"CA-Ca3", "29100", "GRP_AG_LIT_BIOMASS", "28", "gC m-2", "2005", "estimated from 17 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , 
"CA-Gro", "25229", "GRP_AG_LIT_BIOMASS", "172.928", "gC m-2", "20060525", "measured followed Fluxnet-Canada protocol", , , , , 
"CA-Gro", "25493", "GRP_AG_LIT_BIOMASS", "105.09", "gC m-2", "20040624", "measured followed Fluxnet-Canada protocol", , , , , 
"CA-Gro", "25867", "GRP_AG_LIT_BIOMASS", "33.387", "gC m-2", "20051111", "measured followed Fluxnet-Canada protocol", , , , , 
"CA-Let", "25215", "GRP_AG_LIT_BIOMASS", "108.209725", "gC m-2", "20000501", "mass of dead plant material", , , , , 
"CA-Let", "25216", "GRP_AG_LIT_BIOMASS", "127.13526", "gC m-2", "20010830", "mass of dead plant material", , , , , 
"CA-Let", "25217", "GRP_AG_LIT_BIOMASS", "200.219316", "gC m-2", "20020812", "mass of dead plant material", , , , , 
"CA-Let", "25218", "GRP_AG_LIT_BIOMASS", "143.566551", "gC m-2", "20021009", "mass of dead plant material", , , , , 
"CA-Let", "25219", "GRP_AG_LIT_BIOMASS", "187.674786", "gC m-2", "20041004", "mass of dead plant material", , , , , 
"CA-Let", "25220", "GRP_AG_LIT_BIOMASS", "210.497033999999", "gC m-2", "20050412", "mass of dead plant material", , , , , 
"CA-Let", "25361", "GRP_AG_LIT_BIOMASS", "177.673681", "gC m-2", "19991004", "mass of dead plant material", , , , , 
"CA-Let", "25362", "GRP_AG_LIT_BIOMASS", "109.897482", "gC m-2", "20000515", "mass of dead plant material", , , , , 
"CA-Let", "25363", "GRP_AG_LIT_BIOMASS", "108.829441", "gC m-2", "20000529", "mass of dead plant material", , , , , 
"CA-Let", "25364", "GRP_AG_LIT_BIOMASS", "146.145141", "gC m-2", "20010815", "mass of dead plant material", , , , , 
"CA-Let", "25365", "GRP_AG_LIT_BIOMASS", "141.894272", "gC m-2", "20020820", "mass of dead plant material", , , , , 
"CA-Let", "25366", "GRP_AG_LIT_BIOMASS", "182.078613", "gC m-2", "20030819", "mass of dead plant material", , , , , 
"CA-Let", "25367", "GRP_AG_LIT_BIOMASS", "184.89344", "gC m-2", "20030911", "mass of dead plant material", , , , , 
"CA-Let", "25368", "GRP_AG_LIT_BIOMASS", "207.55518", "gC m-2", "20050426", "mass of dead plant material", , , , , 
"CA-Let", "25369", "GRP_AG_LIT_BIOMASS", "155.321124", "gC m-2", "20060605", "mass of dead plant material", , , , , 
"CA-Let", "25370", "GRP_AG_LIT_BIOMASS", "194.004992", "gC m-2", "20060619", "mass of dead plant material", , , , , 
"CA-Let", "25475", "GRP_AG_LIT_BIOMASS", "158.283984", "gC m-2", "20001002", "mass of dead plant material", , , , , 
"CA-Let", "25476", "GRP_AG_LIT_BIOMASS", "120.589684", "gC m-2", "20020516", "mass of dead plant material", , , , , 
"CA-Let", "25477", "GRP_AG_LIT_BIOMASS", "102.706576", "gC m-2", "20020618", "mass of dead plant material", , , , , 
"CA-Let", "25478", "GRP_AG_LIT_BIOMASS", "141.598968", "gC m-2", "20040519", "mass of dead plant material", , , , , 
"CA-Let", "25479", "GRP_AG_LIT_BIOMASS", "171.908352", "gC m-2", "20040616", "mass of dead plant material", , , , , 
"CA-Let", "25623", "GRP_AG_LIT_BIOMASS", "171.1178", "gC m-2", "19990615", "mass of dead plant material", , , , , 
"CA-Let", "25624", "GRP_AG_LIT_BIOMASS", "218.09907", "gC m-2", "20000626", "mass of dead plant material", , , , , 
"CA-Let", "25625", "GRP_AG_LIT_BIOMASS", "144.665954", "gC m-2", "20020527", "mass of dead plant material", , , , , 
"CA-Let", "25626", "GRP_AG_LIT_BIOMASS", "194.351427", "gC m-2", "20040824", "mass of dead plant material", , , , , 
"CA-Let", "25627", "GRP_AG_LIT_BIOMASS", "138.097641", "gC m-2", "20050705", "mass of dead plant material", , , , , 
"CA-Let", "25628", "GRP_AG_LIT_BIOMASS", "144.858288", "gC m-2", "20050823", "mass of dead plant material", , , , , 
"CA-Let", "25629", "GRP_AG_LIT_BIOMASS", "278.513622", "gC m-2", "20061010", "mass of dead plant material", , , , , 
"CA-Let", "25736", "GRP_AG_LIT_BIOMASS", "156.630486", "gC m-2", "19990705", "mass of dead plant material", , , , , 
"CA-Let", "25737", "GRP_AG_LIT_BIOMASS", "198.662376", "gC m-2", "19990803", "mass of dead plant material", , , , , 
"CA-Let", "25738", "GRP_AG_LIT_BIOMASS", "136.621656", "gC m-2", "20000821", "mass of dead plant material", , , , , 
"CA-Let", "25739", "GRP_AG_LIT_BIOMASS", "138.502285", "gC m-2", "20010926", "mass of dead plant material", , , , , 
"CA-Let", "25740", "GRP_AG_LIT_BIOMASS", "99.07352", "gC m-2", "20050725", "mass of dead plant material", , , , , 
"CA-Let", "25741", "GRP_AG_LIT_BIOMASS", "153.34306", "gC m-2", "20050613", "mass of dead plant material", , , , , 
"CA-Let", "25851", "GRP_AG_LIT_BIOMASS", "165.807675", "gC m-2", "20030416", "mass of dead plant material", , , , , 
"CA-Let", "25852", "GRP_AG_LIT_BIOMASS", "131.325199", "gC m-2", "20030730", "mass of dead plant material", , , , , 
"CA-Let", "25967", "GRP_AG_LIT_BIOMASS", "193.092275", "gC m-2", "19990719", "mass of dead plant material", , , , , 
"CA-Let", "25968", "GRP_AG_LIT_BIOMASS", "154.86153", "gC m-2", "19990825", "mass of dead plant material", , , , , 
"CA-Let", "25969", "GRP_AG_LIT_BIOMASS", "135.3206", "gC m-2", "20020731", "mass of dead plant material", , , , , 
"CA-Let", "25970", "GRP_AG_LIT_BIOMASS", "115.29856", "gC m-2", "20020605", "mass of dead plant material", , , , , 
"CA-Let", "25971", "GRP_AG_LIT_BIOMASS", "84.581735", "gC m-2", "20020704", "mass of dead plant material", , , , , 
"CA-Let", "25972", "GRP_AG_LIT_BIOMASS", "166.076798", "gC m-2", "20030514", "mass of dead plant material", , , , , 
