"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_LIT_C", "AG_LIT_N", "AG_LIT_DATE", "AG_LIT_COMMENT", "AG_LIT_CN_RATIO", 
"CA-Gro", "25231", "GRP_AG_LIT_CHEM ", "5.223", "0.12512", "20040624", "measured followed Fluxnet-Canada protocols", , 
"CA-Gro", "25377", "GRP_AG_LIT_CHEM ", "5.1865", "0.11982", "20051111", "measured followed Fluxnet-Canada protocols", , 
"CA-Gro", "26641", "GRP_AG_LIT_CHEM ", "5.3244", "0.1411", "20060525", "measured followed Fluxnet-Canada protocols", , 
"CA-Qfo", "26005", "GRP_AG_LIT_CHEM ", "5.34", "0.038", "20040927", "measued followed Fluxnet-Canada protocols", , 
"CA-TP2", "28524", "GRP_AG_LIT_CHEM ", "5.213", "0.073", "20071123", , , 
"CA-TP3", "27007", "GRP_AG_LIT_CHEM ", "5.27", "0.063", "20071123", , , 
"CA-TP4", "26145", "GRP_AG_LIT_CHEM ", "5.337", "0.064", "20071123", , , 
"CA-WP1", "25635", "GRP_AG_LIT_CHEM ", , "0.0884", "20031115", "226-319/2003; elemental analyzer and quantified using a gas isotope ratio mass spectrometer", , 
"CA-WP1", "25748", "GRP_AG_LIT_CHEM ", , "0.1018", "20051102", "151/2005-306/2005; elemental analyzer and quantified using a gas isotope ratio mass spectrometer", , 
"CA-WP1", "26248", "GRP_AG_LIT_CHEM ", , "0.0882", "20041108", "152/2004-313/2004; elemental analyzer and quantified using a gas isotope ratio mass spectrometer", , 
"CA-WP1", "26377", "GRP_AG_LIT_CHEM ", , "0.0848", "20061115", "134/2006-319/2006; elemental analyzer and quantified using a gas isotope ratio mass spectrometer", , 
"CA-WP1", "26633", "GRP_AG_LIT_CHEM ", , "0.12", "20050531", "313/2004-151/2005; elemental analyzer and quantified using a gas isotope ratio mass spectrometer", , 
"CA-WP1", "26634", "GRP_AG_LIT_CHEM ", , "0.1014", "20060514", "306/2005-134/2006;elemental analyzer and quantified using a gas isotope ratio mass spectrometer", , 
"US-Dk3", "27537", "GRP_AG_LIT_CHEM ", "4.192", "0.096", "1996", "Data from http://face.env.duke.edu/face.cfm", , 
"US-Dk3", "28144", "GRP_AG_LIT_CHEM ", "3.805", "0.086", "1999", "Data from http://face.env.duke.edu/face.cfm", , 
"US-Dk3", "28145", "GRP_AG_LIT_CHEM ", "4.107", "0.084", "2002", "Data from http://face.env.duke.edu/face.cfm", , 
"US-Dk3", "28146", "GRP_AG_LIT_CHEM ", "3.407", "0.086", "2005", "Data from http://face.env.duke.edu/face.cfm", , 
