"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_LIT_PROD_TOT", "AG_LIT_PROD_UNIT", "AG_LIT_PROD_DATE_START", "AG_LIT_PROD_COMMENT", "AG_LIT_PROD_TOT_SPATIAL_VARIABILITY", "AG_LIT_PROD_TOT_SPATIAL_REP_NUMBER", "AG_LIT_PROD_APPROACH", "AG_LIT_PROD_DATE_END", "AG_LIT_PROD_DATE_UNC", 
"CA-Ca1", "25447", "GRP_AG_LIT_PROD", "105", "gC m-2", "2004", "estimated from 27 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , , 
"CA-Ca1", "25822", "GRP_AG_LIT_PROD", "127", "gC m-2", "2003", "estimated from 27 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , , 
"CA-Ca1", "25823", "GRP_AG_LIT_PROD", "90", "gC m-2", "2005", "estimated from 27 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , , 
"CA-Ca1", "26330", "GRP_AG_LIT_PROD", "142", "gC m-2", "2002", "estimated from 27 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , , 
"CA-Ca3", "27272", "GRP_AG_LIT_PROD", "21", "gC m-2", "2003", "2003; estimated from ? 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , , 
"CA-Ca3", "27273", "GRP_AG_LIT_PROD", "28", "gC m-2", "2005", "2005; estimated from ? 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , , 
"CA-Ca3", "27897", "GRP_AG_LIT_PROD", "22", "gC m-2", "2002", "2002; estimated from ? 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , , 
"CA-Ca3", "28157", "GRP_AG_LIT_PROD", "31", "gC m-2", "2004", "2004; estimated from ? 0.189 m2 litter traps every 90 days from 2002 to 2005", , , , , , 
"CA-Man", "25646", "GRP_AG_LIT_PROD", "40", "gC m-2", , "Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", , , , , , 
"CA-Man", "26511", "GRP_AG_LIT_PROD", "30", "gC m-2", , "Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", , , , , , 
"CA-Obs", "25200", "GRP_AG_LIT_PROD", "53", "gC m-2", , "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , , , 
"CA-Obs", "25456", "GRP_AG_LIT_PROD", "59", "gC m-2", , "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , , , 
"CA-Ojp", "27415", "GRP_AG_LIT_PROD", "66", "gC m-2", "2004", "2003/04, n=36", "40.2", , , , , 
"CA-Ojp", "27416", "GRP_AG_LIT_PROD", "50", "gC m-2", "2005", "2004/05, n=36", "25.8", , , , , 
"CA-Ojp", "27759", "GRP_AG_LIT_PROD", "46.4", "gC m-2", "2002", "2001/02, n=36", "22.8", , , , , 
