"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_PROD_OTHER", "AG_PROD_OTHER_ORGAN", "AG_PROD_OTHER_UNIT", "AG_PROD_DATE_START", "AG_PROD_COMMENT", "AG_PROD_APPROACH", "AG_PROD_DATE_END", "AG_PROD_OTHER_SPATIAL_VARIABILITY", 
"CA-Man", "25491", "GRP_AG_PROD_OTHER", "12", "Total", "gC m-2", "1994", "data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , 
"CA-Mer", "26460", "GRP_AG_PROD_OTHER", "102", "Total", "gC m-2", , , , , , 
"CA-Obs", "26464", "GRP_AG_PROD_OTHER", "12", "Total", "gC m-2", "1994", "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , 
"CA-TP1", "28175", "GRP_AG_PROD_OTHER", "101", "Total", "gC m-2", "20061002", "total aboveground production is estimated from separate allom. Eq.- not as the sum of foliage + wood", , , , 
"CA-TP1", "28512", "GRP_AG_PROD_OTHER", "101", "Total", "gC m-2", "20050928", "total aboveground production is estimated from separate allom. Eq.- not as the sum of foliage + wood", , , , 
"CA-TP1", "29116", "GRP_AG_PROD_OTHER", "120", "Total", "gC m-2", "20071016", "total aboveground production is estimated from separate allom. Eq.- not as the sum of foliage + wood", , , , 
"CA-TP2", "28185", "GRP_AG_PROD_OTHER", "11.5", "Total", "gC m-2", "20070927", , , , , 
"CA-TP2", "29123", "GRP_AG_PROD_OTHER", "6.5", "Total", "gC m-2", "20050926", , , , , 
"CA-TP3", "29120", "GRP_AG_PROD_OTHER", "25.6", "Total", "gC m-2", "20040927", , , , , 
"CA-TP3", "29121", "GRP_AG_PROD_OTHER", "22.3", "Total", "gC m-2", "20071104", , , , , 
"CA-TP4", "26395", "GRP_AG_PROD_OTHER", "12", "Total", "gC m-2", "20071024", "total aboveground production estimated with separate allom. Eq., not from the sum of foliage + wood; Litter production estimated from net change in standing foliage biomass; shrub production includes understorey trees with DBH <9cm", , , , 
"CA-TP4", "26517", "GRP_AG_PROD_OTHER", "8.5", "Total", "gC m-2", "20051009", "total aboveground production estimated with separate allom. Eq., not from the sum of foliage + wood; Litter production estimated from net change in standing foliage biomass; shrub production includes understorey trees with DBH <9cm", , , , 
"CA-TP4", "26526", "GRP_AG_PROD_OTHER", "-9999", "Total", "gC m-2", "20061024", "total aboveground production estimated with separate allom. Eq., not from the sum of foliage + wood; Litter production estimated from net change in standing foliage biomass; shrub production includes understorey trees with DBH <9cm", , , , 
"US-Fmf", "27076", "GRP_AG_PROD_OTHER", "12", "Total", "gC m-2", "20070907", , "clipping of 4 , 0.5 m2  plot once per year.", , , 
"US-Fmf", "27623", "GRP_AG_PROD_OTHER", "6", "Total", "gC m-2", "20060907", , "clipping of 4 , 0.5 m2  plot once per year.", , , 
"US-Fuf", "26785", "GRP_AG_PROD_OTHER", "7", "Total", "gC m-2", "20070907", , "clipping of 4 , 0.5 m2  plot once per year.", , , 
"US-Fuf", "27626", "GRP_AG_PROD_OTHER", "7", "Total", "gC m-2", "20060907", , "clipping of 4 , 0.5 m2  plot once per year.", , , 
"US-Fwf", "28605", "GRP_AG_PROD_OTHER", "46", "Total", "gC m-2", "20070907", , "clipping of 4 , 0.5 m2  plot once per year.", , , 
"US-Fwf", "29536", "GRP_AG_PROD_OTHER", "69", "Total", "gC m-2", "20060907", , "clipping of 4 , 0.5 m2  plot once per year.", , , 
"US-IB2", "24110", "GRP_AG_PROD_OTHER", "370", "Total", "gC m-2", "20050715", , "peak biomass, ussually July-August of each year", , , 
"US-IB2", "24651", "GRP_AG_PROD_OTHER", "557", "Total", "gC m-2", "20070822", , "peak biomass, ussually July-August of each year", , , 
"US-IB2", "25150", "GRP_AG_PROD_OTHER", "429", "Total", "gC m-2", "20040714", , "peak biomass, ussually July-August of each year", , , 
"US-IB2", "25151", "GRP_AG_PROD_OTHER", "660", "Total", "gC m-2", "20060719", , "peak biomass, ussually July-August of each year", , , 
"US-Me1", "24190", "GRP_AG_PROD_OTHER", "44.2", "Total", "gC m-2", "2003", , , , , 
"US-Me2", "19655", "GRP_AG_PROD_OTHER", "0.98536804142", "Total", "gC m-2", "2001", , , "2001", , 
"US-Me3", "23817", "GRP_AG_PROD_OTHER", "17.4", "Total", "gC m-2", "2003", , , , , 
"US-Me4", "23944", "GRP_AG_PROD_OTHER", "0.79", "Total", "gC m-2", "2001", , , , , 
"US-Me4", "24315", "GRP_AG_PROD_OTHER", "0.00", "Total", "gC m-2", "2001", , , , , 
"US-Me5", "23670", "GRP_AG_PROD_OTHER", "25.35", "Total", "gC m-2", "2001", , , , , 
"US-MMS", "18294", "GRP_AG_PROD_OTHER", "11", "Total", "gC m-2", "200301", "Non-woody plants average", , "200312", , 
"US-MMS", "18298", "GRP_AG_PROD_OTHER", "11", "Total", "gC m-2", "200401", "Non-woody plants average", , "200412", , 
"US-MMS", "18301", "GRP_AG_PROD_OTHER", "11", "Total", "gC m-2", "200501", "Non-woody plants average", , "200512", , 
"US-MMS", "18304", "GRP_AG_PROD_OTHER", "10", "Total", "gC m-2", "199801", "Non-woody plants average", , "199812", , 
"US-MMS", "18360", "GRP_AG_PROD_OTHER", "11", "Total", "gC m-2", "199901", "Non-woody plants average", , "199912", , 
"US-MMS", "18367", "GRP_AG_PROD_OTHER", "11", "Total", "gC m-2", "200001", "Non-woody plants average", , "200012", , 
"US-MMS", "18372", "GRP_AG_PROD_OTHER", "11", "Total", "gC m-2", "200101", "Non-woody plants average", , "200112", , 
"US-MMS", "18376", "GRP_AG_PROD_OTHER", "11", "Total", "gC m-2", "200201", "Non-woody plants average", , "200212", , 
"US-Slt", "28079", "GRP_AG_PROD_OTHER", "0.4", "Total", "gC m-2", "2005", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", , "0.7", 
"US-Slt", "28767", "GRP_AG_PROD_OTHER", "0.0", "Total", "gC m-2", "2004", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", , "0.0", 
"US-Slt", "28933", "GRP_AG_PROD_OTHER", "0.0", "Total", "gC m-2", "2007", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", , "0.1", 
"US-Slt", "29614", "GRP_AG_PROD_OTHER", "0.2", "Total", "gC m-2", "2006", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", , "0.3", 
"US-SP1", "28587", "GRP_AG_PROD_OTHER", "23.9", "Total", "gC m-2", "2007", , "10  1m2 Clipping plots", , , 
"US-SP2", "29062", "GRP_AG_PROD_OTHER", "28.94", "Total", "gC m-2", "2007", , "10  1m2 Clipping plots", , , 
"US-SP3", "28858", "GRP_AG_PROD_OTHER", "3.2", "Total", "gC m-2", "2007", , "10  1m2 Clipping plots", , , 
"US-SRM", "26910", "GRP_AG_PROD_OTHER", "100", "Total", "gC m-2", , "Bad year, Rough estimate from: http://ag.arizona.edu/SRER/proceedings/Ffolliott.pdf", , , , 
"US-SRM", "29054", "GRP_AG_PROD_OTHER", "200", "Total", "gC m-2", , "good year, Rough estimate from: http://ag.arizona.edu/SRER/proceedings/Ffolliott.pdf", , , , 
