"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "AG_PROD_SHRUB", "AG_PROD_SHRUB_ORGAN", "AG_PROD_SHRUB_UNIT", "AG_PROD_DATE_START", "AG_PROD_COMMENT", "AG_PROD_DATE_END", "AG_PROD_SHRUB_SPATIAL_VARIABILITY", "AG_PROD_APPROACH", 
"CA-Man", "26382", "GRP_AG_PROD_SHRUB", "1", "Total", "gC m-2", "1994", "data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , 
"CA-Mer", "26338", "GRP_AG_PROD_SHRUB", "90", "Total", "gC m-2", , "data from Moore et al. (2002, Journal of Ecology 90, 25-36). Assumed that carbon account for 50% of biomass; data are the mean of 8 literatures. Assumed the carbon concentration is 50%.", , , , 
"CA-Oas", "25587", "GRP_AG_PROD_SHRUB", "53", "Total", "gC m-2", , "Data from Alison Deanne Theede (2007)", , , , 
"CA-Obs", "25333", "GRP_AG_PROD_SHRUB", "13", "Total", "gC m-2", "1994", "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , 
"CA-TP2", "27563", "GRP_AG_PROD_SHRUB", "0", "Total", "gC m-2", "20050926", , , , , 
"CA-TP2", "27917", "GRP_AG_PROD_SHRUB", "0", "Total", "gC m-2", "20061026", , , , , 
"CA-TP2", "29125", "GRP_AG_PROD_SHRUB", "0", "Total", "gC m-2", "20070927", , , , , 
"CA-TP3", "27562", "GRP_AG_PROD_SHRUB", "0", "Total", "gC m-2", "20040927", , , , , 
"CA-TP3", "28180", "GRP_AG_PROD_SHRUB", "0", "Total", "gC m-2", "20071104", , , , , 
"CA-TP3", "28181", "GRP_AG_PROD_SHRUB", "0", "Total", "gC m-2", "20050926", , , , , 
"CA-TP4", "26265", "GRP_AG_PROD_SHRUB", "31", "Total", "gC m-2", "20051009", "total aboveground production estimated with separate allom. Eq., not from the sum of foliage + wood; Litter production estimated from net change in standing foliage biomass; shrub production includes understorey trees with DBH <9cm", , , , 
"CA-TP4", "26394", "GRP_AG_PROD_SHRUB", "31", "Total", "gC m-2", "20061024", "total aboveground production estimated with separate allom. Eq., not from the sum of foliage + wood; Litter production estimated from net change in standing foliage biomass; shrub production includes understorey trees with DBH <9cm", , , , 
"CA-TP4", "26527", "GRP_AG_PROD_SHRUB", "31", "Total", "gC m-2", "20071024", "total aboveground production estimated with separate allom. Eq., not from the sum of foliage + wood; Litter production estimated from net change in standing foliage biomass; shrub production includes understorey trees with DBH <9cm", , , , 
"US-Me1", "23804", "GRP_AG_PROD_SHRUB", "0", "Foliage", "gC m-2", "2003", , , , , 
"US-Me1", "24690", "GRP_AG_PROD_SHRUB", "0", "Wood", "gC m-2", "2003", , , , , 
"US-Me2", "19656", "GRP_AG_PROD_SHRUB", "0.084179649498", "Foliage", "gC m-2", "2001", , "2001", , , 
"US-Me2", "19665", "GRP_AG_PROD_SHRUB", "5.5924555563", "Wood", "gC m-2", "2001", , "2001", , , 
"US-Me3", "24195", "GRP_AG_PROD_SHRUB", "1.46", "Total", "gC m-2", "2003", , , , , 
"US-Me4", "24314", "GRP_AG_PROD_SHRUB", "0.76", "Wood", "gC m-2", "2001", , , , , 
"US-Me4", "24834", "GRP_AG_PROD_SHRUB", "0.06", "Foliage", "gC m-2", "2001", , , , , 
"US-Me4", "24840", "GRP_AG_PROD_SHRUB", "0.56", "Foliage", "gC m-2", "2001", , , , , 
"US-Me5", "24306", "GRP_AG_PROD_SHRUB", "0.93", "Foliage", "gC m-2", "2001", , , , , 
"US-Me5", "24569", "GRP_AG_PROD_SHRUB", "24.13", "Wood", "gC m-2", "2001", , , , , 
"US-PFa", "28299", "GRP_AG_PROD_SHRUB", "54", "Total", "gC m-2", , "Ground Cover = 54 (dry basis); Burrows dissertation", , , , 
"US-Slt", "27177", "GRP_AG_PROD_SHRUB", "14.5", "Foliage", "gC m-2", "2006", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", , "3.7", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", 
"US-Slt", "27475", "GRP_AG_PROD_SHRUB", "18.1", "Foliage", "gC m-2", "2004", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", , "15.1", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", 
"US-Slt", "27476", "GRP_AG_PROD_SHRUB", "9.5", "Foliage", "gC m-2", "2007", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", , "3.5", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", 
"US-Slt", "28080", "GRP_AG_PROD_SHRUB", "4.6", "Wood", "gC m-2", "2007", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", , "7.1", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", 
"US-Slt", "28769", "GRP_AG_PROD_SHRUB", "4.1", "Wood", "gC m-2", "2005", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", , "17.2", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", 
"US-Slt", "29300", "GRP_AG_PROD_SHRUB", "16.2", "Foliage", "gC m-2", "2005", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", , "3.6", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", 
"US-Slt", "29613", "GRP_AG_PROD_SHRUB", "-5.1", "Wood", "gC m-2", "2006", "Five 201 m2 plots for trees, ten to twenty 1 m2 plots for clip plots for shrubs and herbs", , "8.0", "Ten to twenty 1 m2 plots, harvested annually at time of peak biomass.  Samples separated into foliage and stems, dried at 60 C", 
"US-SP1", "26766", "GRP_AG_PROD_SHRUB", "38.5", "Foliage", "gC m-2", "2007", , , , "10  1m2 Clipping plots", 
"US-SP1", "26767", "GRP_AG_PROD_SHRUB", "51.4", "Wood", "gC m-2", "2007", , , , "Clipping plots", 
"US-SP1", "26768", "GRP_AG_PROD_SHRUB", "89.9", "Total", "gC m-2", "2007", , , , "Clipping plots", 
"US-SP2", "27067", "GRP_AG_PROD_SHRUB", "48", "Total", "gC m-2", "2007", , , , "Clipping plots", 
"US-SP2", "28327", "GRP_AG_PROD_SHRUB", "9.4", "Foliage", "gC m-2", "2007", , , , "10  1m2 Clipping plots", 
"US-SP2", "29526", "GRP_AG_PROD_SHRUB", "38.6", "Wood", "gC m-2", "2007", , , , "Clipping plots", 
"US-SP3", "27099", "GRP_AG_PROD_SHRUB", "18.75", "Foliage", "gC m-2", "2007", , , , "10  1m2 Clipping plots", 
"US-SP3", "27402", "GRP_AG_PROD_SHRUB", "19.28", "Total", "gC m-2", "2007", , , , "Clipping plots", 
"US-SP3", "27644", "GRP_AG_PROD_SHRUB", "0.53", "Wood", "gC m-2", "2007", , , , "Clipping plots", 
