"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "BASAL_AREA", "BASAL_AREA_DATE", "BASAL_AREA_SPATIAL_REP_NUMBER", "BASAL_AREA_SPATIAL_VARIABILITY", "BASAL_AREA_SPP", "BASAL_AREA_APPROACH", "BASAL_AREA_DATE_UNC", "BASAL_AREA_COMMENT", 
"US-Ha1", "17362", "GRP_BASAL_AREA", "0.81", "1993", "34", "3.16", "Fraxinus americana", , , , 
"US-Ha1", "17370", "GRP_BASAL_AREA", "0.43", "1993", "34", "1.05", "Betula lenta", , , , 
"US-Ha1", "17376", "GRP_BASAL_AREA", "0.31", "1993", "34", "1.04", "Fagus grandifolia", , , , 
"US-Ha1", "17382", "GRP_BASAL_AREA", "1", "1993", "34", "2.01", "Quercus velutina", , , , 
"US-Ha1", "17388", "GRP_BASAL_AREA", "0.92", "1993", "34", "2.39", "Prunus serotina", , , , 
"US-Ha1", "17394", "GRP_BASAL_AREA", "0.51", "1993", "34", "1.59", "Betula populifolia", , , , 
"US-Ha1", "17400", "GRP_BASAL_AREA", "3.7", "1993", "34", "8.24", "Tsuga canadensis", , , , 
"US-Ha1", "17406", "GRP_BASAL_AREA", "7.85", "1993", "34", "5.06", "Acer rubrum", , , , 
"US-Ha1", "17412", "GRP_BASAL_AREA", "11.31", "1993", "34", "8.77", "Quercus rubra", , , , 
"US-Ha1", "17418", "GRP_BASAL_AREA", "2.72", "1993", "34", "8.95", "Pinus resinosa", , , , 
"US-Ha1", "17424", "GRP_BASAL_AREA", "0.06", "1993", "34", "0.29", "Acer pennsylvanicum", , , , 
"US-Ha1", "17430", "GRP_BASAL_AREA", "0.31", "1993", "34", "0.82", "Betula papyrifera", , , , 
"US-Ha1", "17436", "GRP_BASAL_AREA", "1.93", "1993", "34", "3.95", "Pinus strobus", , , , 
"US-Ha1", "17442", "GRP_BASAL_AREA", "0.75", "1993", "34", "2.49", "Picea glauca", , , , 
"US-Ha1", "17448", "GRP_BASAL_AREA", "1.05", "1993", "34", "1.47", "Betula alleghaniensis", , , , 
"US-Ha1", "17454", "GRP_BASAL_AREA", "0.85", "19981030", "34", "3.3", "Fraxinus americana", , , , 
"US-Ha1", "17459", "GRP_BASAL_AREA", "0.47", "19981030", "34", "1.1", "Betula lenta", , , , 
"US-Ha1", "17464", "GRP_BASAL_AREA", "0.36", "19981030", "34", "1.1", "Fagus grandifolia", , , , 
"US-Ha1", "17469", "GRP_BASAL_AREA", "1.06", "19981030", "34", "2.16", "Quercus velutina", , , , 
"US-Ha1", "17474", "GRP_BASAL_AREA", "0.95", "19981030", "34", "2.47", "Prunus serotina", , , , 
"US-Ha1", "17478", "GRP_BASAL_AREA", "0.39", "19981030", "34", "1.54", "Betula populifolia", , , , 
"US-Ha1", "17482", "GRP_BASAL_AREA", "4.07", "19981030", "34", "8.86", "Tsuga canadensis", , , , 
"US-Ha1", "17486", "GRP_BASAL_AREA", "7.69", "19981030", "34", "4.7", "Acer rubrum", , , , 
"US-Ha1", "17490", "GRP_BASAL_AREA", "12.02", "19981030", "34", "9.08", "Quercus rubra", , , , 
"US-Ha1", "17494", "GRP_BASAL_AREA", "2.8", "19981030", "34", "9.28", "Pinus resinosa", , , , 
"US-Ha1", "17498", "GRP_BASAL_AREA", "0.05", "19981030", "34", "0.23", "Acer pennsylvanicum", , , , 
"US-Ha1", "17502", "GRP_BASAL_AREA", "0.29", "19981030", "34", "0.74", "Betula papyrifera", , , , 
"US-Ha1", "17506", "GRP_BASAL_AREA", "2.1", "19981030", "34", "4.23", "Pinus strobus", , , , 
"US-Ha1", "17510", "GRP_BASAL_AREA", "0.71", "19981030", "34", "2.39", "Picea glauca", , , , 
"US-Ha1", "17514", "GRP_BASAL_AREA", "1.06", "19981030", "34", "1.47", "Betula alleghaniensis", , , , 
"US-Ha1", "17518", "GRP_BASAL_AREA", "0.83", "19991027", "34", "3.33", "Fraxinus americana", , , , 
"US-Ha1", "17519", "GRP_BASAL_AREA", "0.18", "20061114", "34", "0.72", "Betula papyrifera", , , , 
"US-Ha1", "17522", "GRP_BASAL_AREA", "2.3", "20061114", "34", "4.73", "Pinus strobus", , , , 
