"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "BIOMASS_N", "BIOMASS_N_SPATIAL_VARIABILITY", "BIOMASS_ORGAN", "BIOMASS_PHEN", "BIOMASS_SPP", "BIOMASS_COMMENT", "BIOMASS_C", "BIOMASS_DATE", "BIOMASS_CN_RATIO", 
"BR-Ma2", "27180", "GRP_BIOMASS_CHEM", "0.203", "0.051", "Total", "Mixed/unknown", "(All)", "Non-Legumes on plateau; extracted from reference by Lucie Plourde; Nardoto, G.B. et al. 2008. Understanding the influences of spatial patterns on N availability within the Brazilian Amazon Forest. Ecosystems, 11:1234-1246. (Table 2)", , , , 
"BR-Ma2", "27726", "GRP_BIOMASS_CHEM", "0.189", "0.048", "Total", "Mixed/unknown", "(All)", "Legumes on baixio; extracted from reference by Lucie Plourde; Nardoto, G.B. et al. 2008. Understanding the influences of spatial patterns on N availability within the Brazilian Amazon Forest. Ecosystems, 11:1234-1246. (Table 2)", , , , 
"BR-Ma2", "28935", "GRP_BIOMASS_CHEM", "0.233", "0.052", "Total", "Mixed/unknown", "(All)", "Legumes on plateau; extracted from reference by Lucie Plourde; Nardoto, G.B. et al. 2008. Understanding the influences of spatial patterns on N availability within the Brazilian Amazon Forest. Ecosystems, 11:1234-1246. (Table 2)", , , , 
"BR-Ma2", "29306", "GRP_BIOMASS_CHEM", "0.149", "0.031", "Total", "Mixed/unknown", "(All)", "Non-Legumes on baixio; extracted from reference by Lucie Plourde; Nardoto, G.B. et al. 2008. Understanding the influences of spatial patterns on N availability within the Brazilian Amazon Forest. Ecosystems, 11:1234-1246. (Table 2)", , , , 
"CA-Ca1", "25444", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from Lamlom, S.H., Savidge, R.A. 2003.", "5.05", , , 
"CA-Ca1", "26203", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from foliar C measurements of shoots used in LMA measurement", "5.1", "2004", , 
"CA-Ca1", "26331", "GRP_BIOMASS_CHEM", "0.135", , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from foliar N measurements of shoots used in LMA measurement", , "2004", , 
"CA-Ca2", "26974", "GRP_BIOMASS_CHEM", "0.1", , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from foliar N measurements of shoots used in LMA measurement", , "2004", , 
"CA-Ca2", "28151", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from Lamlom, S.H., Savidge, R.A. 2003.", "5.005", , , 
"CA-Ca2", "29451", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from foliar C measurements of shoots used in LMA measurement", "5.2", "2004", , 
"CA-Ca3", "26983", "GRP_BIOMASS_CHEM", "0.1", , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from foliar N measurements of shoots used in LMA measurement", , "2004", , 
"CA-Ca3", "27545", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from foliar C measurements of shoots used in LMA measurement", "5.2", "2004", , 
"CA-Ca3", "29102", "GRP_BIOMASS_CHEM", , , "Total", "Mixed/unknown", "PSME (NRCS plant code)", "from Lamlom, S.H., Savidge, R.A. 2003.", "5.05", , , 
"CA-Gro", "25496", "GRP_BIOMASS_CHEM", "0.197", , "Total", "Mixed/unknown", "BEPAM (NRCS plant code)", "determined by dry combustion and thermal conductivity detection", , "20040812", , 
"CA-Gro", "25644", "GRP_BIOMASS_CHEM", "0.216", , "Total", "Mixed/unknown", "POTR5 (NRCS plant code)", "determined by dry combustion and thermal conductivity detection", , "20050728", , 
