"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "MAT", "MAP", "CLIMATE_KOEPPEN", 
"AR-TF2", "86279", "GRP_CLIM_AVG", "5.5", "530", , 
"BR-CMT", "31043", "GRP_CLIM_AVG", "26.8", "1566", "Aw", 
"BR-CST", "86509", "GRP_CLIM_AVG", "25.2", "642", "Bsh", 
"BR-Cui", "79268", "GRP_CLIM_AVG", "26.4", "457.2", "Am", 
"BR-Ma2", "22216", "GRP_CLIM_AVG", "26.68", "2252", "Af", 
"BR-Npw", "86498", "GRP_CLIM_AVG", "24.9", "1486", "Aw", 
"BR-PRS", "88109", "GRP_CLIM_AVG", "21", "1500", "Cfa", 
"BR-Sa1", "828", "GRP_CLIM_AVG", "26.13", "2074.79", "Am", 
"BR-Sa3", "2551", "GRP_CLIM_AVG", "26.12", "2043.77", "Am", 
"CA-ARB", "33712", "GRP_CLIM_AVG", "-1.3", "700", "Dfb", 
"CA-ARF", "33714", "GRP_CLIM_AVG", "-1.3", "700", "Dfb", 
"CA-Ca1", "23602", "GRP_CLIM_AVG", "9.93", "1369", "Cfb", 
"CA-Ca2", "23585", "GRP_CLIM_AVG", "9.86", "1474", "Cfb", 
"CA-Ca3", "23567", "GRP_CLIM_AVG", "9.94", "1676", "Cfb", 
"CA-Cbo", "4232", "GRP_CLIM_AVG", "6.66", "876.34", "Dfb", 
"CA-CF1", "30728", "GRP_CLIM_AVG", "-6.5", "452", "Dfc", 
"CA-CF2", "30767", "GRP_CLIM_AVG", "-6.5", "452", "Dfc", 
"CA-Cha", "7672", "GRP_CLIM_AVG", "3.46", "971.68", "Dfb", 
"CA-DBB", "30781", "GRP_CLIM_AVG", "10", "1128", "Csb", 
"CA-DL1", "12614", "GRP_CLIM_AVG", "-9", "250", "Dfc", 
"CA-DL2", "12635", "GRP_CLIM_AVG", "-9", "250", "Dfc", 
"CA-ER1", "81328", "GRP_CLIM_AVG", "6.7", "946", "Dfb", 
"CA-Fen", "3399", "GRP_CLIM_AVG", "0.18", "432.84", "Dfc", 
"CA-Gro", "7605", "GRP_CLIM_AVG", "1.3", "831", "Dfb", 
"CA-HPC", "81600", "GRP_CLIM_AVG", "-8.2", "240.6", "Dfc", 
"CA-KLP", "33717", "GRP_CLIM_AVG", "-1.1", "680", "Dfb", 
"CA-Let", "5103", "GRP_CLIM_AVG", "5.36", "398.4", "Dfb", 
"CA-LuM", "15414", "GRP_CLIM_AVG", "6.6", "905", "Dfb", 
"CA-MA1", "22312", "GRP_CLIM_AVG", "2.6", "514", "Dfb", 
"CA-MA2", "22290", "GRP_CLIM_AVG", "2.6", "514", "Dfb", 
"CA-MA3", "22269", "GRP_CLIM_AVG", "2.6", "514", "Dfb", 
"CA-Man", "5908", "GRP_CLIM_AVG", "-3.2", "520", "Dfc", 
"CA-Mer", "33721", "GRP_CLIM_AVG", "6", "943", "Dfb", 
"CA-MR3", "79341", "GRP_CLIM_AVG", , "325", "Dwd", 
"CA-MR5", "79360", "GRP_CLIM_AVG", , "325", "Dwd", 
"CA-Na1", "13", "GRP_CLIM_AVG", "7.09", "1102.7", "Dfb", 
"CA-Na2", "14", "GRP_CLIM_AVG", "6.59", "1087.33", "Dfb", 
"CA-NS1", "8490", "GRP_CLIM_AVG", "-2.89", "500.29", "Dfc", 
"CA-NS2", "2550", "GRP_CLIM_AVG", "-2.88", "499.82", "Dfc", 
"CA-NS3", "5958", "GRP_CLIM_AVG", "-2.87", "502.22", "Dfc", 
"CA-NS4", "23", "GRP_CLIM_AVG", "-2.87", "502.22", "Dfc", 
"CA-NS5", "3397", "GRP_CLIM_AVG", "-2.86", "500.34", "Dfc", 
"CA-NS6", "7647", "GRP_CLIM_AVG", "-3.08", "495.37", "Dfc", 
"CA-NS7", "24", "GRP_CLIM_AVG", "-3.52", "483.27", "Dfc", 
"CA-NS8", "8494", "GRP_CLIM_AVG", "-2.71", "506.69", "Dfc", 
"CA-Oas", "5959", "GRP_CLIM_AVG", "0.34", "428.53", "Dfc", 
"CA-Obs", "7648", "GRP_CLIM_AVG", "0.79", "405.6", "Dfc", 
"CA-Ojp", "6789", "GRP_CLIM_AVG", "0.12", "430.5", "Dfc", 
"CA-Qcu", "3398", "GRP_CLIM_AVG", "0.13", "949.78", "Dfc", 
"CA-Qfo", "1700", "GRP_CLIM_AVG", "-0.36", "962.32", "Dfc", 
"CA-RPn", "85960", "GRP_CLIM_AVG", "5", "1340.4", "Dfb", 
"CA-RPp", "85982", "GRP_CLIM_AVG", "5", "1340.4", "Dfb", 
"CA-SCB", "85738", "GRP_CLIM_AVG", "-2.8", "388", "Dfc", 
"CA-SCC", "30581", "GRP_CLIM_AVG", "-2.8", "387.6", "Dfc", 
"CA-SF1", "3346", "GRP_CLIM_AVG", "0.4", "470", "Dfc", 
"CA-SF2", "785", "GRP_CLIM_AVG", "0.4", "470", "Dfc", 
"CA-SF3", "8453", "GRP_CLIM_AVG", "0.4", "470", "Dfc", 
"CA-SJ1", "7649", "GRP_CLIM_AVG", "0.13", "430.23", "Dfc", 
"CA-SJ2", "3400", "GRP_CLIM_AVG", "0.11", "430.03", "Dfc", 
"CA-SJ3", "2561", "GRP_CLIM_AVG", "0.13", "433.33", "Dfc", 
"CA-SMC", "81466", "GRP_CLIM_AVG", "-2.8", "388", "Dfc", 
"CA-TP1", "12125", "GRP_CLIM_AVG", "8", "1036", "Dfb", 
"CA-TP2", "12157", "GRP_CLIM_AVG", "8", "1036", "Dfb", 
"CA-TP3", "12185", "GRP_CLIM_AVG", "8", "1036", "Dfb", 
"CA-TP4", "12217", "GRP_CLIM_AVG", "8", "1036", "Dfb", 
"CA-TPD", "12253", "GRP_CLIM_AVG", "8", "1036", "Dfb", 
"CA-TVC", "81512", "GRP_CLIM_AVG", "-8.2", "240.6", "Dfc", 
"CA-WP1", "3394", "GRP_CLIM_AVG", "1.1", "461.07", "Dfc", 
"CA-WP2", "2639", "GRP_CLIM_AVG", , , "Dfc", 
"CA-WP3", "5199", "GRP_CLIM_AVG", , , "Dfc", 
"CL-SDF", "30252", "GRP_CLIM_AVG", "10", "2110", "Cfb", 
"CL-SDP", "30229", "GRP_CLIM_AVG", "10", "2110", "Cfb", 
"CR-Fsc", "31091", "GRP_CLIM_AVG", , , "Aw", 
"CR-Lse", "5949", "GRP_CLIM_AVG", "25.9", "3965.57", "Am", 
"CR-Nmr", "31067", "GRP_CLIM_AVG", , , "Aw", 
"CR-SoC", "86939", "GRP_CLIM_AVG", "23.1", "4200", "Af", 
"MX-EMg", "85735", "GRP_CLIM_AVG", "17", "281", "BSh", 
"MX-Lpa", "9349", "GRP_CLIM_AVG", "23.6", "182", "BWh", 
"MX-PMm", "83418", "GRP_CLIM_AVG", "26.2", "1222", "Aw", 
"PA-Bar", "7585", "GRP_CLIM_AVG", "26", "2800", "Af", 
"PE-QFR", "86032", "GRP_CLIM_AVG", , , "Af", 
"PE-TNR", "85904", "GRP_CLIM_AVG", "25.5", "2335", "Af", 
"PR-xGU", "85614", "GRP_CLIM_AVG", "25", "1168", "Am", 
"PR-xLA", "85609", "GRP_CLIM_AVG", "25", "1168", "Am", 
"US-A03", "85028", "GRP_CLIM_AVG", "-11.2", "115.1", "ET", 
"US-A10", "85091", "GRP_CLIM_AVG", "-11.2", "115.1", "ET", 
"US-A32", "30049", "GRP_CLIM_AVG", "33.9", "889", "Cfa", 
"US-A39", "85076", "GRP_CLIM_AVG", "14.95", "965", "Csa", 
"US-A74", "30092", "GRP_CLIM_AVG", "33.9", "889", "Cfa", 
"US-Act", "81642", "GRP_CLIM_AVG", "11.1", "907", "Cfa", 
"US-ADR", "15373", "GRP_CLIM_AVG", "17.5", "110", "Bwh", 
"US-ALQ", "83617", "GRP_CLIM_AVG", , , "Dfb", 
"US-AR1", "15955", "GRP_CLIM_AVG", , , "Dsa", 
"US-AR2", "15975", "GRP_CLIM_AVG", , , "Dsa", 
"US-ARb", "100", "GRP_CLIM_AVG", , , "Cfa", 
"US-ARc", "926", "GRP_CLIM_AVG", , , "Cfa", 
"US-ARM", "11127", "GRP_CLIM_AVG", "14.76", "843", "Cfa", 
"US-ASH", "86816", "GRP_CLIM_AVG", "18.1", "210", "Bwk", 
"US-ASL", "86757", "GRP_CLIM_AVG", "16.7", "311", "Bwk", 
"US-ASM", "86745", "GRP_CLIM_AVG", "18.1", "210", "Bwk", 
"US-Atq", "14880", "GRP_CLIM_AVG", "-9.7", "93", "ET", 
"US-Aud", "2577", "GRP_CLIM_AVG", "14.85", "438.35", "BSk", 
"US-Bar", "839", "GRP_CLIM_AVG", "5.61", "1245.77", "Dfb", 
"US-BCM", "87305", "GRP_CLIM_AVG", "22.6", "1142", "Cwa", 
"US-BdA", "13309", "GRP_CLIM_AVG", , , "Cfa", 
"US-BdC", "13327", "GRP_CLIM_AVG", , , "Cfa", 
"US-Beo", "81609", "GRP_CLIM_AVG", "-11.3", "72", "ET", 
"US-Bes", "11822", "GRP_CLIM_AVG", "-12", "173", "ET", 
"US-Bi1", "30358", "GRP_CLIM_AVG", "16", "338", "Csa", 
"US-Bi2", "31259", "GRP_CLIM_AVG", "16", "338", "Csa", 
"US-Bkg", "1726", "GRP_CLIM_AVG", "6.03", "585.76", "Dfa", 
"US-Blk", "5119", "GRP_CLIM_AVG", "6.23", "573.79", "Dfb", 
"US-Blo", "14391", "GRP_CLIM_AVG", "11.09", "1226", "Csa", 
"US-Bn1", "4289", "GRP_CLIM_AVG", , , "Dsc", 
"US-Bn2", "8569", "GRP_CLIM_AVG", , , "Dsc", 
"US-Bn3", "2638", "GRP_CLIM_AVG", , , "Dsc", 
"US-Bo1", "1724", "GRP_CLIM_AVG", "11.02", "991.29", "Dfa", 
"US-Bo2", "7679", "GRP_CLIM_AVG", "11.02", "991.29", "Dfa", 
"US-Br1", "1725", "GRP_CLIM_AVG", "8.95", "842.33", "Dfa", 
"US-Br2", "5977", "GRP_CLIM_AVG", "8.89", "846.74", "Dfa", 
"US-Br3", "6804", "GRP_CLIM_AVG", "8.9", "846.6", "Dfa", 
"US-BRG", "30561", "GRP_CLIM_AVG", "11.8", "1200", "Cfa", 
"US-Brw", "14921", "GRP_CLIM_AVG", "-12.6", "85", "ET", 
"US-Bsg", "16082", "GRP_CLIM_AVG", "7.36", "289", "BSk", 
"US-BSM", "31109", "GRP_CLIM_AVG", "9.9", "1195", "DFB", 
"US-BZB", "87192", "GRP_CLIM_AVG", "-2.4", "274", "Dfd", 
"US-BZF", "87216", "GRP_CLIM_AVG", "-2.4", "274", "Dfd", 
"US-BZL", "87243", "GRP_CLIM_AVG", "-2.4", "274", "Dfd", 
"US-BZo", "87283", "GRP_CLIM_AVG", "-2.4", "274", "Dfd", 
"US-BZS", "87184", "GRP_CLIM_AVG", "-2.4", "274", "Dfd", 
"US-CaV", "5124", "GRP_CLIM_AVG", "7.97", "1317", "Cfb", 
"US-CdM", "86841", "GRP_CLIM_AVG", "11.3", "348", "Bsk", 
"US-Ced", "12657", "GRP_CLIM_AVG", "11.04", "1138", "Cfa", 
"US-CF1", "84801", "GRP_CLIM_AVG", "9", "550", "Dsb", 
"US-CF2", "84821", "GRP_CLIM_AVG", "9", "550", "Dsb", 
"US-CF3", "84841", "GRP_CLIM_AVG", "9", "550", "Dsb", 
"US-CF4", "84861", "GRP_CLIM_AVG", "9", "550", "Dsb", 
"US-ChR", "1721", "GRP_CLIM_AVG", "13.91", "1358.85", "Cfa", 
"US-Cms", "84694", "GRP_CLIM_AVG", "-12.6", "274", "ET", 
"US-CPk", "10211", "GRP_CLIM_AVG", "6.1", "545", "Dfc", 
"US-CRT", "12765", "GRP_CLIM_AVG", "10.1", "849", "Dfa", 
"US-CS1", "83379", "GRP_CLIM_AVG", "7", "830", "Dfa", 
"US-CS2", "87373", "GRP_CLIM_AVG", "7", "830", "Dfa", 
"US-CS3", "87376", "GRP_CLIM_AVG", "7", "830", "Dfa", 
"US-Cst", "13209", "GRP_CLIM_AVG", "17.4", "1410", "Cfa", 
"US-Cwt", "84995", "GRP_CLIM_AVG", "13", "1800", "Dfb", 
"US-Dea", "11406", "GRP_CLIM_AVG", "20.5", "131", "Dsa", 
"US-Deu", "11427", "GRP_CLIM_AVG", "20.5", "131", "Dsa", 
"US-DFK", "87348", "GRP_CLIM_AVG", "7.65", "787", "Dfb", 
"US-Dia", "11502", "GRP_CLIM_AVG", "15.6", "265", "Csa", 
"US-Dix", "2575", "GRP_CLIM_AVG", "11.07", "1126.63", "Cfa", 
"US-Dk1", "1712", "GRP_CLIM_AVG", "14.36", "1169.75", "Cfa", 
"US-Dk2", "2576", "GRP_CLIM_AVG", "14.36", "1168.69", "Cfa", 
"US-Dk3", "5125", "GRP_CLIM_AVG", "14.36", "1169.69", "Cfa", 
"US-DPP", "86719", "GRP_CLIM_AVG", "22.6", "1142", "Cwa", 
"US-DPW", "86871", "GRP_CLIM_AVG", "22.6", "1142", "Cwa", 
"US-EDN", "84722", "GRP_CLIM_AVG", , , "Csa", 
"US-EML", "11145", "GRP_CLIM_AVG", "-1", "378", "ET", 
"US-Fcr", "85260", "GRP_CLIM_AVG", "-2.4", , "Dwc", 
"US-Fmf", "11995", "GRP_CLIM_AVG", "9.5", "546", "Csb", 
"US-FPe", "3412", "GRP_CLIM_AVG", "5.48", "334.8", "BSk", 
"US-FR1", "4229", "GRP_CLIM_AVG", "19.56", "866.65", "Cfa", 
"US-FR2", "2578", "GRP_CLIM_AVG", "19.48", "864", "Cfa", 
"US-FR3", "8514", "GRP_CLIM_AVG", "19.59", "869.23", "Cfa", 
"US-Fuf", "12015", "GRP_CLIM_AVG", "8.7", "562", "Csb", 
"US-Fwf", "12040", "GRP_CLIM_AVG", "8.4", "557", "Csb", 
"US-GBT", "16016", "GRP_CLIM_AVG", "0.80", "1200", "Dfc", 
"US-GCE", "86852", "GRP_CLIM_AVG", "19.83", "1284", "Cfa", 
"US-GLE", "15995", "GRP_CLIM_AVG", "0.80", "1200", "Dfc", 
"US-GMF", "5971", "GRP_CLIM_AVG", "6.08", "1258.79", "Dfb", 
"US-Goo", "1713", "GRP_CLIM_AVG", "15.89", "1425.77", "Cfa", 
"US-GZ1", "85781", "GRP_CLIM_AVG", "11.4", "294.1", "Csb", 
"US-GZ2", "85812", "GRP_CLIM_AVG", "11.4", "294.1", "Csb", 
"US-GZ3", "85873", "GRP_CLIM_AVG", "11.4", "294.1", "Csb", 
"US-Ha1", "11958", "GRP_CLIM_AVG", "6.62", "1071", "Dfb", 
"US-Ha2", "12584", "GRP_CLIM_AVG", "6.56", "1071", "Dfb", 
"US-HB1", "79520", "GRP_CLIM_AVG", "18.3", "1429", "Cfa", 
"US-HB2", "79882", "GRP_CLIM_AVG", "18.3", "1429", "Cfa", 
"US-HB3", "86465", "GRP_CLIM_AVG", "18.3", "1429", "Cfa", 
"US-HBK", "81447", "GRP_CLIM_AVG", "6", "1400", "Dfb", 
"US-Hn1", "83533", "GRP_CLIM_AVG", "12.8", "197", "Bsk", 
"US-Hn2", "83502", "GRP_CLIM_AVG", "12.8", "197", "Bsk", 
"US-Hn3", "83508", "GRP_CLIM_AVG", "12.8", "197", "Bsk", 
"US-Ho1", "14805", "GRP_CLIM_AVG", "5.27", "1070", "Dfb", 
"US-Ho2", "11481", "GRP_CLIM_AVG", "5.13", "1064", "Dfb", 
"US-Ho3", "11777", "GRP_CLIM_AVG", "5.31", "1072", "Dfb", 
"US-HPY", "30540", "GRP_CLIM_AVG", "11.5", "1120", "Cfa", 
"US-HRA", "12925", "GRP_CLIM_AVG", , , "Cfa", 
"US-HRC", "12943", "GRP_CLIM_AVG", , , "Cfa", 
"US-HRN", "87843", "GRP_CLIM_AVG", , , "Cfa", 
"US-HRP", "31132", "GRP_CLIM_AVG", "9.9", "1195", "DFB", 
"US-HRS", "33527", "GRP_CLIM_AVG", , , "Cfa", 
"US-HVa", "15777", "GRP_CLIM_AVG", "-10.29", "217", "Dfc", 
"US-HVs", "84658", "GRP_CLIM_AVG", "-10.29", "217", "ET", 
"US-IB1", "5978", "GRP_CLIM_AVG", "9.18", "929.23", "Dfa", 
"US-IB2", "2585", "GRP_CLIM_AVG", "9.04", "930.25", "Dfa", 
