"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "COUNTRY", 
"AR-TF1", "27001056", "GRP_COUNTRY", "Argentina", 
"AR-TF2", "27001055", "GRP_COUNTRY", "Argentina", 
"BR-CMT", "27000713", "GRP_COUNTRY", "Brazil", 
"BR-CST", "27001064", "GRP_COUNTRY", "Brazil", 
"BR-Cui", "27000941", "GRP_COUNTRY", "Brazil", 
"BR-Ma2", "27000031", "GRP_COUNTRY", "Brazil", 
"BR-Npw", "27001063", "GRP_COUNTRY", "Brazil", 
"BR-PRS", "27001110", "GRP_COUNTRY", "Brazil", 
"BR-Sa1", "27000034", "GRP_COUNTRY", "Brazil", 
"BR-Sa3", "27000036", "GRP_COUNTRY", "Brazil", 
"CA-ARB", "27000719", "GRP_COUNTRY", "Canada", 
"CA-ARF", "27000718", "GRP_COUNTRY", "Canada", 
"CA-Ca1", "27000051", "GRP_COUNTRY", "Canada", 
"CA-Ca2", "27000052", "GRP_COUNTRY", "Canada", 
"CA-Ca3", "27000053", "GRP_COUNTRY", "Canada", 
"CA-Cbo", "27000054", "GRP_COUNTRY", "Canada", 
"CA-CF1", "27000703", "GRP_COUNTRY", "Canada", 
"CA-CF2", "27000704", "GRP_COUNTRY", "Canada", 
"CA-Cha", "27000055", "GRP_COUNTRY", "Canada", 
"CA-DBB", "27000706", "GRP_COUNTRY", "Canada", 
"CA-DL1", "27000534", "GRP_COUNTRY", "Canada", 
"CA-DL2", "27000535", "GRP_COUNTRY", "Canada", 
"CA-ER1", "27000966", "GRP_COUNTRY", "Canada", 
"CA-Fen", "27000078", "GRP_COUNTRY", "Canada", 
"CA-Gro", "27000056", "GRP_COUNTRY", "Canada", 
"CA-HPC", "27000971", "GRP_COUNTRY", "Canada", 
"CA-JMW", "27000854", "GRP_COUNTRY", "Canada", 
"CA-KLP", "27000720", "GRP_COUNTRY", "Canada", 
"CA-Let", "27000057", "GRP_COUNTRY", "Canada", 
"CA-LuM", "27000665", "GRP_COUNTRY", "Canada", 
"CA-MA1", "27000671", "GRP_COUNTRY", "Canada", 
"CA-MA2", "27000672", "GRP_COUNTRY", "Canada", 
"CA-MA3", "27000673", "GRP_COUNTRY", "Canada", 
"CA-Man", "27000058", "GRP_COUNTRY", "Canada", 
"CA-Mer", "27000059", "GRP_COUNTRY", "Canada", 
"CA-MR3", "27000945", "GRP_COUNTRY", "Canada", 
"CA-MR5", "27000946", "GRP_COUNTRY", "Canada", 
"CA-Na1", "27000060", "GRP_COUNTRY", "Canada", 
"CA-Na2", "27000061", "GRP_COUNTRY", "Canada", 
"CA-NS1", "27000062", "GRP_COUNTRY", "Canada", 
"CA-NS2", "27000063", "GRP_COUNTRY", "Canada", 
"CA-NS3", "27000064", "GRP_COUNTRY", "Canada", 
"CA-NS4", "27000065", "GRP_COUNTRY", "Canada", 
"CA-NS5", "27000066", "GRP_COUNTRY", "Canada", 
"CA-NS6", "27000067", "GRP_COUNTRY", "Canada", 
"CA-NS7", "27000068", "GRP_COUNTRY", "Canada", 
"CA-NS8", "27000069", "GRP_COUNTRY", "Canada", 
"CA-Oas", "27000070", "GRP_COUNTRY", "Canada", 
"CA-Obs", "27000071", "GRP_COUNTRY", "Canada", 
"CA-Ojp", "27000072", "GRP_COUNTRY", "Canada", 
"CA-Qc2", "27000855", "GRP_COUNTRY", "Canada", 
"CA-Qcu", "27000073", "GRP_COUNTRY", "Canada", 
"CA-Qfo", "27000074", "GRP_COUNTRY", "Canada", 
"CA-RPn", "27001041", "GRP_COUNTRY", "Canada", 
