"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_FERT_M", "DM_DATE", "DM_COMMENT", 
"US-ARM", "89300", "GRP_DM_FERT_M", "Other", "20050405", "100 lbs per acre N", 
"US-ARM", "89302", "GRP_DM_FERT_M", "Other", "20090317", "10 gallons per acre of (28-0-0), approx 30 lbs per acre N", 
"US-ARM", "89303", "GRP_DM_FERT_M", "Other", "20090409", "10 gallons per acre of (28-0-0), approx 30 lbs per acre N", 
"US-ARM", "89304", "GRP_DM_FERT_M", "Other", "20120303", "15 gallons per acre (28-0-0)", 
"US-ARM", "89315", "GRP_DM_FERT_M", "Other", "20100408", "5 gallons per acre of (28-0-0), approx 15 lbs per acre N", 
"US-ARM", "89320", "GRP_DM_FERT_M", "Other", "20011002", "100 lbs per acre (30-30-0)", 
"US-ARM", "89322", "GRP_DM_FERT_M", "Other", "20100126", "10 gallons per acre of (28-0-0), approx 30 lbs per acre N", 
"US-ARM", "89324", "GRP_DM_FERT_M", "Other", "20140310", "10 gallons per acre of (10-34-0), north half of field", 
"US-ARM", "89329", "GRP_DM_FERT_M", "Other", "20070306", "20 gallons per acre of (28-0-0)", 
"US-ARM", "89330", "GRP_DM_FERT_M", "Other", "20130328", "20 gallons per acre of (34-0-0)", 
"US-ARM", "89344", "GRP_DM_FERT_M", "Other", "20090928", "100 lbs per acre of NH3, approx 82 lbs per acre N", 
"US-ARM", "89349", "GRP_DM_FERT_M", "Other", "20030321", "143 lbs per acre (28-0-0)", 
"US-ARM", "89355", "GRP_DM_FERT_M", "Other", "20080928", "27 lbs per acre N and 30 lbs per acre P", 
"US-ARM", "89360", "GRP_DM_FERT_M", "Other", "20020928", "100 lbs per acre (30-0-0)", 
"US-ARM", "89361", "GRP_DM_FERT_M", "Other", "20111021", "85 lbs per acre (11-52-0)", 
"US-ARM", "89362", "GRP_DM_FERT_M", "Other", "20050331", "20 lbs per acre N and P", 
"US-ARM", "89369", "GRP_DM_FERT_M", "Other", "20080523", "25 gallons per acre of (24-8-0), approx 66 lbs per acre N and 22 lbs per acre P", 
"US-ARM", "89371", "GRP_DM_FERT_M", "Other", "20060306", "30 lbs per acre N", 
"US-ARM", "89372", "GRP_DM_FERT_M", "Other", "20130927", "NH3 applied, approx 60 lbs per acre N", 
"US-ARM", "89377", "GRP_DM_FERT_M", "Other", "20051026", "30 lbs per acre N and P", 
"US-ARM", "89385", "GRP_DM_FERT_M", "Other", "20030928", "130 lbs per acre (30-30-0)", 
"US-ARM", "89388", "GRP_DM_FERT_M", "Other", "20030115", "70 lbs per acre (46-0-0)", 
"US-ARM", "89391", "GRP_DM_FERT_M", "Other", "20160719", "Mix of pot ash (150 lbs per acre K), and phosphate (50 lbs per acre P)", 
"US-ARM", "89396", "GRP_DM_FERT_M", "Other", "20061114", "60 lbs per acre (30-30-0)", 
"US-ARM", "89403", "GRP_DM_FERT_M", "Other", "20030215", "100 lbs per acre (28-0-0)", 
"US-ARM", "89411", "GRP_DM_FERT_M", "Other", "20090929", "85 lbs per acre (18-46-0)", 
"US-ARM", "89414", "GRP_DM_FERT_M", "Other", "20100914", "NH3 applied, approx 50 lbs per acre N", 
"US-Dk3", "8787", "GRP_DM_FERT_M", "Other", , "FACE rings were partitioned using an impervious rubber barrier set from soil level to 75 cm belowground in winter 2004-2005. One half of each ring was fertilized the following and subsequent growing seasons. The treatments comprised a very small area  (ca. 2000 m2, 1%) of the total stand (ca 200000 m2).", 
"US-IB1", "1124", "GRP_DM_FERT_M", "Other", "20070501", , 
"US-IB1", "8785", "GRP_DM_FERT_M", "Other", "20060501", , 
"US-IB1", "79235", "GRP_DM_FERT_M", "Other", "20050501", , 
"US-Ne1", "267", "GRP_DM_FERT_M", "N", "20040427", "142 lb N/ac ( 159.04 kg N ha-1 )", 
"US-Ne1", "283", "GRP_DM_FERT_M", "N", "20060701", "31.5 lb N/ac 31% UAN  0.24 in water using endgun", 
"US-Ne1", "289", "GRP_DM_FERT_M", "N", "20050503", "32% UAN  160 lbsN /ac (179.2 kg N ha-1 )", 
"US-Ne1", "290", "GRP_DM_FERT_M", "N", "20050614", "Nitrogen. 32% UAN  60 lbsN /ac ( 67.2 kg N ha-1 )", 
"US-Ne1", "1096", "GRP_DM_FERT_M", "N", "20040623", "60 lb N/ac ( 67.2 kg N ha-1 ) 32%UAN", 
"US-Ne1", "1105", "GRP_DM_FERT_M", "N", "20020418", "120lbs/ac (134.4 kg N ha-1 ) Nitrogen 28%UAN", 
"US-Ne1", "1952", "GRP_DM_FERT_M", "N", "20030625", "52 lb N/ac ( 58.24 kg N ha-1 )", 
"US-Ne1", "2797", "GRP_DM_FERT_M", "N", "20040628", "30.0 lbs N/ac ( 33.6 kg N ha-1 ) 32%UAN with .67 in water.", 
"US-Ne1", "3659", "GRP_DM_FERT_M", "N", "20071115", "Apply 32% UAN. 21 ac. 40 lb N/ac", 
"US-Ne1", "4471", "GRP_DM_FERT_M", "N", "20030624", "51 lb N/ac(57.12  kg N ha-1 )", 
"US-Ne1", "4472", "GRP_DM_FERT_M", "N", "20030710", "40.2 lbs N/acre ( 45.02 kg N ha-1 ) 28% UAN w/ .26 in water", 
"US-Ne1", "4487", "GRP_DM_FERT_M", "N", "20061101", "Spray 32% UAN. North half 56 ac. 43#N.", 
"US-Ne1", "4492", "GRP_DM_FERT_M", "N", "20071114", "32% UAN.40 lb N/ac", 
"US-Ne1", "4495", "GRP_DM_FERT_M", "N", "20010510", "28% UAN 114 lb N/ac (127.68 kg N ha-1) North half ; 76 lb N/ac (85.12 kg N ha-1) South half,  JD 4440/DMI 8 row Coulter", 
"US-Ne1", "5350", "GRP_DM_FERT_M", "N", "20030623", "40.6 lb N/ac ( 45.47 kg N ha-1 ) In 0.25 in. water", 
"US-Ne1", "5355", "GRP_DM_FERT_M", "N", "20020425", "120lbs/ac (134.4 kg N ha-1 ) Nitrogen 28%UAN", 
"US-Ne1", "6193", "GRP_DM_FERT_M", "N", "20040712", "30 lbs N/ac ( 33.6 kg N ha-1 ) 32%UAN.with .66 in water", 
"US-Ne1", "6196", "GRP_DM_FERT_M", "N", "20060505", "N 121 lb/ac 32%UAN.", 
"US-Ne1", "6206", "GRP_DM_FERT_M", "N", "20020614", "80 lb N/ac (89.6 kg N ha-1 ) to outside 32 (circular)  rows not fertigated JD 4440/DMI 8 row Coulter", 
"US-Ne1", "6207", "GRP_DM_FERT_M", "N", "20030415", "119.2 lb N/ac  ( 133.5 kg N ha-1 )", 
"US-Ne1", "6209", "GRP_DM_FERT_M", "N", "20070608", "30 lb N/ac, 32%UAN  0.36 in water.", 
"US-Ne1", "6217", "GRP_DM_FERT_M", "N", "20010702", "28%UAN 31.0 lb N/ac ( 34.72 kg N ha-1 ) with 0.17 in water   ( 196 kg N ha-1) TOTAL N Applied for 2001 season)", 
"US-Ne1", "7023", "GRP_DM_FERT_M", "N", "20050616", "Nitrogen. 32% UAN  60 lbsN /ac ( 67.2 kg N ha-1 )", 
"US-Ne1", "7042", "GRP_DM_FERT_M", "N", "20020702", "40.5 lbs N/acre ( 45.36 kg N ha-1 ) 28% UAN with 1.04 in. water", 
"US-Ne1", "7043", "GRP_DM_FERT_M", "N", "20060612", "35 lb N/ac   32% UAN  0.65 in water using endgun", 
"US-Ne1", "7046", "GRP_DM_FERT_M", "N", "20070502", "101 lb N/ac 32%UAN", 
"US-Ne1", "7057", "GRP_DM_FERT_M", "N", "20010618", "28% UAN 29.5 lb N/ac (33.04 kg N ha-1) with 0.17in water", 
"US-Ne1", "7901", "GRP_DM_FERT_M", "N", "20020416", "120lbs/ac (134.4 kg N ha-1 ) Nitrogen 28%UAN", 
"US-Ne1", "7921", "GRP_DM_FERT_M", "N", "20020617", "40 lbs/acre  ( 44.80 kg N ha-1 )  28% UAN w/ .66 in water", 
"US-Ne1", "7926", "GRP_DM_FERT_M", "N", "20050615", "Nitrogen. 32% UAN  60 lbsN /ac ( 67.2 kg N ha-1 )", 
"US-Ne1", "8746", "GRP_DM_FERT_M", "N", "20050617", "Nitrogen. 32% UAN  60 lbsN /ac ( 67.2 kg N ha-1 )", 
"US-Ne1", "8764", "GRP_DM_FERT_M", "N", "20030414", "119.2 lb N/ac  ( 133.5  kg N ha-1 )", 
"US-Ne1", "8766", "GRP_DM_FERT_M", "N", "20070625", "31.9 lb N/ac N 32#UAN,  0.36 in water.", 
"US-Ne1", "9617", "GRP_DM_FERT_M", "N", "20030623", "50 lb N/ac ( 56 kg N ha-1 )", 
"US-Ne1", "9631", "GRP_DM_FERT_M", "N", "20050502", "32% UAN  160 lbsN /ac (179.2 kg N ha-1 )", 
