"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_FIRE", "DM_COMMENT", "DM_DATE", "DM_SURF", "DM_DATE_START", "DM_DATE_END", "DM_DATE_UNC", "DM_SURF_MEAS_UNC", 
"CA-Man", "1971", "GRP_DM_FIRE", "Nature induced burn", "natural regeneration", , , , , , , 
"CA-Oas", "2791", "GRP_DM_FIRE", "Nature induced burn", "natural regeneration", "1919", , , , , , 
"CA-Obs", "8744", "GRP_DM_FIRE", "Nature induced burn", "natural regeneration", "1894", , , , , , 
"CA-Ojp", "7065", "GRP_DM_FIRE", "Nature induced burn", "natural regeneration", "1915", , , , , , 
"CA-Qfo", "9643", "GRP_DM_FIRE", "Nature induced burn", "natural regeneration", "1905", , , , , , 
"CA-SJ1", "2825", "GRP_DM_FIRE", "Nature induced burn", , "1994", , , , , , 
"CA-SJ2", "1982", "GRP_DM_FIRE", "Nature induced burn", , "2002", , , , , , 
"CA-SJ3", "1128", "GRP_DM_FIRE", "Nature induced burn", , "1975", , , , , , 
"US-Fcr", "88089", "GRP_DM_FIRE", "Nature induced burn", , , "100", "201005200000", "201006150000", , , 
"US-Fwf", "5390", "GRP_DM_FIRE", "Nature induced burn", "high; high intensity stand replacing", "1996", , , , , , 
"US-Ho1", "9506", "GRP_DM_FIRE", "Nature induced burn", "medium; some single tree harvest > 60 years ago", "1820", , , , , , 
"US-Ho2", "7773", "GRP_DM_FIRE", "Nature induced burn", "medium; some single tree harvest > 60 years ago", "1820", , , , , , 
"US-IB2", "297", "GRP_DM_FIRE", "Prescribed human induced underburn", , "19960401", , , , , , 
"US-IB2", "1122", "GRP_DM_FIRE", "Prescribed human induced underburn", , "20070421", , , , , , 
"US-IB2", "1972", "GRP_DM_FIRE", "Prescribed human induced underburn", , "19990401", , , , , , 
"US-IB2", "6223", "GRP_DM_FIRE", "Prescribed human induced underburn", , "19970401", , , , , , 
"US-IB2", "6224", "GRP_DM_FIRE", "Prescribed human induced underburn", , "20030401", , , , , , 
"US-IB2", "7067", "GRP_DM_FIRE", "Prescribed human induced underburn", , "20001101", , , , , , 
"US-IB2", "7944", "GRP_DM_FIRE", "Prescribed human induced underburn", , "19940401", , , , , , 
"US-IB2", "8783", "GRP_DM_FIRE", "Prescribed human induced underburn", , "20050405", , , , , , 
"US-LL1", "86705", "GRP_DM_FIRE", "Prescribed human induced underburn", , , , "201303150800", "201303152359", "3", , 
"US-LL1", "86706", "GRP_DM_FIRE", "Prescribed human induced underburn", , , , "201703210800", "201703212359", "3", , 
"US-LL1", "86707", "GRP_DM_FIRE", "Prescribed human induced underburn", "fire return interval 2 yrs", , "100", "200901140800", "200901142359", "2", "100", 
"US-LL1", "86708", "GRP_DM_FIRE", "Prescribed human induced underburn", , , , "201103110800", "201103112359", "3", , 
"US-LL1", "86709", "GRP_DM_FIRE", "Prescribed human induced underburn", , , , "201503040800", "201503042359", "3", , 
"US-LL2", "86710", "GRP_DM_FIRE", "Prescribed human induced underburn", , , "100", "201703220800", "201703230000", "3", "100", 
"US-LL2", "86712", "GRP_DM_FIRE", "Prescribed human induced underburn", "fire return interval 2 yrs", , "100", "200901210800", "200901240000", "3", "100", 
"US-LL2", "86713", "GRP_DM_FIRE", "Prescribed human induced underburn", , , "100", "201103160800", "201103170000", "3", "100", 
"US-LL2", "86714", "GRP_DM_FIRE", "Prescribed human induced underburn", , , "100", "201302180800", "201302190000", "3", "100", 
"US-LL2", "86716", "GRP_DM_FIRE", "Prescribed human induced underburn", , , "100", "201504210800", "201504220000", "3", "100", 
