"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_GENERAL", "DM_COMMENT", "DM_DATE", "DM_SURF", "DM_SURF_MEAS_UNC", "DM_DATE_START", "DM_DATE_END", 
"CA-Mer", "7022", "GRP_DM_GENERAL", "Other", "natural regeneration", , , , , , 
"CA-SJ1", "1983", "GRP_DM_GENERAL", "Other", , "1994", , , , , 
"CA-SJ2", "7074", "GRP_DM_GENERAL", "Other", , "2002", , , , , 
"CA-SJ3", "6230", "GRP_DM_GENERAL", "Other", , "1975", , , , , 
"CA-WP1", "1121", "GRP_DM_GENERAL", "Other", "natural regeneration", "1869", , , , , 
"US-Atq", "6080", "GRP_DM_GENERAL", "Other", "No known fire history, not glaciated in last ice age.  Mature vegetation, unmanaged, undisturbed", , , , , , 
"US-Brw", "5247", "GRP_DM_GENERAL", "Other", "No known fire history, not glaciated in last ice age.  Mature vegetation, unmanaged, undisturbed", , , , , , 
"US-Dk2", "298", "GRP_DM_GENERAL", "Other", "No known anthropogenic disturbance has occurred in this forest within 250 m of the tower. There was a private land (non-Duke Forest) clearcut in late Nov. 2002 as discussed in Stoy et al. (2006) AFM. The Dec. 2002 ice storm had minor impacts on the canopy (a few large branches fell), minor compared to Duke Pine, which sustained heavy canoy damage (McCarthy HR, Oren R, Kim HS, Johnsen KH, Maier C, Pritchard SG, Davis MA (2006) Interaction of ice storme and management practices on current carbon sequestration in forests with potential mitigation under future CO2 atmosphere. Journal of Geophysical Research 111 D151037).", , , , , , 
"US-Los", "1130", "GRP_DM_GENERAL", "Other", "No known disturbances.  1963 land cover map shows shrub wetland cover (consistent with present cover).  Shrubs are not that old (max age perhaps 20 years?).  Road building and ongoing water table manipulation are probably the most significant disturbances.  Data and dates are not available.", , , , , , 
"US-Me5", "3501", "GRP_DM_GENERAL", "Other", "site was not replanted", "1978", , , , , 
"US-MOz", "4334", "GRP_DM_GENERAL", "Other", , , , , , , 
"US-Ne2", "3652", "GRP_DM_GENERAL", "Other", "cattle-intrusion", "20031027", , , , , 
"US-ORv", "16130", "GRP_DM_GENERAL", "Other", "Wetland park was created and 2 experimental wetlands flooded. Vegetation in the western experimental wetland was planted with ndigenous species.", , "100", "100", "1993", "1994", 
"US-PFa", "2827", "GRP_DM_GENERAL", "Other", "WLEF should have no single disturbance listed - it represents a complex landscape that has been disturbed, but not at a single time or in a single way that represents the whole flux footprint.  See the following spreadsheet for approximate ages of the various stand types in the WLEF flux footprint. Note that Willow Creek and Lost Creek are representative of a significant subsets of the WLEF flux footprint.", , , , , , 
"US-SP1", "3675", "GRP_DM_GENERAL", "Other", "The site is on a 3 years understory fire cycle with the last fire in Jan 2006", "1936", , , , , 
"US-Syv", "3674", "GRP_DM_GENERAL", "Other", "undisturbed, old growth forest appoximately 350 years old", , , , , , 
