"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_PLANTING", "DM_DATE", "DM_COMMENT", "DM_SURF", "DM_SURF_MEAS_UNC", "DM_DATE_START", "DM_DATE_END", 
"CA-Ca1", "6192", "GRP_DM_PLANTING", "Planting live trees", , , , , , , 
"CA-Ca2", "2826", "GRP_DM_PLANTING", "Planting live trees", "1999", , , , , , 
"CA-Ca3", "7073", "GRP_DM_PLANTING", "Planting live trees", "1987", , , , , , 
"CA-TP1", "5378", "GRP_DM_PLANTING", "Planting live trees", "20020501", , , , , , 
"CA-TP2", "3671", "GRP_DM_PLANTING", "Planting live trees", "1989", , , , , , 
"CA-TP3", "7947", "GRP_DM_PLANTING", "Planting live trees", "1974", , , , , , 
"CA-TP4", "9644", "GRP_DM_PLANTING", "Planting live trees", "1939", "0.2", , , , , 
"US-ARM", "89299", "GRP_DM_PLANTING", "Sowing crop seeds", "20150915", "planted alfalfa", , , , , 
"US-ARM", "89305", "GRP_DM_PLANTING", "Sowing crop seeds", "20020928", "planted with Jaeger (hard red winter wheat), 90 lbs per acre", , , , , 
"US-ARM", "89313", "GRP_DM_PLANTING", "Sowing crop seeds", "20011002", "planted with Jaeger (hard red winter wheat), 90 lbs per acre", , , , , 
"US-ARM", "89318", "GRP_DM_PLANTING", "Sowing crop seeds", "20080928", "planted with wheat (Fuller), 90 lbs per acre", , , , , 
"US-ARM", "89321", "GRP_DM_PLANTING", "Sowing crop seeds", "20061114", "planted with wheat (Big Max), 100 lbs per acre", , , , , 
"US-ARM", "89325", "GRP_DM_PLANTING", "Sowing crop seeds", "20120609", "planted (cowpeas), 14.7 lbs per acre", , , , , 
"US-ARM", "89337", "GRP_DM_PLANTING", "Sowing crop seeds", "20030928", "planted with Jaeger (hard red winter wheat), 90 lbs per acre", , , , , 
"US-ARM", "89340", "GRP_DM_PLANTING", "Sowing crop seeds", "20060629", "planted with soybean, 123,500 seeds per acre", , , , , 
"US-ARM", "89351", "GRP_DM_PLANTING", "Sowing crop seeds", "20111025", "planted wheat (Everest), 80 lbs per acre", , , , , 
"US-ARM", "89374", "GRP_DM_PLANTING", "Sowing crop seeds", "20051026", "planted with Jagalene (winter wheat), 90 lbs per acre", , , , , 
"US-ARM", "89378", "GRP_DM_PLANTING", "Sowing crop seeds", "20100928", "planted canola, 9.4 lbs per acre", , , , , 
"US-ARM", "89382", "GRP_DM_PLANTING", "Sowing crop seeds", "20131025", "planted wheat (unknown type), 80 lbs per acre", , , , , 
"US-ARM", "89383", "GRP_DM_PLANTING", "Sowing crop seeds", "20090929", "planted wheat (Fuller), 100 lbs per acre", , , , , 
"US-ARM", "89394", "GRP_DM_PLANTING", "Sowing crop seeds", "20050331", "planted with corn (23500 sees per acre) 30 inch spacing", , , , , 
"US-ARM", "89406", "GRP_DM_PLANTING", "Sowing crop seeds", "20121010", "planted wheat (Everest), 75 lbs per acre", , , , , 
"US-ARM", "89412", "GRP_DM_PLANTING", "Sowing crop seeds", "20080428", "planted with corn (GH 113-day), 26,500 seeds per acre", , , , , 
"US-Dk3", "7946", "GRP_DM_PLANTING", "Planting live trees", "1983", "The site was clear cut and burned, and Pinus Taeda L. seedlings were planted", , , , , 
"US-IB1", "6225", "GRP_DM_PLANTING", "Sowing crop seeds", "20060501", "corn", , , , , 
"US-IB1", "7069", "GRP_DM_PLANTING", "Sowing crop seeds", "20050501", "soybeans", , , , , 
"US-IB1", "8786", "GRP_DM_PLANTING", "Sowing crop seeds", "20070501", "soybeans", , , , , 
"US-IB2", "296", "GRP_DM_PLANTING", "Sowing other seeds", "19890401", "taken out of cultivation and seeded to prairie vegetation", , , , , 
"US-Me3", "22146", "GRP_DM_PLANTING", "Planting live trees", "1987", , , , , , 
"US-Ne1", "282", "GRP_DM_PLANTING", "Sowing crop seeds", "20030515", "Maize Pioneer 33B51 BT; 34,000 pl/ac (77,000 pl ha-1 )starter fertilizer and Aztec 2.1G", , , , , 
"US-Ne1", "285", "GRP_DM_PLANTING", "Sowing crop seeds", "20070501", "31,817 seed rate  Pioneer 31N30 HX CRW RR2 Poncho250.", , , , , 
"US-Ne1", "2806", "GRP_DM_PLANTING", "Sowing crop seeds", "20040505", "maize Pioneer 33B51 BT; 34,000 pl/ac, ( 84,012 pl ha-1 )starter fertilizer and Poncho1250 seed treatment", , , , , 
"US-Ne1", "3658", "GRP_DM_PLANTING", "Sowing crop seeds", "20050504", "maize DeKalb 63-75 CRW/BT Poncho 250 treated corn 33,337 seeds/ac ( 82,374 pl ha-1 ),   Starter fertilizer 10-34-0 5 gal/ac; 33,337 seeds/ac ( 82,374 pl ha-1 ),  Poncho 250 treated,Starter fertilizer 10-34-0 5 gal/ac", , , , , 
"US-Ne1", "4486", "GRP_DM_PLANTING", "Sowing crop seeds", "20060505", "Maize Pioneer 33B53 CRW 113 CRM 2700 GDD. 33,124 seeds/ac ( 84,012 pl ha-1 ) 34,000 Target JD7820 RTK auto steer/ JD1770 16row planter new established rows", , , , , 
"US-Ne1", "4488", "GRP_DM_PLANTING", "Sowing crop seeds", "20070518", "Pioneer 33N12 and  DeKalb 715: 28,000 seeds per acre rate", , , , , 
"US-Ne1", "5356", "GRP_DM_PLANTING", "Sowing crop seeds", "20020510", "maize Pioneer 33P67 BT, 33P66 non-BT; maize Pioneer 33P67 BT, 33P66 non-BT", , , , , 
"US-Ne1", "6208", "GRP_DM_PLANTING", "Sowing crop seeds", "20030415", , , , , , 
"US-Ne1", "7026", "GRP_DM_PLANTING", "Sowing crop seeds", "20060504", "Maize Pioneer 33B53 CRW 113 CRM 2700 GDD. 33,124 seeds/ac ( 84,012 pl ha-1 ) 34,000 Target JD7820 RTK auto steer/ JD1770 16row planter new established rows", , , , , 
"US-Ne1", "7028", "GRP_DM_PLANTING", "Sowing crop seeds", "20040503", "maize Pioneer 33B51 BT; 34,000 pl/ac, ( 84,012 pl ha-1 )starter fertilizer and Poncho1250 seed treatment", , , , , 
"US-Ne1", "8767", "GRP_DM_PLANTING", "Sowing crop seeds", "20040504", "maize Pioneer 33B51 BT; 34,000 pl/ac, ( 84,012 pl ha-1 )starter fertilizer and Poncho1250 seed treatment", , , , , 
"US-Ne1", "8768", "GRP_DM_PLANTING", "Sowing crop seeds", "20050505", "maize DeKalb 63-75 CRW/BT Poncho 250 treated corn 33,337 seeds/ac ( 82,374 pl ha-1 ),   Starter fertilizer 10-34-0 5 gal/ac; 33,337 seeds/ac ( 82,374 pl ha-1 ),  Poncho 250 treated,Starter fertilizer 10-34-0 5 gal/ac", , , , , 
"US-Ne1", "8776", "GRP_DM_PLANTING", "Sowing crop seeds", "20010510", "maize Pioneer 33P67 BT, 33P66 non-BT (refuge), 36,000 seeds/acre ( 82,000 pl ha-1 )", , , , , 
"US-Ne1", "9616", "GRP_DM_PLANTING", "Sowing crop seeds", "20030620", "Maize Pioneer 33B51 BT; 34,000 pl/ac (77,000 pl ha-1 )starter fertilizer and Aztec 2.1G", , , , , 
"US-Ne2", "1112", "GRP_DM_PLANTING", "Sowing crop seeds", "20020520", "soybean Asgrow 2703 Roundup Ready 150,000 seed/ac (370,644 seed ha-1 ),", , , , , 
"US-Ne2", "2802", "GRP_DM_PLANTING", "Sowing crop seeds", "20070502", "31,866 seed/acre Pioneer 31N28 YG Poncho25 treated seed", , , , , 
