"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DM_WATER", "DM_DATE", "DM_COMMENT", "DM_SURF", "DM_SURF_MEAS_UNC", "DM_DATE_START", "DM_DATE_END", 
"US-Ne1", "263", "GRP_DM_WATER", "Irrigation", "20050826", , , , , , 
"US-Ne1", "266", "GRP_DM_WATER", "Irrigation", "20030528", , , , , , 
"US-Ne1", "279", "GRP_DM_WATER", "Irrigation", "20020715", , , , , , 
"US-Ne1", "284", "GRP_DM_WATER", "Irrigation", "20060728", , , , , , 
"US-Ne1", "287", "GRP_DM_WATER", "Irrigation", "20040724", , , , , , 
"US-Ne1", "291", "GRP_DM_WATER", "Irrigation", "20070831", , , , , , 
"US-Ne1", "1095", "GRP_DM_WATER", "Irrigation", "20030811", , , , , , 
"US-Ne1", "1106", "GRP_DM_WATER", "Irrigation", "20020725", , , , , , 
"US-Ne1", "1107", "GRP_DM_WATER", "Irrigation", "20060706", , , , , , 
"US-Ne1", "1109", "GRP_DM_WATER", "Irrigation", "20070722", , , , , , 
"US-Ne1", "1116", "GRP_DM_WATER", "Irrigation", "20010629", "61 Hrs CW rotation", , , , , 
"US-Ne1", "1949", "GRP_DM_WATER", "Irrigation", "20050629", , , , , , 
"US-Ne1", "1951", "GRP_DM_WATER", "Irrigation", "20060506", "Apply 0.31 in to incorporate fertilizer and herbicide. 38hr CW.", , , , , 
"US-Ne1", "1958", "GRP_DM_WATER", "Irrigation", "20020721", , , , , , 
"US-Ne1", "1959", "GRP_DM_WATER", "Irrigation", "20020807", , , , , , 
"US-Ne1", "1962", "GRP_DM_WATER", "Irrigation", "20070502", , , , , , 
"US-Ne1", "1963", "GRP_DM_WATER", "Irrigation", "20040823", , , , , , 
"US-Ne1", "1964", "GRP_DM_WATER", "Irrigation", "20070802", , , , , , 
"US-Ne1", "1967", "GRP_DM_WATER", "Irrigation", "20010722", "3744 kWh CW", , , , , 
"US-Ne1", "2792", "GRP_DM_WATER", "Irrigation", "20050625", , , , , , 
"US-Ne1", "2793", "GRP_DM_WATER", "Irrigation", "20030703", , , , , , 
"US-Ne1", "2794", "GRP_DM_WATER", "Irrigation", "20030715", , , , , , 
"US-Ne1", "2804", "GRP_DM_WATER", "Irrigation", "20020731", , , , , , 
"US-Ne1", "2805", "GRP_DM_WATER", "Irrigation", "20060801", , , , , , 
"US-Ne1", "2807", "GRP_DM_WATER", "Irrigation", "20040816", , , , , , 
"US-Ne1", "2809", "GRP_DM_WATER", "Irrigation", "20070729", , , , , , 
"US-Ne1", "2813", "GRP_DM_WATER", "Irrigation", "20010803", "3648kWhr, 89.4 hr CW  rotation", , , , , 
"US-Ne1", "3647", "GRP_DM_WATER", "Irrigation", "20030724", , , , , , 
"US-Ne1", "3648", "GRP_DM_WATER", "Irrigation", "20030818", , , , , , 
"US-Ne1", "3657", "GRP_DM_WATER", "Irrigation", "20020628", , , , , , 
