"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOI", "DOI_CITATION", "DOI_DATAPRODUCT", 
"AR-TF1", "87122", "GRP_DOI", "10.17190/AMF/1543389", "Lars Kutzbach (2016-2018) AmeriFlux AR-TF1 Rio Moat bog, 10.17190/AMF/1543389", "AmeriFlux", 
"AR-TF2", "87126", "GRP_DOI", "10.17190/AMF/1543388", "Lars Kutzbach (2016-2018) AmeriFlux AR-TF2 Rio Pipo bog, 10.17190/AMF/1543388", "AmeriFlux", 
"BR-CST", "87986", "GRP_DOI", "10.17190/AMF/1562386", "Antonio Antonino (2014-) AmeriFlux BR-CST Caatinga Serra Talhada, 10.17190/AMF/1562386", "AmeriFlux", 
"BR-Sa1", "15730", "GRP_DOI", "10.17190/AMF/1245994", "Scott Saleska (2002-) AmeriFlux BR-Sa1 Santarem-Km67-Primary Forest, 10.17190/AMF/1245994", "AmeriFlux", 
"BR-Sa3", "15697", "GRP_DOI", "10.17190/AMF/1245995", "Mike Goulden (2000-2003) AmeriFlux BR-Sa3 Santarem-Km83-Logged Forest, 10.17190/AMF/1245995", "AmeriFlux", 
"CA-ARB", "85253", "GRP_DOI", "10.17190/AMF/1480319", "Aaron Todd, Elyn Humphreys (2010-) AmeriFlux CA-ARB Attawapiskat River Bog, 10.17190/AMF/1480319", "AmeriFlux", 
"CA-ARF", "85249", "GRP_DOI", "10.17190/AMF/1480318", "Aaron Todd, Elyn Humphreys (2010-) AmeriFlux CA-ARF Attawapiskat River Fen, 10.17190/AMF/1480318", "AmeriFlux", 
"CA-Ca1", "85010", "GRP_DOI", "10.17190/AMF/1480300", "T. Andrew Black (1997-) AmeriFlux CA-Ca1 British Columbia - 1949 Douglas-fir stand, 10.17190/AMF/1480300", "AmeriFlux", 
"CA-Ca2", "85009", "GRP_DOI", "10.17190/AMF/1480301", "T. Andrew Black (2000-) AmeriFlux CA-Ca2 British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000), 10.17190/AMF/1480301", "AmeriFlux", 
"CA-Ca3", "85012", "GRP_DOI", "10.17190/AMF/1480302", "T. Andrew Black (2001-) AmeriFlux CA-Ca3 British Columbia - Pole sapling Douglas-fir stand, 10.17190/AMF/1480302", "AmeriFlux", 
"CA-Cbo", "86008", "GRP_DOI", "10.17190/AMF/1498755", "Ralf Staebler (1995-) AmeriFlux CA-Cbo Ontario - Mixed Deciduous, Borden Forest Site, 10.17190/AMF/1498755", "AmeriFlux", 
"CA-Cha", "81565", "GRP_DOI", "10.17190/AMF/1436317", "Charles Bourque (2004-2005) AmeriFlux CA-Cha New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3), 10.17190/AMF/1436317", "AmeriFlux", 
"CA-DBB", "87120", "GRP_DOI", "10.17190/AMF/1543378", "Andreas Christen, Sara Knox (2014-) AmeriFlux CA-DBB Delta Burns Bog, 10.17190/AMF/1543378", "AmeriFlux", 
"CA-Gro", "15674", "GRP_DOI", "10.17190/AMF/1245996", "Harry McCaughey (2003-) AmeriFlux CA-Gro Ontario - Groundhog River, Boreal Mixedwood Forest, 10.17190/AMF/1245996", "AmeriFlux", 
"CA-Let", "81566", "GRP_DOI", "10.17190/AMF/1436318", "Lawrence B. Flanagan (1998-) AmeriFlux CA-Let Alberta - Mixed Grass Prairie, 10.17190/AMF/1436318", "AmeriFlux", 
"CA-Man", "15759", "GRP_DOI", "10.17190/AMF/1245997", "Brian Amiro (1994-2008) AmeriFlux CA-Man Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area), 10.17190/AMF/1245997", "AmeriFlux", 
"CA-MR3", "85256", "GRP_DOI", "10.17190/AMF/1480320", "John Gamon (2012-) AmeriFlux CA-MR3 Mattheis Ranch - E3 South, 10.17190/AMF/1480320", "AmeriFlux", 
