"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "DOM_DIST_MGMT", 
"BR-CMT", "31044", "GRP_DOM_DIST_MGMT", "Agriculture", 
"BR-CST", "86510", "GRP_DOM_DIST_MGMT", "Drought", 
"BR-Cui", "79269", "GRP_DOM_DIST_MGMT", "Grazing", 
"BR-Cui", "79270", "GRP_DOM_DIST_MGMT", "Drought", 
"BR-Ma2", "22217", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"BR-Npw", "86492", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"CA-ARB", "31179", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-ARF", "31159", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-Ca1", "23603", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-Ca2", "23586", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-Ca3", "23568", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-DBB", "30782", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"CA-DL1", "12615", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-DL2", "12636", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-ER1", "81331", "GRP_DOM_DIST_MGMT", "Agriculture", 
"CA-Gro", "5919", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-HPC", "81602", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-KLP", "31228", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-Let", "10199", "GRP_DOM_DIST_MGMT", "Grazing", 
"CA-LuM", "15415", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"CA-MA1", "22313", "GRP_DOM_DIST_MGMT", "Agriculture", 
"CA-MA2", "22291", "GRP_DOM_DIST_MGMT", "Agriculture", 
"CA-MA3", "22270", "GRP_DOM_DIST_MGMT", "Grazing", 
"CA-Man", "5079", "GRP_DOM_DIST_MGMT", "Fire", 
"CA-Mer", "33722", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-MR3", "79342", "GRP_DOM_DIST_MGMT", "Grazing", 
"CA-MR5", "79361", "GRP_DOM_DIST_MGMT", "Grazing", 
"CA-Oas", "29682", "GRP_DOM_DIST_MGMT", "Drought", 
"CA-Oas", "29683", "GRP_DOM_DIST_MGMT", "Pests and disease", 
"CA-Obs", "29686", "GRP_DOM_DIST_MGMT", "Drought", 
"CA-Ojp", "9357", "GRP_DOM_DIST_MGMT", "Fire", 
"CA-Qfo", "2518", "GRP_DOM_DIST_MGMT", "Fire", 
"CA-RPn", "85970", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-RPp", "85992", "GRP_DOM_DIST_MGMT", "Hydrologic event", 
"CA-RPp", "85993", "GRP_DOM_DIST_MGMT", "Land cover change", 
"CA-RPp", "85996", "GRP_DOM_DIST_MGMT", "Agriculture", 
"CA-RPp", "86004", "GRP_DOM_DIST_MGMT", "Grazing", 
"CA-SCB", "85742", "GRP_DOM_DIST_MGMT", "Undisturbed", 
"CA-SCC", "30582", "GRP_DOM_DIST_MGMT", "Fire", 
"CA-SCC", "30583", "GRP_DOM_DIST_MGMT", "Land cover change", 
"CA-SJ1", "2520", "GRP_DOM_DIST_MGMT", "Forestry", 
"CA-SJ1", "5083", "GRP_DOM_DIST_MGMT", "Fire", 
"CA-SJ2", "3362", "GRP_DOM_DIST_MGMT", "Forestry", 
