"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "FLUX_MEASUREMENTS_METHOD", "FLUX_MEASUREMENTS_VARIABLE", "FLUX_MEASUREMENTS_DATE_START", "FLUX_MEASUREMENTS_DATE_END", "FLUX_MEASUREMENTS_OPERATIONS", "FLUX_MEASUREMENTS_COMMENT", 
"AR-TF1", "86255", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201601311800", "201805171700", "Continuous operation", , 
"AR-TF1", "86258", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201601311800", "201805171700", "Continuous operation", , 
"AR-TF1", "86263", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201601311800", "201805171700", "Continuous operation", , 
"AR-TF2", "86273", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201602081500", "201804171500", "Continuous operation", , 
"AR-TF2", "86280", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201602081500", "201804171500", "Continuous operation", , 
"AR-TF2", "86287", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201602081500", "201804171500", "Continuous operation", , 
"BR-CMT", "31045", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201509171830", , "Continuous operation", , 
"BR-CMT", "31046", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201509171830", , "Continuous operation", , 
"BR-CMT", "31047", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201509171830", , "Continuous operation", , 
"BR-CST", "86511", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201406141000", , "Continuous operation", , 
"BR-CST", "86512", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201406141000", , "Continuous operation", , 
"BR-CST", "86513", "GRP_FLUX_MEASUREMENTS", "Other", "Other", "201406141000", , "Continuous operation", "Meteorological Variables", 
"BR-CST", "86514", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201406141000", , "Continuous operation", , 
"BR-Cui", "79271", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "20150320", , "Continuous operation", , 
"BR-Cui", "79272", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "20150320", , "Continuous operation", , 
"BR-Ma2", "22218", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "1999", , "Continuous operation", , 
"BR-Ma2", "22219", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "1999", , "Continuous operation", , 
"BR-Npw", "86486", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "201312051030", , "Continuous operation", , 
"BR-Npw", "86501", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H", "201312051030", , "Continuous operation", , 
"BR-Npw", "86503", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CO2", "201312051030", , "Continuous operation", , 
"BR-Npw", "89418", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "CH4", "201312051030", "201706291200", "Continuous operation", "The gap-filled CH4 data archived on AmeriFlux was performed using the random forest method as detailed in Kim et al., 2019, doi: 10.1111/gcb.14845. Gap-filled CH4 data using MDS previously presented in Dalmagro et al., 2019, doi: 10.1111/gcb.14615 are available at https://dataverse.scholarsportal.info/dataverse/UBC_EH", 
"BR-PRS", "88110", "GRP_FLUX_MEASUREMENTS", "Eddy Covariance", "H2O", "200306", "200408", "Continuous operation", , 
