"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_NAME", 
"AR-TF1", "23001056", "GRP_HEADER", "Rio Moat bog", 
"AR-TF2", "23001055", "GRP_HEADER", "Rio Pipo bog", 
"BR-CMT", "23000713", "GRP_HEADER", "Capuaba farm Mato Grosso", 
"BR-CST", "23001064", "GRP_HEADER", "Caatinga Serra Talhada", 
"BR-Cui", "23000941", "GRP_HEADER", "Micrometeorological studies project in Amazonian mangroves", 
"BR-Ma2", "23000031", "GRP_HEADER", "Manaus - ZF2 K34", 
"BR-Npw", "23001063", "GRP_HEADER", "Northern Pantanal Wetland", 
"BR-PRS", "23001110", "GRP_HEADER", "Paraíso do Sul", 
"BR-Sa1", "23000034", "GRP_HEADER", "Santarem-Km67-Primary Forest", 
"BR-Sa3", "23000036", "GRP_HEADER", "Santarem-Km83-Logged Forest", 
"CA-ARB", "23000719", "GRP_HEADER", "Attawapiskat River Bog", 
"CA-ARF", "23000718", "GRP_HEADER", "Attawapiskat River Fen", 
"CA-Ca1", "23000051", "GRP_HEADER", "British Columbia - 1949 Douglas-fir stand", 
"CA-Ca2", "23000052", "GRP_HEADER", "British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000)", 
"CA-Ca3", "23000053", "GRP_HEADER", "British Columbia - Pole sapling Douglas-fir stand", 
"CA-Cbo", "23000054", "GRP_HEADER", "Ontario - Mixed Deciduous, Borden Forest Site", 
"CA-CF1", "23000703", "GRP_HEADER", "Churchill Fen Site 1", 
"CA-CF2", "23000704", "GRP_HEADER", "Churchill Fen Site 2", 
"CA-Cha", "23000055", "GRP_HEADER", "New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3)", 
"CA-DBB", "23000706", "GRP_HEADER", "Delta Burns Bog", 
"CA-DL1", "23000534", "GRP_HEADER", "Daring Lake - Mixed Tundra", 
"CA-DL2", "23000535", "GRP_HEADER", "Daring Lake - Fen", 
"CA-ER1", "23000966", "GRP_HEADER", "Elora Research Station", 
"CA-Fen", "23000078", "GRP_HEADER", "Saskatchewan - Western Boreal, wetland", 
"CA-Gro", "23000056", "GRP_HEADER", "Ontario - Groundhog River, Boreal Mixedwood Forest", 
"CA-HPC", "23000971", "GRP_HEADER", "Havikpak Creek", 
"CA-JMW", "23000854", "GRP_HEADER", "Ontario - Juvenile Mixedwood", 
"CA-KLP", "23000720", "GRP_HEADER", "Kinoje Lake Peatland", 
"CA-Let", "23000057", "GRP_HEADER", "Alberta - Mixed Grass Prairie", 
"CA-LuM", "23000665", "GRP_HEADER", "Luther Marsh Wildlife Management Area", 
"CA-MA1", "23000671", "GRP_HEADER", "Manitoba Agricultural Site 1", 
"CA-MA2", "23000672", "GRP_HEADER", "Manitoba Agricultural Site 2", 
"CA-MA3", "23000673", "GRP_HEADER", "Manitoba Agricultural Site 3", 
"CA-Man", "23000058", "GRP_HEADER", "Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)", 
"CA-Mer", "23000059", "GRP_HEADER", "Ontario - Eastern Peatland, Mer Bleue", 
"CA-MR3", "23000945", "GRP_HEADER", "Mattheis Ranch - E3 South", 
"CA-MR5", "23000946", "GRP_HEADER", "Mattheis Ranch - E5 North", 
