"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "HEIGHTC_COMMENT", "HEIGHTC", "HEIGHTC_STATISTIC", "HEIGHTC_STATISTIC_NUMBER", "HEIGHTC_APPROACH", "HEIGHTC_DATE", "HEIGHTC_DATE_UNC", "HEIGHTC_STATISTIC_TYPE", "HEIGHTC_VEGTYPE", "HEIGHTC_SPATIAL_VARIABILITY", "HEIGHTC_SPATIAL_REP_NUMBER", 
"BR-Ma2", "24202", "GRP_HEIGHTC", "Canopy height [m]	35
", "35", , , , , , , , , , 
"BR-Sa1", "89131", "GRP_HEIGHTC", "Rice, A.H., E.H. Pyle, S.R. Saleska, L. Hutyra, M. Palace, M. Keller, P.B. de Camargo, K. Portilho, D.F. Marques, and S.C. Wofsy, Carbon balance and vegetation dynamics in an old-growth Amazonian forest, Ecological Applications, 14 (4), S55, 2004.", "40", "Mean", "100", "Samples across four 50mx100m transects", "199907010000", "30", , , , , 
"BR-Sa1", "89943", "GRP_HEIGHTC", "Alves, L. et al. (unpublished biometry data) and Longo, M. et al. (unpublished allometric equation).  Maximum value is 45.626 using Feldspausch et al. (2012) allometric equations for E.C. Amazonia", "57.847", "Maximum", "2445", "Biometry inventories across four 50mx100m transects and allometric equations", "20120101", "60", , , , , 
"BR-Sa1", "89944", "GRP_HEIGHTC", "*Prefered method* Ground-based LiDAR surveys.  Canopy top calculated by using a 99.5th quantile threshold, then the max and mean heights were calculated for each 20 m section from that canopy top object. Smith M., Stark S. et al., 2019, Variations in Amazonian forest canopy structure and light environments across environmental and disturbance gradients [B31D-08] presented at 2019 Fall Meeting, AGU, San Francisco, CA, 9-13 Dec.", "25.155", "Mean", "200", "Ground-based LiDAR samples (200*20m) across four 1km transects (Smith, M. et al. 2019)", "20120821", "10", , , , , 
"BR-Sa1", "89945", "GRP_HEIGHTC", "*Prefered method* Ground-based LiDAR surveys.  Canopy top calculated by using a 99.5th quantile threshold, then the max and mean heights were calculated for each 20 m section from that canopy top object. Smith M., Stark S. et al., 2019, Variations in Amazonian forest canopy structure and light environments across environmental and disturbance gradients [B31D-08] presented at 2019 Fall Meeting, AGU, San Francisco, CA, 9-13 Dec.", "34.977", "99th Percentile", "200", "Ground-based LiDAR samples (200*20m) across four 1km transects (Smith, M. et al. 2019)", "20120821", "10", , , , , 
"BR-Sa1", "89946", "GRP_HEIGHTC", "Described as height of emergent trees, see: Rice, A.H., E.H. Pyle, S.R. Saleska, L. Hutyra, M. Palace, M. Keller, P.B. de Camargo, K. Portilho, D.F. Marques, and S.C. Wofsy, Carbon balance and vegetation dynamics in an old-growth Amazonian forest, Ecological Applications, 14 (4), S55, 2004.", "55", "Maximum", "800", "Biometry inventories across four 50mx100m transects", "19990701", "30", , , , , 
"BR-Sa1", "89947", "GRP_HEIGHTC", "Alves, L. et al. (unpublished biometry data) and Longo, M. et al. (unpublished allometric equation).  Std value is 8.66 using Feldspausch et al. (2012) allometric equations for E.C. Amazonia", "9.094", "Standard Deviation", "2445", "Biometry inventories across four 50mx100m transects and allometric equations", "20120101", "60", , , , , 
"BR-Sa1", "89948", "GRP_HEIGHTC", "*Prefered method* Ground-based LiDAR surveys.  Canopy top calculated by using a 99.5th quantile threshold, then the max and mean heights were calculated for each 20 m section from that canopy top object. Smith M., Stark S. et al., 2019, Variations in Amazonian forest canopy structure and light environments across environmental and disturbance gradients [B31D-08] presented at 2019 Fall Meeting, AGU, San Francisco, CA, 9-13 Dec.", "7.5493", "Standard Deviation", "200", "Ground-based LiDAR samples (200*20m) across four 1km transects (Smith, M. et al. 2019)", "20120821", "10", , , , , 
"BR-Sa1", "89949", "GRP_HEIGHTC", "Alves, L. et al. (unpublished biometry data) and Longo, M. et al. (unpublished allometric equation).  Average value is 20.598m using Feldspausch et al. (2012) allometric equations for E.C. Amazonia", "20.926", "Mean", "2445", "Biometry inventories across four 50mx100m transects and allometric equations", "20120101", "60", , , , , 
"BR-Sa1", "89950", "GRP_HEIGHTC", "*Prefered method* Ground-based LiDAR surveys. Smith M., Stark S. et al., 2019, Variations in Amazonian forest canopy structure and light environments across environmental and disturbance gradients [B31D-08] presented at 2019 Fall Meeting, AGU, San Francisco, CA, 9-13 Dec.", "44.00", "Maximum", "200", "Ground-based LiDAR samples (200*20m) across four 1km transects (Smith, M. et al. 2019)", "20120821", "10", , , , , 
"BR-Sa3", "89121", "GRP_HEIGHTC", "30m until Fall 2001 when site was selective logged. 25m after selective logging. See Miller et al. 2011 PNAS: Reduced impact logging minimally alters tropical
rainforest carbon and energy exchange", "30", "Expert estimate", , , "2000", , , , , , 
"BR-Sa3", "89122", "GRP_HEIGHTC", "30m until Fall 2001 when site was selective logged. 25m after selective logging. See Miller et al. 2011 PNAS: Reduced impact logging minimally alters tropical
rainforest carbon and energy exchange", "25", "Expert estimate", , , "2002", , , , , , 
"CA-Ca1", "25445", "GRP_HEIGHTC", "Gilbert Ethier, personal communications in Morgenstern et al., 2004.", "32.5", , , , , , , , , , 
"CA-Ca2", "27261", "GRP_HEIGHTC", "logical esimate for that time", "1", , , , "2000", , , , , , 
"CA-Ca3", "27270", "GRP_HEIGHTC", "NFI contribution to CCP DIS", "7.57", , , , "20021105", , , , , , 
"CA-Gro", "89942", "GRP_HEIGHTC", "rounded average of all sectors from Table 3 in McCaughey et al. 2006 AFM", "31.0", "Mean", , , "2003", , , , , , 
"CA-Let", "25320", "GRP_HEIGHTC", "measured followed Fluxnet-Canada protocol", "0.185", , , , "20010808", , , , , , 
"CA-Let", "25321", "GRP_HEIGHTC", "measured followed Fluxnet-Canada protocol", "0.344", , , , "20020725", , , , , , 
"CA-Let", "25689", "GRP_HEIGHTC", "measured followed Fluxnet-Canada protocol", "0.279", , , , "20040721", , , , , , 
"CA-Let", "25690", "GRP_HEIGHTC", "measured followed Fluxnet-Canada protocol", "0.365", , , , "20060804", , , , , , 
"CA-Let", "25819", "GRP_HEIGHTC", "measured followed Fluxnet-Canada protocol", "0.39", , , , "20030710", , , , , , 
"CA-Let", "26583", "GRP_HEIGHTC", "measured followed Fluxnet-Canada protocol", "0.336", , , , "20050720", , , , , , 
"CA-Man", "25227", "GRP_HEIGHTC", "Mean diameter at breast height (cm) 8.5; Stand density (#/ha) 5450; Gower et al. (1997, J Geophy Res 102, 29029-29041)", "9.1", , , , "1994", , , , , , 
"CA-Man", "88188", "GRP_HEIGHTC", "Mean diameter at breast height (cm) 8.5; Stand density (#/ha) 5450; Gower et al. (1997, J Geophy Res 102, 29029-29041)", "9.1", "Mean", , , "1994", , , , , , 
"CA-Mer", "26459", "GRP_HEIGHTC", , "0.25", , , , , , , , , , 
"CA-NS1", "89123", "GRP_HEIGHTC", "(range 14-18) Black Spruce. From Goulden et al. 2006 Global Change Biology: An eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange", "16", "Expert estimate", , , "2003", , , , , , 
"CA-NS2", "89124", "GRP_HEIGHTC", "(range 12-20) Black Spruce. From Goulden et al. 2006 Global Change Biology: An eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange", "16", "Expert estimate", , , "2003", , , , , , 
