"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "IGBP", "IGBP_COMMENT", "IGBP_DATE_START", 
"AR-TF1", "86271", "GRP_IGBP", "WET", "Astelia pumila and Donatia fascicularis dominated. Also: Caltha dioneifolia, C. appendiculata, Carex antarctica, Drosera uniflora, Empetrum rubrum, Tetroncium magellanicum} and stunted Nothofagus spp.", , 
"AR-TF2", "86285", "GRP_IGBP", "WET", "Sphagnum magellanicum dominated peatland. Also: Empetrum rubrum, Marsippospermum grandiflorum,Tetroncium magellanicum, Gaultheria antarctica, Nothofagus antarctica, Carex magellanica, Rostkovia magellanica, Nanodea muscosa and Pernettya pumila", , 
"BR-CMT", "31048", "GRP_IGBP", "CRO", , , 
"BR-CST", "86515", "GRP_IGBP", "DNF", , , 
"BR-Cui", "79273", "GRP_IGBP", "WET", "Predominance of mangrove vegetation, occurring the genera Avicennia and Rizophora.", , 
"BR-Ma2", "22220", "GRP_IGBP", "EBF", , "1999", 
"BR-Npw", "86493", "GRP_IGBP", "WSA", "The vegetation is typical of the successional forests of the region, with an average height of 6 m, dominated by Combretum lanceolatum (Combretaceae).", "201312051030", 
"BR-PRS", "88104", "GRP_IGBP", "CRO", , , 
"BR-Sa1", "56", "GRP_IGBP", "EBF", , , 
"BR-Sa3", "6000", "GRP_IGBP", "EBF", , , 
"CA-ARB", "31184", "GRP_IGBP", "WET", , , 
"CA-ARF", "31164", "GRP_IGBP", "WET", , , 
"CA-Ca1", "23605", "GRP_IGBP", "ENF", "57-year-old Douglas-fir with 17% red cedar and 3% western hemlock", , 
"CA-Ca2", "23588", "GRP_IGBP", "ENF", "8-year-old Douglas-fir with (93%)  and western red cedar plug stock (7%)", , 
"CA-Ca3", "23570", "GRP_IGBP", "ENF", "18-yr-old Douglas-fir stand (75%), 21% western red cedar, 4% grand-fir", , 
"CA-Cbo", "8", "GRP_IGBP", "DBF", , , 
"CA-CF1", "30742", "GRP_IGBP", "WET", "Freshwater Fen; Sedge dominated", , 
"CA-CF2", "30757", "GRP_IGBP", "WET", "Freshwater Fen; Sedge dominated", , 
"CA-Cha", "8482", "GRP_IGBP", "MF", , , 
"CA-DBB", "30928", "GRP_IGBP", "WET", "Restored and rewetted raised bog ecosystem dominated by Sphagnum spp. and Rhynchospora alba", , 
"CA-DL1", "12617", "GRP_IGBP", "OSH", , , 
"CA-DL2", "12638", "GRP_IGBP", "WET", , , 
"CA-ER1", "81343", "GRP_IGBP", "CRO", , "1960", 
"CA-Fen", "1686", "GRP_IGBP", "WET", , , 
"CA-Gro", "2504", "GRP_IGBP", "MF", "Boreal mixedwood (trembling aspen, black spruce, white spruce, white birch, and balsam fir)", , 
"CA-HPC", "81584", "GRP_IGBP", "ENF", "sparse needleleaf vegetation > 2m", "201304301700", 
"CA-KLP", "31232", "GRP_IGBP", "WET", , , 
"CA-Let", "7018", "GRP_IGBP", "GRA", "The site is classified as moist-mixed grassland (Environment Canada, 2000) and occurs in northern portion of the Great Plains, which is second largest ecozone  in North America.", , 
"CA-LuM", "15417", "GRP_IGBP", "WET", "shrubs, mosses, grasses", , 
"CA-MA1", "22317", "GRP_IGBP", "CRO", "This field had been in perennial forages (grass with small amount of legume) for several decades.  Field size = 39 ha.  In 2008, the producer tilled the land so that part of the summer had perennial forage, and the remainder was fallow.  In 2009, oats were planted.  In 2010, canola was planted.  In 2011, oats were planted. See Table 3 in Taylor et al (2013) describing site management practices.", "20080801", 
"CA-MA2", "22295", "GRP_IGBP", "CRO", , "20090828", 
"CA-MA2", "22296", "GRP_IGBP", "GRA", "This field had been in perennial forages (grass with small amount of legume) for several decades.  Field size = 60 ha.  In 2009, the producer tilled the land so that part of the summer had perennial forage, and the remainder was fallow (see effect outlined by Fraser and Amiro 2013).  In 2010, oats were planted.  In 2011, the field was too wet to plant and remained fallow.  Cattle were in the field for a brief period in June 2011to feed on weeds.  See Table 2 in Taylor et al (2013) describing site management practices.", "1980", 
"CA-MA3", "22274", "GRP_IGBP", "GRA", "This field has been in perennial forages (grass (timothy, fescue, brome) with small amount of legume) for several decades.  Field size = 40 ha.  Hay was harvested once each year. Cattle were placed in the field each autumn to graze.  See Table 1 in Taylor et al (2013) describing site management practices.", "1980", 
"CA-Man", "4501", "GRP_IGBP", "ENF", "naturally regenerated  forest stand after wild fire", , 
"CA-Mer", "261", "GRP_IGBP", "WET", "Fluxnet Canada for details", , 
"CA-MR3", "79345", "GRP_IGBP", "GRA", , "201205", 
"CA-MR5", "79364", "GRP_IGBP", "GRA", , "201205", 
"CA-Na1", "5157", "GRP_IGBP", "ENF", , , 
"CA-Na2", "1685", "GRP_IGBP", "MF", , , 
"CA-NS1", "1738", "GRP_IGBP", "ENF", , , 
"CA-NS2", "1739", "GRP_IGBP", "ENF", , , 
"CA-NS3", "882", "GRP_IGBP", "ENF", , , 
"CA-NS4", "5158", "GRP_IGBP", "ENF", , , 
"CA-NS5", "5159", "GRP_IGBP", "ENF", , , 
"CA-NS6", "4251", "GRP_IGBP", "OSH", , , 
"CA-NS7", "6825", "GRP_IGBP", "OSH", , , 
"CA-NS8", "7639", "GRP_IGBP", "ENF", , , 
"CA-Oas", "7020", "GRP_IGBP", "DBF", "mature even-aged aspen with a few balsam poplar, thick hazel understory", , 
