"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "INST_MODEL", "INST_SN", "INST_DATE", "INST_DATE_UNC", "INST_COMMENT", "INST_SAMPLING_INT", "INST_AVERAGING_INT", "INST_HEAT", "INST_SHIELDING", "INST_ASPIRATION", "INST_SA_OFFSET_NORTH", "INST_FIRMWARE", "INST_SA_WIND_FORMAT", "INST_GA_CP_FILTERS", "INST_GA_CP_TUBE_LENGTH", "INST_GA_CP_TUBE_IN_DIAM", "INST_GA_CP_TUBE_MAT", "INST_GA_CP_TUBE_THERM", "INST_GA_CP_FLOW_RATE", "INST_GA_CP_MFC", "INST_GA_OP_AZIM_MOUNT", "INST_GA_OP_VERT_MOUNT", 
"US-DFK", "88069", "GRP_INST", "LEAF_WET-FrequencyDomain", "22121-66", "201812141300", "0", "Decagon LWS-L15-PT", "5", "5", "Unheated", "None", "None", "180", , , , , , , , , , , , 
"US-DFK", "88070", "GRP_INST", "RAD-PAR Quantum", "31982-61", "201812141300", "0", "LI-COR", "5", "5", "Unheated", "None", "None", "180", , , , , , , , , , , , 
"US-DFK", "88071", "GRP_INST", "GA_OP_SA-Campbell IRGASON", "27350-1", "201812141300", "0", , "0.1", "0.1", "Unheated", "None", "None", "306", "v1.03.01", "U, V, W", , , , , , , , , , 
"US-DFK", "88072", "GRP_INST", "RH-Other", "22280-3", "201812141300", "0", "Vaisala Temperature/RH", "5", "5", "Unheated", "Radiation", "None", "90", , , , , , , , , , , , 
"US-DFK", "88073", "GRP_INST", "RAD-Pyrrad-SW+LW", "26003-15", "201812141300", "0", "Kipp & Zonen 4-Component", "5", "5", "Heated", "None", "None", "180", , , , , , , , , , , , 
"US-ICh", "88029", "GRP_INST", "SWC-FDR", "order number 216558", "201701010000", , "CS616", "1", "1800", , , , , , , , , , , , , , , , 
"US-ICh", "88030", "GRP_INST", "RAD-SW Pyran Class1", "070013up 070013down", "201701010000", , "CMA6", "1", "1800", "Unheated", , , , , , , , , , , , , , , 
"US-ICh", "88031", "GRP_INST", "WIND-CupAn", "G4863", "201701010000", , "014A MetOne", "1", "1800", , , , , , , , , , , , , , , , 
"US-ICh", "88032", "GRP_INST", "SA-Campbell CSAT-3", "1420", "201701010000", , "Height is 3.0m", "0.1", "1800", , , , "112", "v4", "U, V, W", , , , , , , , , , 
"US-ICh", "88033", "GRP_INST", "SNOW-Acoustic", "1115", "201701010000", , "SR50-A", "180", "1800", , , , , , , , , , , , , , , , 
"US-ICh", "88034", "GRP_INST", "TEMP-ElectResis", "C1710020", "201701010000", , "HMP45C", "1", "1800", , "Radiation", "Ventilation", , , , , , , , , , , , , 
"US-ICh", "88035", "GRP_INST", "GA_CP-LI-COR LI-7200RS", "810", "201701010000", , "Uses AIU-1701 and Flow Module (I assume has MFC)", "0.1", "1800", "Unheated", , , , "8.5.0", , "inlet screen and .5micron swageloc filter near inlet", "100", "53", "Other", "Insulated", "15", "Yes", , , 
"US-ICh", "88036", "GRP_INST", "PRES-ElectBar", "PX503", "201701010000", , "located in AIU-1701", "0.1", , , , , , , , , , , , , , , , , 
"US-ICh", "88037", "GRP_INST", "TEMP-TCouple", "ICh1, Ich2", "201701010000", , "Soil TCAV", "1", "1800", , , , , , , , , , , , , , , , 
"US-ICh", "88038", "GRP_INST", "RAIN-TipBucGauge", "42345-507", "201701010000", , , "1", "1800", , , , , , , , , , , , , , , , 
"US-ICh", "88039", "GRP_INST", "RAD-Net radiometer", "72449", "201701010000", , "NRLite", "1", "1800", "Unheated", , , , , , , , , , , , , , , 
"US-ICh", "88041", "GRP_INST", "SOIL_H-Plate_AUTO", "001125, 001144, 001112, 001123", "201701010000", , "SHF-SC", "1", "1800", , , , , , , , , , , , , , , , 
"US-ICh", "88042", "GRP_INST", "RH-ElecRes", "C1710020", "201701010000", , "HMP45C", "1", "1800", , "Radiation", "Ventilation", , , , , , , , , , , , , 
"US-MtB", "88024", "GRP_INST", "TEMP-ElectResis", "MtB_HMP1", "2009", , , "1", "1800", , "Radiation", , "180", , , , , , , , , , , , 
"US-MtB", "88025", "GRP_INST", "GA_OP-LI-COR LI-7500", "MtB_7500", "2009", , , "0.1", "1800", , , , "290", , , , , , , , , , "0", "45", 
"US-MtB", "88026", "GRP_INST", "SA-Campbell CSAT-3", "MtB_CSAT", "2009", , , "0.1", "1800", , , , "290", , "U, V, W", , , , , , , , , , 
"US-MtB", "88027", "GRP_INST", "RAD-PAR Quantum", "MtB_190SZ", "2009", , , "1", "1800", , , , "180", , , , , , , , , , , , 
"US-MtB", "88028", "GRP_INST", "RAD-Pyrrad-SW+LW", "MtB_CNR1", "2009", , , "1", "1800", , , , "180", , , , , , , , , , , , 
