"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "LAI_TYPE", "LAI_COMMENT", "LAI_TOT", "LAI_CLUMP", "LAI_METHOD", "LAI_APPROACH", "LAI_DATE", "LAI_U", "LAI_TOT_SPATIAL_VARIABILITY", "LAI_O_DEC", "LAI_O_DEC_SPATIAL_REP_NUMBER", "LAI_O_DEC_SPATIAL_VARIABILITY", "LAI_O_EVG", "LAI_O_EVG_SPATIAL_VARIABILITY", "LAI_U_SPATIAL_REP_NUMBER", "LAI_U_SPATIAL_VARIABILITY", "LAI_TOT_SPATIAL_REP_NUMBER", "LAI_DATE_UNC", 
"BR-Ma2", "24968", "GRP_LAI", "LAI", "Maximum LAI	5,16
Minimun LAI	1,36
;

MODIS-derived monthly LAI*	K34
Jan	4,87
Feb	4,16
Mar	1,36
Apr	4,14
May	4,08
Jun	4,31
July	5,16
Aug	5,09
Sep	5,05
Oct	NaN
Nov	4,61
Dec	4,79
", "5.16", , , , , , , , , , , , , , , , 
"BR-Sa1", "25103", "GRP_LAI", "LAI", "Maximum LAI	5,18
Minimun LAI	4,56

MODIS-derived monthly LAI*	K67
Jan	NaN
Feb	NaN
Mar	NaN
Apr	NaN
May	4,56
Jun	5,09
July	4,93
Aug	5,18
Sep	NaN
Oct	NaN
Nov	NaN
Dec	NaN
", "5.18", , , , , , , , , , , , , , , , 
"BR-Sa3", "24203", "GRP_LAI", "LAI", "Maximum LAI	5,21;
Minimun LAI	3,78;


MODIS-derived monthly LAI*	K83
Jan	NaN
Feb	NaN
Mar	NaN
Apr	NaN
May	3,78
Jun	4,61
July	4,58
Aug	4,07
Sep	4,22
Oct	5,21
Nov	NaN
Dec	NaN
", "5.21", , , , , , , , , , , , , , , , 
"CA-Ca1", "25584", "GRP_LAI", "LAI", "Growing season; Chen et al., 2006", "7.3", "0.81", "Other", "TRAC + LAI-2000", "2004", , , , , , , , , , , , 
"CA-Ca2", "26699", "GRP_LAI", "LAI", "Point quadrat", "1.242", , "other", , "20030821", , , , , , , , , , , , 
"CA-Ca2", "26700", "GRP_LAI", "LAI", "Point quadrat", "1.004", , "other", , "20030919", , , , , , , , , , , , 
"CA-Ca2", "26977", "GRP_LAI", "LAI", "Point quadrat", "1.771", , "other", , "20020821", , , , , , , , , , , , 
"CA-Ca2", "26978", "GRP_LAI", "LAI", "Point quadrat", "0.994", , "other", , "20021103", , , , , , , , , , , , 
"CA-Ca2", "26979", "GRP_LAI", "LAI", "Point quadrat", "0.881", , "other", , "20040424", , , , , , , , , , , , 
"CA-Ca2", "26980", "GRP_LAI", "LAI", "Point Quadrat", "2.181", , "other", , "20040615", , , , , , , , , , , , 
"CA-Ca2", "26981", "GRP_LAI", "LAI", "LAI-2000", "2.075", , "other", , "20051108", , , , , , , , , , , , 
"CA-Ca2", "27265", "GRP_LAI", "LAI", "Point quadrat", "0.591", , "other", , "20020417", , , , , , , , , , , , 
"CA-Ca2", "27266", "GRP_LAI", "LAI", "Point quadrat", "1.933", , "other", , "20020606", , , , , , , , , , , , 
"CA-Ca2", "27267", "GRP_LAI", "LAI", "Point quadrat", "2.354", , "other", , "20020627", , , , , , , , , , , , 
"CA-Ca2", "27268", "GRP_LAI", "LAI", "Point quadrat", "2.171", , "other", , "20020725", , , , , , , , , , , , 
"CA-Ca2", "27269", "GRP_LAI", "LAI", "LAI-2000", "1.504", , "other", , "20050504", , , , , , , , , , , , 
"CA-Ca2", "27541", "GRP_LAI", "LAI", "Point quadrat", "1.285", , "other", , "20020925", , , , , , , , , , , , 
"CA-Ca2", "27542", "GRP_LAI", "LAI", "Point quadrat", "1.608", , "other", , "20040519", , , , , , , , , , , , 
"CA-Ca2", "27543", "GRP_LAI", "LAI", "LAI-2000", "2.557", , "other", , "20050817", , , , , , , , , , , , 
"CA-Ca2", "27895", "GRP_LAI", "LAI", "Point quadrat", "2.12", , "other", , "20040909", , , , , , , , , , , , 
"CA-Ca2", "27896", "GRP_LAI", "LAI", "LAI-2000", "1.196", , "other", , "20050420", , , , , , , , , , , , 
"CA-Ca2", "28155", "GRP_LAI", "LAI", "Point quadrat", "2.351", , "other", , "20040713", , , , , , , , , , , , 
"CA-Ca2", "28264", "GRP_LAI", "LAI", "Point quadrat", "0.817", , "other", , "20010501", , , , , , , , , , , , 
"CA-Ca2", "28265", "GRP_LAI", "LAI", "Point quadrat", "2.732", , "other", , "20030626", , , , , , , , , , , , 
"CA-Ca2", "28266", "GRP_LAI", "LAI", "LAI-2000", "2.17", , "other", , "20050701", , , , , , , , , , , , 
"CA-Ca2", "28494", "GRP_LAI", "LAI", "Point quadrat", "2.225", , "other", , "20030724", , , , , , , , , , , , 
"CA-Ca2", "28495", "GRP_LAI", "LAI", "Point quadrat", "0.68", , "other", , "20031105", , , , , , , , , , , , 
"CA-Ca2", "29095", "GRP_LAI", "LAI", "LAI-2000", "2.041", , "other", , "20040627", , , , , , , , , , , , 
"CA-Ca2", "29453", "GRP_LAI", "LAI", "Point quadrat", "0.254", , "other", , "20000501", , , , , , , , , , , , 
"CA-Ca2", "29454", "GRP_LAI", "LAI", "Point quadrat", "2.063", , "other", , "20030529", , , , , , , , , , , , 
"CA-Ca2", "29455", "GRP_LAI", "LAI", "LAI-2000", "1.104", , "other", , "20050512", , , , , , , , , , , , 
"CA-Ca3", "29097", "GRP_LAI", "LAI", "Growing season 2004; LAI-2000 for LAI and DHP for clumping index; Chen et al., 2006", "4.7", "0.89", "LAI_2000", , , , , , , , , , , , , , 
"CA-Gro", "26150", "GRP_LAI", "LAI", "JM Chen et al. (2006, Agricultural and Forest Meteorology 140, 257-268) )", "4.3", , "Other", "LAI2000+LAI TRAC", "2003", , , , , , , , , , , , 
"CA-Let", "26805", "GRP_LAI", "LAI", "mean of 6 replicates", "0.26", , "Other", "LI-3100 Area Meter", "20010704", , , , , , , , , , , , 
"CA-Let", "26806", "GRP_LAI", "LAI", "mean of 6 replicates", "0.13", , "Other", "LI-3100 Area Meter", "20000821", , , , , , , , , , , , 
"CA-Let", "27100", "GRP_LAI", "LAI", "mean of 6 replicates", "0.09", , "Other", "LI-3100 Area Meter", "19991004", , , , , , , , , , , , 
"CA-Let", "27101", "GRP_LAI", "LAI", "mean of 6 replicates", "0.2", , "Other", "LI-3100 Area Meter", "20010509", , , , , , , , , , , , 
"CA-Let", "27102", "GRP_LAI", "LAI", "mean of 6 replicates", "0.07", , "Other", "LI-3100 Area Meter", "20010815", , , , , , , , , , , , 
"CA-Let", "27103", "GRP_LAI", "LAI", "mean of 6 replicates", "0.71", , "Other", "LI-3100 Area Meter", "20020627", , , , , , , , , , , , 
"CA-Let", "27104", "GRP_LAI", "LAI", "mean of 6 replicates", "0.43", , "Other", "LI-3100 Area Meter", "20060814", , , , , , , , , , , , 
"CA-Let", "27403", "GRP_LAI", "LAI", "mean of 6 replicates", "0.57", , "Other", "LI-3100 Area Meter", "20020923", , , , , , , , , , , , 
"CA-Let", "27404", "GRP_LAI", "LAI", "mean of 6 replicates", "0.07", , "Other", "LI-3100 Area Meter", "19981014", , , , , , , , , , , , 
"CA-Let", "27405", "GRP_LAI", "LAI", "mean of 6 replicates", "0.02", , "Other", "LI-3100 Area Meter", "20010926", , , , , , , , , , , , 
"CA-Let", "27406", "GRP_LAI", "LAI", "mean of 6 replicates", "0.01", , "Other", "LI-3100 Area Meter", "20020516", , , , , , , , , , , , 
"CA-Let", "27407", "GRP_LAI", "LAI", "mean of 6 replicates", "0.31", , "Other", "LI-3100 Area Meter", "20030911", , , , , , , , , , , , 
"CA-Let", "27408", "GRP_LAI", "LAI", "mean of 6 replicates", "0.18", , "Other", "LI-3100 Area Meter", "20040411", , , , , , , , , , , , 
"CA-Let", "27645", "GRP_LAI", "LAI", "mean of 6 replicates", "0.54", , "Other", "LI-3100 Area Meter", "19980805", , , , , , , , , , , , 
"CA-Let", "27646", "GRP_LAI", "LAI", "mean of 6 replicates", "0.26", , "Other", "LI-3100 Area Meter", "20000501", , , , , , , , , , , , 
"CA-Let", "27647", "GRP_LAI", "LAI", "mean of 6 replicates", "0.05", , "Other", "LI-3100 Area Meter", "20010830", , , , , , , , , , , , 
"CA-Let", "27648", "GRP_LAI", "LAI", "mean of 6 replicates", "0.68", , "Other", "LI-3100 Area Meter", "20050620", , , , , , , , , , , , 
"CA-Let", "27649", "GRP_LAI", "LAI", "mean of 6 replicates", "0.3", , "Other", "LI-3100 Area Meter", "20060420", , , , , , , , , , , , 
"CA-Let", "27744", "GRP_LAI", "LAI", "mean of 6 replicates", "0.3", , "Other", "LI-3100 Area Meter", "20000918", , , , , , , , , , , , 
