"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "LAND_OWNERSHIP", "LAND_OWNER", 
"AR-TF1", "86256", "GRP_LAND_OWNERSHIP", "public", , 
"AR-TF2", "86272", "GRP_LAND_OWNERSHIP", "public", "National Park", 
"BR-CMT", "31049", "GRP_LAND_OWNERSHIP", "private", "José Eduardo de Macedo Soares Jr", 
"BR-CST", "86516", "GRP_LAND_OWNERSHIP", "private", "Mr. Homem Bom Magalhães", 
"BR-Cui", "79274", "GRP_LAND_OWNERSHIP", "public", "federal government area", 
"BR-Ma2", "22221", "GRP_LAND_OWNERSHIP", "private", "INPA", 
"BR-Npw", "86504", "GRP_LAND_OWNERSHIP", "public", "Serviço Social do Comércio SESC, Base Avançada da UFMT", 
"BR-PRS", "88096", "GRP_LAND_OWNERSHIP", "private", "Private citizen", 
"CA-ARB", "31185", "GRP_LAND_OWNERSHIP", "public", "Government", 
"CA-ARF", "31165", "GRP_LAND_OWNERSHIP", "public", "Government", 
"CA-Ca1", "23606", "GRP_LAND_OWNERSHIP", "private", "TimberWest", 
"CA-Ca2", "23589", "GRP_LAND_OWNERSHIP", "private", "Island Timberland", 
"CA-Ca3", "23571", "GRP_LAND_OWNERSHIP", "private", "Island Timberland", 
"CA-CF1", "30735", "GRP_LAND_OWNERSHIP", "public", "Federal Government", 
"CA-CF2", "30766", "GRP_LAND_OWNERSHIP", "public", "Federal Government", 
"CA-DBB", "30788", "GRP_LAND_OWNERSHIP", "public", "Metro Vancouver Park Board", 
"CA-DL1", "12618", "GRP_LAND_OWNERSHIP", "public", "Government", 
"CA-DL2", "12639", "GRP_LAND_OWNERSHIP", "public", "Government", 
"CA-ER1", "81334", "GRP_LAND_OWNERSHIP", "public", "Ontario Ministry of Agriculture, Food, and Rural Affairs", 
"CA-Gro", "9641", "GRP_LAND_OWNERSHIP", "Public", "Public", 
"CA-HPC", "81604", "GRP_LAND_OWNERSHIP", "public", , 
"CA-KLP", "31233", "GRP_LAND_OWNERSHIP", "public", "Government", 
"CA-Let", "1093", "GRP_LAND_OWNERSHIP", "Public", , 
"CA-LuM", "15418", "GRP_LAND_OWNERSHIP", "private", "Grand River Conservation Authority", 
"CA-MA1", "22318", "GRP_LAND_OWNERSHIP", "Private", "H. Heuging", 
"CA-MA2", "22297", "GRP_LAND_OWNERSHIP", "Private", "H. Heuging", 
"CA-MA3", "22275", "GRP_LAND_OWNERSHIP", "Private", "H. Heuging", 
"CA-Man", "3667", "GRP_LAND_OWNERSHIP", "Private", , 
"CA-Mer", "7021", "GRP_LAND_OWNERSHIP", "Public", , 
"CA-MR3", "79346", "GRP_LAND_OWNERSHIP", "private", "University of Alberta", 
"CA-MR5", "79365", "GRP_LAND_OWNERSHIP", "private", "University of Alberta", 
"CA-Oas", "8742", "GRP_LAND_OWNERSHIP", "Private", , 
"CA-Obs", "1947", "GRP_LAND_OWNERSHIP", "Private", , 
"CA-Ojp", "7940", "GRP_LAND_OWNERSHIP", "Private", , 
"CA-Qfo", "7941", "GRP_LAND_OWNERSHIP", "Private", , 
"CA-RPn", "85966", "GRP_LAND_OWNERSHIP", "public", "Land is leased from crown land division of the government.", 
"CA-RPp", "86007", "GRP_LAND_OWNERSHIP", "private", "Land is leased from crown land division of the government.", 
"CA-SCB", "85746", "GRP_LAND_OWNERSHIP", "public", , 
"CA-SCC", "30588", "GRP_LAND_OWNERSHIP", "public", , 
"CA-SJ1", "3670", "GRP_LAND_OWNERSHIP", "Private", , 
"CA-SJ2", "7071", "GRP_LAND_OWNERSHIP", "Private", , 
"CA-SJ3", "9646", "GRP_LAND_OWNERSHIP", "Private", , 
"CA-SMC", "81485", "GRP_LAND_OWNERSHIP", "public", , 
"CA-TP1", "12129", "GRP_LAND_OWNERSHIP", "private", "Bruce Whitside", 
"CA-TP2", "12161", "GRP_LAND_OWNERSHIP", "private", "Frank Bahula", 
"CA-TP3", "12189", "GRP_LAND_OWNERSHIP", "public", "Ontario Ministry of Natural Resources", 
"CA-TP4", "12221", "GRP_LAND_OWNERSHIP", "public", "Ontario Ministry of Natural Resources", 
"CA-TPD", "12257", "GRP_LAND_OWNERSHIP", "public", "Long Point Region Conservation Authority (LPRCA), Ontario Ministry of Natural Resources (OMNR) and Private Land Owners.", 
"CA-TVC", "81493", "GRP_LAND_OWNERSHIP", "public", , 
"CA-WP1", "7938", "GRP_LAND_OWNERSHIP", "Public", , 
"CL-SDF", "30260", "GRP_LAND_OWNERSHIP", "Private", "Fundación Senda Darwin", 
"CL-SDP", "30238", "GRP_LAND_OWNERSHIP", "Private", "Fundación Senda Darwin", 
"CR-Fsc", "31101", "GRP_LAND_OWNERSHIP", "private", "El Viejo S.A", 
"CR-Nmr", "31073", "GRP_LAND_OWNERSHIP", "private", "Costeña S.A", 
"CR-SoC", "12531", "GRP_LAND_OWNERSHIP", "Private", , 
"MX-EMg", "85719", "GRP_LAND_OWNERSHIP", "private", , 
"MX-Lpa", "795", "GRP_LAND_OWNERSHIP", "Public", "CIBNOR (Government)", 
"MX-PMm", "83415", "GRP_LAND_OWNERSHIP", "public", "El Colegio de la Frontera Sur is a public research institute that holds a commodatum agreement with the local state government for the management of the property as a botanical garden and protected area.", 
"PA-Bar", "6731", "GRP_LAND_OWNERSHIP", "private", "STRI", 
"PE-QFR", "86027", "GRP_LAND_OWNERSHIP", "public", , 
"PE-TNR", "85919", "GRP_LAND_OWNERSHIP", "Private", "Peruvian Safaris SAC", 
"PR-xGU", "85622", "GRP_LAND_OWNERSHIP", "public", "State Forest, Dept. of Natural and Environmental Resources, Commonwealth of Puerto Rico", 
"PR-xLA", "85606", "GRP_LAND_OWNERSHIP", "private", "University of Puerto Rico", 
"US-A03", "85034", "GRP_LAND_OWNERSHIP", "public", , 
"US-A10", "85083", "GRP_LAND_OWNERSHIP", "public", , 
"US-A32", "30047", "GRP_LAND_OWNERSHIP", "Private", , 
"US-A39", "85064", "GRP_LAND_OWNERSHIP", "private", , 
"US-A74", "30074", "GRP_LAND_OWNERSHIP", "Private", , 
"US-Act", "81645", "GRP_LAND_OWNERSHIP", "public", "Hueston Woods is an Ohio State Park, maintained by the Ohio Division of Natural Resources (DNR). See http://parks.ohiodnr.gov/huestonwoods.", 
"US-ADR", "15377", "GRP_LAND_OWNERSHIP", "Public", "BLM", 
"US-ALQ", "83472", "GRP_LAND_OWNERSHIP", "public", , 
"US-AR1", "15959", "GRP_LAND_OWNERSHIP", "public", "USDA research station field", 
"US-AR2", "15979", "GRP_LAND_OWNERSHIP", "public", "USDA research station field", 
"US-ARM", "11131", "GRP_LAND_OWNERSHIP", "private", , 
"US-ASH", "86813", "GRP_LAND_OWNERSHIP", "private", "Not public at this time", 
"US-ASL", "86767", "GRP_LAND_OWNERSHIP", "private", "Not public at this time", 
"US-ASM", "86748", "GRP_LAND_OWNERSHIP", "private", "Not public at this time", 
"US-Atq", "14883", "GRP_LAND_OWNERSHIP", "private", "North Slope Borough Native Corporation", 
"US-Bar", "1820", "GRP_LAND_OWNERSHIP", "Public", "USDA FOREST SERVICE", 
"US-BCM", "87307", "GRP_LAND_OWNERSHIP", "private", "St. Johns Water Management District", 
"US-BdA", "13312", "GRP_LAND_OWNERSHIP", "private", , 
"US-BdC", "13330", "GRP_LAND_OWNERSHIP", "private", , 
"US-Beo", "81615", "GRP_LAND_OWNERSHIP", "private", "UMIAQ", 
"US-Bes", "11825", "GRP_LAND_OWNERSHIP", "Private", "UIC, native land", 
"US-Bi1", "30363", "GRP_LAND_OWNERSHIP", "private", "Los Angeles Metropolitan Water District", 
"US-Bi2", "31253", "GRP_LAND_OWNERSHIP", "private", "Los Angeles Metropolitan Water District", 
"US-BRG", "30565", "GRP_LAND_OWNERSHIP", "public", "Indiana University", 
"US-Brw", "14924", "GRP_LAND_OWNERSHIP", "private", "North Slope Borough Native Corporation", 
"US-Bsg", "16085", "GRP_LAND_OWNERSHIP", "Public", "USDA-ARS and Oregon State University", 
"US-BSM", "31116", "GRP_LAND_OWNERSHIP", "public", "Tower of Barnstable", 
"US-BZB", "87206", "GRP_LAND_OWNERSHIP", "public", , 
"US-BZF", "87210", "GRP_LAND_OWNERSHIP", "public", , 
"US-BZL", "87235", "GRP_LAND_OWNERSHIP", "public", , 
"US-BZo", "87281", "GRP_LAND_OWNERSHIP", "public", , 
"US-BZS", "87182", "GRP_LAND_OWNERSHIP", "public", , 
"US-CdM", "86839", "GRP_LAND_OWNERSHIP", "public", "State of Utah", 
"US-Ced", "12661", "GRP_LAND_OWNERSHIP", "public", "Greenwood Wildlife Management Area, State of New Jersey", 
"US-CF1", "84806", "GRP_LAND_OWNERSHIP", "Public", "Washington State University", 
"US-CF2", "84826", "GRP_LAND_OWNERSHIP", "Public", "Washington State University", 
"US-CF3", "84846", "GRP_LAND_OWNERSHIP", "Public", "Washington State University", 
"US-CF4", "84866", "GRP_LAND_OWNERSHIP", "Public", "Washington State University", 
"US-CPk", "10214", "GRP_LAND_OWNERSHIP", "public", "USFS", 
"US-CRT", "12769", "GRP_LAND_OWNERSHIP", "Private", "Walter Berger", 
"US-CS1", "83386", "GRP_LAND_OWNERSHIP", "private", "Heartland Farms", 
"US-CS2", "87358", "GRP_LAND_OWNERSHIP", "private", "Tri county school Forest", 
"US-CS3", "87380", "GRP_LAND_OWNERSHIP", "private", "Heartland Farms", 
"US-Cst", "13213", "GRP_LAND_OWNERSHIP", "public", "USDA Forest Service", 
"US-Cwt", "84993", "GRP_LAND_OWNERSHIP", "public", "USDA Forest Service", 
"US-CZ1", "30809", "GRP_LAND_OWNERSHIP", "public", "USFS", 
"US-CZ2", "30825", "GRP_LAND_OWNERSHIP", "public", "USFS", 
"US-CZ3", "30854", "GRP_LAND_OWNERSHIP", "public", "USFS", 
"US-CZ4", "30839", "GRP_LAND_OWNERSHIP", "public", "USFS", 
"US-Dea", "11410", "GRP_LAND_OWNERSHIP", "public", "University of California", 
"US-Deu", "11430", "GRP_LAND_OWNERSHIP", "public", "University of California", 
"US-DFK", "87345", "GRP_LAND_OWNERSHIP", "private", "US Department of Agriculture", 
"US-Dk1", "6234", "GRP_LAND_OWNERSHIP", "Private", "Duke Forest", 
"US-Dk3", "2820", "GRP_LAND_OWNERSHIP", "Private", "Duke Forest", 
"US-DPP", "86726", "GRP_LAND_OWNERSHIP", "private", "The Nature Conservancy", 
"US-DPW", "86886", "GRP_LAND_OWNERSHIP", "private", "The Nature Conservancy", 
"US-EDN", "84724", "GRP_LAND_OWNERSHIP", "public", "California Department of Fish and Wildlife (CDFW)", 
"US-EML", "11149", "GRP_LAND_OWNERSHIP", "Public", "State of Alaska", 
"US-Fcr", "85269", "GRP_LAND_OWNERSHIP", "private", , 
"US-Fmf", "11999", "GRP_LAND_OWNERSHIP", "public", "University of northern Arizona", 
"US-Fuf", "12019", "GRP_LAND_OWNERSHIP", "public", "Northern Arizona University/Arizona State Land Department", 
"US-Fwf", "12044", "GRP_LAND_OWNERSHIP", "public", "USDA Forest Service", 
"US-GBT", "16020", "GRP_LAND_OWNERSHIP", "public", , 
"US-GCE", "86856", "GRP_LAND_OWNERSHIP", "public", "Georgia Department of Natural Resources", 
"US-GLE", "15999", "GRP_LAND_OWNERSHIP", "public", , 
"US-GZ1", "85771", "GRP_LAND_OWNERSHIP", "private", "Clint  Zenner", 
"US-GZ2", "85823", "GRP_LAND_OWNERSHIP", "private", "Clint  Zenner", 
"US-GZ3", "85874", "GRP_LAND_OWNERSHIP", "private", "Clint  Zenner", 
"US-Ha1", "11961", "GRP_LAND_OWNERSHIP", "private", "Harvard University", 
"US-HB1", "79524", "GRP_LAND_OWNERSHIP", "private", "Belle W. Baruch Foundation", 
"US-HB2", "79868", "GRP_LAND_OWNERSHIP", "private", "Belle W. Baruch Foundation", 
"US-HB3", "86456", "GRP_LAND_OWNERSHIP", "private", "Belle W. Baruch Foundation", 
"US-HBK", "81448", "GRP_LAND_OWNERSHIP", "public", "USFS Hubbard Brook Experimental Forest", 
"US-Hn1", "83549", "GRP_LAND_OWNERSHIP", "public", "Department of Energy", 
"US-Hn2", "83504", "GRP_LAND_OWNERSHIP", "public", "Department of Energy", 
"US-Hn3", "83510", "GRP_LAND_OWNERSHIP", "public", "Department of Energy", 
"US-Ho1", "11453", "GRP_LAND_OWNERSHIP", "private", "Northeast Wilderness Trust", 
"US-Ho2", "11485", "GRP_LAND_OWNERSHIP", "private", "Northeast Wilderness Trust", 
"US-Ho3", "11781", "GRP_LAND_OWNERSHIP", "private", "John Malone managed by AFM", 
"US-HPY", "30546", "GRP_LAND_OWNERSHIP", "public", "public", 
"US-HRA", "12928", "GRP_LAND_OWNERSHIP", "private", , 
"US-HRC", "12946", "GRP_LAND_OWNERSHIP", "private", , 
"US-HRN", "87839", "GRP_LAND_OWNERSHIP", "private", , 
"US-HRP", "31138", "GRP_LAND_OWNERSHIP", "public", "National Park Service", 
"US-HRS", "33531", "GRP_LAND_OWNERSHIP", "private", , 
"US-IB1", "6188", "GRP_LAND_OWNERSHIP", "Public", "Fermi National Accelerator Laboratory", 
"US-IB2", "9612", "GRP_LAND_OWNERSHIP", "Public", "Fermi National Accelerator Laboratory", 
"US-ICh", "12069", "GRP_LAND_OWNERSHIP", "public", "BLM", 
"US-ICs", "12089", "GRP_LAND_OWNERSHIP", "public", "BLM", 
"US-ICt", "12109", "GRP_LAND_OWNERSHIP", "public", "BLM", 
"US-Ivo", "14904", "GRP_LAND_OWNERSHIP", "Private", "Arctic Slope Regional Corporation (ASRC)", 
"US-JLN", "85686", "GRP_LAND_OWNERSHIP", "private", "The Nature Conservancy", 
"US-JLR", "85711", "GRP_LAND_OWNERSHIP", "private", "The Nature Conservancy", 
