"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "LMA", "LMA_SPP", "LMA_DATE", "LMA_COMMENT", "LMA_SPATIAL_VARIABILITY", 
"CA-Ca1", "25448", "GRP_LMA", "104", "PSME (NRCS plant code)", "2004", "estimates from LA (cm2) and dry weight measurements (g) using CNFI NPP data on CCP DIS", , 
"CA-Ca2", "28492", "GRP_LMA", "100", "PSME (NRCS plant code)", "2004", "estimates from LA (cm2) and dry weight measurements (g)", , 
"CA-Ca3", "26984", "GRP_LMA", "104", "PSME (NRCS plant code)", "2004", "estimates from LA (cm2) and dry weight measurements (g) using CNFI NPP data on CCP DIS", , 
"CA-Gro", "25233", "GRP_LMA", "88.53", "THOC2 (NRCS plant code)", "20040910", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "25378", "GRP_LMA", "57.42", "ABBA (NRCS plant code)", "20050728", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "25495", "GRP_LMA", "30.58", "BEPAM (NRCS plant code)", "20040812", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "25756", "GRP_LMA", "97.92", "PIMA (NRCS plant code)", "20040910", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "25757", "GRP_LMA", "62.42", "PIGL (NRCS plant code)", "20050728", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "25870", "GRP_LMA", "96.41", "PIGL (NRCS plant code)", "20040910", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "25871", "GRP_LMA", "43.52", "POBA2 (NRCS plant code)", "20040812", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "25984", "GRP_LMA", "60.47", "PIMA (NRCS plant code)", "20050728", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "26152", "GRP_LMA", "73.37", "ABBA (NRCS plant code)", "20040910", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "26254", "GRP_LMA", "36.22", "POTR5 (NRCS plant code)", "20050728", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "26388", "GRP_LMA", "37.03", "POTR5 (NRCS plant code)", "20040812", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Gro", "26642", "GRP_LMA", "30.05", "BEPAM (NRCS plant code)", "20050728", "multiple leaves colloected from each tree. Measured followed Fluxnet-Canada protocol", , 
"CA-Mer", "24537", "GRP_LMA", "192", "(All)", , "Moore, T.R.et al 2002. Journal of Ecology. 90, 25-36.", , 
"CA-NS1", "23769", "GRP_LMA", "941.957", "(All)", , "Andrew McMillan:
SLA=4.98 m2/kg (Bond-Lamberty et al 2002
Convert to 200.8 g/m2", , 
"CA-NS2", "24019", "GRP_LMA", "1293.53", "(All)", , , , 
"CA-NS3", "23637", "GRP_LMA", "923", "(All)", , , , 
"CA-NS5", "23638", "GRP_LMA", "1204.85", "(All)", , "Andrew McMillan:
Andrew McMillan:
Based on Jack pine SLA of 30% new leaves at 5.64 m2/kg and 70% old leaves at 4.21 m2/kg", , 
"CA-NS6", "23639", "GRP_LMA", "198", "(All)", , , , 
"CA-NS7", "23640", "GRP_LMA", "97.1429", "(All)", , "kgC/m2/y", , 
"CA-Oas", "27106", "GRP_LMA", "18.4", "COCO6 (NRCS plant code)", "1994", "C accounts for 50% of biomass", "5.3", 
"CA-Oas", "27650", "GRP_LMA", "38.8", "POTR5 (NRCS plant code)", "1994", "C accounts for 50% of biomass", "10", 
"CA-Obs", "25597", "GRP_LMA", "72.1", "PIMA (NRCS plant code)", "19940913", "Middleton et al. 1997(J Geophy Res 102, 28831-28844). Assumed that C account for 50% of biomass", , 
"CA-Obs", "26466", "GRP_LMA", "115.4", "PIMA (NRCS plant code)", "19940601", "Middleton et al. 1997(J Geophy Res 102, 28831-28844). Assumed that C account for 50% of biomass", , 
"CA-Obs", "26467", "GRP_LMA", "83.6", "PIMA (NRCS plant code)", "19940728", "Middleton et al. 1997(J Geophy Res 102, 28831-28844). Assumed that C account for 50% of biomass", , 
