"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "NEP", "NEP_COMMENT", "NEP_DATE_START", "NEP_DATE_END", "NEP_APPROACH", "NEP_SPATIAL_VARIABILITY", 
"BR-Ma2", "24659", "GRP_NEP", "1540", "Luziao et al GBC 10 2004:
Adding the litterfall production in the plateau forest
to the annual stand mass increment (6.4 tDWha 1,
including 0.9 tDWha 1 of damaged trees) measured by
Chambers et al. (2001) from a nearby plot, the aboveground
NPP of the forest would reach 15.3 t DWha 1 yr 1 which is equivalent to 7.7 tCha 1 yr 1.", , , , , 
"CA-Ca1", "25196", "GRP_NEP", "379000", "Jan/Dec; Chen et al., 2008", "1998", "1999", , , 
"CA-Ca1", "25324", "GRP_NEP", "382000", "Jan/Dec; Chen et al., 2008", "1999", "2000", , , 
"CA-Ca1", "25450", "GRP_NEP", "552000", "Jan/Dec; Chen et al., 2008", "2007", "2008", , , 
"CA-Ca1", "25590", "GRP_NEP", "355000", "Jan/Dec; Chen et al., 2008", "2005", "2006", , , 
"CA-Ca1", "25697", "GRP_NEP", "400000", "Jan/Dec; Chen et al., 2008", "2000", "2001", , , 
"CA-Ca1", "25827", "GRP_NEP", "410000", "Jan/Dec; Chen et al., 2008", "2001", "2002", , , 
"CA-Ca1", "25941", "GRP_NEP", "386000", "Jan/Dec; Chen et al., 2008", "2006", "2007", , , 
"CA-Ca1", "26106", "GRP_NEP", "267000", "Jan/Dec; Chen et al., 2008", "2004", "2005", , , 
"CA-Ca1", "26454", "GRP_NEP", "277000", "Jan/Dec; Chen et al., 2008", "2002", "2003", , , 
"CA-Ca1", "26455", "GRP_NEP", "353000", "Jan/Dec; Chen et al., 2008", "2003", "2004", , , 
"CA-Ca2", "26696", "GRP_NEP", "-564000", "Jan/Dec; method differs from the CCP protocol in that we use exponential relationship and not a logistic to model nighttime respiration.", "2002", "2003", "8", , 
"CA-Ca2", "26697", "GRP_NEP", "-597000", "Jan/Dec; method differs from the CCP protocol in that we use exponential relationship and not a logistic to model nighttime respiration.", "2003", "2004", "8", , 
"CA-Ca2", "26698", "GRP_NEP", "-592000", "Jan/Dec; method differs from the CCP protocol in that we use exponential relationship and not a logistic to model nighttime respiration.", "2004", "2005", "8", , 
"CA-Ca2", "26833", "GRP_NEP", "-533000", "Jan/Dec; method differs from the CCP protocol in that we use exponential relationship and not a logistic to model nighttime respiration.", "2001", "2002", "8", , 
"CA-Ca2", "28150", "GRP_NEP", "-353000", "Jan/Dec; method differs from the CCP protocol in that we use exponential relationship and not a logistic to model nighttime respiration.", "2007", "2008", "8", , 
"CA-Ca2", "28988", "GRP_NEP", "-420000", "Jan/Dec; method differs from the CCP protocol in that we use exponential relationship and not a logistic to model nighttime respiration.", "2005", "2006", "8", , 
"CA-Ca2", "29093", "GRP_NEP", "-417000", "Jan/Dec; method differs from the CCP protocol in that we use exponential relationship and not a logistic to model nighttime respiration.", "2006", "2007", "8", , 
"CA-Ca3", "26836", "GRP_NEP", "-120000", "Jan/Dec; method differs from the CCP protocol in that UBC Biomet use exponential relationship and not a logistic to model nighttime respiration.", "2002", "2003", "Jassal, P.", , 
"CA-Ca3", "27274", "GRP_NEP", "22000", "Jan/Dec; method differs from the CCP protocol in that UBC Biomet use exponential relationship and not a logistic to model nighttime respiration.", "2005", "2006", "Jassal, P.", , 
"CA-Ca3", "27898", "GRP_NEP", "15000", "Jan/Dec; method differs from the CCP protocol in that UBC Biomet use exponential relationship and not a logistic to model nighttime respiration.", "2006", "2007", "Jassal, P.", , 
"CA-Ca3", "27899", "GRP_NEP", "138000", "Jan/Dec; method differs from the CCP protocol in that UBC Biomet use exponential relationship and not a logistic to model nighttime respiration.", "2007", "2008", "Jassal, P.", , 
"CA-Ca3", "28268", "GRP_NEP", "-131000", "Jan/Dec; method differs from the CCP protocol in that UBC Biomet use exponential relationship and not a logistic to model nighttime respiration.", "2004", "2005", "Jassal, P.", , 
"CA-Ca3", "29101", "GRP_NEP", "-99000", "Jan/Dec; method differs from the CCP protocol in that UBC Biomet use exponential relationship and not a logistic to model nighttime respiration.", "2003", "2004", "Jassal, P.", , 
"CA-Gro", "25376", "GRP_NEP", "60000", "Jan-Dec; measured followed Fluxnet-Canada protocols, using eddy covariace technique", "2006", "2007", , , 
"CA-Gro", "26385", "GRP_NEP", "108000", "Jan-Dec; measured followed Fluxnet-Canada protocols, using eddy covariace technique", "2004", "2005", , , 
"CA-Gro", "26386", "GRP_NEP", "69000", "Jan-Dec; measured followed Fluxnet-Canada protocols, using eddy covariace technique", "2005", "2006", , , 
"CA-Let", "25193", "GRP_NEP", "18100", "Jan-Dec; Flanagan LB et al. (2002,Global Change Biology 8, 599-615); meassured using eddy covariance, followed Fluxnet-Canada protocols", "2000", "2001", , , 
"CA-Let", "25691", "GRP_NEP", "-109400", "Jun 20-Dec 30; Flanagan LB et al. (2002,Global Change Biology 8, 599-615); meassured using eddy covariance, followed Fluxnet-Canada protocols", "1998", "1999", , , 
"CA-Let", "26584", "GRP_NEP", "-20600", "Jan-Dec; Flanagan LB et al. (2002,Global Change Biology 8, 599-615); meassured using eddy covariance, followed Fluxnet-Canada protocols", "1999", "2000", , , 
"CA-Man", "25232", "GRP_NEP", "-7000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "1998", "1999", , , 
"CA-Man", "25497", "GRP_NEP", "-23000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "2001", "2002", , , 
"CA-Man", "25869", "GRP_NEP", "39000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "1997", "1998", , , 
"CA-Man", "25988", "GRP_NEP", "-3000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "2000", "2001", , , 
"CA-Man", "26151", "GRP_NEP", "41000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "1995", "1996", , , 
"CA-Man", "26255", "GRP_NEP", "-7000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "1999", "2000", , , 
"CA-Man", "26259", "GRP_NEP", "-58000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "2003", "2004", , , 
"CA-Man", "26504", "GRP_NEP", "84000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "1996", "1997", , , 
"CA-Man", "26645", "GRP_NEP", "-27000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "2002", "2003", , , 
"CA-Man", "26646", "GRP_NEP", "-21000", "Jan-Dec; Data from Dunn et al. (2007, Global Change Biology 13, 577-590)", "2004", "2005", , , 
