"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "NETWORK", 
"AR-TF1", "86270", "GRP_NETWORK", "AmeriFlux", 
"AR-TF2", "86274", "GRP_NETWORK", "AmeriFlux", 
"BR-CMT", "31051", "GRP_NETWORK", "AmeriFlux", 
"BR-CST", "86518", "GRP_NETWORK", "AmeriFlux", 
"BR-Cui", "79276", "GRP_NETWORK", "AmeriFlux", 
"BR-Ma2", "22223", "GRP_NETWORK", "AmeriFlux", 
"BR-Ma2", "22224", "GRP_NETWORK", "LBA", 
"BR-Npw", "86506", "GRP_NETWORK", "AmeriFlux", 
"BR-PRS", "88101", "GRP_NETWORK", "AmeriFlux", 
"BR-Sa1", "4675", "GRP_NETWORK", "LBA", 
"BR-Sa1", "6399", "GRP_NETWORK", "AmeriFlux", 
"BR-Sa3", "6370", "GRP_NETWORK", "AmeriFlux", 
"CA-ARB", "31187", "GRP_NETWORK", "AmeriFlux", 
"CA-ARF", "31167", "GRP_NETWORK", "AmeriFlux", 
"CA-Ca1", "23608", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Ca1", "23609", "GRP_NETWORK", "AmeriFlux", 
"CA-Ca2", "23591", "GRP_NETWORK", "AmeriFlux", 
"CA-Ca2", "23592", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Ca3", "23573", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Ca3", "23574", "GRP_NETWORK", "AmeriFlux", 
"CA-Ca3", "86940", "GRP_NETWORK", "Phenocam", 
"CA-Cbo", "11383", "GRP_NETWORK", "Ameriflux", 
"CA-Cbo", "79224", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-CF1", "30731", "GRP_NETWORK", "AmeriFlux", 
"CA-CF2", "30761", "GRP_NETWORK", "AmeriFlux", 
"CA-Cha", "2943", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Cha", "11384", "GRP_NETWORK", "Ameriflux", 
"CA-DBB", "30790", "GRP_NETWORK", "AmeriFlux", 
"CA-DL1", "12620", "GRP_NETWORK", "AmeriFlux", 
"CA-DL2", "12641", "GRP_NETWORK", "AmeriFlux", 
"CA-ER1", "81346", "GRP_NETWORK", "AmeriFlux", 
"CA-Fen", "5513", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Fen", "11385", "GRP_NETWORK", "Ameriflux", 
"CA-Gro", "791", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Gro", "9340", "GRP_NETWORK", "AmeriFlux", 
"CA-Gro", "86941", "GRP_NETWORK", "Phenocam", 
"CA-HPC", "81585", "GRP_NETWORK", "AmeriFlux", 
"CA-JMW", "73291", "GRP_NETWORK", "AmeriFlux", 
"CA-KLP", "31235", "GRP_NETWORK", "AmeriFlux", 
"CA-Let", "3793", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Let", "11386", "GRP_NETWORK", "Ameriflux", 
"CA-Let", "87075", "GRP_NETWORK", "Phenocam", 
"CA-LuM", "15420", "GRP_NETWORK", "AmeriFlux", 
"CA-MA1", "22320", "GRP_NETWORK", "AmeriFlux", 
"CA-MA2", "22299", "GRP_NETWORK", "AmeriFlux", 
"CA-MA3", "22277", "GRP_NETWORK", "AmeriFlux", 
"CA-Man", "5061", "GRP_NETWORK", "AmeriFlux", 
"CA-Man", "9351", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Mer", "420", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Mer", "11387", "GRP_NETWORK", "Ameriflux", 
"CA-Mer", "86942", "GRP_NETWORK", "Phenocam", 
"CA-MR3", "79348", "GRP_NETWORK", "AmeriFlux", 
"CA-MR5", "79367", "GRP_NETWORK", "AmeriFlux", 
"CA-Na1", "7186", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Na1", "11388", "GRP_NETWORK", "Ameriflux", 
"CA-Na2", "9784", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Na2", "11389", "GRP_NETWORK", "Ameriflux", 
"CA-NS1", "4676", "GRP_NETWORK", "AmeriFlux", 
"CA-NS2", "2132", "GRP_NETWORK", "AmeriFlux", 
"CA-NS3", "9785", "GRP_NETWORK", "AmeriFlux", 
"CA-NS4", "2133", "GRP_NETWORK", "AmeriFlux", 
"CA-NS5", "2134", "GRP_NETWORK", "AmeriFlux", 
"CA-NS6", "5511", "GRP_NETWORK", "AmeriFlux", 
"CA-NS7", "2944", "GRP_NETWORK", "AmeriFlux", 
"CA-NS8", "4677", "GRP_NETWORK", "AmeriFlux", 
"CA-Oas", "9786", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Oas", "11390", "GRP_NETWORK", "Ameriflux", 
"CA-Oas", "87076", "GRP_NETWORK", "Phenocam", 
"CA-Obs", "8084", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Obs", "11391", "GRP_NETWORK", "Ameriflux", 
"CA-Obs", "87077", "GRP_NETWORK", "Phenocam", 
"CA-Ojp", "5512", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Ojp", "11392", "GRP_NETWORK", "Ameriflux", 
"CA-Qc2", "33599", "GRP_NETWORK", "AmeriFlux", 
"CA-Qc2", "33610", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Qcu", "3351", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Qcu", "9341", "GRP_NETWORK", "AmeriFlux", 
"CA-Qfo", "1659", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-Qfo", "9342", "GRP_NETWORK", "AmeriFlux", 
"CA-Qfo", "87078", "GRP_NETWORK", "Phenocam", 
"CA-RPn", "85961", "GRP_NETWORK", "AmeriFlux", 
"CA-RPp", "86000", "GRP_NETWORK", "AmeriFlux", 
"CA-SCB", "85745", "GRP_NETWORK", "AmeriFlux", 
"CA-SCC", "30590", "GRP_NETWORK", "AmeriFlux", 
"CA-SF1", "2510", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-SF1", "5062", "GRP_NETWORK", "AmeriFlux", 
"CA-SF2", "780", "GRP_NETWORK", "AmeriFlux", 
"CA-SF2", "8458", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-SF3", "5073", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-SF3", "10183", "GRP_NETWORK", "AmeriFlux", 
"CA-SJ1", "7187", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-SJ1", "11393", "GRP_NETWORK", "Ameriflux", 
"CA-SJ2", "4678", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-SJ2", "11394", "GRP_NETWORK", "Ameriflux", 
"CA-SJ3", "9787", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-SJ3", "11395", "GRP_NETWORK", "Ameriflux", 
"CA-SMC", "81487", "GRP_NETWORK", "AmeriFlux", 
"CA-TP1", "12131", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-TP1", "12142", "GRP_NETWORK", "AmeriFlux", 
"CA-TP1", "86943", "GRP_NETWORK", "Phenocam", 
"CA-TP2", "12163", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-TP2", "12173", "GRP_NETWORK", "AmeriFlux", 
"CA-TP3", "12191", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-TP3", "12201", "GRP_NETWORK", "AmeriFlux", 
"CA-TP3", "86944", "GRP_NETWORK", "Phenocam", 
"CA-TP4", "12223", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-TP4", "12233", "GRP_NETWORK", "AmeriFlux", 
"CA-TP4", "86945", "GRP_NETWORK", "Phenocam", 
"CA-TPD", "12259", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-TPD", "12268", "GRP_NETWORK", "AmeriFlux", 
"CA-TPD", "86946", "GRP_NETWORK", "Phenocam", 
"CA-TVC", "81504", "GRP_NETWORK", "AmeriFlux", 
"CA-WP1", "7189", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-WP1", "11402", "GRP_NETWORK", "Ameriflux", 
"CA-WP2", "6372", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-WP2", "11403", "GRP_NETWORK", "Ameriflux", 
"CA-WP3", "8921", "GRP_NETWORK", "Fluxnet-Canada", 
"CA-WP3", "11404", "GRP_NETWORK", "Ameriflux", 
"CL-SDF", "30262", "GRP_NETWORK", "AmeriFlux", 
"CL-SDP", "30240", "GRP_NETWORK", "AmeriFlux", 
"CR-Fsc", "31089", "GRP_NETWORK", "AmeriFlux", 
"CR-Lse", "4681", "GRP_NETWORK", "AmeriFlux", 
"CR-Nmr", "31075", "GRP_NETWORK", "AmeriFlux", 
"CR-SoC", "12533", "GRP_NETWORK", "AmeriFlux", 
"CR-SoC", "86937", "GRP_NETWORK", "Phenocam", 
"MX-EMg", "85727", "GRP_NETWORK", "MexFlux", 
"MX-EMg", "85733", "GRP_NETWORK", "AmeriFlux", 
"MX-Lpa", "775", "GRP_NETWORK", "MexFlux", 
"MX-Lpa", "5074", "GRP_NETWORK", "AmeriFlux", 
"MX-PMm", "83416", "GRP_NETWORK", "MexFlux", 
"MX-PMm", "83431", "GRP_NETWORK", "AmeriFlux", 
"PA-Bar", "10168", "GRP_NETWORK", "AmeriFlux", 
"PA-Bar", "86947", "GRP_NETWORK", "Phenocam", 
"PE-QFR", "86021", "GRP_NETWORK", "AmeriFlux", 
"PE-TNR", "85902", "GRP_NETWORK", "AmeriFlux", 
"PR-xGU", "85628", "GRP_NETWORK", "AmeriFlux", 
"PR-xGU", "85632", "GRP_NETWORK", "NEON", 
"PR-xGU", "87080", "GRP_NETWORK", "Phenocam", 
"PR-xLA", "85596", "GRP_NETWORK", "NEON", 
"PR-xLA", "85601", "GRP_NETWORK", "AmeriFlux", 
"PR-xLA", "87081", "GRP_NETWORK", "Phenocam", 
"US-A03", "85024", "GRP_NETWORK", "AmeriFlux", 
"US-A10", "85082", "GRP_NETWORK", "AmeriFlux", 
"US-A32", "30056", "GRP_NETWORK", "AmeriFlux", 
"US-A39", "85071", "GRP_NETWORK", "AmeriFlux", 
"US-A74", "30087", "GRP_NETWORK", "AmeriFlux", 
"US-Act", "81635", "GRP_NETWORK", "AmeriFlux", 
"US-ADR", "15379", "GRP_NETWORK", "Ameriflux", 
"US-Akn", "22259", "GRP_NETWORK", "AmeriFlux", 
"US-ALQ", "83475", "GRP_NETWORK", "AmeriFlux", 
"US-An1", "10000", "GRP_NETWORK", "AmeriFlux", 
"US-An2", "10001", "GRP_NETWORK", "AmeriFlux", 
"US-An3", "7424", "GRP_NETWORK", "AmeriFlux", 
"US-AR1", "15961", "GRP_NETWORK", "AmeriFlux", 
"US-AR2", "15981", "GRP_NETWORK", "AmeriFlux", 
"US-ARb", "7215", "GRP_NETWORK", "AmeriFlux", 
"US-ARc", "5539", "GRP_NETWORK", "AmeriFlux", 
"US-ARM", "11133", "GRP_NETWORK", "AmeriFlux", 
"US-ARM", "22333", "GRP_NETWORK", "Phenocam", 
"US-ASH", "86828", "GRP_NETWORK", "AmeriFlux", 
"US-ASL", "86763", "GRP_NETWORK", "AmeriFlux", 
"US-ASM", "86743", "GRP_NETWORK", "AmeriFlux", 
"US-Atq", "14885", "GRP_NETWORK", "AmeriFlux", 
"US-Aud", "5540", "GRP_NETWORK", "AmeriFlux", 
"US-Bar", "5541", "GRP_NETWORK", "AmeriFlux", 
"US-Bar", "86949", "GRP_NETWORK", "Phenocam", 
"US-BCM", "87301", "GRP_NETWORK", "AmeriFlux", 
"US-BdA", "13314", "GRP_NETWORK", "AMERIFLUX", 
"US-BdA", "86950", "GRP_NETWORK", "Phenocam", 
