"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "N_DEP_WET", "N_DEP_COMMENT", "N_DEP_DRY", 
"CA-TP1", "23774", "GRP_N_DEP", "0.7", "7 (Canadian Acid Deposition Assessment 2004 ;Environment Canada, 2004)", , 
"CA-TP2", "23641", "GRP_N_DEP", "0.7", "7 (Canadian Acid Deposition Assessment 2004 ;Environment Canada, 2004)", , 
"CA-TP3", "23775", "GRP_N_DEP", "0.7", "7 (Canadian Acid Deposition Assessment 2004 ;Environment Canada, 2004)", , 
"CA-TP4", "24928", "GRP_N_DEP", "0.7", "7 (Canadian Acid Deposition Assessment 2004 ;Environment Canada, 2004)", , 
"US-Bar", "23643", "GRP_N_DEP", "0.65", , , 
"US-Ha1", "23776", "GRP_N_DEP", "0.84", , , 
"US-Ha2", "23777", "GRP_N_DEP", "0.8", , , 
"US-Ho1", "24661", "GRP_N_DEP", "0.6", , , 
"US-LPH", "24929", "GRP_N_DEP", "0.8", , , 
"US-MMS", "24281", "GRP_N_DEP", "1.35", , , 
"US-MOz", "24021", "GRP_N_DEP", "0.603", , , 
"US-SP2", "24155", "GRP_N_DEP", "1.35", , , 
"US-SP3", "24539", "GRP_N_DEP", "1.35", , , 
"US-UMB", "23778", "GRP_N_DEP", "0.47", , "0.15", 
