"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "PHEN_EVENT_TYPE", "PHEN_EVENT_COMMENT", "PHEN_EVENT_SPP", "PHEN_EVENT_DATE", "PHEN_EVENT_STATUS", "PHEN_EVENT_DATE_UNC", "PHEN_EVENT_APPROACH", "PHEN_EVENT_DATE_SPATIAL_REP_NUMBER", "PHEN_EVENT_DATE_SPATIAL_VARIABILITY", 
"CA-Ca1", "25589", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Will be estimated from NDVI maximum in growing season (GS) indicating PSME and deciduous understory combined.", "(Unknown)", , , , , , , 
"CA-Ca1", "26104", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Gilbert Ethier, personal communications 2008 field notes", "PSME (NRCS plant code)", "20080502", , , , , , 
"CA-Ca1", "26105", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "deciduous understory", "(Unknown)", , , , , , , 
"US-Bar", "23852", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "average across canopy; date is 50% canopy abscission, derived from fAPAR measurements (available on request)", "(All)", "20061016", , , , , , 
"US-Bar", "23984", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "average across canopy; date is 50% canopy abscission, derived from fAPAR measurements (available on request)", "(All)", "20041026", , , , , , 
"US-Bar", "24093", "GRP_PHEN_EVENT_TYPE", "BudBreak", "average across canopy; date is 50% canopy development, derived from fAPAR measurements (available on request)", "(All)", "20060509", , , , , , 
"US-Bar", "24353", "GRP_PHEN_EVENT_TYPE", "BudBreak", "average across canopy; date is 50% canopy development, derived from fAPAR measurements (available on request)", "(All)", "20050519", , , , , , 
"US-Bar", "24498", "GRP_PHEN_EVENT_TYPE", "BudBreak", "average across canopy; date is 50% canopy development, derived from fAPAR measurements (available on request)", "(All)", "20070512", , , , , , 
"US-Bar", "24753", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "average across canopy; date is 50% canopy abscission, derived from fAPAR measurements (available on request)", "(All)", "20051101", , , , , , 
"US-Bar", "25004", "GRP_PHEN_EVENT_TYPE", "BudBreak", "average across canopy; date is 50% canopy development, derived from fAPAR measurements (available on request)", "(All)", "20040509", , , , , , 
"US-Los", "26724", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20010527", , , , , , 
"US-Los", "26725", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20020425", , , , , , 
"US-Los", "26863", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "19990425", , , , , , 
"US-Los", "26864", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20021023", , , , , , 
"US-Los", "26865", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20041027", , , , , , 
"US-Los", "26866", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20051028", , , , , , 
"US-Los", "27016", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20010926", , , , , , 
"US-Los", "27308", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20040510", , , , , , 
"US-Los", "27311", "GRP_PHEN_EVENT_TYPE", "Total leaf-off", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "19990925", , , , , , 
"US-Los", "27312", "GRP_PHEN_EVENT_TYPE", "Maximum leaf expansion", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "19991020", , , , , , 
"US-Los", "27570", "GRP_PHEN_EVENT_TYPE", "BudBreak", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20010429", , , , , , 
"US-Los", "27571", "GRP_PHEN_EVENT_TYPE", "Leaf senescence", "Data are from Willow Creek, an upland site that is close by.  Differences between Willow Creek (upland) and Lost Creek (wetland) may exist due to species differences, but interannual variations due to climate should be captured in these data.  Data from the WLEF site are also relevant.  WLEF wetland phenological data should be very close to Lost Creek phenology. www.cheas.psu.edu/data/cheas/phenology", "(All)", "20000528", , , , , , 
