"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "REFERENCE_PAPER", "REFERENCE_DOI", "REFERENCE_USAGE", 
"AR-TF1", "1700002511", "GRP_REFERENCE_PAPER", "Euskirchen, E. S., Bret-Harte, M. S., Shaver, G. R., Edgar, C. W., Romanovsky, V. E. (2017) Long-Term Release Of Carbon Dioxide From Arctic Tundra Ecosystems In Alaska, Ecosystems, 20(5), 960-974", "10.1007/s10021-016-0085-9", "Reference", 
"AR-TF1", "1700004704", "GRP_REFERENCE_PAPER", "Holl, D., Pancotto, V., Heger, A., Camargo, S. J., Kutzbach, L. (2019) Cushion Bogs Are Stronger Carbon Dioxide Net Sinks Than Moss-Dominated Bogs As Revealed By Eddy Covariance Measurements On Tierra Del Fuego, Argentina, Biogeosciences, 16(17), 3397-3423", "10.5194/bg-16-3397-2019", "Reference", 
"AR-TF2", "1700002514", "GRP_REFERENCE_PAPER", "Euskirchen, E. S., Bret-Harte, M. S., Shaver, G. R., Edgar, C. W., Romanovsky, V. E. (2017) Long-Term Release Of Carbon Dioxide From Arctic Tundra Ecosystems In Alaska, Ecosystems, 20(5), 960-974", "10.1007/s10021-016-0085-9", "Reference", 
"AR-TF2", "1700004707", "GRP_REFERENCE_PAPER", "Holl, D., Pancotto, V., Heger, A., Camargo, S. J., Kutzbach, L. (2019) Cushion Bogs Are Stronger Carbon Dioxide Net Sinks Than Moss-Dominated Bogs As Revealed By Eddy Covariance Measurements On Tierra Del Fuego, Argentina, Biogeosciences, 16(17), 3397-3423", "10.5194/bg-16-3397-2019", "Reference", 
"BR-CMT", "1700002517", "GRP_REFERENCE_PAPER", "Euskirchen, E. S., Bret-Harte, M. S., Shaver, G. R., Edgar, C. W., Romanovsky, V. E. (2017) Long-Term Release Of Carbon Dioxide From Arctic Tundra Ecosystems In Alaska, Ecosystems, 20(5), 960-974", "10.1007/s10021-016-0085-9", "Reference", 
"BR-CMT", "1700005250", "GRP_REFERENCE_PAPER", "Lathuillière, M.J., Dalmagro, H.J., Black, T.A., Arruda, P.H., Hawthorne, I., Couto, E.G., Johnson, M.S. (2018) Rain-fed and irrigated cropland-atmosphere water fluxes and their implications for agricultural production in Southern Amazonia, Agricultural and Forest Meteorology, 256-257(), 407-419", "10.1016/j.agrformet.2018.03.023", "Reference", 
"BR-CMT", "1700005253", "GRP_REFERENCE_PAPER", "Lathuillière, M.J., Dalmagro, H.J., Black, T.A., Arruda, P.H., Hawthorne, I., Couto, E.G., Johnson, M.S. (2018) Rain-fed and irrigated cropland-atmosphere water fluxes and their implications for agricultural production in Southern Amazonia, Agricultural and Forest Meteorology, 256-257(5), 407-419", "10.1016/j.agrformet.2018.03.023", "Reference", 
"BR-Cui", "1700002520", "GRP_REFERENCE_PAPER", "Euskirchen, E. S., Bret-Harte, M. S., Shaver, G. R., Edgar, C. W., Romanovsky, V. E. (2017) Long-Term Release Of Carbon Dioxide From Arctic Tundra Ecosystems In Alaska, Ecosystems, 20(5), 960-974", "10.1007/s10021-016-0085-9", "Reference", 
"BR-Ma2", "1700000237", "GRP_REFERENCE_PAPER", "Araújo, A. C., Nobre, A. D., Kruijt, B., Elbers, J. A., Dallarosa, R., Stefani, P., von Randow, C., Manzi, A. O., Culf, A. D., Gash, J. H. C., Valentini, R., Kabat, P. (2002) Comparative Measurements Of Carbon Dioxide Fluxes From Two Nearby Towers In A Central Amazonian Rainforest: The Manaus Lba Site, Journal Of Geophysical Research, 107(D20), 72-88", "10.1029/2001JD000676", "Primary_Citation", 
"BR-Ma2", "1700000282", "GRP_REFERENCE_PAPER", "Baker, T. R., Phillips, O. L., Malhi, Y., Almeida, S., Arroyo, L., Di Fiore, A., Erwin, T., Killeen, T. J., Laurance, S. G., Laurance, W. F., Lewis, S. L., Lloyd, J., Monteagudo, A., Neill, D. A., Patino, S., Pitman, N. C., M. Silva, J. N., Vasquez Martinez, R. (2004) Variation In Wood Density Determines Spatial Patterns Inamazonian Forest Biomass, Global Change Biology, 10(5), 545-562", "10.1111/j.1365-2486.2004.00751.x", "Reference", 
"BR-Ma2", "1700000867", "GRP_REFERENCE_PAPER", "Bonan, G.B., Lawrence, P.J., Oleson, K.W., Levis, S., Jung, M., Reichstein, M., Lawrence, D.M., Swenson, S.C. (2011) Improving Canopy Processes In The Community Land Model Version 4 (CLM4) Using Global Flux Fields Empirically Inferred From FLUXNET Data, Journal Of Geophysical Research: Biogeosciences, 116(G2), n/a-n/a", "10.1029/2010jg001593", "Reference", 
"BR-Ma2", "1700000879", "GRP_REFERENCE_PAPER", "Bond-Lamberty, B., Wang, C., Gower, S. T. (2004) A Global Relationship Between The Heterotrophic And Autotrophic Components Of Soil Respiration?, Global Change Biology, 10(10), 1756-1766", "10.1111/j.1365-2486.2004.00816.x", "Reference", 
"BR-Ma2", "1700001173", "GRP_REFERENCE_PAPER", "Chambers, J. Q., Tribuzy, E. S., Toledo, L. C., Crispim, B. F., Higuchi, N., Santos, J. d., Araújo, A. C., Kruijt, B., Nobre, A. D., Trumbore, S. E. (2004) Respiration From A Tropical Forest Ecosystem: Partitioning Of Sources And Low Carbon Use Efficiency, Ecological Applications, 14(sp4), 72-88", "10.1890/01-6012", "Reference", 
"BR-Ma2", "1700002523", "GRP_REFERENCE_PAPER", "Euskirchen, E. S., Bret-Harte, M. S., Shaver, G. R., Edgar, C. W., Romanovsky, V. E. (2017) Long-Term Release Of Carbon Dioxide From Arctic Tundra Ecosystems In Alaska, Ecosystems, 20(5), 960-974", "10.1007/s10021-016-0085-9", "Reference", 
"BR-Ma2", "1700003882", "GRP_REFERENCE_PAPER", "Fisher, J.B., Malhi, Y., Bonal, D., Rocha, H.R.D., Araújo, A.C.D., Gamo, M., Goulden, M.L., Hirano, T., Huete, A.R., Kondo, H., Kumagai, T., Loescher, H.W., Miller, S., Nobre, A.D., Nouvellon, Y., Oberbauer, S.F., Panuthai, S., Roupsard, O., Saleska, S., Tanaka, K., Tanaka, N., Tu, K.P., Randow, C.V. (2009) The Land Atmosphere Water Flux In The Tropics, Global Change Biology, 15(11), 2694-2714", "10.1111/j.1365-2486.2008.01813.x", "Reference", 
"BR-Ma2", "1700004992", "GRP_REFERENCE_PAPER", "Keller, M., Alencar, A., Asner, G. P., Braswell, B., Bustamante, M., Davidson, E., Feldpausch, T., Fernandes, E., Goulden, M., Kabat, P., Kruijt, B., Luizão, F., Miller, S., Markewitz, D., Nobre, A. D., Nobre, C. A., Priante Filho, N., da Rocha, H., Silva Dias, P., von Randow, C., Vourlitis, G. L. (2004) Ecological Research In The Large-Scale Biosphere– Atmosphere Experiment In Amazonia: Early Results, Ecological Applications, 14(sp4), 3-16", "10.1890/03-6003", "Reference", 
"BR-Ma2", "1700005163", "GRP_REFERENCE_PAPER", "Kruijt, B., Elbers, J. A., von Randow, C., Araújo, A. C., Oliveira, P. J., Culf, A., Manzi, A. O., Nobre, A. D., Kabat, P., Moors, E. J. (2004) The Robustness Of Eddy Correlation Fluxes For Amazon Rain Forest Conditions, Ecological Applications, 14(sp4), 101-113", "10.1890/02-6004", "Reference", 
"BR-Ma2", "1700005247", "GRP_REFERENCE_PAPER", "Lasslop, G., Reichstein, M., Papale, D., Richardson, A. D., Arneth, A., Barr, A., Stoy, P., Wohlfahrt, G. (2010) Separation Of Net Ecosystem Exchange Into Assimilation And Respiration Using A Light Response Curve Approach: Critical Issues And Global Evaluation, Global Change Biology, 16(1), 187-208", "10.1111/j.1365-2486.2009.02041.x", "Reference", 
