"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "RESEARCH_TOPIC", 
"AR-TF1", "86264", "GRP_RESEARCH_TOPIC", "Carbon dioxide and energy exchange", 
"AR-TF2", "86282", "GRP_RESEARCH_TOPIC", "Carbon dioxide and energy exchange", 
"BR-CMT", "31052", "GRP_RESEARCH_TOPIC", "Crop modeling, rainfed vs. irrigated soybean water use", 
"BR-CST", "86519", "GRP_RESEARCH_TOPIC", "Land use change", 
"BR-Cui", "79277", "GRP_RESEARCH_TOPIC", "Flux data processing, instrument QA/QC", 
"BR-Npw", "86484", "GRP_RESEARCH_TOPIC", "Carbon fluxes, wetland processes", 
"BR-PRS", "88095", "GRP_RESEARCH_TOPIC", "Research focused on CO2 exchange, ET, and energy balance, in a flooded rice paddy, fallow and growing season.", 
"BR-Sa1", "5894", "GRP_RESEARCH_TOPIC", "The research and science objectives of the LBA Tapajos KM67 Mature Forest site are as follows: 1) Investigate the long-term interannual variance of carbon exchange in old-growth Amazonian forests; 2) Determine the controls on seasonal and inter-annual variations of net ecosystem exchange of CO2, respiration, and photosynthesis, and water exchange; 3) Examine the seasonal limitations of forest growth; 4) Demonstrate that observed sub-canopy horizontal CO2 gradients and wind transport processes yield significant mean net transport of CO2 into or out of the control volume; 5) Examine forest biomass and dynamics at varying spatial scales. (Pyle et al., 2008, Tota et al., 2008, Hutyra et al., 2007)", 
"CA-ARB", "31188", "GRP_RESEARCH_TOPIC", "Peatland carbon and energy exchange with the atmosphere", 
"CA-ARF", "31168", "GRP_RESEARCH_TOPIC", "Peatland carbon and energy exchange with the atmosphere", 
"CA-CF1", "30745", "GRP_RESEARCH_TOPIC", "Subarctic, Fen, Northern", 
"CA-CF2", "30763", "GRP_RESEARCH_TOPIC", "Subarctic, Fen, Northern", 
"CA-DBB", "30793", "GRP_RESEARCH_TOPIC", "Greenhouse gas (CO2, CH4) fluxes, energy and water balance, and ecohydrology of a disturbed and rewetted ecosystem undergoing ecological restoration.", 
"CA-DL1", "12622", "GRP_RESEARCH_TOPIC", "Tundra carbon and energy exchange with the atmosphere", 
"CA-DL2", "12643", "GRP_RESEARCH_TOPIC", "Tundra carbon and energy exchange with the atmosphere", 
"CA-ER1", "81342", "GRP_RESEARCH_TOPIC", "Evaluating effects of fertilizer treatments, best management practices, etc on GHG fluxes", 
"CA-Gro", "4150", "GRP_RESEARCH_TOPIC", "Dynamics of carbon dioxide, water, and energy fluxes and the associated meteorological drivers; assessment of the ecological character of the forest; examination of the use of remote sensing to model carbon dioxide exchange and the status of macronutrients in the canopy.", 
"CA-HPC", "81601", "GRP_RESEARCH_TOPIC", "Comparison of surface-atmosphere carbon and energy exchange at a low-shrub tundra (north of treeline) and at a boreal woodland site (south of treeline), 50 km apart", 
"CA-KLP", "31236", "GRP_RESEARCH_TOPIC", "Peatland carbon and energy exchange with the atmosphere", 
"CA-LuM", "15422", "GRP_RESEARCH_TOPIC", "GHG balance and flux controlsin peatlands exposed to long-term wetting", 
"CA-MA1", "22323", "GRP_RESEARCH_TOPIC", "Agriculture, cropping systems, land-use change; perennial crop", 
"CA-MA2", "22302", "GRP_RESEARCH_TOPIC", "Agriculture, cropping systems, land-use change; perennial crop", 
"CA-MA3", "22280", "GRP_RESEARCH_TOPIC", "Agriculture, cropping systems, land-use change; perennial crop", 
"CA-NS1", "7534", "GRP_RESEARCH_TOPIC", "The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.", 
"CA-NS2", "7535", "GRP_RESEARCH_TOPIC", "The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.", 
"CA-NS3", "5838", "GRP_RESEARCH_TOPIC", "The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.", 
"CA-NS4", "4093", "GRP_RESEARCH_TOPIC", "The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.", 
"CA-NS5", "7581", "GRP_RESEARCH_TOPIC", "The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.", 
"CA-NS6", "4129", "GRP_RESEARCH_TOPIC", "The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.", 
"CA-NS7", "5047", "GRP_RESEARCH_TOPIC", "The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.", 
"CA-NS8", "6725", "GRP_RESEARCH_TOPIC", "The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.", 
"CA-RPn", "85979", "GRP_RESEARCH_TOPIC", "Flux data processing, site comparison with adjacent peatland pasture", 
"CA-RPp", "86005", "GRP_RESEARCH_TOPIC", "Flux data processing, site comparison with adjacent peatland pasture", 
"CA-SCB", "85758", "GRP_RESEARCH_TOPIC", "Permafrost thaw effects on land-atmosphere interactions", 
"CA-SCC", "30595", "GRP_RESEARCH_TOPIC", "Permafrost thaw effects on land-atmosphere interactions", 
"CA-SMC", "81488", "GRP_RESEARCH_TOPIC", "Comparison of surface-atmosphere carbon and energy exchange at a boreal forest-peatland landscape undergoing changes in hydrological regimes due to rapid permafrost thaw.", 
"CA-TVC", "81494", "GRP_RESEARCH_TOPIC", "Comparison of surface-atmosphere carbon and energy exchange at a low-shrub tundra (north of treeline) and at a boreal woodland site (south of treeline), 50 km apart", 
"CL-SDF", "30265", "GRP_RESEARCH_TOPIC", "Greenhouse gas balance", 
"CL-SDP", "30242", "GRP_RESEARCH_TOPIC", "Greenhouse gas balance", 
"CR-Fsc", "31094", "GRP_RESEARCH_TOPIC", "Focus on crop water use dinamics, crop responses to drought and crop's  water and carbon footprint.", 
"CR-Nmr", "31076", "GRP_RESEARCH_TOPIC", "Focus on crop water use dinamics, crop responses to drought and crop's  water and carbon footprint.", 
"MX-EMg", "85725", "GRP_RESEARCH_TOPIC", "1) Comparison of NEEef and NPPmod17a. 2) Comparison of GPP ef (Reco fide Reichstein et al. 2005) and GPPmod17a. 3) Parameterize and elucidate mechanisms of ecosystem response to weather and climate fluctuations on scale of hours to years. 4) Validate/modify soil CO2 efflux models for a subtropical water-limited site. 5) Investigate the degree and significance of functional diversity among species. 6) Compare ecosystem morpho-functional character parameters to ecosystems models. 7) Investigate the degree and significance of diurnal-nocturnal variation in transpiration and soil CO2 efflux. 8) Participate in comparison among sites differing in the seasonality and levels of precipitation and temperature. 9) Investigate multi-year trends in ecosystem metabolism during change after fire.   11) Improve methods of monitoring temporal and spatial variation in ecosystems and plant performance, including site unfeasible for eddy covariance methods. 12) Investiagte the roles in EF CO2 and H2O fluxes of advection from the Pacific and interior.", 
"MX-Lpa", "6740", "GRP_RESEARCH_TOPIC", "NPP, CO2 flux, lateral C transport, water budget,", 
"MX-PMm", "83435", "GRP_RESEARCH_TOPIC", "Mangrove energy, water and carbon fluxes, environmental controls on fluxes, seasonality of fluxes as related to seasonal flooding, regeneration of mangrove after hurricane and effects on fluxes, scaling measured fluxes to cover larger spatial area, modeling of effects of land use change (coastal development and hydrological disruptions) on fluxes", 
"PA-Bar", "10169", "GRP_RESEARCH_TOPIC", "Carbon cycle of tropical forest", 
"PE-TNR", "85920", "GRP_RESEARCH_TOPIC", "Carbon and water cycle dynamics through EC and biometric measurements in permanent forest plots. Calibrated CO2 air concentration (NOAA).", 
"US-A03", "85013", "GRP_RESEARCH_TOPIC", "Greenhouse Gas fluxes, energy balance and partitioning", 
