"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "ROOT_C", "ROOT_N", "ROOT_SPP", "ROOT_DATE", "ROOT_COMMENT", "ROOT_CN_RATIO", 
"CA-Mer", "25709", "GRP_ROOT_CHEM", "4.59", "0.027", "(Unknown)", "20030831", "values from litter sample. Carlo Erba NC-2500 elemental analyzer, Moore et al. (2007, Ecosystems 10, 949-963)", , 
"US-Dk2", "26053", "GRP_ROOT_CHEM", "4.38", "3.52", "(Unknown)", "2004", "Sumer; Unpublished data, K. Johnsen et al.", , 
"US-Dk3", "25898", "GRP_ROOT_CHEM", , "0.086", "(Unknown)", "2003", "fine roots only", , 
"US-Dk3", "26019", "GRP_ROOT_CHEM", , "0.085", "(Unknown)", "2005", "fine roots only", , 
"US-Dk3", "26967", "GRP_ROOT_CHEM", , "0.076", "(Unknown)", "2001", "fine roots only", , 
"US-Dk3", "26968", "GRP_ROOT_CHEM", , "0.0976", "(Unknown)", "2007", "all roots, pers. comm. from Rob Jackson and Will Cook", , 
"US-Dk3", "26969", "GRP_ROOT_CHEM", "4.3", , "(Unknown)", "2004", "pers. comm. from Rob Jackson and Will Cook", , 
"US-Dk3", "27206", "GRP_ROOT_CHEM", , "0.069", "(Unknown)", "2004", "fine roots only", , 
"US-Dk3", "27257", "GRP_ROOT_CHEM", "4.3", "0.0976", "(Unknown)", "2005", "all roots, pers. comm. from Rob Jackson and Will Cook", , 
"US-Dk3", "27830", "GRP_ROOT_CHEM", , "0.076", "(Unknown)", "2002", "fine roots only", , 
"US-Dk3", "27892", "GRP_ROOT_CHEM", , "0.0976", "(Unknown)", "2006", "all roots, pers. comm. from Rob Jackson and Will Cook", , 
"US-Dk3", "29089", "GRP_ROOT_CHEM", "4.3", , "(Unknown)", "2003", "pers. comm. from Rob Jackson and Will Cook", , 
"US-IB2", "24266", "GRP_ROOT_CHEM", "4.04", "0.038", "(Unknown)", "2001", "depth (cm) 25-50", , 
"US-IB2", "24901", "GRP_ROOT_CHEM", "4.24", "0.046", "(Unknown)", "2001", "depth (cm) 0-5", , 
"US-IB2", "24902", "GRP_ROOT_CHEM", "3.5", "0.045", "(Unknown)", "2001", "depth (cm) 75-100", , 
"US-IB2", "25018", "GRP_ROOT_CHEM", "4.38", "0.037", "(Unknown)", "2001", "depth (cm) 5-15", , 
"US-IB2", "25019", "GRP_ROOT_CHEM", "4.4", "0.039", "(Unknown)", "2001", "depth (cm) 15-25", , 
"US-IB2", "25020", "GRP_ROOT_CHEM", "3.7", "0.043", "(Unknown)", "2001", "depth (cm) 50-75", , 
"US-MMS", "23742", "GRP_ROOT_CHEM", "4.53", , "(Unknown)", , "Perkin & Elmer CHN analyzer", , 
"US-PFa", "27313", "GRP_ROOT_CHEM", , "0.073", "(Unknown)", "1999", "1998-99 average; 60-100 cm, P. Bolstad, taken from Willow Creek", , 
"US-PFa", "27322", "GRP_ROOT_CHEM", "12.54", , "(Unknown)", , "12.54 t/ha; P. Bolstad, from Willow Creek", , 
"US-PFa", "27323", "GRP_ROOT_CHEM", , "0.091", "(Unknown)", "1999", "1998-99 average; 0-30 cm, P. Bolstad, taken from Willow Creek", , 
"US-PFa", "27942", "GRP_ROOT_CHEM", , "0.068", "(Unknown)", "1999", "1998-99 average; 30-60 cm, P. Bolstad, taken from Willow Creek", , 
"US-SO2", "24888", "GRP_ROOT_CHEM", , , "(Unknown)", , "Fine root C:N ratio 67.7 kgC/kgN", "67.7", 
"US-SO3", "27968", "GRP_ROOT_CHEM", , , "(Unknown)", , "Fine root C:N ratio 67.7 kgC/kgN", "67.7", 
"US-SO4", "29047", "GRP_ROOT_CHEM", , , "(Unknown)", , "Fine root C:N ratio 67.7 kgC/kgN", "67.7", 
"US-UMB", "23844", "GRP_ROOT_CHEM", "4.67", "0.063", "(Unknown)", "19980715", "fine roots", , 
"US-UMB", "24878", "GRP_ROOT_CHEM", "4.69", "0.024", "(Unknown)", "19980715", "coarse roots", , 
"US-WCr", "26750", "GRP_ROOT_CHEM", , "0.073", "(Unknown)", "1999", "1998-99 average; 60-100 cm, P. Bolstad, taken from Willow Creek", , 
"US-WCr", "26898", "GRP_ROOT_CHEM", , "0.068", "(Unknown)", "1999", "1998-99 average; 30-60 cm, P. Bolstad, taken from Willow Creek", , 
"US-WCr", "28315", "GRP_ROOT_CHEM", , "0.091", "(Unknown)", "1999", "1998-99 average; 0-30 cm, P. Bolstad, taken from Willow Creek", , 
"US-WCr", "28560", "GRP_ROOT_CHEM", "4.114", , "(Unknown)", , "Martin & Bolstad 2005", , 
