"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "ROOT_PROD_CRS", "ROOT_PROD_FINE", "ROOT_PROD_TOT", "ROOT_PROD_UNIT", "ROOT_PROD_COMMENT", "ROOT_PROD_FINE_SPATIAL_VARIABILITY", "ROOT_PROD_PROFILE_MIN", "ROOT_PROD_PROFILE_MAX", "ROOT_PROD_DATE_START", "ROOT_PROD_APPROACH", "ROOT_PROD_DATE_END", 
"CA-Oas", "25588", "GRP_ROOT_PROD", "26", "81", "107", "gC m-2", "Data from Alison Deanne Theede (2007)", , , , , , , 
"CA-Ojp", "27761", "GRP_ROOT_PROD", , "70", "80", "gC m-2", "Howard et al 2004 (Global Change Biology 10,1-18)", "40", "0", "30", "1999", , , 
"CA-Ojp", "28644", "GRP_ROOT_PROD", "10", , , "gC m-2", "Howard et al 2004 (Global Change Biology 10,1-18)", , , , "1999", , , 
"CA-SJ3", "28167", "GRP_ROOT_PROD", , "110", "140", "gC m-2", "1999 (Howard et al); as the annual increment in biomass using allometry (Howard et al. 2004)", , "0", "30", , , , 
"CA-SJ3", "28275", "GRP_ROOT_PROD", "30", , , "gC m-2", "1999 (Howard et al); as the annual increment in biomass using allometry (Howard et al. 2004)", , , , , , , 
"CA-TP1", "27909", "GRP_ROOT_PROD", "58", , , "gC m-2", "total and coarse roots is >2mm", , "0", "100", "20061002", "difference between annual root biomass stock", , 
"CA-TP1", "28174", "GRP_ROOT_PROD", "38", , , "gC m-2", "total and coarse roots is >2mm", , "0", "100", "20050928", "difference between annual root biomass stock", , 
"CA-TP1", "28280", "GRP_ROOT_PROD", "56", , , "gC m-2", "total and coarse roots is >2mm", , "0", "100", "20071016", "difference between annual root biomass stock", , 
"CA-TP2", "26722", "GRP_ROOT_PROD", "94.6076104829163", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20061026", "difference between annual standing root biomass stock", , 
"CA-TP2", "28522", "GRP_ROOT_PROD", "90.4570661043584", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20070927", "difference between annual standing root biomass stock", , 
"CA-TP2", "29126", "GRP_ROOT_PROD", "79.2664430809791", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20050926", "difference between annual standing root biomass stock", , 
"CA-TP3", "27299", "GRP_ROOT_PROD", "44.4226706124685", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20050926", "difference between annual standing root biomass stock", , 
"CA-TP3", "27919", "GRP_ROOT_PROD", "24.8563444977905", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20040927", "difference between annual standing root biomass stock", , 
"CA-TP3", "27920", "GRP_ROOT_PROD", "33.2771660303901", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20071104", "difference between annual standing root biomass stock", , 
"CA-TP4", "25655", "GRP_ROOT_PROD", "48.9272472649711", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20071024", , , 
"CA-TP4", "26263", "GRP_ROOT_PROD", "14.6379749202388", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20051009", , , 
"CA-TP4", "26497", "GRP_ROOT_PROD", "70.0563617800912", , , "gC m-2", "coarse root is >2mm", , "0", "100", "20061024", , , 
"US-Dk3", "27216", "GRP_ROOT_PROD", , "33", , "gC m-2", "(1) McCarthy, H.R. 2007 ( Long-term effects of elevated CO2, soil nutrition, water availability and disturbance on carbon relations in a loblolly pine forest.  PhD Dissertation.    Nicholas School of the Environment, Duke University.", , "0", "30", "2002", , , 
