"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SA", "SA_DATE", "SA_COMMENT", "SA_MAX", "SA_APPROACH", "SA_DATE_UNC", 
"CA-Ca1", "25322", "GRP_SA", "54", "2008", "Morgernstern, et al., 2004, mean age + 4 years", , , , 
"CA-Ca1", "25443", "GRP_SA", , "2008", "CCP DIS estimate for 2002 data + 6 years", "66", , , 
"CA-Ca2", "27893", "GRP_SA", "8", , "date of planting", , , , 
"CA-Ca3", "29096", "GRP_SA", "19", , "planted 1988; Humphreys etal., 2006", "19", , , 
"CA-Gro", "26148", "GRP_SA", "74", "2005", "JM Chen et al. (2006, Agricultural and Forest Meteorology 140, 257-268)", , , , 
"CA-Man", "26379", "GRP_SA", "155", "1994", "Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , 
"CA-Na1", "24813", "GRP_SA", "35", , "(range 32-37) 32_37", , , , 
"CA-Na1", "25077", "GRP_SA", , , , "37", , , 
"CA-NS1", "24814", "GRP_SA", "154", , "2004", , , , 
"CA-NS2", "24180", "GRP_SA", "74", , , , , , 
"CA-NS3", "24181", "GRP_SA", "40", , "2004", , , , 
"CA-NS5", "24425", "GRP_SA", "23", , , , , , 
"CA-NS6", "24182", "GRP_SA", "15", , , , , , 
"CA-NS7", "24949", "GRP_SA", "6", , , , , , 
"CA-Oas", "26204", "GRP_SA", "85", "2004", , , , , 
"CA-Obs", "26211", "GRP_SA", "111", "2005", "Mean stand age comments", , , , 
"CA-Ojp", "25999", "GRP_SA", "91", "2005", "measured followed Fluxnet-Canada protocol", , , , 
"CA-Qfo", "25506", "GRP_SA", "100", "2005", "measured followed Fluxnet-Canada protocol", , , , 
"CA-SF1", "24819", "GRP_SA", "30", , "Template: … regenerated after 1977 fire", , , , 
"CA-SF2", "24429", "GRP_SA", "17", , "Template: … regenerated after 1989 fire", , , , 
"CA-SF3", "24820", "GRP_SA", "9", , "Template: Young jackpine, black spruce and trembling aspen following 1998 fire", , , , 
"CA-SJ1", "29461", "GRP_SA", "11", "2005", "measured followed Fluxnet-Canada protocol", , , , 
"CA-SJ2", "29459", "GRP_SA", "3", "2005", "measured followed Fluxnet-Canada protocol", , , , 
"CA-SJ3", "29464", "GRP_SA", "30", "2005", "measured followed Fluxnet-Canada protocol", , , , 
"CA-TP1", "29000", "GRP_SA", , "2008", "even-aged stand", "6", , , 
"CA-TP1", "29111", "GRP_SA", "6", "2008", "Stand age in 2008", , , , 
"CA-TP2", "26717", "GRP_SA", , "2008", "Trees are even-aged", "19", , , 
"CA-TP2", "26852", "GRP_SA", "19", "2008", "Stand age in 2008", , , , 
"CA-TP3", "26859", "GRP_SA", , "2008", "Trees are even-aged", "34", , , 
"CA-TP3", "29119", "GRP_SA", "34", "2008", "Stand age in 2008", , , , 
"CA-TP4", "25243", "GRP_SA", "69", "2008", "Stand age in 2008", , , , 
"CA-TP4", "25380", "GRP_SA", , "2008", "dominant trees are even-aged", "69", , , 
"CA-WP1", "25630", "GRP_SA", "45", "2004", "Picea mariana", , , , 
"CA-WP1", "25631", "GRP_SA", "135", "2004", "Larix laricina", , , , 
"US-Atq", "24847", "GRP_SA", "9000", "2008", , "9000", , , 
"US-Bar", "24496", "GRP_SA", "99", "2006", "based on aging of cores extracted from trees in 12 FIA-style plots", , , , 
"US-Bar", "24886", "GRP_SA", , "2006", , "130", , , 
"US-Blo", "25079", "GRP_SA", "17", , "
planted in 1990", , , , 
"US-Bn1", "24426", "GRP_SA", "80", , "Liu et al JGR 2005
", , , , 
"US-Bn2", "23928", "GRP_SA", "15", , "Liu et al JGR 2005
", , , , 
"US-Bn3", "25073", "GRP_SA", "3", , "Liu et al JGR 2005
", , , , 
"US-Brw", "24204", "GRP_SA", "9000", "2008", , "9000", , , 
"US-Dk1", "29048", "GRP_SA", , , "The site is harvested at least once per year. The age distribution of the root system is unknown.", "1", , , 
"US-Dk1", "29515", "GRP_SA", "1", , "See http://face.env.duke.edu/sitehistory.cfm. Johnston tract, purchased May 26, 1944. Northern area partially burned in 1951, apparent wildfire. Eastern portion clear-cut 1963-64. Western section thinned 1964-65. Central portion cleared in 1978/79. Outer perimeter of field cleared in 1980. Prescribe-burned 1989 and 1991. Mowed at least once per year since 1992", , , , 
"US-Dk2", "25024", "GRP_SA", "90", "2006", , , , , 
"US-Dk2", "25155", "GRP_SA", , "2006", "(range 80-100) The stand is of uniform age", "90", , , 
"US-Dk3", "27847", "GRP_SA", "20", "2003", "Site was established in 1983", , , , 
"US-Dk3", "27848", "GRP_SA", , "2003", "The stand is of uniform age", "20", , , 
"US-Fmf", "24036", "GRP_SA", "100", , "
circa 100", , , , 
"US-FR2", "24559", "GRP_SA", "16", , , "30", , , 
"US-Fuf", "25074", "GRP_SA", "100", , "
circa 100", , , , 
"US-Ha1", "17366", "GRP_SA", "80.5", "2003", "source: Neil Pederson, pHd thesis, Columbia University.", "107", , , 
"US-Ha2", "24427", "GRP_SA", , , , "230", , , 
"US-Ho1", "24726", "GRP_SA", , "2008", "some trees survived 1820 fire", "214", , , 
"US-Ho1", "24970", "GRP_SA", "109", "2008", "mean age of all trees >4 inches DBH", , , , 
"US-Ho2", "24457", "GRP_SA", "109", , "mean age of all trees >4 inches DBH", , , , 
"US-Ho2", "24727", "GRP_SA", , , "some trees survived 1820 fire", "214", , , 
"US-Ho3", "23707", "GRP_SA", , "2005", "a few old trees", "141", , , 
"US-Ho3", "24585", "GRP_SA", "80", "2005", , , , , 
