"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TERRAIN", "ASPECT", "WIND_DIRECTION", "SURFACE_HOMOGENEITY", "SITE_SNOW_COVER_DAYS", 
"AR-TF1", "86267", "GRP_SITE_CHAR", "Flat", "FLAT", "NNW", "200", , 
"AR-TF2", "86277", "GRP_SITE_CHAR", "Valley", "FLAT", "WNW", "200", , 
"BR-CMT", "31054", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "NNE", "NNE", "1200", "0", 
"BR-CST", "86521", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", , "SW", "1300", "0", 
"BR-Cui", "79279", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "NE", "NE", "150", "0", 
"BR-Ma2", "22240", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "Flat", "NNE", , "0", 
"BR-Npw", "86495", "GRP_SITE_CHAR", "Flat", "FLAT", "N", "1000", "0", 
"BR-PRS", "88093", "GRP_SITE_CHAR", "Flat", "FLAT", "SE", , , 
"CA-ARB", "31190", "GRP_SITE_CHAR", "FLAT", "FLAT", "NW", "300", "205", 
"CA-ARF", "31170", "GRP_SITE_CHAR", "FLAT", "FLAT", "NW", "300", "205", 
"CA-Ca1", "23620", "GRP_SITE_CHAR", "Significant Slope (>5%, <10%)", "NE", "SE", "800", , 
"CA-Ca2", "23596", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "ESE", "E", "200", , 
"CA-Ca3", "23579", "GRP_SITE_CHAR", "Medium Slope (>2 %, <5%)", "SE", "SE", "400", , 
"CA-CF1", "30743", "GRP_SITE_CHAR", "flat", , , "300", , 
"CA-CF2", "30753", "GRP_SITE_CHAR", "flat", , , "300", , 
"CA-DBB", "30795", "GRP_SITE_CHAR", "FLAT", "S", "SSE", "340", "10", 
"CA-DL1", "12624", "GRP_SITE_CHAR", "Gentle slope (<2 %)", "SE", "NW", "200", "205", 
"CA-DL2", "12645", "GRP_SITE_CHAR", "FLAT", "FLAT", "NW", "300", "205", 
"CA-ER1", "81339", "GRP_SITE_CHAR", "Flat", "FLAT", "W", "400", "70", 
"CA-Gro", "4153", "GRP_SITE_CHAR", "Flat", , , , , 
"CA-HPC", "81594", "GRP_SITE_CHAR", "Flat", "FLAT", "E", "600", "135", 
"CA-KLP", "31238", "GRP_SITE_CHAR", "Flat", "FLAT", "NW", "300", "205", 
