"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_DESC", 
"AR-TF1", "86261", "GRP_SITE_DESC", "Astelia pumila and Donatia fascicularis dominated cushion bog", 
"AR-TF2", "86278", "GRP_SITE_DESC", "Pristine Sphagnum magellanicum dominated bog located in Parque Nacional Tierra del Fuego. The peatland extends about 60 ha.", 
"BR-CMT", "31055", "GRP_SITE_DESC", "This site is located at Capuaba farm, a 1500 ha farm in the municipality of Lucas do Rio Verde. The site is located between a rainfed and an irrigated field with rotations of soybean, maize, rice and beans", 
"BR-CST", "86522", "GRP_SITE_DESC", "This tower is located in a seasonal tropical dry forest (caatinga) in the semi-arid region of Brazil. There is no wood extraction for at least 50 years, and because it is an open area, there is cattle grazing during the wet season.", 
"BR-Cui", "79280", "GRP_SITE_DESC", "This tower is located in the experimental site of Cuiarana, northeast coast of the Brazilian Amazon, state of Pará, installed in a mangrove ecosystem, under the influence of the tidal pulses of the Atlantic Ocean and basic flow of the trade winds. It was installed in 2014, initially collecting CO2 concentration and then installed eddy covariance system.", 
"BR-Ma2", "22241", "GRP_SITE_DESC", "The K34 tower is deployed in a medium elevation plateau in the Cuieiras Biological Reserve, a primary forest area, property of INPA, 60Km north of Manaus, in the Km34 of the of the auxiliary road of the ZF2 Reserve.", 
"BR-Npw", "86499", "GRP_SITE_DESC", "The site is located in the northern Pantanal in central South America. The site is subject to seasonal flooding with distinct wet seasons (November to April) and dry seasons (May to October).", 
"BR-PRS", "88103", "GRP_SITE_DESC", "Rice paddy in a private farm, with four months growing season and 8 months fallow", 
"BR-Sa1", "4123", "GRP_SITE_DESC", "The LBA Tapajos KM67 Mature Forest site is located in the Tapajos National Forest, a 450,000 ha closed-canopy upland forest in Amazonian Brazil. Bounded by the Tapajos River in the west and highway BR-163 to the east, the tower is located on a flat plateau (or planalto) that extends up to 150 km to the north, south, and east. Within the confines of the National Forest, anthropogenic disturbances are limited to a few small hunting trails. The surrounding stand is classified as primary or "old-growth"" predominantly by its uneven age distribution,  emergent trees,  numerous epiphytes and abundant large logs. In 2007 falling trees hit the tower guy wires rendering all instrumentation in-operational. After a complete restoration tower measurements resumed in August of 2008.", 
"BR-Sa3", "766", "GRP_SITE_DESC", "Cleared forest. Logged site is near km 83 along BR-183.", 
"CA-ARB", "33713", "GRP_SITE_DESC", "Ontario Ministry of Environment and Climate Change's Environmental Monitoring and Reporting Branch has 
established five carbon flux monitoring towers in Ontario’s Far North as part of its Climate Change Modelling and Monitoring program. These long term monitoring stations measure carbon exchange and a suite of soil and meteorological parameters over peatland ecosystems to better understand carbon cycling in Ontario’s Far North. Information produced by these monitoring stations will assist the province in land use planning and the development of climate change adaptation strategies.", 
"CA-ARF", "33716", "GRP_SITE_DESC", "Ontario Ministry of Environment and Climate Change's Environmental Monitoring and Reporting Branch has 
established five carbon flux monitoring towers in Ontario’s Far North as part of its Climate Change Modelling and Monitoring program. These long term monitoring stations measure carbon exchange and a suite of soil and meteorological parameters over peatland ecosystems to better understand carbon cycling in Ontario’s Far North. Information produced by these monitoring stations will assist the province in land use planning and the development of climate change adaptation strategies.", 
