"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SITE_FUNDING", 
"AR-TF1", "86254", "GRP_SITE_FUNDING", "DFG", 
"AR-TF2", "86286", "GRP_SITE_FUNDING", "DFG", 
"BR-CMT", "85935", "GRP_SITE_FUNDING", "Established with Belmont G8 Research Councils Freshwater Security Grant, NSERC", 
"BR-CST", "86523", "GRP_SITE_FUNDING", "CNPq, FACEPE, CAPES", 
"BR-Cui", "79281", "GRP_SITE_FUNDING", "DOE BER", 
"BR-Ma2", "22242", "GRP_SITE_FUNDING", "Ministério da Ciência, Tecnologia e Inovação (MCTI), EUSTACH, CARBONSINK, ECOCARBON, NASA (LBA-ECO)", 
"BR-Npw", "86491", "GRP_SITE_FUNDING", "INCT-INAU, CNPq", 
"BR-PRS", "88108", "GRP_SITE_FUNDING", "CNPq, FAPERGS, FAPES, MCT", 
"BR-Sa1", "5861", "GRP_SITE_FUNDING", "NSF PIRE", 
"BR-Sa3", "9296", "GRP_SITE_FUNDING", "NASA", 
"CA-CF1", "30729", "GRP_SITE_FUNDING", "Funding was provided by the Natural Sciences and Engineering Council of Canada (NSERC) Discovery Program, the Canada Foundation for Innovation, the Canada Research Chair, Program in Applied Soil Ecology, the ArcticNet Network of Centres of Excellence of Canada, NSERC postgraduate scholarship, the Weston Award for Northern Research, the Northern Scientific Training Program, the Environment Canada Science Horizons Program, and the Churchill Northern Studies Centre Northern Research Fund.", 
"CA-CF2", "30749", "GRP_SITE_FUNDING", "Funding was provided by the Natural Sciences and Engineering Council of Canada (NSERC) Discovery Program, the Canada Foundation for Innovation, the Canada Research Chair, Program in Applied Soil Ecology, the ArcticNet Network of Centres of Excellence of Canada, NSERC postgraduate scholarship, the Weston Award for Northern Research, the Northern Scientific Training Program, the Environment Canada Science Horizons Program, and the Churchill Northern Studies Centre Northern Research Fund.", 
"CA-DBB", "30797", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Research Council (NSERC), Canada Foundation for Innovation, Metro Vancouver", 
"CA-DL1", "12626", "GRP_SITE_FUNDING", "NSERC, CFCAS, CFI", 
"CA-DL2", "12647", "GRP_SITE_FUNDING", "NSERC, CFCAS, CFI", 
"CA-ER1", "81332", "GRP_SITE_FUNDING", "Various for different time periods.  OMAFRA, NSERC, AAFC", 
"CA-Gro", "2502", "GRP_SITE_FUNDING", "Currently, the Ontario Ministry of the Environment is the principal funder", 
"CA-HPC", "81583", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Reseaerch Council of Canada (NSERC) Canada Research Chairs Program (CRC) Canada Foundation for Innovation", 
"CA-LuM", "15425", "GRP_SITE_FUNDING", "Deutsche Forschungsgemeinschaft (DFG) (BL563/21-1) and German Federal
Ministry of Education and Research (01LL0906D)", 
"CA-MA1", "22327", "GRP_SITE_FUNDING", "Canada Natural Sciences and Engineering Research Council; Canadian Foundation for Innovation; Manitoba Agricultural Sustainable Practices Program and Growing Forward (Manitoba Agriculture, Food and Rural Initiatives); University of Manitoba GETS program; Agriculture and Agri-Food Canada Agricultural Greenhouse Gas Program", 
"CA-MA2", "22306", "GRP_SITE_FUNDING", "Canada Natural Sciences and Engineering Research Council; Canadian Foundation for Innovation; Manitoba Agricultural Sustainable Practices Program and Growing Forward (Manitoba Agriculture, Food and Rural Initiatives); University of Manitoba GETS program; Agriculture and Agri-Food Canada Agricultural Greenhouse Gas Program", 
"CA-MA3", "22284", "GRP_SITE_FUNDING", "Canada Natural Sciences and Engineering Research Council; Canadian Foundation for Innovation; Manitoba Agricultural Sustainable Practices Program and Growing Forward (Manitoba Agriculture, Food and Rural Initiatives); University of Manitoba GETS program; Agriculture and Agri-Food Canada Agricultural Greenhouse Gas Program", 
"CA-Man", "8450", "GRP_SITE_FUNDING", "DOE, NSF, Canadian Foundation for Climate and Atmospsheric Science, BIOCAP Canada", 
"CA-MR3", "79351", "GRP_SITE_FUNDING", "Rangeland Research University (University of Alberta), NSERC, and iCORE/AITF", 
"CA-MR5", "79370", "GRP_SITE_FUNDING", "Rangeland Research University (University of Alberta), NSERC, and iCORE/AITF", 
"CA-NS1", "5015", "GRP_SITE_FUNDING", "DOE/TCP", 
"CA-NS2", "2454", "GRP_SITE_FUNDING", "DOE/TCP", 
"CA-NS3", "10136", "GRP_SITE_FUNDING", "DOE/TCP", 
"CA-NS4", "8417", "GRP_SITE_FUNDING", "DOE/TCP", 
"CA-NS5", "2455", "GRP_SITE_FUNDING", "DOE/TCP", 
"CA-NS6", "5862", "GRP_SITE_FUNDING", "DOE/TCP", 
"CA-NS7", "10137", "GRP_SITE_FUNDING", "DOE/TCP", 
"CA-NS8", "5016", "GRP_SITE_FUNDING", "DOE/TCP", 
"CA-Qcu", "15774", "GRP_SITE_FUNDING", "Canadian Foundation for Climate and Atmospheric Sciences (CFCAS) and the Natural Sciences and Engineering Council of Canada (NSERC).", 
"CA-Qfo", "15775", "GRP_SITE_FUNDING", "Canadian Foundation for Climate and Atmospheric Sciences (CFCAS) and the Natural Sciences and Engineering Council of Canada (NSERC).", 
"CA-RPn", "85974", "GRP_SITE_FUNDING", "Natural Sciences and Engineering Research Council of Canada (NSERC) Discovery Grant; Canada Foundation for Innovation; John R. Evans Leaders Fund, Research & Development Corporation (RDC, NL); Leverage R&D, RDC-Ignite R&D, RDC-RCRI (Regional Collaborative Research Initiative); Agricultural Research Initiative (NL); Humber River Basin Research Initiative of NL; Grenfell Campus’ Start-up Research Fund; Vice-President Research Fund; Graduate Student Stipend funding from the Institute for Biodiversity, Ecosystem Science, and Sustainability (IBES, NL); Graduate Student Baseline Fellowship from School of Graduate Studies, Memorial University", 
