"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SNAG_MASS", "SNAG_MASS_UNIT", "SNAG_MASS_DATE", "SNAG_MASS_COMMENT", "SNAG_MASS_SPATIAL_VARIABILITY", "SNAG_MASS_APPROACH", "SNAG_MASS_SPATIAL_REP_NUMBER", "SNAG_MASS_DATE_UNC", 
"CA-Ca1", "25940", "GRP_SNAG_MASS", "1", "gC m-2", "20021108", "269-312/2002;calculated from CNFI data on CCP DIS", , , , , 
"CA-Ca2", "29450", "GRP_SNAG_MASS", "0", "gC m-2", "20021108", "269-312/2002; calculated from CNFI data on CCP DIS", , , , , 
"CA-Ca3", "26835", "GRP_SNAG_MASS", "0", "gC m-2", "20021108", "269-312/2002; calculated from CNFI data on CCP DIS", , , , , 
"CA-Man", "26500", "GRP_SNAG_MASS", "381", "gC m-2", "1994", "data from Gower et al. (1997, J Geophy Res 102, 29029-29041)", , , , , 
"CA-Oas", "28019", "GRP_SNAG_MASS", "610", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", "159", , , , 
"CA-Oas", "28636", "GRP_SNAG_MASS", "860", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", "160", , , , 
"CA-Obs", "26212", "GRP_SNAG_MASS", "616", "gC m-2", "1993", "Gower et al. (1997, J Geophy Res, 29029-29041)", , , , , 
"CA-Ojp", "27123", "GRP_SNAG_MASS", "530", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", "210", , , , 
"CA-Ojp", "29365", "GRP_SNAG_MASS", "660", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", "190", , , , 
"CA-Qfo", "25661", "GRP_SNAG_MASS", "1000", "gC m-2", , "data from Bergeron et al. (2007, Global Change Biology 13, 89-107)", , , , , 
"CA-SJ1", "29105", "GRP_SNAG_MASS", "0.7", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , 
"CA-SJ2", "28272", "GRP_SNAG_MASS", "0", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol", , , , , 
"CA-SJ3", "29108", "GRP_SNAG_MASS", "3.36", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol", , , , , 
"CA-TP1", "26849", "GRP_SNAG_MASS", "0", "gC m-2", "20061002", , , , , , 
"CA-TP1", "26850", "GRP_SNAG_MASS", "0", "gC m-2", "20071016", , , , , , 
"CA-TP1", "29003", "GRP_SNAG_MASS", "0", "gC m-2", "20050928", , , , , , 
"CA-TP1", "29113", "GRP_SNAG_MASS", "0", "gC m-2", "20041001", , , , , , 
"CA-TP2", "27002", "GRP_SNAG_MASS", "28", "gC m-2", "20070927", , , , , , 
"CA-TP2", "27293", "GRP_SNAG_MASS", "11", "gC m-2", "20061026", , , , , , 
"CA-TP2", "27916", "GRP_SNAG_MASS", "11", "gC m-2", "20040923", , , , , , 
"CA-TP2", "28183", "GRP_SNAG_MASS", "11", "gC m-2", "20050926", , , , , , 
"CA-TP3", "27304", "GRP_SNAG_MASS", "8", "gC m-2", "20050926", , , , , , 
