"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_CHEM_PH_H2O", "SOIL_CHEM_PROFILE_MIN", "SOIL_CHEM_PROFILE_MAX", "SOIL_CHEM_HORIZON", "SOIL_CHEM_COMMENT", "SOIL_CHEM_C_ORG", "SOIL_CHEM_DATE", "SOIL_CHEM_PH_SALT", "SOIL_CHEM_N_TOT", "SOIL_CHEM_BD", "SOIL_CHEM_C_ORG_SPATIAL_VARIABILITY", "SOIL_CHEM_N_TOT_SPATIAL_VARIABILITY", "SOIL_CHEM_PH_SALT_SPATIAL_VARIABILITY", "SOIL_CHEM_BD_SPATIAL_VARIABILITY", "SOIL_CHEM_PROFILE_ZERO_REF", "SOIL_CHEM_BD_SPATIAL_REP_NUMBER", "SOIL_CHEM_DATE_UNC", 
"BR-Ma2", "24033", "GRP_SOIL_CHEM", "3.9", "0", "10", "A", "Luziao et al GBC 10 2004:
; Luziao et al GBC 10 2004:
", , , , , , , , , , , , , 
"BR-Ma2", "24436", "GRP_SOIL_CHEM", , "0", "10", "A", "Luziao et al GBC 10 2004:
SOM 6.6%; Luziao et al GBC 10 2004:
", "33", , , , , , , , , , , , 
"CA-Ca1", "25449", "GRP_SOIL_CHEM", , "3", "103", , "mineral", "120", "2002", , , , , , , , , , , 
"CA-Ca1", "25586", "GRP_SOIL_CHEM", , "3", "103", , "calculated from CNFI data on CCP DIS", , "2002", "5", , , , , , , , , , 
"CA-Ca1", "25695", "GRP_SOIL_CHEM", , "3", "103", , "N taken as mean of range in table 1. Humphrey et al. 2007", , "2002", , "24", , , , , , , , , 
"CA-Ca1", "25824", "GRP_SOIL_CHEM", , "0", "3", , "organic", "30", "2002", , , , , , , , , , , 
"CA-Ca1", "25825", "GRP_SOIL_CHEM", , "0", "3", , "N taken as mean of range in table 1. Humphrey et al. 2006", , "2002", , "116.5", , , , , , , , , 
"CA-Ca1", "26097", "GRP_SOIL_CHEM", , "1500", "2500", , "measurements by Jassal, P.", , "2002", , , "1.44277162990307", , , , , , , , 
"CA-Ca1", "26099", "GRP_SOIL_CHEM", , "2500", "3500", , "measurements by Jassal, P.", , "2002", , , "1.49797775053015", , , , , , , , 
"CA-Ca1", "26100", "GRP_SOIL_CHEM", , "3500", "4500", , "measurements by Jassal, P.", , "2002", , , "1.41680367847163", , , , , , , , 
"CA-Ca1", "26101", "GRP_SOIL_CHEM", , "4500", "6500", , "measurements by Jassal, P.", , "2002", , , "1.57857045054169", , , , , , , , 
"CA-Ca1", "26450", "GRP_SOIL_CHEM", , "0", "500", , "measurements by Jassal, P.", , "2002", , , "0.896948061219539", , , , , , , , 
"CA-Ca1", "26451", "GRP_SOIL_CHEM", , "500", "1500", , "measurements by Jassal, P.", , "2002", , , "1.18643500485884", , , , , , , , 
"CA-Ca2", "26834", "GRP_SOIL_CHEM", , "30", "100", , "mineral layer", , "20020927", "5", , , , , , , , , , 
"CA-Ca2", "26975", "GRP_SOIL_CHEM", , "0", "100", , "CC_TOTAL", "88.9833", "20020927", , , , , , , , , , , 
"CA-Ca2", "26976", "GRP_SOIL_CHEM", , "30", "100", , "CC_ORG", "58.9333", "20020927", , , , , , , , , , , 
"CA-Ca2", "27262", "GRP_SOIL_CHEM", , "0", "10", , "measurements by Jassal, P.", , "2002", , , "1.07937374793929", , , , , , , , 
"CA-Ca2", "27263", "GRP_SOIL_CHEM", , "20", "30", , "measurements by Jassal, P.", , "2004", , , "1.29881704232794", , , , , , , , 
"CA-Ca2", "27540", "GRP_SOIL_CHEM", , "40", "50", , "measurements by Jassal, P.", , "2006", , , "1.65722628258956", , , , , , , , 
"CA-Ca2", "27894", "GRP_SOIL_CHEM", , "30", "40", , "measurements by Jassal, P.", , "2005", , , "1.51492870775319", , , , , , , , 
"CA-Ca2", "28152", "GRP_SOIL_CHEM", , "10", "20", , "measurements by Jassal, P.", , "2003", , , "1.12498004663815", , , , , , , , 
"CA-Ca2", "29094", "GRP_SOIL_CHEM", , "0", "30", , "CC_MIN", "30.0417", "20020927", , , , , , , , , , , 
"CA-Ca3", "26837", "GRP_SOIL_CHEM", , "0", "100", , "CC_TOTAL", "140.667", "20020927", , , , , , , , , , , 
"CA-Ca3", "26838", "GRP_SOIL_CHEM", , "3", "100", , "CC_ORG", "91.7167", "20020927", , , , , , , , , , , 
"CA-Ca3", "26839", "GRP_SOIL_CHEM", , "3", "103", , "calculated from CNFI data on CCP DIS", , "2002", "5", , , , , , , , , , 
"CA-Ca3", "26985", "GRP_SOIL_CHEM", , "0", "10", , "measurements by Jassal, P.", , "2002", , , "0.751615494140867", , , , , , , , 
"CA-Ca3", "26986", "GRP_SOIL_CHEM", , "20", "30", , "measurements by Jassal, P.", , "2002", , , "1.01259309627311", , , , , , , , 
"CA-Ca3", "26987", "GRP_SOIL_CHEM", , "40", "50", , "measurements by Jassal, P.", , "2002", , , "0.696754670543706", , , , , , , , 
"CA-Ca3", "27546", "GRP_SOIL_CHEM", , "10", "20", , "measurements by Jassal, P.", , "2002", , , "0.953438173123137", , , , , , , , 
"CA-Ca3", "27547", "GRP_SOIL_CHEM", , "30", "40", , "measurements by Jassal, P.", , "2002", , , "0.763609358409072", , , , , , , , 
"CA-Ca3", "28497", "GRP_SOIL_CHEM", , "0", "3", , "CC_MIN", "48.95", "20020927", , , , , , , , , , , 
"CA-Gro", "25234", "GRP_SOIL_CHEM", , , , "B", "193,235/2003 soil thickness 0.27cm; measured followed Fluxnet-Canada protocol", , "20030823", "6.15", , "1.801", , , , , , , , 
"CA-Gro", "25235", "GRP_SOIL_CHEM", , , , "LFH", "(42.87 gC/100g); soil thickness 0.13cm; measured followed Fluxnet-Canada protocol", "42.87", "20030713", , , , , , , , , , , 
"CA-Gro", "25236", "GRP_SOIL_CHEM", , , , "A", "(0.36 gC/100g); soil thickness 0.05cm; measured followed Fluxnet-Canada protocol", "3.06", "20030713", , , , , , , , , , , 
"CA-Gro", "25237", "GRP_SOIL_CHEM", , , , "B", "193,235/2003 (0.61 gC/100g); soil thickness 0.27cm; measured followed Fluxnet-Canada protocol", "29.6625", "20030823", , , , , , , , , , , 
"CA-Gro", "25240", "GRP_SOIL_CHEM", , , , "B", "193,235/2003 (0.065 gN/100g); soil thickness 0.27cm; measured followed Fluxnet-Canada protocol", , "20030823", , "3.16076", , , , , , , , , 
"CA-Gro", "25241", "GRP_SOIL_CHEM", , , , "O", "(1.151 gN/100g); soil thickness 0.07cm; measured followed Fluxnet-Canada protocol", , "2003", , "1.151", , , , , , , , , 
"CA-Gro", "25242", "GRP_SOIL_CHEM", , , , "C", "soil thickness 0.4cm; measured followed Fluxnet-Canada protocol", , "20020814", "6.88", , , , , , , , , , 
"CA-Gro", "25379", "GRP_SOIL_CHEM", , , , "C", "(0.065 gN/100g); soil thickness 0.42cm; measured followed Fluxnet-Canada protocol", , "2003", , "0.065", , , , , , , , , 
"CA-Gro", "25498", "GRP_SOIL_CHEM", , , , "A", "(3.59 gC/100g); soil thickness 0.05cm; measured followed Fluxnet-Canada protocol", "27.8405", "20040921", , , , , , , , , , , 
"CA-Gro", "25501", "GRP_SOIL_CHEM", , , , "B", "(0.093 gN/100g); soil thickness 0.28cm; measured followed Fluxnet-Canada protocol", , "20020814", , "3.20552", , , , , , , , , 
"CA-Gro", "25645", "GRP_SOIL_CHEM", , , , "A", "soil thickness 0.05cm; measured followed Fluxnet-Canada protocol", , "20030713", "5.76", , "1.7", , , , , , , , 
"CA-Gro", "25761", "GRP_SOIL_CHEM", , , , "O", "(38.73 gC/100g); soil thickness 0.07cm; measured followed Fluxnet-Canada protocol", "38.73", "2003", , , , , , , , , , , 
"CA-Gro", "25763", "GRP_SOIL_CHEM", , , , "O", "(1.864 gN/100g); soil thickness 0.12cm; measured followed Fluxnet-Canada protocol", , "20020814", , "1.864", , , , , , , , , 
"CA-Gro", "25875", "GRP_SOIL_CHEM", , , , "B", "(0.35 gC/100g); soil thickness 0.19cm; measured followed Fluxnet-Canada protocol", "10.527", "20040921", , , , , , , , , , , 
"CA-Gro", "25986", "GRP_SOIL_CHEM", , , , "A", "soil thickness 0.06cm; measured followed Fluxnet-Canada protocol", , "20020814", "3.54", , "1.307", , , , , , , , 
"CA-Gro", "25989", "GRP_SOIL_CHEM", , , , "A", "soil thickness 0.05cm; measured followed Fluxnet-Canada protocol", , "20040921", "4.21", , "1.551", , , , , , , , 
"CA-Gro", "25990", "GRP_SOIL_CHEM", , , , "LFH", "(37.14 gC/100g); soil thickness 0.07cm; measured followed Fluxnet-Canada protocol", "37.14", "20040921", , , , , , , , , , , 
"CA-Gro", "25993", "GRP_SOIL_CHEM", , , , "LFH", "(1.789 gN/100g); soil thickness 0.13cm; measured followed Fluxnet-Canada protocol", , "20030713", , "1.789", , , , , , , , , 
"CA-Gro", "25994", "GRP_SOIL_CHEM", , , , "LFH", "(2.106 gN/100g); soil thickness 0.07cm; measured followed Fluxnet-Canada protocol", , "20040921", , "2.106", , , , , , , , , 
"CA-Gro", "25995", "GRP_SOIL_CHEM", , , , "B", "(0.087 gN/100g); soil thickness 0.19cm; measured followed Fluxnet-Canada protocol", , "20040921", , "2.6167", , , , , , , , , 
"CA-Gro", "26154", "GRP_SOIL_CHEM", , , , "B", "(1.27 gC/100g); soil thickness 0.28cm; measured followed Fluxnet-Canada protocol", "43.7744", "20020814", , , , , , , , , , , 
