"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_CLASSIFICATION", "SOIL_CLASSIFICATION_TAXONOMY", "SOIL_CLASSIFICATION_COMMENT", 
"BR-Ma2", "25101", "GRP_SOIL_CLASSIFICATION", "clay latosol", "Other", "Soil Type	clay latosol
", 
"BR-Sa1", "28789", "GRP_SOIL_CLASSIFICATION", "Heavy Belterra clay ferralsols (FAO)/oxisols (USDA) with pockets of sandy ultisols, both having low organic content and cation exchange capacity", "Other", , 
"BR-Sa3", "24969", "GRP_SOIL_CLASSIFICATION", "clay latosol", "Other", "Soil Type	clay latosol
", 
"CA-Ca1", "25053", "GRP_SOIL_CLASSIFICATION", "Humoferric Podzols", "Other", "
Quelle: Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", 
"CA-Ca2", "24540", "GRP_SOIL_CLASSIFICATION", "Humoferric Podzols", "Other", "
Quelle: Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", 
"CA-Ca3", "24156", "GRP_SOIL_CLASSIFICATION", "Humoferric Podzols", "Other", "
Quelle: Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", 
"CA-Let", "24157", "GRP_SOIL_CLASSIFICATION", "othic dark-brown Chernozems", "Other", , 
"CA-Man", "23644", "GRP_SOIL_CLASSIFICATION", "peaty-phase orthic gleysol", "Other", , 
"CA-NS1", "27194", "GRP_SOIL_CLASSIFICATION", "Developed from glacial Lake Agassiz sediments with underlying permafrost, soils are mainly moderately drained montmorillonite clays classified as Gray Luvisols (Boralfs). Mineral and organic soils form distinct horizons, which has led to several studies (e.g. Czimczik et al., 2006).", "Other", , 
"CA-NS2", "28942", "GRP_SOIL_CLASSIFICATION", "Developed from glacial Lake Agassiz sediments with underlying permafrost, soils are mainly moderately drained montmorillonite clays classified as Gray Luvisols (Boralfs). Mineral and organic soils form distinct horizons, which has led to several studies (e.g. Czimczik et al., 2006).", "Other", , 
"CA-NS3", "28790", "GRP_SOIL_CLASSIFICATION", "Developed from glacial Lake Agassiz sediments with underlying permafrost, soils are mainly moderately drained montmorillonite clays classified as Gray Luvisols (Boralfs). Mineral and organic soils form distinct horizons, which has led to several studies (e.g. Czimczik et al., 2006).", "Other", , 
"CA-NS4", "28096", "GRP_SOIL_CLASSIFICATION", "Poorly-drained clay soils, underlain by discontinuous permafrost at 100-150cm depth, and generally classified as Luvic Gleysols (Aqualfs), Terric Fibrisols (shallow Fibrists)", "Other", , 
"CA-NS5", "28437", "GRP_SOIL_CLASSIFICATION", "Developed from glacial Lake Agassiz sediments with underlying permafrost, soils are mainly moderately drained montmorillonite clays classified as Gray Luvisols (Boralfs). Mineral and organic soils form distinct horizons, which has led to several studies (e.g. Czimczik et al., 2006).", "Other", , 
"CA-NS6", "27731", "GRP_SOIL_CLASSIFICATION", "Developed from glacial Lake Agassiz sediments with underlying permafrost, soils are mainly moderately drained montmorillonite clays classified as Gray Luvisols (Boralfs). Mineral and organic soils form distinct horizons, which has led to several studies (e.g. Czimczik et al., 2006).", "Other", , 
"CA-NS7", "29316", "GRP_SOIL_CLASSIFICATION", "Developed from glacial Lake Agassiz sediments with underlying permafrost, soils are mainly moderately drained montmorillonite clays classified as Gray Luvisols (Boralfs). Mineral and organic soils form distinct horizons, which has led to several studies (e.g. Czimczik et al., 2006).", "Other", , 
"CA-NS8", "27183", "GRP_SOIL_CLASSIFICATION", "Developed from glacial Lake Agassiz sediments with underlying permafrost, soils are mainly moderately drained montmorillonite clays classified as Gray Luvisols (Boralfs). Mineral and organic soils form distinct horizons, which has led to several studies (e.g. Czimczik et al., 2006).", "Other", , 
"CA-Oas", "24541", "GRP_SOIL_CLASSIFICATION", "Orthic Gray Luvisol", "Other", , 
"CA-Qcu", "24542", "GRP_SOIL_CLASSIFICATION", "ferro-humic to humic Podzol (mesic areas)   ;  organic (humid areas)", "Other", "In mesic areas ...the soil is a ferro-humic to humic podzol covered by an organic layer having an average depth of 26 cm ..

 In humid areas, the soil is organic ...with an average organic layer of 125 cm. 

Mesic areas accounted for approximately 75% of the total surface area of the footprint and humid areas accounted for 25%.
", 
"CA-SJ1", "23645", "GRP_SOIL_CLASSIFICATION", "Brunisols", "Other", "source: Howard et al GCB 2004:
... coarse, excessively drained, nutrient-poor, sandy, permafrost-free, upland Brunisols with an organic layer of varying thickness (Gower et al., 1997; Steele et al., 1997; Acton et al., 1998).", 
"CA-TP1", "24282", "GRP_SOIL_CLASSIFICATION", "brunisolic grey brown luvisol", "Other", "
>3m", 
"CA-TP2", "23905", "GRP_SOIL_CLASSIFICATION", "brunisolic grey brown luvisol", "Other", "
>3m", 
"CA-TP3", "24412", "GRP_SOIL_CLASSIFICATION", "brunisolic grey brown luvisol", "Other", "
>3m", 
"CA-TP4", "24283", "GRP_SOIL_CLASSIFICATION", "brunisolic grey brown luvisol", "Other", "
>3m", 
"CR-Lse", "28781", "GRP_SOIL_CLASSIFICATION", "Alluvial soils (inceptisols) in lowlands and residual (ultisols) in the higher elevations and ridgetops", "Other", , 
"MX-Lpa", "29618", "GRP_SOIL_CLASSIFICATION", "Sandy, deep, well drained, light coloured and classified at Yermosols, Xerosols and Regosols", "Other", , 
"US-Akn", "27193", "GRP_SOIL_CLASSIFICATION", "Loose sand, sandy soils, clean sand, rounded quartz grains, very small amounts of fines (clays) near the surface decreasing downwards", "Other", , 
"US-An1", "28815", "GRP_SOIL_CLASSIFICATION", "Absent moss layer (<5%) with mineral soil (10%)", "Other", , 
"US-An2", "28436", "GRP_SOIL_CLASSIFICATION", "Absent moss layer (<5%) with mineral soil (10%)", "Other", , 
"US-An3", "29628", "GRP_SOIL_CLASSIFICATION", "Absent moss layer (<5%) with mineral soil (10%)", "Other", , 
"US-AR1", "27819", "GRP_SOIL_CLASSIFICATION", "Loamy, mixed, Superactive, thermic, Shallow Typic Calciustepts", "Other", , 
"US-AR2", "29315", "GRP_SOIL_CLASSIFICATION", "Mixed, thermic Lamellic Ustipsamments", "Other", , 
"US-ARb", "28810", "GRP_SOIL_CLASSIFICATION", "Norges silt loam: fine-silty, mixed, active, thermic Udic Paleustoll", "Other", , 
"US-ARc", "27815", "GRP_SOIL_CLASSIFICATION", "Norges silt loam: fine-silty, mixed, active, thermic Udic Paleustoll", "Other", , 
"US-ARM", "29314", "GRP_SOIL_CLASSIFICATION", "Renfrow-silty clay loam, fine mixed thermic Udertic Paleustolls", "Other", , 
"US-Atq", "28085", "GRP_SOIL_CLASSIFICATION", "Soils are developed on aeolian sands of Quaternary age.", "Other", , 
"US-Bar", "29624", "GRP_SOIL_CLASSIFICATION", "Spodosol", "Other", , 
"US-Bkg", "27728", "GRP_SOIL_CLASSIFICATION", "Deep, well drained clay loams", "Other", , 
"US-Blo", "28429", "GRP_SOIL_CLASSIFICATION", "Fine-loamy, mixed, mesic, ultic haploxeralf in the Cohasset series whose parent material was andesitic lahar. Relatively uniform, comprised predominantly of loam or clay-loam. The soil is comprised of 60% sand, 29% loam and 11% clay with a pH of 5.5.", "Other", , 
"US-Bn1", "28434", "GRP_SOIL_CLASSIFICATION", "Well-drained mineral soils, with approximately 30 cm of loess soil on top of a glacially deposited gravel layer and 10.5 cm organic soil thickness", "Other", , 
"US-Bn2", "27730", "GRP_SOIL_CLASSIFICATION", "Well-drained mineral soils, with approximately 30 cm of loess soil on top of a glacially deposited gravel layer and 5.4 cm organic soil thickness", "Other", , 
"US-Bn3", "28435", "GRP_SOIL_CLASSIFICATION", "Well-drained mineral soils, with approximately 30 cm of loess soil on top of a glacially deposited gravel layer", "Other", , 
"US-Bo1", "27185", "GRP_SOIL_CLASSIFICATION", "Slit loam", "Other", , 
"US-Bo2", "24022", "GRP_SOIL_CLASSIFICATION", "Argiudolls ,Haplaquolls", "Other", "Meyers et al 2004: 
The field contains three soil series: Dana (Fine-silty, mixed, mesic, Typic Argiudolls), Flanagan (Fine, montmorillonitic, mesic,
Aquic Argiudolls), and Drummer (Fine-silty, mixed, mesic, Typic Haplaquolls)", 
