"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_DEPTH", "SOIL_DEPTH_COMMENT", "SOIL_DEPTH_DATE", 
"BR-Ma2", "24028", "GRP_SOIL_DEPTH", "10", "Luziao et al GBC 10 2004:
", , 
"CA-Ca1", "24290", "GRP_SOIL_DEPTH", "15", "Werte bezogen auf oberste 15cm
Quelle: Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", , 
"CA-Ca1", "24544", "GRP_SOIL_DEPTH", "10.1", "(range 0.009-0.193) 
source  Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", , 
"CA-Ca2", "24161", "GRP_SOIL_DEPTH", "8.9", "(range 0.006-0.172) 
source  Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", , 
"CA-Ca2", "24934", "GRP_SOIL_DEPTH", "15", "Werte bezogen auf oberste 15cm
Quelle: Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", , 
"CA-Ca3", "23912", "GRP_SOIL_DEPTH", "6.7", "(range 0.019-0.115) 
source  Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", , 
"CA-Ca3", "24935", "GRP_SOIL_DEPTH", "15", "Werte bezogen auf oberste 15cm
Quelle: Humphreys_et_al_AgricForestMeteorol_2006(140):6-22", , 
"CA-Gro", "24415", "GRP_SOIL_DEPTH", "15", , , 
"CA-Gro", "24662", "GRP_SOIL_DEPTH", "100", , , 
"CA-Let", "24163", "GRP_SOIL_DEPTH", "9", , , 
"CA-Let", "25064", "GRP_SOIL_DEPTH", "16", , , 
"CA-Man", "23913", "GRP_SOIL_DEPTH", "40", "(range 0.3-0.5) 

Stele_et_al_TreePhysiol_1997
NSA Study Area", , 
"CA-Mer", "24663", "GRP_SOIL_DEPTH", "550", "(range 5-6) Moore, T.R.et al 2002. Journal of Ecology. 90, 25-36.", , 
"CA-Na1", "24667", "GRP_SOIL_DEPTH", "6.5", "(range 0.06-0.07) 
Xing_et_al_TreePhysiol_2005", , 
"CA-NS1", "23919", "GRP_SOIL_DEPTH", "3", , , 
"CA-NS1", "24158", "GRP_SOIL_DEPTH", "17", "O,A and B Horizons Only", , 
"CA-NS1", "24802", "GRP_SOIL_DEPTH", "11", , , 
"CA-NS1", "24806", "GRP_SOIL_DEPTH", "3", , , 
"CA-NS2", "23652", "GRP_SOIL_DEPTH", "18", , , 
"CA-NS2", "23781", "GRP_SOIL_DEPTH", "12", , , 
"CA-NS2", "23789", "GRP_SOIL_DEPTH", "36", , , 
"CA-NS2", "24284", "GRP_SOIL_DEPTH", "66", "O,A and B Horizons Only", , 
"CA-NS3", "23656", "GRP_SOIL_DEPTH", "5", , , 
"CA-NS3", "24026", "GRP_SOIL_DEPTH", "6", , , 
"CA-NS3", "24800", "GRP_SOIL_DEPTH", "24", "O,A and B Horizons Only", , 
"CA-NS3", "24807", "GRP_SOIL_DEPTH", "13", , , 
"CA-NS5", "24288", "GRP_SOIL_DEPTH", "5", , , 
"CA-NS5", "24420", "GRP_SOIL_DEPTH", "50", , , 
"CA-NS5", "24930", "GRP_SOIL_DEPTH", "125", "O,A and B Horizons Only", , 
"CA-NS5", "25060", "GRP_SOIL_DEPTH", "70", , , 
"CA-NS6", "23782", "GRP_SOIL_DEPTH", "3", , , 
"CA-NS6", "23906", "GRP_SOIL_DEPTH", "28", "O,A and B Horizons Only", , 
"CA-NS6", "24671", "GRP_SOIL_DEPTH", "16", , , 
"CA-NS6", "24808", "GRP_SOIL_DEPTH", "9", , , 
"CA-NS7", "23648", "GRP_SOIL_DEPTH", "3", , , 
"CA-NS7", "24285", "GRP_SOIL_DEPTH", "27", "O,A and B Horizons Only", , 
"CA-NS7", "24670", "GRP_SOIL_DEPTH", "9", , , 
"CA-NS7", "24672", "GRP_SOIL_DEPTH", "15", , , 
"CA-Oas", "24932", "GRP_SOIL_DEPTH", "9", "(range 0.08-0.1) Barr et al 2004", , 
"CA-Obs", "23914", "GRP_SOIL_DEPTH", "25", "(range 0.2-0.3) Bergeron, O., H.A. Margolis, T.A. Black, C. Coursolle, A.L. Dunn, A.G. Barr and S.C. Wofsy. 2006. Comparison of carbon fluxes over three boreal black spruce forests in Canada. Global Change Biology. 12, 1-19", , 
"CA-Qcu", "23783", "GRP_SOIL_DEPTH", "50.75", "In mesic areas ...the soil is a ferro-humic to humic podzol covered by an organic layer having an average depth of 26 cm ..
 In humid areas, the soil is organic ...with an average organic layer of 125 cm. 
Mesic areas accounted for approximately 75% of the total surface area of the footprint and humid areas accounted for 25%
Source:      Giasson et al  2006.  Agric. For. Meteorol. 140, 23-40", , 
"CA-Qfo", "24668", "GRP_SOIL_DEPTH", "27.5", "(range 0.15-0.4) Bergeron, O., H.A. Margolis, T.A. Black, C. Coursolle, A.L. Dunn, A.G. Barr and S.C. Wofsy. 2006. Comparison of carbon fluxes over three boreal black spruce forests in Canada. Global Change Biology. 12, 1-19", , 
