"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SOIL_TEX_CLAY", "SOIL_TEX_PROFILE_MIN", "SOIL_TEX_PROFILE_MAX", "SOIL_TEX_HORIZON", "SOIL_TEX_COMMENT", "SOIL_TEX_SAND", "SOIL_TEX_SILT", "SOIL_TEX_WATER_HOLD_CAP", "SOIL_TEX_DATE", "SOIL_TEX_ROCK", "SOIL_TEX_ROCK_SPATIAL_VARIABILITY", 
"BR-Ma2", "23788", "GRP_SOIL_TEX", "65", "0", "10", "A", "Luziao et al GBC 10 2004:
", , , , , , , 
"CA-Ca1", "25194", "GRP_SOIL_TEX", "8.1", "0", "10", , "sandy loam; contact Jassal, P. of UBC biomet", "69.25", "22.65", , , , , 
"CA-Ca1", "25195", "GRP_SOIL_TEX", "1.5", "20", "30", , "sand; contact Jassal, P. of UBC biomet", "88", "10.45", , , , , 
"CA-Ca1", "25696", "GRP_SOIL_TEX", "0.6", "40", "50", , "loamy sand; contact Jassal, P. of UBC biomet", "83.75", "15.65", , , , , 
"CA-Ca1", "25826", "GRP_SOIL_TEX", "2", "50", "60", , "sand; contact Jassal, P. of UBC biomet", "88.35", "9.65", , , , , 
"CA-Ca1", "26102", "GRP_SOIL_TEX", "2.65", "60", "70", , "sand; contact Jassal, P. of UBC biomet", "87.55", "9.8", , , , , 
"CA-Ca1", "26103", "GRP_SOIL_TEX", "3.05", "70", "90", , "sand; contact Jassal, P. of UBC biomet", "87.8", "9.15", , , , , 
"CA-Ca1", "26332", "GRP_SOIL_TEX", "2.3", "10", "20", , "loamy sand; contact Jassal, P. of UBC biomet", "80.9", "16.85", , , , , 
"CA-Ca1", "26333", "GRP_SOIL_TEX", "0.85", "30", "40", , "sand; contact Jassal, P. of UBC biomet", "89.8", "9.3", , , , , 
"CA-Ca1", "26452", "GRP_SOIL_TEX", , "0", "3", , "Field capacity (-10kPa); contact Jassal, P. of UBC biomet Note reported in % not mm.", , , "24.9", , , , 
"CA-Ca1", "26453", "GRP_SOIL_TEX", , "0", "70", , "Field capacity (-1500kPa) Note reported in % not mm.", , , "24.3", , , , 
"CA-Ca2", "27264", "GRP_SOIL_TEX", "3.05", "10", "20", , "measurements by Jassal, P.; organic plus mineral layer", "75.85", "21.15", , , , , 
"CA-Ca2", "28153", "GRP_SOIL_TEX", "3.2", "0", "10", , "measurements by Jassal, P.; organic plus mineral layer", "74.3", "22.45", , , , , 
"CA-Ca2", "28154", "GRP_SOIL_TEX", , "0", "5000", , "Field Capcity (-10kPa)", , , "25", , , , 
"CA-Ca2", "28262", "GRP_SOIL_TEX", "1.75", "20", "30", , "measurements by Jassal, P.; organic plus mineral layer", "84.3", "13.9", , , , , 
"CA-Ca2", "28263", "GRP_SOIL_TEX", , "0", "2000", , "Field Capcity (-1500kPa)", , , "33", , , , 
"CA-Ca2", "28493", "GRP_SOIL_TEX", "1.95", "30", "40", , "measurements by Jassal, P.; organic plus mineral layer", "89.65", "8.45", , , , , 
"CA-Ca2", "29452", "GRP_SOIL_TEX", "0.8", "40", "50", , "measurements by Jassal, P.; organic plus mineral layer", "92.4", "6.85", , , , , 
"CA-Ca3", "26701", "GRP_SOIL_TEX", "18.7", "20", "30", , "Loam; contact Jassal, P. of UBC biomet", "44.6", "36.7", , , , , 
"CA-Ca3", "27900", "GRP_SOIL_TEX", "16.5", "50", "60", , "Loam; contact Jassal, P. of UBC biomet", "39.8", "43.7", , , , , 
"CA-Ca3", "28269", "GRP_SOIL_TEX", "19", "40", "50", , "Loam; contact Jassal, P. of UBC biomet", "40.3", "40.7", , , , , 
"CA-Ca3", "28991", "GRP_SOIL_TEX", "19.1", "10", "20", , "Loam; contact Jassal, P. of UBC biomet", "42.5", "38.4", , , , , 
"CA-Ca3", "29103", "GRP_SOIL_TEX", "16.3", "30", "40", , "Loam; contact Jassal, P. of UBC biomet", "42.2", "41.5", , , , , 
"CA-Ca3", "29104", "GRP_SOIL_TEX", , "0", "50", , "Field capacity (-10kPa); contact Jassal, P. of UBC biomet", , , "0.29", , , , 
"CA-Ca3", "29457", "GRP_SOIL_TEX", "20.2", "0", "10", , "Loam; contact Jassal, P. of UBC biomet", "39.9", "39.9", , , , , 
"CA-Gro", "26387", "GRP_SOIL_TEX", "10", , , , "data provided by Harry McCaughey (2008, not published)", "65", "25", , , , , 
"CA-Let", "25938", "GRP_SOIL_TEX", "40", , , "B", "Data from Flanagan et al. (2002,Global Change Biology 8, 599-615)", "27.4", "29.6", , , , , 
"CA-Let", "26448", "GRP_SOIL_TEX", "31.2", , , "A", "Data from Flanagan et al. (2002,Global Change Biology 8, 599-615)", "28.8", "40", , , , , 
"CA-Man", "25641", "GRP_SOIL_TEX", "75.84285714", , , "C", "measured by BOREAS", "1.742857143", "22.54285714", , , , , 
"CA-Man", "26374", "GRP_SOIL_TEX", "95.13636364", , , "B", "measured by BOREAS", "0.627272727", "4.372727273", , , , , 
"CA-Man", "26515", "GRP_SOIL_TEX", "86.94166667", , , "A", "measured by BOREAS", "2.516666667", "10.66666667", , , , , 
"CA-NS1", "23657", "GRP_SOIL_TEX", "53.7", "0", "3", "B", , "0.5", "18.1", , , , , 
"CA-NS1", "24165", "GRP_SOIL_TEX", "73.5", "0", "3", "A", , "2", "24.5", , , , , 
"CA-NS2", "25061", "GRP_SOIL_TEX", "55.5", "0", "18", "A", , "1.2", "43.2", , , , , 
"CA-NS3", "24031", "GRP_SOIL_TEX", "79.9", "0", "13", "A", , "3", "17.1", , , , , 
"CA-NS3", "24673", "GRP_SOIL_TEX", "80.5", "0", "5", "B", , "1.1", "18.4", , , , , 
"CA-NS5", "23658", "GRP_SOIL_TEX", "59", "0", "50", "B", , "2.1", "38.9", , , , , 
"CA-NS5", "24547", "GRP_SOIL_TEX", "69.4", "0", "70", "A", , "2.6", "28", , , , , 
"CA-NS6", "23791", "GRP_SOIL_TEX", "89.5", "0", "16", "B", , "2", "8.5", , , , , 
"CA-NS6", "23917", "GRP_SOIL_TEX", "81.1", "0", "9", "A", , "3.4", "15.5", , , , , 
"CA-NS7", "23792", "GRP_SOIL_TEX", "37", "0", "15", "B", , "1", "34.4", , , , , 
"CA-NS7", "24292", "GRP_SOIL_TEX", "41.1", "0", "9", "A", , "4.4", "54.5", , , , , 
"CA-Oas", "25702", "GRP_SOIL_TEX", "22.1125", , , "C", "measured by BOREAS", "53.5575", "24.315", , , , , 
"CA-Oas", "25703", "GRP_SOIL_TEX", , "0", "48", , "measured by BOREAS", , , "12.41637312", , , , 
"CA-Oas", "25943", "GRP_SOIL_TEX", "10.054", , , "A", "measured by BOREAS", "48.62", "41.314", , , , , 
"CA-Oas", "25944", "GRP_SOIL_TEX", , "0", "14", , "measured by BOREAS", , , "3.127928125", , , , 
"CA-Oas", "26107", "GRP_SOIL_TEX", "24.228", , , "B", "measured by BOREAS", "48.771", "26.988", , , , , 
"CA-Oas", "26591", "GRP_SOIL_TEX", , "0", "21", , "measured by BOREAS", , , "4.65611328", , , , 
"CA-Obs", "25595", "GRP_SOIL_TEX", "5.77", "2", "5", "AB", "measured by BOREAS", "72.79", "21.42", , , , , 
"CA-Obs", "25598", "GRP_SOIL_TEX", , "42", "72", "Ck", "measured by BOREAS", "95.525", "2.875", , , , , 
"CA-Obs", "25949", "GRP_SOIL_TEX", "1.585", "42", "72", "Ck", , , , , , , , 
"CA-Obs", "26114", "GRP_SOIL_TEX", "2.1", "17", "42", "Bfj", "measured by BOREAS", "95.98", "1.9", , , , , 
"CA-Obs", "26462", "GRP_SOIL_TEX", "6.68", "5", "17", "Bt", "measured by BOREAS", "64.6", "28.7", , , , , 
"CA-Obs", "26599", "GRP_SOIL_TEX", "4.47", "0", "2", "Ae", "measured by BOREAS", "75.56", "19.96", , , , , 
"CA-Ojp", "25657", "GRP_SOIL_TEX", , "0", "0", , "measured by BOREAS", , , "0.1133125", , , , 
"CA-Ojp", "25658", "GRP_SOIL_TEX", , "0", "33.7", , "measured by BOREAS", , , "1.00372222222222", , , , 
"CA-Ojp", "25659", "GRP_SOIL_TEX", , "0", "83.3", , "measured by BOREAS", , , "1.557192", , , , 
"CA-Ojp", "25879", "GRP_SOIL_TEX", "2.785", , , "Ae", "measured by BOREAS", "94.285", "2.915", , , , , 
"CA-Ojp", "26000", "GRP_SOIL_TEX", "2.77", , , "Bm", "measured by BOREAS", "93.9233333333333", "3.29", , , , , 
"CA-Ojp", "26169", "GRP_SOIL_TEX", "1.76666666666667", , , "C1", "measured by BOREAS", "96.2933333333333", "1.92666666666667", , , , , 
"CA-Ojp", "26270", "GRP_SOIL_TEX", "2.67", , , "AB", "measured by BOREAS", "93.3766666666667", "3.94", , , , , 
"CA-Ojp", "26528", "GRP_SOIL_TEX", , "0", "2", , "measured by BOREAS", , , "0.241226844444444", , , , 
"CA-Qfo", "25507", "GRP_SOIL_TEX", "4", , , "Ae", "measured followed Fluxnet-Canada protocol", "51", "33", , , , , 
"CA-Qfo", "26657", "GRP_SOIL_TEX", "4", , , "B", "measured followed Fluxnet-Canada protocol", "52", "25", , , , , 
"CA-SJ1", "26144", "GRP_SOIL_TEX", "3", , , "Ae", "measured followed Fluxnet-Canada protocol", "93", "4", , , , , 
"CA-SJ1", "26495", "GRP_SOIL_TEX", "4", , , "BC", "measured followed Fluxnet-Canada protocol", "91", "5", , , , , 
"CA-SJ2", "26371", "GRP_SOIL_TEX", "3", , , "Ap", "measured followed Fluxnet-Canada protocol", "88", "9", , , , , 
"CA-SJ2", "26372", "GRP_SOIL_TEX", "1", , , "C", "measured followed Fluxnet-Canada protocol", "96", "3", , , , , 
"CA-SJ2", "27552", "GRP_SOIL_TEX", , "0", "30", , "expressed in percentage", , , "6.8", , , , 
"CA-SJ3", "26707", "GRP_SOIL_TEX", "3.5", , , "B", "measured by BOREAS", "89.9", "6.5", , , , , 
"CA-SJ3", "26996", "GRP_SOIL_TEX", "2.9", , , "A", "measured by BOREAS", "91.1", "5.9", , , , , 
"CA-SJ3", "28506", "GRP_SOIL_TEX", "2", , , "C", "measured by BOREAS", "95", "2.9", , , , , 
"CA-TP1", "27561", "GRP_SOIL_TEX", "0", , , , "sieving method", "98", "2", , , , , 
"CA-TP2", "27006", "GRP_SOIL_TEX", "0", , , , , "98", "2", , , , , 
"CA-TP3", "27921", "GRP_SOIL_TEX", "0", , , , , "98", "2", , , , , 
"CA-TP4", "26636", "GRP_SOIL_TEX", "0", , , , , "98", "2", , , , , 
"US-ARM", "24241", "GRP_SOIL_TEX", , "0", "25", "Total", , , , "114", "2007", , , 
"US-ARM", "24586", "GRP_SOIL_TEX", "43.10", , , "Total", , "27.98", "28.92", , "2007", , , 
"US-Atq", "23691", "GRP_SOIL_TEX", "2", , , "Total", , , , , , , , 
"US-Atq", "23826", "GRP_SOIL_TEX", "2", , , "Total", , , , , , , , 
"US-Atq", "23953", "GRP_SOIL_TEX", , , , "Total", , "90.4", , , , , , 
"US-Atq", "24055", "GRP_SOIL_TEX", "1.2", , , "Total", , , , , , , , 
"US-Atq", "24058", "GRP_SOIL_TEX", , , , "Total", , , "1.2", , , , , 
"US-Atq", "24207", "GRP_SOIL_TEX", , , , "Total", , "94.8", , , , , , 
"US-Atq", "24458", "GRP_SOIL_TEX", "2", , , "Total", , , , , , , , 
"US-Atq", "24460", "GRP_SOIL_TEX", , , , "Total", , , "3.2", , , , , 
"US-Atq", "24588", "GRP_SOIL_TEX", , , , "Total", , "94.8", , , , , , 
