"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "SPP_COMMENT", "SPP_O", "SPP_UNIT", "SPP_O_PERC", "SPP_APPROACH", "SPP_DATE", "SPP_O_PERC_SPATIAL_REP_NUMBER", "SPP_O_PERC_SPATIAL_VARIABILITY", "SPP_DATE_UNC", 
"BR-Ma2", "24655", "GRP_SPP_O", "Vegetation is old-growth closedcanopy terra firme (nonflooded) forest. 
On plateaus, well drained clay soils:  high biomass forest  35–40m 
 several trees emerging such as Dinizia excelsa.  stemless palms such as Attalea attaleoides and Astrocaryum sciophilum. 
On slopes;  forest biomass is lower,  height  25–35 m. 
In valleys: sandy soils waterlogged during the rainy season, supporting low biomass and low tree height (20–35 m), with very few emerging trees, ...,  various species of arboreal palm trees, such as Oenocarpus bataua and Mauritia flexuosa. The understorey is dense with other
 species of stemless palm (e.g. Attalea microcarpa) and several species of herbs common to waterlogged habitats, belonging to the families Rapateaceae, Marantaceae and Cyclanthaceae (Guillaumet, 1987).", "Vegetation is old-growth closedcanopy terra firme (nonflooded) forest. 
Dinizia excelsa,.  Attalea attaleoides  Astrocaryum sciophilum. 
 Oenocarpus bataua  Mauritia flexuosa  Attalea microcarpa", "Unknown", , , , , , , 
"BR-Sa1", "24402", "GRP_SPP_O", "The canopy has a significant number of large emergent trees (to 55 m height), Manilkara huberi (Ducke) Chev., Hymenaea courbaril L., Betholletia excelsa Humb. and Bonpl., and Tachigalia
spp., and a closed canopy at ;40 m.", "Manilkara huberi (Ducke) Chev., Hymenaea courbaril L., Betholletia excelsa Humb. and Bonpl., and Tachigalia
spp.,", "Unknown", , , , , , , 
"BR-Sa3", "25078", "GRP_SPP_O", "The vegetation was closed tropical forest with canopy emergents (canopy height ;35–40 m) on flat upland terrain (Hernandez Filho et al. 1993).                                                               The forest was semidecidous,
with mostly evergreen and a few deciduous species.                                  The site was selectively logged in September 2001...", "The vegetation was closed tropical forest with canopy emergents , semidecidous,
with mostly evergreen and a few deciduous species.", "Unknown", , , , , , , 
"CA-Ca1", "26449", "GRP_SPP_O", "Understory species were sparse. Others include Berbis nervosa Pursh., Achlys triphylla (Smith) DC. As well as various ferns and mosses (Morgenstern et al., 2004)", "PSME (NRCS plant code)", "Unknown", "77", , , , , , 
"CA-Ca2", "28149", "GRP_SPP_O", "understory species were dense and included BENE2 and GATR3", "PSME (NRCS plant code)", "Unknown", "93", "observation field visit 269/2002", "2004", , , , 
"CA-Ca3", "28989", "GRP_SPP_O", "understory species were dense and included PTAQ and POMU; Humphreys etal., 2006;", "PSME (NRCS plant code)", "Unknown", "75", "observation field visit 269/2002", , , , , 
"CA-Gro", "25642", "GRP_SPP_O", "Data from McCaughey et al (2006, Agricultural and Forest Meteorology 140, 79-96)", "BEPAM (NRCS plant code)", "Unknown", "31.49", , "2003", , , , 
"CA-Gro", "25754", "GRP_SPP_O", "Data from McCaughey et al (2006, Agricultural and Forest Meteorology 140, 79-96)", "PIMA (NRCS plant code)", "Unknown", "17.62", , "2003", , , , 
"CA-Gro", "25862", "GRP_SPP_O", "Data from McCaughey et al (2006, Agricultural and Forest Meteorology 140, 79-96)", "POTR5 (NRCS plant code)", "Unknown", "24.28", , "2003", , , , 
"CA-Gro", "26149", "GRP_SPP_O", "Data from McCaughey et al (2006, Agricultural and Forest Meteorology 140, 79-96)", "PIGL (NRCS plant code)", "Unknown", "10.48", , "2003", , , , 
"CA-Gro", "26502", "GRP_SPP_O", "Data from McCaughey et al (2006, Agricultural and Forest Meteorology 140, 79-96)", "ABBA (NRCS plant code)", "Unknown", "9.15", , "2003", , , , 
"CA-Let", "25688", "GRP_SPP_O", "Flanagan et al. (2002, Global Change Biology 8, 599-615)", "AGDA (NRCS plant code)", "Unknown", , , , , , , 
