"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "STATE", 
"BR-CMT", "31057", "GRP_STATE", "Mato Grosso", 
"BR-CST", "86524", "GRP_STATE", "Pernambuco", 
"BR-Ma2", "30970", "GRP_STATE", "Amazonas", 
"BR-Npw", "86489", "GRP_STATE", "Mato Grosso", 
"BR-PRS", "88098", "GRP_STATE", "Rio Grande do Sul", 
"CA-ARB", "31192", "GRP_STATE", "Ontario", 
"CA-ARF", "31172", "GRP_STATE", "Ontario", 
"CA-CF1", "30736", "GRP_STATE", "Manitoba", 
"CA-CF2", "30754", "GRP_STATE", "Manitoba", 
"CA-DBB", "30798", "GRP_STATE", "British Columbia", 
"CA-ER1", "81333", "GRP_STATE", "Ontario", 
"CA-Gro", "10186", "GRP_STATE", "Ontario", 
"CA-HPC", "81599", "GRP_STATE", "Northwest Territories", 
"CA-KLP", "31240", "GRP_STATE", "Ontario", 
"CA-LuM", "15426", "GRP_STATE", "Ontario", 
"CA-MA1", "22328", "GRP_STATE", "Manitoba", 
"CA-MA2", "22307", "GRP_STATE", "Manitoba", 
"CA-MA3", "22285", "GRP_STATE", "Manitoba", 
"CA-MR3", "79352", "GRP_STATE", "Alberta", 
"CA-MR5", "79371", "GRP_STATE", "Alberta", 
"CA-Qc2", "33604", "GRP_STATE", "Quebec", 
"CA-Qcu", "6741", "GRP_STATE", "Quebec", 
"CA-RPn", "85959", "GRP_STATE", "Newfoundland and Labrador", 
"CA-RPp", "86006", "GRP_STATE", "Newfoundland and Labrador", 
"CA-SCB", "85748", "GRP_STATE", "Northwest Territories", 
"CA-SF2", "7603", "GRP_STATE", "Saskatchewan", 
"CA-SF3", "6742", "GRP_STATE", "Saskatchewan", 
"CA-SMC", "81481", "GRP_STATE", "Northwest Territories", 
"CA-TP1", "12136", "GRP_STATE", "Ontario", 
"CA-TP2", "12168", "GRP_STATE", "Ontario", 
"CA-TP3", "12196", "GRP_STATE", "Ontario", 
"CA-TP4", "12228", "GRP_STATE", "Ontario", 
"CA-TPD", "12263", "GRP_STATE", "Ontario", 
"CA-TVC", "81490", "GRP_STATE", "Northwest Territories", 
"CR-Fsc", "31100", "GRP_STATE", "Guanacaste", 
"CR-Nmr", "31081", "GRP_STATE", "Guanacaste", 
"CR-SoC", "12538", "GRP_STATE", "Alajuela", 
"MX-EMg", "85721", "GRP_STATE", "Baja California", 
"MX-PMm", "83429", "GRP_STATE", "Quintana Roo", 
"PE-QFR", "86028", "GRP_STATE", "Loreto", 
"PE-TNR", "85901", "GRP_STATE", "Madre de Dios", 
