"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "STEM_INCR", "STEM_INCR_SPATIAL_VARIABILITY", "STEM_INCR_SPATIAL_REP_NUMBER", "STEM_INCR_DIAM", "STEM_INCR_NUM", "STEM_INCR_APPROACH", "STEM_INCR_DATE_START", "STEM_INCR_DATE_END", "STEM_INCR_DATE_UNC", "STEM_INCR_COMMENT", 
"US-UMB", "18398", "GRP_STEM_INCR", "0.288", "0.0924", "31", "21.94", "551", "Band Dendrometers", "19981101", "19991101", "4", "Annual increment determined from a subset (10 -20%) of trees with DBH >=10 cm within .08 ha plots and one 1.13 ha plot. Variability determined across plots.  Band dendrometers were read after autumnal leaf-off. Year-to-year variability in number of trees due to trees out growing bands, damaged bands, or additional trees outfitted with bands.", 
"US-UMB", "18409", "GRP_STEM_INCR", "0.281", "0.091", "31", "22.07", "569", "Band Dendrometers", "19991101", "20001116", "4", "Annual increment determined from a subset (10 -20%) of trees with DBH >=10 cm within .08 ha plots and one 1.13 ha plot. Variability determined across plots.  Band dendrometers were read after autumnal leaf-off. Year-to-year variability in number of trees due to trees out growing bands, damaged bands, or additional trees outfitted with bands.", 
"US-UMB", "18419", "GRP_STEM_INCR", "0.268", "0.078", "31", "22.33", "556", "Band Dendrometers", "20001116", "20011102", "4", "Annual increment determined from a subset (10 -20%) of trees with DBH >=10 cm within .08 ha plots and one 1.13 ha plot. Variability determined across plots.  Band dendrometers were read after autumnal leaf-off. Year-to-year variability in number of trees due to trees out growing bands, damaged bands, or additional trees outfitted with bands.", 
"US-UMB", "18429", "GRP_STEM_INCR", "0.008", "0.0178", "160", "19.63", "160", "Band Dendrometers", "20001116", "20010507", "4", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
"US-UMB", "18440", "GRP_STEM_INCR", "0.054", "0.0276", "160", "19.75", "160", "Band Dendrometers", "20010607", "20010620", "0", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
"US-UMB", "18449", "GRP_STEM_INCR", "0.01", "0.0144", "160", "19.76", "160", "Band Dendrometers", "20010620", "20010627", "0", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
"US-UMB", "18457", "GRP_STEM_INCR", "0.024", "0.0218", "160", "19.79", "160", "Band Dendrometers", "20010627", "20010705", "0", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
"US-UMB", "18459", "GRP_STEM_INCR", "0.003", "0.0074", "160", "19.82", "160", "Band Dendrometers", "20010730", "20010803", "0", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
"US-UMB", "18466", "GRP_STEM_INCR", "0.003", "0.0081", "160", "19.82", "160", "Band Dendrometers", "20010803", "20010811", "0", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
"US-UMB", "18473", "GRP_STEM_INCR", "0.015", "0.0128", "160", "19.84", "160", "Band Dendrometers", "20010811", "20010817", "0", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
"US-UMB", "18480", "GRP_STEM_INCR", "0.004", "0.0078", "160", "19.84", "160", "Band Dendrometers", "20010817", "20010828", "0", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
"US-UMB", "18482", "GRP_STEM_INCR", "0.004", "0.007", "180", "19.87", "180", "Band Dendrometers", "20030801", "20030808", "0", "Within year data from a single, circular 1.13 ha plot with flux tower at the center of the plot.  Standard deviation and means determined from number of stems measured in the plot.  The same trees are measured repeatedly for within year data.", 
