"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TOWER_POWER", 
"AR-TF1", "86253", "GRP_TOWER_POWER", "Wind generator", 
"AR-TF1", "86265", "GRP_TOWER_POWER", "Solar panels", 
"AR-TF2", "86275", "GRP_TOWER_POWER", "Wind generator", 
"AR-TF2", "86283", "GRP_TOWER_POWER", "Solar panels", 
"BR-CMT", "31063", "GRP_TOWER_POWER", "Solar panels", 
"BR-CST", "86529", "GRP_TOWER_POWER", "Solar panels", 
"BR-Cui", "79285", "GRP_TOWER_POWER", "Solar panels", 
"BR-Ma2", "29785", "GRP_TOWER_POWER", "Solar + generator", 
"BR-Npw", "86490", "GRP_TOWER_POWER", "Solar panels", 
"BR-Npw", "86505", "GRP_TOWER_POWER", "Direct power", 
"BR-PRS", "88099", "GRP_TOWER_POWER", "Solar panels", 
"CA-ARB", "31197", "GRP_TOWER_POWER", "Solar panels", 
"CA-ARF", "31177", "GRP_TOWER_POWER", "Solar panels", 
"CA-Ca1", "29786", "GRP_TOWER_POWER", "Gasoline generator", 
"CA-Ca2", "29787", "GRP_TOWER_POWER", "Solar + generator", 
"CA-Ca3", "29788", "GRP_TOWER_POWER", "Solar + generator", 
"CA-CF1", "30741", "GRP_TOWER_POWER", "Solar panels", 
"CA-CF2", "30750", "GRP_TOWER_POWER", "Gasoline generator", 
"CA-CF2", "30755", "GRP_TOWER_POWER", "Solar panels", 
"CA-CF2", "30765", "GRP_TOWER_POWER", "Wind generator", 
"CA-DBB", "30805", "GRP_TOWER_POWER", "Solar panels", 
"CA-DL1", "29868", "GRP_TOWER_POWER", "Solar panels", 
"CA-DL2", "29869", "GRP_TOWER_POWER", "Solar panels", 
"CA-ER1", "81347", "GRP_TOWER_POWER", "Direct power", 
"CA-HPC", "81588", "GRP_TOWER_POWER", "Solar panels", 
"CA-KLP", "31245", "GRP_TOWER_POWER", "Solar panels", 
"CA-LuM", "29916", "GRP_TOWER_POWER", "Solar panels", 
"CA-MA1", "29923", "GRP_TOWER_POWER", "Solar panels", 
"CA-MA1", "29924", "GRP_TOWER_POWER", "wind generator", 
"CA-MA2", "29925", "GRP_TOWER_POWER", "Solar panels", 
"CA-MA2", "29926", "GRP_TOWER_POWER", "wind generator", 
"CA-MA3", "29927", "GRP_TOWER_POWER", "Solar panels", 
"CA-MA3", "29928", "GRP_TOWER_POWER", "wind generator", 
"CA-Mer", "33725", "GRP_TOWER_POWER", "Direct power", 
"CA-MR3", "79357", "GRP_TOWER_POWER", "Solar panels", 
"CA-MR5", "79376", "GRP_TOWER_POWER", "Solar panels", 
"CA-Oas", "29789", "GRP_TOWER_POWER", "Direct power", 
"CA-Obs", "29790", "GRP_TOWER_POWER", "Direct power", 
"CA-RPn", "85964", "GRP_TOWER_POWER", "Solar panels", 
"CA-RPp", "85988", "GRP_TOWER_POWER", "Solar panels", 
"CA-SCB", "85760", "GRP_TOWER_POWER", "Solar panels", 
"CA-SCC", "30607", "GRP_TOWER_POWER", "Solar Panels", 
"CA-SMC", "81473", "GRP_TOWER_POWER", "Solar panels", 
"CA-TP1", "29791", "GRP_TOWER_POWER", "Direct power", 
"CA-TP2", "29792", "GRP_TOWER_POWER", "Direct power", 
"CA-TP3", "29793", "GRP_TOWER_POWER", "Direct power", 
"CA-TP4", "29794", "GRP_TOWER_POWER", "Direct power", 
"CA-TPD", "29865", "GRP_TOWER_POWER", "Direct power", 
"CA-TVC", "81495", "GRP_TOWER_POWER", "Solar panels", 
"CL-SDF", "30274", "GRP_TOWER_POWER", "Direct power", 
"CL-SDP", "30251", "GRP_TOWER_POWER", "Direct power", 
"CR-Fsc", "31098", "GRP_TOWER_POWER", "Solar panels", 
"CR-Nmr", "31086", "GRP_TOWER_POWER", "Solar panels", 
"CR-SoC", "29867", "GRP_TOWER_POWER", "Direct power", 
"MX-EMg", "85736", "GRP_TOWER_POWER", "Solar panels", 
"MX-PMm", "83437", "GRP_TOWER_POWER", "Solar panels", 
"PE-QFR", "86030", "GRP_TOWER_POWER", "Solar panels", 
"PE-TNR", "85908", "GRP_TOWER_POWER", "Solar panels", 
"PR-xGU", "85617", "GRP_TOWER_POWER", "Direct power", 
"PR-xLA", "85594", "GRP_TOWER_POWER", "Direct power", 
"US-A03", "85016", "GRP_TOWER_POWER", "Direct power", 
"US-A10", "85077", "GRP_TOWER_POWER", "Direct power", 
"US-A32", "30064", "GRP_TOWER_POWER", "Direct power", 
"US-A39", "85075", "GRP_TOWER_POWER", "Direct power", 
"US-A74", "30090", "GRP_TOWER_POWER", "Solar panels", 
"US-Act", "81633", "GRP_TOWER_POWER", "Solar panels", 
"US-ADR", "29915", "GRP_TOWER_POWER", "Solar panels", 
"US-Akn", "29861", "GRP_TOWER_POWER", "Solar panels", 
