"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "TOWER_TYPE", 
"AR-TF1", "86262", "GRP_TOWER_TYPE", "tripod", 
"AR-TF2", "86281", "GRP_TOWER_TYPE", "tripod", 
"BR-CMT", "31061", "GRP_TOWER_TYPE", "triangle", 
"BR-CST", "86530", "GRP_TOWER_TYPE", "other", 
"BR-Cui", "79286", "GRP_TOWER_TYPE", "triangle", 
"BR-Ma2", "22252", "GRP_TOWER_TYPE", "walk-up", 
"BR-Npw", "86500", "GRP_TOWER_TYPE", "walk-up", 
"BR-PRS", "88107", "GRP_TOWER_TYPE", "walk-up", 
"CA-ARB", "31195", "GRP_TOWER_TYPE", "other", 
"CA-ARF", "31175", "GRP_TOWER_TYPE", "other", 
"CA-Ca1", "23623", "GRP_TOWER_TYPE", "triangle", 
"CA-Ca2", "23599", "GRP_TOWER_TYPE", "triangle", 
"CA-Ca3", "23582", "GRP_TOWER_TYPE", "triangle", 
"CA-CF1", "30737", "GRP_TOWER_TYPE", "triangle", 
"CA-CF2", "30752", "GRP_TOWER_TYPE", "other", 
"CA-DBB", "30802", "GRP_TOWER_TYPE", "walk-up", 
"CA-DL1", "12628", "GRP_TOWER_TYPE", "tripod", 
"CA-DL2", "12649", "GRP_TOWER_TYPE", "tripod", 
"CA-ER1", "81341", "GRP_TOWER_TYPE", "triangle", 
"CA-HPC", "81596", "GRP_TOWER_TYPE", "triangle", 
"CA-KLP", "31243", "GRP_TOWER_TYPE", "tripod", 
"CA-LuM", "15428", "GRP_TOWER_TYPE", "pole", 
"CA-MA1", "22330", "GRP_TOWER_TYPE", "triangle", 
"CA-MA2", "22309", "GRP_TOWER_TYPE", "triangle", 
"CA-MA3", "22287", "GRP_TOWER_TYPE", "triangle", 
"CA-Mer", "33720", "GRP_TOWER_TYPE", "triangle", 
"CA-MR3", "79358", "GRP_TOWER_TYPE", "tripod", 
"CA-MR5", "79377", "GRP_TOWER_TYPE", "tripod", 
"CA-Oas", "29681", "GRP_TOWER_TYPE", "walk-up", 
"CA-Obs", "29685", "GRP_TOWER_TYPE", "walk-up", 
"CA-RPn", "85981", "GRP_TOWER_TYPE", "pole", 
"CA-RPp", "85998", "GRP_TOWER_TYPE", "pole", 
"CA-SCB", "85751", "GRP_TOWER_TYPE", "tripod", 
"CA-SCC", "30604", "GRP_TOWER_TYPE", "Triangle", 
"CA-SMC", "81474", "GRP_TOWER_TYPE", "triangle", 
"CA-TP1", "12138", "GRP_TOWER_TYPE", "walk-up", 
"CA-TP2", "12170", "GRP_TOWER_TYPE", "triangle", 
"CA-TP3", "12198", "GRP_TOWER_TYPE", "walk-up", 
"CA-TP4", "12230", "GRP_TOWER_TYPE", "walk-up", 
"CA-TPD", "12265", "GRP_TOWER_TYPE", "walk-up", 
"CA-TVC", "81492", "GRP_TOWER_TYPE", "triangle", 
"CL-SDF", "30272", "GRP_TOWER_TYPE", "Triangle", 
"CL-SDP", "30249", "GRP_TOWER_TYPE", "Tripod", 
"CR-Fsc", "31104", "GRP_TOWER_TYPE", "triangle", 
"CR-Nmr", "31084", "GRP_TOWER_TYPE", "triangle", 
"CR-SoC", "12540", "GRP_TOWER_TYPE", "Walk-up", 
"MX-EMg", "85717", "GRP_TOWER_TYPE", "other", 
"MX-PMm", "83430", "GRP_TOWER_TYPE", "triangle", 
"PE-QFR", "86025", "GRP_TOWER_TYPE", "triangle", 
"PE-TNR", "85909", "GRP_TOWER_TYPE", "walk-up", 
"PR-xGU", "85627", "GRP_TOWER_TYPE", "walk-up", 
"PR-xLA", "85595", "GRP_TOWER_TYPE", "walk-up", 
"US-A03", "85029", "GRP_TOWER_TYPE", "tripod", 
"US-A10", "85078", "GRP_TOWER_TYPE", "tripod", 
"US-A32", "30054", "GRP_TOWER_TYPE", "Tripod", 
"US-A39", "85066", "GRP_TOWER_TYPE", "tripod", 
"US-A74", "30084", "GRP_TOWER_TYPE", "Tripod", 
"US-Act", "81647", "GRP_TOWER_TYPE", "triangle", 
"US-ADR", "15388", "GRP_TOWER_TYPE", "Tripod", 
"US-Akn", "22267", "GRP_TOWER_TYPE", "walk-up", 
"US-ALQ", "83477", "GRP_TOWER_TYPE", "tripod", 
"US-AR1", "15968", "GRP_TOWER_TYPE", "tripod", 
"US-AR2", "15988", "GRP_TOWER_TYPE", "tripod", 
"US-ARM", "22337", "GRP_TOWER_TYPE", "tripod", 
"US-ASH", "86812", "GRP_TOWER_TYPE", "walk-up", 
"US-ASL", "86769", "GRP_TOWER_TYPE", "walk-up", 
"US-ASM", "86741", "GRP_TOWER_TYPE", "walk-up", 
"US-Atq", "14894", "GRP_TOWER_TYPE", "Other", 
"US-BCM", "87293", "GRP_TOWER_TYPE", "other", 
"US-BdA", "13322", "GRP_TOWER_TYPE", "Tripod", 
"US-BdC", "13340", "GRP_TOWER_TYPE", "Tripod", 
"US-Beo", "81628", "GRP_TOWER_TYPE", "other", 
"US-Bi1", "30359", "GRP_TOWER_TYPE", "walk-up", 
"US-Bi2", "31255", "GRP_TOWER_TYPE", "walk-up", 
"US-BRG", "30577", "GRP_TOWER_TYPE", "Triangle", 
"US-Brw", "14935", "GRP_TOWER_TYPE", "Other", 
"US-Bsg", "16094", "GRP_TOWER_TYPE", "Triangle", 
"US-BSM", "31128", "GRP_TOWER_TYPE", "tripod", 
"US-BZB", "87189", "GRP_TOWER_TYPE", "tripod", 
"US-BZF", "87215", "GRP_TOWER_TYPE", "tripod", 
"US-BZL", "87242", "GRP_TOWER_TYPE", "tripod", 
"US-BZo", "87285", "GRP_TOWER_TYPE", "tripod", 
"US-BZS", "87186", "GRP_TOWER_TYPE", "triangle", 
"US-Ced", "12672", "GRP_TOWER_TYPE", "Triangle", 
"US-CF1", "84817", "GRP_TOWER_TYPE", "triangle", 
"US-CF2", "84837", "GRP_TOWER_TYPE", "triangle", 
"US-CF3", "84857", "GRP_TOWER_TYPE", "triangle", 
"US-CF4", "84877", "GRP_TOWER_TYPE", "triangle", 
"US-Cms", "84698", "GRP_TOWER_TYPE", "walk-up", 
"US-CRT", "12778", "GRP_TOWER_TYPE", "triangle", 
"US-CS1", "83380", "GRP_TOWER_TYPE", "triangle", 
"US-CS2", "87366", "GRP_TOWER_TYPE", "triangle", 
"US-CS3", "87385", "GRP_TOWER_TYPE", "triangle", 
"US-Cst", "13224", "GRP_TOWER_TYPE", "walk-up", 
"US-Cwt", "84989", "GRP_TOWER_TYPE", "walk-up", 
"US-CZ1", "30817", "GRP_TOWER_TYPE", "triangle", 
"US-CZ2", "30833", "GRP_TOWER_TYPE", "triangle", 
"US-CZ3", "30862", "GRP_TOWER_TYPE", "triangle", 
"US-CZ4", "30847", "GRP_TOWER_TYPE", "triangle", 
"US-DFK", "87351", "GRP_TOWER_TYPE", "tripod", 
"US-Dia", "11512", "GRP_TOWER_TYPE", "tripod", 
"US-Dk1", "79232", "GRP_TOWER_TYPE", "walk-up", 
"US-DPP", "86721", "GRP_TOWER_TYPE", "triangle", 
"US-DPW", "86875", "GRP_TOWER_TYPE", "Triangle", 
"US-EDN", "84718", "GRP_TOWER_TYPE", "other", 
"US-Fcr", "85276", "GRP_TOWER_TYPE", "tripod", 
"US-Fmf", "12009", "GRP_TOWER_TYPE", "other", 
"US-Fuf", "12029", "GRP_TOWER_TYPE", "other", 
"US-Fwf", "12054", "GRP_TOWER_TYPE", "pole", 
"US-GBT", "16030", "GRP_TOWER_TYPE", "triangle", 
"US-GCE", "86868", "GRP_TOWER_TYPE", "triangle", 
"US-GLE", "16009", "GRP_TOWER_TYPE", "walk-up", 
"US-GZ1", "85773", "GRP_TOWER_TYPE", "other", 
"US-GZ2", "85827", "GRP_TOWER_TYPE", "other", 
"US-GZ3", "85875", "GRP_TOWER_TYPE", "other", 
"US-Ha1", "22189", "GRP_TOWER_TYPE", "triangle", 
"US-Ha2", "12597", "GRP_TOWER_TYPE", "Triangle", 
"US-HB1", "79508", "GRP_TOWER_TYPE", "triangle", 
"US-HB2", "79867", "GRP_TOWER_TYPE", "triangle", 
"US-HB3", "86458", "GRP_TOWER_TYPE", "triangle", 
"US-HBK", "81449", "GRP_TOWER_TYPE", "triangle", 
"US-Hn1", "83538", "GRP_TOWER_TYPE", "triangle", 
"US-Hn2", "83483", "GRP_TOWER_TYPE", "tripod", 
"US-Hn3", "83518", "GRP_TOWER_TYPE", "tripod", 
"US-Ho1", "11448", "GRP_TOWER_TYPE", "Walk-up", 
"US-Ho2", "11495", "GRP_TOWER_TYPE", "triangle", 
"US-Ho3", "11791", "GRP_TOWER_TYPE", "triangle", 
"US-HPY", "30557", "GRP_TOWER_TYPE", "tripod", 
"US-HRA", "12938", "GRP_TOWER_TYPE", "Tripod", 
"US-HRC", "12956", "GRP_TOWER_TYPE", "Tripod", 
"US-HRN", "87844", "GRP_TOWER_TYPE", "tripod", 
"US-HRP", "31150", "GRP_TOWER_TYPE", "tripod", 
"US-HRS", "33528", "GRP_TOWER_TYPE", "tripod", 
"US-HVs", "84655", "GRP_TOWER_TYPE", "tripod", 
"US-IB1", "29981", "GRP_TOWER_TYPE", "tripod", 
"US-IB2", "29989", "GRP_TOWER_TYPE", "tripod", 
"US-ICh", "12079", "GRP_TOWER_TYPE", "Tripod", 
"US-ICs", "12099", "GRP_TOWER_TYPE", "Tripod", 
"US-ICt", "12119", "GRP_TOWER_TYPE", "Tripod", 
"US-Ivo", "14915", "GRP_TOWER_TYPE", "Other", 
"US-JLN", "85676", "GRP_TOWER_TYPE", "tripod", 
"US-JLR", "85693", "GRP_TOWER_TYPE", "tripod", 
"US-JRn", "87870", "GRP_TOWER_TYPE", "triangle", 
"US-KCM", "33559", "GRP_TOWER_TYPE", "other", 
"US-KFB", "13179", "GRP_TOWER_TYPE", "tripod", 
"US-KFS", "11525", "GRP_TOWER_TYPE", "Other", 
"US-KL1", "14603", "GRP_TOWER_TYPE", "pole", 
"US-KL2", "14628", "GRP_TOWER_TYPE", "pole", 
"US-KL3", "14654", "GRP_TOWER_TYPE", "pole", 
"US-KLS", "13203", "GRP_TOWER_TYPE", "tripod", 
"US-KM1", "14680", "GRP_TOWER_TYPE", "pole", 
"US-KM2", "14706", "GRP_TOWER_TYPE", "pole", 
"US-KM3", "14733", "GRP_TOWER_TYPE", "pole", 
"US-KM4", "14761", "GRP_TOWER_TYPE", "pole", 
"US-Kon", "11541", "GRP_TOWER_TYPE", "tripod", 
"US-KS1", "15552", "GRP_TOWER_TYPE", "triangle", 
"US-KS2", "15577", "GRP_TOWER_TYPE", "Pole", 
"US-KS3", "79266", "GRP_TOWER_TYPE", "tripod", 
"US-KS4", "79892", "GRP_TOWER_TYPE", "tripod", 
"US-KUO", "11712", "GRP_TOWER_TYPE", "Triangle", 
"US-KUT", "11772", "GRP_TOWER_TYPE", "Tripod", 
"US-LA1", "85103", "GRP_TOWER_TYPE", "triangle", 
"US-LA2", "85133", "GRP_TOWER_TYPE", "triangle", 
"US-LA3", "85165", "GRP_TOWER_TYPE", "tripod", 
"US-LGr", "13019", "GRP_TOWER_TYPE", "Tripod", 
"US-LL1", "83563", "GRP_TOWER_TYPE", "triangle", 
"US-LL2", "83578", "GRP_TOWER_TYPE", "triangle", 
"US-LL3", "83604", "GRP_TOWER_TYPE", "triangle", 
"US-Los", "15291", "GRP_TOWER_TYPE", "triangle", 
"US-Me2", "22211", "GRP_TOWER_TYPE", "walk-up", 
"US-Me6", "22213", "GRP_TOWER_TYPE", "triangle", 
"US-Men", "33596", "GRP_TOWER_TYPE", "other", 
"US-Mj1", "29764", "GRP_TOWER_TYPE", "tripod", 
"US-Mj2", "29744", "GRP_TOWER_TYPE", "tripod", 
"US-Mpj", "15442", "GRP_TOWER_TYPE", "triangle", 
"US-MRM", "30537", "GRP_TOWER_TYPE", "tripod", 
"US-MtB", "87248", "GRP_TOWER_TYPE", "walk-up", 
"US-Myb", "88149", "GRP_TOWER_TYPE", "other", 
"US-NC1", "12835", "GRP_TOWER_TYPE", "Other", 
"US-NC2", "12864", "GRP_TOWER_TYPE", "Other", 
"US-NC3", "12892", "GRP_TOWER_TYPE", "Triangle", 
"US-NC4", "12915", "GRP_TOWER_TYPE", "walk-up", 
"US-NGC", "85190", "GRP_TOWER_TYPE", "tripod", 
"US-NR1", "11588", "GRP_TOWER_TYPE", "walk-up", 
"US-Nrf", "30924", "GRP_TOWER_TYPE", "tripod", 
"US-Nrs", "30882", "GRP_TOWER_TYPE", "tripod", 
"US-OF1", "30661", "GRP_TOWER_TYPE", "Tripod", 
"US-OF2", "30642", "GRP_TOWER_TYPE", "Tripod", 
"US-Oho", "12802", "GRP_TOWER_TYPE", "walk-up", 
"US-OWC", "14800", "GRP_TOWER_TYPE", "triangle", 
"US-PFa", "15245", "GRP_TOWER_TYPE", "Other", 
"US-PFb", "87423", "GRP_TOWER_TYPE", "triangle", 
"US-PFc", "87446", "GRP_TOWER_TYPE", "triangle", 
"US-PFd", "87469", "GRP_TOWER_TYPE", "tripod", 
"US-PFe", "87492", "GRP_TOWER_TYPE", "triangle", 
"US-PFf", "87515", "GRP_TOWER_TYPE", "tripod", 
"US-PFg", "87525", "GRP_TOWER_TYPE", "triangle", 
"US-PFh", "87565", "GRP_TOWER_TYPE", "triangle", 
"US-PFi", "87584", "GRP_TOWER_TYPE", "triangle", 
"US-PFj", "87588", "GRP_TOWER_TYPE", "triangle", 
"US-PFk", "87630", "GRP_TOWER_TYPE", "triangle", 
"US-PFL", "87633", "GRP_TOWER_TYPE", "triangle", 
"US-PFm", "87676", "GRP_TOWER_TYPE", "triangle", 
"US-PFn", "87699", "GRP_TOWER_TYPE", "triangle", 
"US-PFo", "87722", "GRP_TOWER_TYPE", "other", 
"US-PFp", "87745", "GRP_TOWER_TYPE", "triangle", 
"US-PFq", "87796", "GRP_TOWER_TYPE", "triangle", 
"US-PFr", "87773", "GRP_TOWER_TYPE", "tripod", 
"US-PFs", "87814", "GRP_TOWER_TYPE", "triangle", 
"US-PFt", "87837", "GRP_TOWER_TYPE", "triangle", 
"US-PHM", "30043", "GRP_TOWER_TYPE", "triangle", 
"US-PLM", "79865", "GRP_TOWER_TYPE", "triangle", 
"US-Pnp", "79415", "GRP_TOWER_TYPE", "pole", 
"US-Prr", "84753", "GRP_TOWER_TYPE", "walk-up", 
"US-PSH", "86794", "GRP_TOWER_TYPE", "walk-up", 
"US-PSL", "86784", "GRP_TOWER_TYPE", "walk-up", 
"US-RC1", "84895", "GRP_TOWER_TYPE", "triangle", 
"US-RC2", "84931", "GRP_TOWER_TYPE", "triangle", 
"US-RC3", "84913", "GRP_TOWER_TYPE", "triangle", 
"US-RC4", "84948", "GRP_TOWER_TYPE", "triangle", 
"US-RC5", "84965", "GRP_TOWER_TYPE", "triangle", 
"US-RFE", "29960", "GRP_TOWER_TYPE", "tripod", 
"US-RFW", "29977", "GRP_TOWER_TYPE", "triangle", 
"US-Rls", "30715", "GRP_TOWER_TYPE", "triangle", 
"US-Rms", "30623", "GRP_TOWER_TYPE", "triangle", 
"US-Ro1", "12300", "GRP_TOWER_TYPE", "triangle", 
"US-Ro2", "14550", "GRP_TOWER_TYPE", "Triangle", 
"US-Ro3", "14576", "GRP_TOWER_TYPE", "Triangle", 
"US-Ro4", "14498", "GRP_TOWER_TYPE", "Triangle", 
"US-Ro5", "30147", "GRP_TOWER_TYPE", "Triangle", 
"US-Ro6", "30173", "GRP_TOWER_TYPE", "Triangle", 
"US-Rpf", "85295", "GRP_TOWER_TYPE", "walk-up", 
"US-RRC", "79829", "GRP_TOWER_TYPE", "triangle", 
"US-Rwe", "88131", "GRP_TOWER_TYPE", "triangle", 
"US-Rwf", "88122", "GRP_TOWER_TYPE", "triangle", 
"US-Rws", "17081", "GRP_TOWER_TYPE", "triangle", 
"US-Sag", "84758", "GRP_TOWER_TYPE", "tripod", 
"US-SB1", "13249", "GRP_TOWER_TYPE", "triangle", 
"US-SB2", "23564", "GRP_TOWER_TYPE", "tripod", 
"US-SB3", "84644", "GRP_TOWER_TYPE", "tripod", 
"US-SdH", "12284", "GRP_TOWER_TYPE", "tripod", 
"US-SDU", "13160", "GRP_TOWER_TYPE", "triangle", 
"US-Seg", "15460", "GRP_TOWER_TYPE", "tripod", 
"US-Ses", "15478", "GRP_TOWER_TYPE", "tripod", 
"US-SHC", "33680", "GRP_TOWER_TYPE", "triangle", 
"US-SHS", "30517", "GRP_TOWER_TYPE", "tripod", 
"US-Skr", "11916", "GRP_TOWER_TYPE", "triangle", 
"US-Slt", "13045", "GRP_TOWER_TYPE", "Triangle", 
"US-Snd", "29990", "GRP_TOWER_TYPE", "pole", 
"US-Sne", "30020", "GRP_TOWER_TYPE", "walk-up", 
"US-Snf", "84769", "GRP_TOWER_TYPE", "pole", 
"US-SRC", "86649", "GRP_TOWER_TYPE", "tripod", 
"US-SRG", "29699", "GRP_TOWER_TYPE", "tripod", 
"US-SRM", "79396", "GRP_TOWER_TYPE", "walk-up", 
"US-Srr", "30967", "GRP_TOWER_TYPE", "other", 
"US-SSH", "30698", "GRP_TOWER_TYPE", "Other", 
"US-StJ", "13299", "GRP_TOWER_TYPE", "triangle", 
"US-StS", "30119", "GRP_TOWER_TYPE", "triangle", 
"US-SuM", "13073", "GRP_TOWER_TYPE", "triangle", 
"US-SuS", "13092", "GRP_TOWER_TYPE", "triangle", 
"US-SuW", "13113", "GRP_TOWER_TYPE", "triangle", 
"US-Syv", "15326", "GRP_TOWER_TYPE", "Triangle", 
"US-SZ1", "85789", "GRP_TOWER_TYPE", "other", 
"US-SZ2", "85840", "GRP_TOWER_TYPE", "other", 
"US-SZ3", "85863", "GRP_TOWER_TYPE", "other", 
"US-Ton", "33664", "GRP_TOWER_TYPE", "walk-up", 
"US-Tur", "85319", "GRP_TOWER_TYPE", "tripod", 
"US-Tw2", "29995", "GRP_TOWER_TYPE", "walk-up", 
"US-Tw5", "84610", "GRP_TOWER_TYPE", "walk-up", 
"US-Tx1", "86556", "GRP_TOWER_TYPE", "tripod", 
"US-Tx2", "79586", "GRP_TOWER_TYPE", "tripod", 
"US-Tx3", "79543", "GRP_TOWER_TYPE", "tripod", 
"US-Tx4", "79612", "GRP_TOWER_TYPE", "tripod", 
"US-Tx5", "79638", "GRP_TOWER_TYPE", "tripod", 
"US-Tx6", "79650", "GRP_TOWER_TYPE", "tripod", 
"US-Tx7", "79696", "GRP_TOWER_TYPE", "triangle", 
"US-Tx8", "86688", "GRP_TOWER_TYPE", "Walk-up", 
