"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "URL", 
"BR-CST", "86531", "GRP_URL", "https://ondacbc.eco.br/", 
"BR-Ma2", "22253", "GRP_URL", "http://lba2.inpa.gov.br/index.php/torres/torres-amazonas/k34", 
"BR-Sa1", "9311", "GRP_URL", "http://atmos.seas.harvard.edu/lab/brazil/index.html", 
"BR-Sa3", "9312", "GRP_URL", "http://www.ess.uci.edu/~lba", 
"CA-Ca1", "23624", "GRP_URL", "http://www.fluxnet-canada.ca/", 
"CA-Ca2", "23600", "GRP_URL", "http://www.fluxnet-canada.ca/", 
"CA-Ca3", "23583", "GRP_URL", "http://www.fluxnet-canada.ca/", 
"CA-Cbo", "6055", "GRP_URL", "http://www.msc-smc.ec.gc.ca/arqp/borden_e.cfm", 
"CA-Cha", "2654", "GRP_URL", "http://www.fluxnet-canada.ca/", 
"CA-DBB", "30803", "GRP_URL", "http://ibis.geog.ubc.ca/~achristn/research/Burns-Bog/", 
"CA-DL1", "12629", "GRP_URL", "http://www.trentu.ca/academic/bluelab/research_daringlake.html", 
"CA-Fen", "947", "GRP_URL", "http://daac.ornl.gov/BOREAS/bhs/Groups/TF/TF-11.html", 
"CA-HPC", "81586", "GRP_URL", "http://www.atmosbios.com/", 
"CA-Man", "3340", "GRP_URL", "http://daac.ornl.gov/BOREAS/bhs/Sites/NSA-OBS.html", 
"CA-Mer", "6885", "GRP_URL", "http://www.trentu.ca/academic/bluelab/research_merbleue.html", 
"CA-Na1", "6886", "GRP_URL", "http://www.fluxnet-canada.ca/", 
"CA-Na2", "6056", "GRP_URL", "http://www.fluxnet-canada.ca/", 
"CA-NS1", "7746", "GRP_URL", "http://www.ess.uci.edu/~boreal_canada/B1850_Page.html", 
"CA-NS2", "8585", "GRP_URL", "http://www.ess.uci.edu/~boreal_canada/B1930_Page.html", 
"CA-NS3", "6057", "GRP_URL", "http://www.ess.uci.edu/~boreal_canada/B1964_Page.html", 
"CA-NS4", "7747", "GRP_URL", "http://www.ess.uci.edu/~boreal_canada/index.html", 
"CA-NS5", "5220", "GRP_URL", "http://www.ess.uci.edu/~boreal_canada/B1981_Page.html", 
"CA-NS6", "8586", "GRP_URL", "http://www.ess.uci.edu/~boreal_canada/B1989_Page.html", 
"CA-NS7", "9477", "GRP_URL", "http://www.ess.uci.edu/~boreal_canada/B1998_Page.html", 
"CA-NS8", "4305", "GRP_URL", "http://www.ess.uci.edu/~boreal_canada/B2003_Page.html", 
"CA-Oas", "6058", "GRP_URL", "http://berms.ccrp.ec.gc.ca/Sites/e-sites-oa.htm", 
"CA-Obs", "7748", "GRP_URL", "http://berms.ccrp.ec.gc.ca/Sites/e-sites-obs.htm", 
"CA-Ojp", "8587", "GRP_URL", "http://berms.ccrp.ec.gc.ca/Sites/e-sites-ojp.htm", 
"CA-Qcu", "2494", "GRP_URL", "http://www.fao.org/gtos/tems/tsite_show.jsp?TAB=5&TSITE_ID=3521", 
"CA-Qfo", "9337", "GRP_URL", "http://www.fao.org/gtos/tems/tsite_report.jsp?TSITE_ID=3522", 
"CA-RPn", "85971", "GRP_URL", "http://faculty.grenfell.mun.ca/jwu", 
"CA-RPp", "85995", "GRP_URL", "http://faculty.grenfell.mun.ca/jwu", 
"CA-SCB", "85752", "GRP_URL", "http://atmosbios.com/", 
"CA-SCC", "30605", "GRP_URL", "http://atmosbios.com/", 
"CA-SJ1", "6059", "GRP_URL", "http://berms.ccrp.ec.gc.ca/Sites/e-sites-hjp94.htm", 
"CA-SJ2", "3507", "GRP_URL", "http://berms.ccrp.ec.gc.ca/Sites/e-sites-hjp02.htm", 
"CA-SJ3", "948", "GRP_URL", "http://berms.ccrp.ec.gc.ca/Sites/e-sites-hjp75.htm", 
"CA-SMC", "81475", "GRP_URL", "http://www.atmosbios.com/", 
"CA-TP2", "9478", "GRP_URL", "http://www.fluxnet-canada.ca/visionneuse.php?page=components_fsmp_tp", 
"CA-TP4", "9479", "GRP_URL", "http://www.fluxnet-canada.ca/visionneuse.php?page=components_fsmp_tp", 
"CA-TVC", "81499", "GRP_URL", "http://www.atmosbios.com/", 
"CR-Lse", "5880", "GRP_URL", "http://www.fiu.edu/~carbono/carbono.htm", 
