"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "UTC_OFFSET", "UTC_OFFSET_COMMENT", "UTC_OFFSET_DATE_START", 
"AR-TF1", "86257", "GRP_UTC_OFFSET", "-3", , , 
"AR-TF2", "86289", "GRP_UTC_OFFSET", "-3", , , 
"BR-CMT", "31062", "GRP_UTC_OFFSET", "-4", "Data is already in UTC", , 
"BR-CST", "86532", "GRP_UTC_OFFSET", "-3", , , 
"BR-Cui", "79287", "GRP_UTC_OFFSET", "-3", , , 
"BR-Ma2", "22254", "GRP_UTC_OFFSET", "-4", , "1999", 
"BR-Npw", "89419", "GRP_UTC_OFFSET", "-4", "The original data were in GMT -0, which we adjusted to local time (GMT -4). Daylight savings was not in effect for our first timestamp, and data were not adjusted to daylight savings when it came into effect in Oct 2013.", "20131206", 
"BR-PRS", "88106", "GRP_UTC_OFFSET", "-3", , , 
"BR-Sa1", "9605", "GRP_UTC_OFFSET", "-4", , , 
"BR-Sa3", "7890", "GRP_UTC_OFFSET", "-4", , , 
"CA-ARB", "81375", "GRP_UTC_OFFSET", "-5", , , 
"CA-ARF", "81376", "GRP_UTC_OFFSET", "-5", , , 
"CA-Ca1", "23625", "GRP_UTC_OFFSET", "-8", , , 
"CA-Ca2", "23601", "GRP_UTC_OFFSET", "-8", , , 
"CA-Ca3", "23584", "GRP_UTC_OFFSET", "-8", , , 
"CA-Cbo", "33535", "GRP_UTC_OFFSET", "-5", "Added by AMF data processing team for data QAQC checks.", , 
"CA-CF1", "30746", "GRP_UTC_OFFSET", "6", "Both UTC and Local Standard Time given", , 
"CA-CF2", "30748", "GRP_UTC_OFFSET", "6", "Both UTC and Local Standard Time given", , 
"CA-Cha", "33536", "GRP_UTC_OFFSET", "-4", "Added by AMF data processing team for data QAQC checks.", , 
"CA-DBB", "30804", "GRP_UTC_OFFSET", "-8", , , 
"CA-DL1", "12630", "GRP_UTC_OFFSET", "-6", , , 
"CA-DL2", "12650", "GRP_UTC_OFFSET", "-6", , , 
"CA-ER1", "81340", "GRP_UTC_OFFSET", "-5", "Always in EST", "201506171600", 
"CA-Fen", "33537", "GRP_UTC_OFFSET", "-7", "Added by AMF data processing team for data QAQC checks.", , 
"CA-Gro", "5075", "GRP_UTC_OFFSET", "-5", , , 
"CA-HPC", "81582", "GRP_UTC_OFFSET", "-6", , "201304301700", 
"CA-KLP", "31244", "GRP_UTC_OFFSET", "-6", , , 
"CA-Let", "249", "GRP_UTC_OFFSET", "-7", , , 
"CA-LuM", "15429", "GRP_UTC_OFFSET", "-4", , , 
"CA-MA1", "22332", "GRP_UTC_OFFSET", "6", , , 
"CA-MA2", "22311", "GRP_UTC_OFFSET", "6", , , 
"CA-MA3", "22289", "GRP_UTC_OFFSET", "6", , , 
"CA-Man", "7612", "GRP_UTC_OFFSET", "-6", , , 
"CA-Mer", "8728", "GRP_UTC_OFFSET", "-5", , , 
"CA-MR3", "79359", "GRP_UTC_OFFSET", "-7", , "201205", 
"CA-MR5", "79378", "GRP_UTC_OFFSET", "-7", , "201205", 
"CA-Na1", "33538", "GRP_UTC_OFFSET", "-4", "Added by AMF data processing team for data QAQC checks.", , 
"CA-Na2", "33603", "GRP_UTC_OFFSET", "-4", "Added by AMF data processing team for data QAQC checks.", , 
"CA-NS1", "6995", "GRP_UTC_OFFSET", "-6", , , 
"CA-NS2", "241", "GRP_UTC_OFFSET", "-6", , , 
"CA-NS3", "6176", "GRP_UTC_OFFSET", "-6", , , 
"CA-NS4", "3627", "GRP_UTC_OFFSET", "-6", , , 
"CA-NS5", "3628", "GRP_UTC_OFFSET", "-6", , , 
"CA-NS6", "2775", "GRP_UTC_OFFSET", "-6", , , 
"CA-NS7", "5330", "GRP_UTC_OFFSET", "-6", , , 
"CA-NS8", "33539", "GRP_UTC_OFFSET", "-6", "Added by AMF data processing team for data QAQC checks.", , 
"CA-Oas", "2776", "GRP_UTC_OFFSET", "-6", , , 
"CA-Obs", "4443", "GRP_UTC_OFFSET", "-6", , , 
"CA-Ojp", "6996", "GRP_UTC_OFFSET", "-6", , , 
"CA-Qc2", "33606", "GRP_UTC_OFFSET", "-5", , , 
"CA-Qcu", "793", "GRP_UTC_OFFSET", "-5", , , 
"CA-Qfo", "9353", "GRP_UTC_OFFSET", "-5", , , 
"CA-RPn", "85973", "GRP_UTC_OFFSET", "-3.5", , , 
"CA-RPp", "85997", "GRP_UTC_OFFSET", "-3.5", , , 
"CA-SCB", "85741", "GRP_UTC_OFFSET", "-7", , , 
"CA-SCC", "30606", "GRP_UTC_OFFSET", "-7", , , 
"CA-SF1", "794", "GRP_UTC_OFFSET", "-6", , , 
"CA-SF2", "6748", "GRP_UTC_OFFSET", "-6", , , 
"CA-SF3", "7614", "GRP_UTC_OFFSET", "-6", , , 
