"SITE_ID", "GROUP_ID", "VARIABLE_GROUP", "WD_BIOMASS_CRS", "WD_BIOMASS_UNIT", "WD_BIOMASS_DATE", "WD_BIOMASS_COMMENT", "WD_BIOMASS_FINE", "WD_BIOMASS_CRS_SPATIAL_VARIABILITY", "WD_BIOMASS_CRS_SPATIAL_REP_NUMBER", "WD_BIOMASS_APPROACH", "WD_BIOMASS_FINE_SPATIAL_VARIABILITY", "WD_BIOMASS_FINE_SPATIAL_REP_NUMBER", "WD_BIOMASS_DATE_UNC", 
"CA-Ca1", "25446", "GRP_WD_BIOMASS", "5700", "gC m-2", "20021108", "~312/2002; TBF;CWD represents total woody debris (coarse and fine) taken as mean of range in table 1. Humphrey et al. 2006", , , , , , , , 
"CA-Ca2", "26973", "GRP_WD_BIOMASS", "5.3", "gC m-2", "20021108", "Total, not CWD or FWD; ~312/2002; CWD represents total woody debris (coarse and fine) taken as mean of range in table 1. Humphrey et al. 2006", , , , , , , , 
"CA-Ca3", "28496", "GRP_WD_BIOMASS", "3", "gC m-2", "20021108", "Total, not CWD or FWD; ~312/2002; CWD represents total woody debris (coarse and fine) taken as mean of range in table 1. Humphrey et al. 2006", , , , , , , , 
"CA-Gro", "25230", "GRP_WD_BIOMASS", "485", "gC m-2", "20021016", "measured followed Fluxnet-Canada protocol", "128.7", , , , , , , 
"CA-Gro", "25494", "GRP_WD_BIOMASS", "613.7", "gC m-2", "20021016", "Total, not CWD or FWD; measured followed Fluxnet-Canada protocol", , , , , , , , 
"CA-Gro", "25643", "GRP_WD_BIOMASS", "503.4", "gC m-2", "20040831", "Total, not CWD or FWD; measured followed Fluxnet-Canada protocol", "76.7", , , , , , , 
"CA-Gro", "25868", "GRP_WD_BIOMASS", "380.2", "gC m-2", "20031008", "Total, not CWD or FWD; measured followed Fluxnet-Canada protocol", , , , , , , , 
"CA-Gro", "26383", "GRP_WD_BIOMASS", "309.5", "gC m-2", "20031008", "measured followed Fluxnet-Canada protocol", "70.7", , , , , , , 
"CA-Gro", "26384", "GRP_WD_BIOMASS", "426.7", "gC m-2", "20040901", "measured followed Fluxnet-Canada protocol", , , , , , , , 
"CA-Oas", "28703", "GRP_WD_BIOMASS", "1380", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , "360", , , , , , 
"CA-Oas", "28873", "GRP_WD_BIOMASS", "970", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , "910", , , , , , 
"CA-Ojp", "26652", "GRP_WD_BIOMASS", , "gC m-2", "2002", "Data from Alison Deanne Theede (2007)", "8.15", , , , , , , 
"CA-Ojp", "28714", "GRP_WD_BIOMASS", "160", "gC m-2", "1994", "Data from Alison Deanne Theede (2007)", , , , , , , , 
"CA-Ojp", "28715", "GRP_WD_BIOMASS", "360", "gC m-2", "2004", "Data from Alison Deanne Theede (2007)", , "16", , , , , , 
"CA-Qfo", "26530", "GRP_WD_BIOMASS", "800", "gC m-2", , "Total, not CWD or FWD; data from Bergeron et al. (2007, Global Change Biology 13, 89-107)", , , , , , , , 
"CA-SJ1", "27548", "GRP_WD_BIOMASS", "576.4", "gC m-2", "2002", "Total, not CWD or FWD; measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", , , , , , , , 
"CA-SJ1", "27901", "GRP_WD_BIOMASS", "556.3", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol. Assumed that C account for 50% of biomass", "20.1", , , , , , , 
"CA-SJ2", "26992", "GRP_WD_BIOMASS", "879.7", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol", "14.4", , , , , , , 
"CA-SJ2", "28271", "GRP_WD_BIOMASS", "894.1", "gC m-2", "2002", "Total, not CWD or FWD; measured followed Fluxnet-Canada protocol", , , , , , , , 
"CA-SJ3", "26844", "GRP_WD_BIOMASS", "358", "gC m-2", "2002", "measured followed Fluxnet-Canada protocol", "2.7", , , , , , , 
"CA-SJ3", "26994", "GRP_WD_BIOMASS", "360.7", "gC m-2", "2002", "Total, not CWD or FWD; measured followed Fluxnet-Canada protocol", , , , , , , , 
"CA-TP1", "27287", "GRP_WD_BIOMASS", "0", "gC m-2", "20040609", , "0", , , , , , , 
"CA-TP1", "27907", "GRP_WD_BIOMASS", "0", "gC m-2", "20070721", , "0", , , , , , , 
"CA-TP2", "28182", "GRP_WD_BIOMASS", "0", "gC m-2", "20070802", , "50", , , , , , , 
"CA-TP2", "28283", "GRP_WD_BIOMASS", "0", "gC m-2", "20040609", , "35", , , , , , , 
"CA-TP3", "28289", "GRP_WD_BIOMASS", "0", "gC m-2", "20040713", , , , , , , , , 
"CA-TP3", "29016", "GRP_WD_BIOMASS", , "gC m-2", "20040604", , "74", , , , , , , 
"CA-TP3", "29477", "GRP_WD_BIOMASS", "0", "gC m-2", "20070802", , "111", , , , , , , 
"CA-TP4", "25649", "GRP_WD_BIOMASS", , "gC m-2", "20040604", , "115", , , , , , , 
