,names,Mean Annual GPP (gC/m2/day)
1,US-Ha1,2.892405545
2,US-PFa,2.936637534
3,US-Ho1,3.082609302
4,US-NR1,1.957793618
5,US-WCr,2.936637534
6,US-MMS,3.689000914
7,CA-Cbo,1.576344201
8,US-Var,2.164612612
9,US-GLE,0.900722946
10,US-UMB,1.618492062
11,US-Los,2.936637534
12,US-Ton,2.164612612
13,US-Ne2,3.536714198
14,US-Ne1,3.536714198
15,US-Ne3,3.536714198
16,US-Wrc,3.163989785
17,US-Syv,2.434014636
18,US-SRM,1.424386255
19,US-ARM,3.035345028
20,US-Me2,0.530514961
21,CA-TP1,1.57477071
22,CA-TP3,1.57477071
23,CA-TP4,1.57477071
24,US-Uaf,3.033165137
25,US-Wkg,1.431656256
26,US-NC2,4.455391863
27,CA-Ca1,3.147908722
28,CA-Oas,2.625699109
29,CA-Ojp,3.242034591
30,CA-Man,2.686388773
31,US-MOz,3.637184458
32,US-IB2,3.347705317
33,US-Bar,2.949071399
34,CA-Obs,3.242034591
35,US-Ivo,1.951590337
36,US-Whs,1.431656256
37,US-Ses,1.373941422
38,US-Seg,1.373941422
39,US-Wjs,1.373941422
40,US-Vcp,0.825223632
41,US-Vcm,0.825223632
42,US-WBW,3.689380025
43,US-Bo1,3.667042245
44,US-IB1,3.347705317
45,US-Ro1,3.429374765
46,US-UMd,1.618492062
47,US-SP1,3.772163872
48,US-SP3,3.772163872
49,US-SRG,1.424386255
50,US-Mpj,1.373941422
51,CA-Gro,2.132714705
52,CA-Ca2,3.147908722
53,US-SCw,0.463741407
54,US-SCs,1.563771567
55,US-SCg,1.563771567
56,US-Blo,2.184542107
57,US-KFS,3.685167526
58,US-Ho2,3.082609302
59,CA-Ca3,3.147908722
60,CA-Let,1.926531867
61,CA-SJ1,3.242034591
62,US-EML,3.238198781
63,US-Rpf,3.029015321
64,BR-Sa1,5.413285886
65,US-SP2,3.772163872
66,US-Aud,1.431656256
67,US-SO2,0.463741407
68,US-SO3,0.463741407
69,US-SCf,0.463741407
70,US-NC4,4.455391863
71,US-Myb,2.164612612
72,US-Ced,3.657303577
73,US-Slt,3.657303577
74,US-Oho,2.922076297
75,US-Ha2,2.892405545
76,CA-Qcu,2.789611232
77,US-Brw,1.492473168
78,US-FR3,2.916701758
79,US-SCd,0.463741407
80,US-CZ3,0.559361437
81,US-Twt,2.164612612
82,US-Tw1,2.164612612
83,US-Me6,0.530514961
84,US-Ro2,3.429374765
85,US-FPe,1.671383178
86,CA-SJ3,3.242034591
87,CA-SJ2,3.242034591
88,US-Skr,NaN
89,US-Esm,NaN
90,US-KS2,3.574275497
91,US-NC1,4.137541775
92,US-Dk1,3.965278993
93,US-Dk2,3.965278993
94,US-Dk3,3.965278993
95,US-CZ4,0.559361437
96,US-Snd,2.164612612
97,US-GBT,0.900722946
98,CA-Qfo,2.789611232
99,US-Atq,1.077676338
100,US-A10,1.492473168
