,names  Year (gC/m2/day),1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,US-Ha1,2.261522299,2.007217895,2.009172236,2.094951001,1.969940095,2.164894708,2.192946236,2.091172817,2.13431767,2.106362218,2.064603216,2.173375266,2.373561017,2.371943245,2.156305273,2.236570553,2.134969966,2.200165351,2.058773665,2.101580703,2.198618883,1.983881032,2.007141935,2.09715834,1.977666393,2.177727729,2.214099938,2.110795065,2.158623907,2.129258773,2.094231797,2.198625681,2.398969197,2.3908097,2.179703296,2.254968872,2.157312792,2.223181128,2.092147337,2.12354314,2.24539046,2.019681812,2.040466086,2.167118671,2.000989896,2.210834254,2.218669091,2.162882861,2.212001053,2.20376001,2.120109992,2.240529984,2.451070896,2.463544502,2.271165679,2.321586588,2.218477962,2.28708115,2.177925284,2.22026424,2.343015962,2.089473876,2.107467048,2.265026558,2.047781619,2.27404897,2.269025785,2.234030136,2.289659986,2.285389456,2.183389909,2.524055445,2.307846062,2.275242341,2.30613687,2.476291924,2.126669082,2.486156058,2.314997142,2.347224564,2.427668759,2.404328764,2.326779803,2.24582337,2.328475785,2.366544471,2.49894844,2.393076911,2.622947082,2.262611822,2.253615714,2.408928463,2.475490371,2.273129264,2.396373063,2.639490753,2.659987568,2.441655833,2.536804809,2.4890409,2.321301592,2.500675207,2.479452526,2.472087768,2.482075397,2.404496657,2.295690224,2.518963049,2.489514926,2.350376805,2.502803603,2.515112127,2.473182121,2.360213378,2.412828318,2.212480875,2.285900715,2.257112584,2.530483053,2.512467405,2.512035756,2.361408929,2.402582595,2.817688746,2.657453345,2.569126343,2.752308899,2.779748837,2.560620798,2.6758944,2.644142175,2.704242186,2.506998763,2.678669121,2.609477687,2.791825461,2.825827044,2.820853793,2.676567531,2.702690722,2.981283469,2.893523959,2.731142917,2.750833378,2.730380234,2.797772082,2.697525289,2.727670006,3.034836027,2.78383944,2.943408692,2.874155708,2.906787034,2.775587597,3.039019079,2.819129947,3.011038774,2.908015543,2.941269578,3.114202225,3.265755218,2.963254462,3.282381209,2.969214089,3.012375836
2,US-PFa,2.46885353,2.252711,2.302052027,2.269062822,2.20802183,2.418838871,2.061864501,1.969697197,2.281316641,2.175898747,2.219033989,2.129211576,2.257093226,2.409355738,2.273673791,2.47562509,2.376256789,2.109536656,2.299017883,1.95925871,2.326974499,2.200346468,2.288280142,2.273025636,2.223901634,2.442095987,2.083627518,2.003260455,2.312224947,2.20864981,2.259411485,2.166996317,2.307184026,2.459086681,2.320998346,2.533032518,2.429544845,2.162813636,2.357196894,2.016120038,2.379846024,2.267400554,2.356048042,2.337478476,2.289030459,2.510246391,2.141978032,2.055631479,2.368059264,2.26496306,2.313725342,2.215883141,2.357919819,2.510461541,2.368065492,2.574854679,2.474459815,2.20078499,2.40293172,2.047481099,2.425404571,2.312681467,2.403467298,2.378510566,2.337300009,2.561452949,2.189548863,2.100455723,2.420054132,2.320573815,2.370369747,2.373386284,2.384732185,2.094601202,2.19806267,2.277729194,2.104390825,2.206430849,2.190906097,2.228106433,2.391610502,2.288325009,2.131339078,1.803956886,1.768660829,1.959727126,1.818654118,1.937276826,2.255159941,2.203261916,2.085692283,2.294335068,2.397868143,2.23972714,2.306303245,2.4717515,2.752608016,2.253470766,2.496925372,2.481434406,2.223673598,2.393545502,2.471261432,2.56141618,2.430840959,2.603615023,2.482972313,2.556590187,2.63459098,2.625678611,2.579516918,2.502978476,2.520254677,2.526371899,2.604802355,2.477516134,2.359340046,2.655702942,2.795266125,2.824613026,2.717254526,2.705391683,2.425024993,2.866032172,2.622982783,2.580360166,2.433527284,2.824788277,2.687032042,2.643283997,2.642753424,2.94557144,2.700347566,2.628617341,2.764844485,2.79457831,3.026318374,2.993409803,2.76290193,2.679626908,2.967754487,2.811391349,2.780243633,2.826718189,2.893525831,2.737254596,2.79790106,3.013204825,3.124498641,3.043436094,2.996572506,3.150306747,2.731395974,2.742620655,2.879433644,2.938474842,2.93340328,2.993522244,2.942892925,2.967692319,3.336511533,3.005061454,3.527728046,2.801107731,2.89963809
3,US-Ho1,2.470564516,2.176309975,2.107996344,2.394943378,2.248639351,2.338910634,2.280902812,2.32084438,2.486003281,2.461158198,2.293614305,2.421221026,2.666893529,2.642121466,2.370537378,2.385074806,2.211877936,2.30828455,2.138542692,2.292251015,2.400487465,2.141364992,2.090562768,2.382666896,2.250335319,2.33564494,2.291717335,2.329395651,2.504552803,2.461806648,2.304240015,2.430985547,2.688940574,2.657712102,2.386473673,2.410056369,2.233420255,2.340331015,2.173383928,2.325650362,2.439371952,2.177475072,2.133933554,2.4309338,2.296090049,2.386462395,2.344245814,2.387095257,2.557770012,2.538839004,2.366455984,2.503784824,2.75526501,2.726500461,2.471447495,2.482705578,2.317111666,2.412051142,2.248069281,2.398977156,2.517303617,2.244647739,2.193688397,2.499996449,2.369617946,2.462173789,2.403417044,2.452143912,2.627443447,2.617549596,2.435759326,2.514883855,2.342833402,2.393327719,2.530971815,2.528649198,2.392662478,2.740717338,2.493339493,2.451070224,2.432353985,2.636795287,2.572034713,2.474022251,2.682707046,2.601561679,2.738817607,2.544467592,2.733284014,2.403689164,2.390086255,2.467942277,2.511497735,2.423037534,2.45450183,2.673107579,2.713860424,2.615870953,2.733176493,2.637140766,2.467227494,2.642698596,2.503303421,2.706650798,2.767290081,2.655385795,2.657570977,2.698645659,2.826903909,2.545804421,2.725456047,2.623693484,2.550989512,2.569939428,2.578492412,2.383255777,2.545981715,2.492615345,2.716182443,2.625212194,2.5225795,2.786259574,2.562512177,2.933318985,2.857889364,2.83784789,2.974830264,2.975623129,2.754863384,2.9468446,2.808352607,3.169629984,2.893415818,3.149265764,2.944920079,2.915629189,3.026278436,3.093168747,3.106287218,2.841071661,3.078132474,3.015265335,2.931445665,2.861816914,2.971828738,2.980694572,2.948608968,2.840261989,3.19693681,3.169423822,3.089878425,3.066579383,3.055407622,2.832083938,3.053288968,2.950252855,3.195783951,3.09696294,3.130377423,3.263459464,3.503481803,3.274364729,3.420039073,3.371072342,3.198395608
4,US-NR1,0.992451433,0.814809503,0.988546668,1.136050199,1.469668365,1.586710663,1.253335102,1.177403254,1.433823613,1.422920189,1.082085176,1.136439054,0.969562971,0.980446323,1.335867573,1.324454227,1.142650444,1.386057559,1.478653138,1.075632618,1.093540618,0.983900297,0.920398733,1.096416365,1.443817194,1.57234557,1.294700189,0.92532212,1.269003912,1.482841542,1.331448421,1.145902546,0.97698324,1.020947622,1.353802729,1.349064246,1.184079456,1.491691511,1.415477701,1.135099952,1.188264975,1.001254943,0.971900531,1.156072406,1.472745564,1.640618295,1.329796037,1.020866204,1.322503354,1.356991125,1.366357905,1.236193859,1.021056827,1.086298834,1.395888967,1.382059246,1.256198816,1.501323008,1.493412576,1.285801665,1.151107837,0.968986311,1.256040635,1.421298084,1.653334668,1.53602286,1.289183196,1.354516497,1.577853866,1.492186795,1.245759301,1.497055605,1.055795924,1.866613187,1.413893185,1.184542653,1.436901869,1.65663965,1.639640466,1.29189795,1.137537405,1.094645783,1.311180351,1.144641516,1.045419423,1.361789219,1.348480171,1.143097302,1.269399515,0.811885345,1.307472576,1.488539959,1.362533206,1.463586312,1.483100915,2.072907512,1.543531054,1.652671423,1.312368248,1.72667567,1.447117011,1.859868795,1.401559924,1.431293525,0.981719152,1.515124825,1.39338712,1.927665638,1.914314324,1.657404824,1.480507577,1.656384527,1.516899282,1.623179759,1.30743064,2.046361866,1.414845733,2.467768356,1.64306327,1.829686652,1.949195691,1.669963169,1.721823651,1.758308666,1.764272678,1.794082773,1.943690105,1.6688489,1.651061848,2.004376225,1.821893152,1.813489927,2.091002122,2.20753123,1.922961533,2.127671904,2.01514728,2.00081051,1.893356962,2.032511711,2.171193982,2.285384134,2.001762218,1.906889779,1.760153864,2.182159366,2.167360907,2.171264447,1.991762635,2.61050793,1.822927803,1.743590964,1.540859303,1.735363838,2.147990256,2.194549777,1.618166067,1.787320157,1.876567746,2.094844341,1.886604659,1.794001747,1.400831438,1.598433663,2.173819156
5,US-WCr,2.46885353,2.252711,2.302052027,2.269062822,2.20802183,2.418838871,2.061864501,1.969697197,2.281316641,2.175898747,2.219033989,2.129211576,2.257093226,2.409355738,2.273673791,2.47562509,2.376256789,2.109536656,2.299017883,1.95925871,2.326974499,2.200346468,2.288280142,2.273025636,2.223901634,2.442095987,2.083627518,2.003260455,2.312224947,2.20864981,2.259411485,2.166996317,2.307184026,2.459086681,2.320998346,2.533032518,2.429544845,2.162813636,2.357196894,2.016120038,2.379846024,2.267400554,2.356048042,2.337478476,2.289030459,2.510246391,2.141978032,2.055631479,2.368059264,2.26496306,2.313725342,2.215883141,2.357919819,2.510461541,2.368065492,2.574854679,2.474459815,2.20078499,2.40293172,2.047481099,2.425404571,2.312681467,2.403467298,2.378510566,2.337300009,2.561452949,2.189548863,2.100455723,2.420054132,2.320573815,2.370369747,2.373386284,2.384732185,2.094601202,2.19806267,2.277729194,2.104390825,2.206430849,2.190906097,2.228106433,2.391610502,2.288325009,2.131339078,1.803956886,1.768660829,1.959727126,1.818654118,1.937276826,2.255159941,2.203261916,2.085692283,2.294335068,2.397868143,2.23972714,2.306303245,2.4717515,2.752608016,2.253470766,2.496925372,2.481434406,2.223673598,2.393545502,2.471261432,2.56141618,2.430840959,2.603615023,2.482972313,2.556590187,2.63459098,2.625678611,2.579516918,2.502978476,2.520254677,2.526371899,2.604802355,2.477516134,2.359340046,2.655702942,2.795266125,2.824613026,2.717254526,2.705391683,2.425024993,2.866032172,2.622982783,2.580360166,2.433527284,2.824788277,2.687032042,2.643283997,2.642753424,2.94557144,2.700347566,2.628617341,2.764844485,2.79457831,3.026318374,2.993409803,2.76290193,2.679626908,2.967754487,2.811391349,2.780243633,2.826718189,2.893525831,2.737254596,2.79790106,3.013204825,3.124498641,3.043436094,2.996572506,3.150306747,2.731395974,2.742620655,2.879433644,2.938474842,2.93340328,2.993522244,2.942892925,2.967692319,3.336511533,3.005061454,3.527728046,2.801107731,2.89963809
6,US-MMS,3.054945572,3.046966529,2.838314573,2.370880331,2.255142321,2.661907002,2.91364297,2.77729578,3.071117249,3.10469821,2.862581548,2.593817883,2.779963837,3.077180103,2.845806219,3.015767369,3.111999107,3.233244261,2.820049132,3.007259077,3.120198647,3.079266254,2.983316571,2.383270907,2.323781556,2.850305992,3.037262965,2.895967386,3.176214052,3.165049875,2.994092379,2.67259699,2.921356841,3.214380818,2.969093322,3.166800252,3.255607147,3.36655526,2.850303482,3.156120221,3.274151846,3.144997999,3.163474669,2.418855896,2.410032173,3.0414131,3.210042077,3.043516845,3.330185296,3.296308019,3.122978887,2.777520129,3.071830833,3.423449164,3.057461557,3.321783488,3.41326855,3.466209223,2.916581312,3.277841501,3.396831161,3.26731999,3.293101544,2.449049695,2.533280774,3.185869228,3.373452633,3.172822847,3.461335001,3.428967629,3.22563635,3.535339795,3.351425437,3.323322307,3.275682909,3.486484693,3.187901495,3.435547975,3.348322432,3.350648747,2.867321794,3.065439202,3.053248553,2.990043107,3.226012981,3.398198737,2.334155734,2.615834017,3.283732745,3.355351074,2.954238999,2.973178047,3.126236699,3.386430928,3.147813837,3.440261836,3.756341632,3.361395076,3.550723646,3.330784257,3.315797411,3.129889813,3.177282286,2.999313257,2.82734198,3.286165274,3.628938961,3.75754238,3.613235727,3.633905942,3.319627813,3.275935695,3.735317171,3.413995833,3.233607985,3.524054446,3.045093811,3.223659545,3.473051598,3.784970287,3.515182465,3.578953083,3.495292801,3.701009621,3.722023137,3.796363836,3.521405259,3.668427703,3.529378466,3.804836366,3.650125414,3.609379078,3.691562063,3.449707198,3.027424354,3.676378899,4.050416037,3.544950761,2.703340265,3.312611867,3.947672368,3.668428226,3.597658641,3.749565591,3.668703599,3.925958519,3.650541034,3.837799176,3.698323693,3.489614872,3.696622005,3.778996168,3.83143415,3.683799974,4.272506481,3.914322375,3.955563946,3.442961874,3.646063925,4.196893147,3.783015565,3.582506148,2.965292337,3.662094546,3.735991229
7,CA-Cbo,1.272147077,1.145491738,1.271600871,1.198738901,1.129933467,1.313208549,1.222779036,1.172074737,1.276242244,1.191941742,1.196045084,1.362369544,1.327113934,1.384926076,1.272340871,1.295184531,1.25122603,1.229527272,1.206618699,1.364839776,1.217835961,1.151825551,1.285681946,1.202880717,1.141494566,1.329074843,1.231846617,1.184865657,1.297696437,1.189627896,1.220889206,1.381308758,1.349431775,1.406448158,1.298983986,1.306946971,1.271170007,1.240762301,1.228868741,1.389115603,1.23220772,1.347594734,1.264091083,1.199341428,1.153103758,1.347753321,1.248815019,1.204186476,1.321139363,1.20497045,1.247422838,1.409095084,1.374082313,1.430255962,1.324275858,1.333311314,1.297757476,1.263943447,1.253304936,1.415964713,1.258012328,1.375075448,1.288044183,1.224768356,1.178843503,1.375467496,1.27695163,1.230345978,1.348772724,1.233888272,1.274257083,1.413993276,1.269904156,1.309220538,1.35911837,1.264312942,1.232582835,1.382911299,1.267427761,1.286794972,1.437759394,1.361328201,1.335374283,1.303742478,1.387338687,1.20559198,1.328786981,1.312859594,1.492240081,1.282777764,1.284408503,1.285704068,1.327686322,1.262628884,1.288905161,1.476188395,1.340011013,1.302110046,1.459625946,1.353777572,1.260435379,1.439380557,1.500566932,1.366377316,1.256994815,1.33953454,1.320533426,1.419781823,1.213829605,1.420147718,1.47415471,1.458887087,1.483097389,1.520264061,1.509851792,1.300403543,1.311393695,1.375269277,1.421349239,1.564103338,1.38240517,1.334959138,1.304471252,1.61381102,1.408646674,1.301874693,1.412642613,1.308253365,1.515155373,1.538091306,1.476468515,1.591758313,1.506851434,1.428684652,1.573341022,1.493609583,1.625307378,1.494051267,1.495199393,1.415463396,1.590324992,1.532883095,1.493677317,1.466681468,1.547268671,1.51522722,1.527083713,1.538609279,1.537182387,1.624457966,1.598658026,1.589232891,1.668680928,1.538843711,1.595151434,1.662978129,1.719722755,1.502520631,1.625425072,1.657558586,1.632840491,1.745308916,1.665260952,1.580720638,1.610395756
8,US-Var,1.205312519,1.293640068,1.39261561,1.157506962,1.551965162,1.525732625,1.252962367,1.208625327,1.411727568,1.307532599,1.520723988,1.684449387,1.677006591,1.508106358,1.815997596,1.588746968,1.661234261,1.524376798,1.364236602,1.476207141,1.400879423,1.48773406,1.545016901,1.330601005,1.656307422,1.646883736,1.398991042,1.383994843,1.490099079,1.482669501,1.593373723,1.759435581,1.744279942,1.59910905,1.773618202,1.727354432,1.718381666,1.594619282,1.445077605,1.523732346,1.465634193,1.563607068,1.604027204,1.384393661,1.530512414,1.731356667,1.460992835,1.426361322,1.482429586,1.484260362,1.573948504,1.751981998,1.734715137,1.583480633,1.725812235,1.736481736,1.720641573,1.591753973,1.430775612,1.514543026,1.455937093,1.555386668,1.615855497,1.392556728,1.5457934,1.757717381,1.495048049,1.469138527,1.536484529,1.540062334,1.641739043,1.667621201,1.650849908,1.580965178,1.345001352,1.746246902,1.563031488,1.693875661,1.553954385,1.410426732,1.515999387,1.272600952,1.41050572,1.52148246,1.398915373,1.697378722,1.55267914,1.627022088,1.763422109,1.33585409,1.624199599,1.783820926,2.04087904,1.711843798,1.770888831,1.75375364,1.736857838,1.5636378,1.958665845,1.590346685,1.751826494,1.867510471,1.867027446,2.087524096,1.83580906,1.938602893,1.98205347,2.066270144,1.842494155,1.651504165,1.828593756,1.794730558,1.935185555,2.329654917,1.816202085,1.922561808,1.673929336,2.109431745,1.839527238,1.984447015,1.852011356,1.963717538,1.896831513,1.871976253,2.098368463,2.217124099,1.368669778,1.321500309,1.762474256,1.909786475,1.977626779,1.967872405,2.232680153,2.418273904,2.014192512,2.056246397,2.014488123,1.846908603,1.707965737,2.040906904,1.798580406,2.036550939,1.935066421,2.249478915,2.214345672,2.331600528,2.321479568,1.902297091,2.667411479,2.281893682,2.387718177,2.121698721,2.146316784,2.356439866,2.19887162,2.476388155,2.37793206,2.091731319,2.077975267,2.026190292,2.485739318,2.485122112,2.24180502,2.090825044,1.968404149
9,US-GLE,0.174557051,0.166015393,0.166305108,0.181911379,0.22520894,0.21581204,0.221566415,0.246088277,0.272289448,0.249480367,0.185031306,0.233877606,0.164664948,0.1520828,0.178437213,0.184058705,0.19439648,0.28037908,0.318400636,0.349979278,0.31838178,0.252978384,0.224768832,0.230497603,0.274355564,0.257492676,0.256390493,0.275241103,0.301353659,0.271381766,0.198335721,0.248054345,0.171776613,0.158870911,0.185438069,0.192238674,0.206434152,0.297070758,0.338387898,0.376121574,0.353988754,0.297712768,0.274794379,0.274202611,0.317830964,0.291048224,0.302734795,0.332219586,0.355612902,0.325823162,0.26096911,0.329012716,0.263414568,0.277570817,0.303930279,0.303847693,0.320249471,0.427933856,0.445356889,0.450636145,0.383365298,0.330473526,0.31628832,0.311254225,0.359508522,0.336969622,0.349844738,0.386504198,0.407200606,0.360373334,0.305816285,0.356049548,0.298016837,0.364038036,0.335109498,0.373046903,0.390874907,0.386349715,0.380991337,0.393779287,0.359523117,0.325389275,0.333119811,0.318466781,0.356260936,0.354305285,0.349066742,0.349373871,0.395894589,0.336962832,0.37615481,0.38926528,0.384814512,0.409772876,0.436068011,0.476269843,0.422511448,0.478692019,0.396950716,0.497750981,0.407567618,0.502779078,0.506326585,0.528553785,0.497585681,0.547417078,0.536112578,0.615413548,0.502755955,0.588494907,0.481016047,0.668761417,0.650197852,0.620693486,0.513589831,0.704899213,0.617860245,0.742633741,0.679350277,0.705410528,0.733601533,0.691743464,0.78013648,0.702572633,0.793734244,0.729069709,0.836876982,0.803786601,0.777606384,0.826198603,0.708549505,0.773543145,0.835488032,0.858270757,0.936216333,0.833974818,0.97011713,0.872431184,0.862214269,0.894922142,0.916843911,0.977384174,1.040709556,1.080250254,0.945234398,0.985226481,0.93930133,0.967994105,0.936114014,1.053770372,0.978215288,0.843451815,0.791537748,0.764174979,0.875415131,0.977055517,0.893565925,0.954116984,0.98325139,0.877200476,0.852134839,0.872575533,0.722070207,0.651789897,0.708644506
10,US-UMB,1.305391997,1.276321068,1.242444328,1.292338102,1.142324572,1.369770322,1.23918275,1.195303249,1.331345699,1.245087092,1.236793001,1.27745993,1.419550216,1.331329812,1.270549477,1.300426828,1.208403226,1.10284624,1.290690174,1.187177988,1.269874752,1.266425307,1.243405362,1.297689887,1.144303572,1.376825423,1.245808312,1.205117417,1.339600988,1.249607069,1.249570333,1.292622598,1.43491632,1.346142957,1.284854359,1.315776678,1.220966237,1.119503857,1.310756044,1.204902167,1.288092183,1.28665086,1.26516885,1.321113162,1.165192494,1.402322328,1.2696381,1.226825513,1.360591651,1.26536704,1.270370913,1.314051368,1.456405306,1.363218305,1.301851421,1.333480677,1.233358538,1.136850604,1.332215423,1.222981762,1.306806315,1.307389531,1.286003564,1.345092112,1.185928219,1.429660466,1.294504213,1.252419294,1.38725236,1.291984889,1.29973806,1.293610736,1.323588205,1.295775452,1.390109268,1.294079803,1.258663283,1.367167387,1.204153856,1.379151715,1.41657535,1.405171718,1.362564237,1.301029521,1.260417491,1.251899447,1.284737014,1.250728678,1.391956693,1.31030375,1.372244905,1.36286079,1.402334706,1.296579222,1.340073618,1.415427907,1.52711329,1.355591865,1.458861443,1.446959272,1.268356752,1.350617965,1.416588458,1.4291627,1.362412886,1.338163718,1.386503299,1.478934888,1.392181379,1.416145406,1.465487546,1.520559094,1.488269327,1.507789684,1.488014103,1.38055021,1.358047325,1.454112474,1.474711313,1.505524649,1.453229271,1.474941938,1.362757038,1.666602084,1.519037519,1.531150779,1.544040649,1.545441218,1.402576136,1.466151636,1.412183276,1.529297237,1.394560181,1.458441574,1.5211788,1.492474769,1.613157808,1.569385805,1.543247218,1.452046353,1.586306413,1.525740172,1.373789244,1.521812743,1.637282884,1.589117094,1.545537232,1.58718547,1.638369251,1.64577063,1.705056106,1.685906777,1.591975756,1.660686162,1.64855882,1.705779479,1.717824626,1.569654646,1.658768859,1.709268039,1.837830751,1.725013766,1.784256178,1.617953644,1.615005164
