,Site_ID,GPP,GPP_mean,LAI4g,LAI4g_mean,NDVI4g,NDVI4g_mean,lat,lon,year
0,US-Ha1,"[4.142500400543213, 4.46999979019165, 4.328332901000977, 4.315833568572998, 4.271666526794434, 4.332499980926514, 4.269166469573975, 4.40500020980835, 4.43416690826416, 4.577499866485596, 4.324999809265137, 4.239166736602783, 4.421666622161865, 4.527499675750732, 4.2683329582214355, 4.334166526794434, 4.571666240692139, 4.412499904632568, 4.322499752044678, 4.508333206176758, 4.565000057220459, 4.304999828338623, 4.4658331871032715, 4.395000457763672, 4.372499465942383, 4.807499885559082, 4.5808329582214355, 4.28249979019165, 4.924166202545166, 4.637499809265137, 4.935832977294922, 4.551665782928467, 4.424999713897705, 4.634999752044678, 4.6691670417785645, 4.5774993896484375, 4.786666393280029, 4.765833377838135, 4.725833415985107]",4.484251988,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,42.5378,-72.1715,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
1,US-PFa,"[3.2074997425079346, 3.3016669750213623, 3.1475000381469727, 3.2816665172576904, 3.4025001525878906, 3.3916661739349365, 3.4108331203460693, 3.2300002574920654, 3.2108328342437744, 3.433333158493042, 3.1766669750213623, 2.992499589920044, 3.4508330821990967, 3.2733333110809326, 3.245833396911621, 3.2358334064483643, 3.817500114440918, 3.3374998569488525, 3.3299999237060547, 3.2925002574920654, 3.3366668224334717, 3.2741663455963135, 3.303333282470703, 3.446666717529297, 3.37833309173584, 3.3266665935516357, 3.1750001907348633, 3.3308331966400146, 3.4183337688446045, 3.3016669750213623, 3.6516666412353516, 3.319166421890259, 3.1616668701171875, 3.5991666316986084, 3.7616665363311768, 3.630000114440918, 3.8274996280670166, 3.444999933242798, 3.503333330154419]",3.368226461,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,45.9459,-90.2723,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
2,US-Ho1,"[4.485832691192627, 4.882500171661377, 4.510833263397217, 4.353333473205566, 4.485833168029785, 4.368333339691162, 4.493333339691162, 4.468333721160889, 4.7316670417785645, 4.698333263397217, 4.388333320617676, 4.6066670417785645, 4.549166679382324, 4.688333511352539, 4.6533331871032715, 4.452499866485596, 4.800833225250244, 4.836666107177734, 4.639166355133057, 4.702500343322754, 4.64833402633667, 4.749999523162842, 4.670833587646484, 5.200000286102295, 5.0233330726623535, 4.62666654586792, 4.974999904632568, 4.483333110809326, 5.178333282470703, 4.836666584014893, 5.217499732971191, 4.785833358764648, 4.738333225250244, 4.824999809265137, 4.879166126251221, 4.767500400543213, 4.93583345413208, 5.0916666984558105, 4.958333492279053]",4.727884598,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",,45.2041,-68.7402,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
3,US-NR1,"[2.3966662883758545, 2.5891668796539307, 2.507499933242798, 2.384166717529297, 2.5191667079925537, 2.6491668224334717, 2.49916672706604, 2.4866669178009033, 2.7183332443237305, 2.685833215713501, 2.4591667652130127, 2.370833158493042, 2.4208333492279053, 2.5149998664855957, 2.378333330154419, 2.509166717529297, 2.4008333683013916, 2.5291669368743896, 2.3516669273376465, 2.4066669940948486, 2.299166679382324, 2.4574999809265137, 2.5200002193450928, 2.2866666316986084, 2.3950002193450928, 2.5358331203460693, 2.2441670894622803, 2.435833215713501, 2.383333444595337, 2.3991668224334717, 2.5233333110809326, 2.37250018119812, 2.564166784286499, 2.803333282470703, 2.620833396911621, 2.7066667079925537, 2.565833568572998, 2.620833158493042, 2.5208332538604736]",2.48801287,"[0.37916667938232423, 0.45, 0.4816666793823242, 0.4220833206176758, 0.4279166793823242, 0.4608333206176758, 0.4254166793823242, 0.4016666793823242, 0.38666667938232424, 0.3966666793823242, 0.4141666793823242, 0.47541667938232424, 0.4220833206176758, 0.4954166793823242, 0.4320833206176758, 0.40541667938232423, 0.5079166793823242, 0.4158333206176758, 0.4058333206176758, 0.495, 0.3475, 0.4004166793823242, 0.41375, 0.3820833206176758, 0.4216666793823242, 0.5333333206176758, 0.335, 0.35041667938232424, 0.3754166793823242, 0.3091666603088379, 0.32, 0.27333333969116214, 0.4191666793823242, 0.48333332061767575, 0.4979166793823242, 0.5133333206176758, 0.4075, 0.42291667938232425, 0.3145833396911621]",0.415950858,"[0.217125, 0.2353458251953125, 0.2437458251953125, 0.2330916748046875, 0.2438416748046875, 0.2436125, 0.2435791748046875, 0.2316291748046875, 0.2186625, 0.2258833251953125, 0.2292583251953125, 0.2434916748046875, 0.2413708251953125, 0.2564416748046875, 0.2444833251953125, 0.2259, 0.2587458251953125, 0.2362583251953125, 0.228725, 0.263575, 0.2242333251953125, 0.2356625, 0.2322541748046875, 0.2277333251953125, 0.2267666748046875, 0.2563208251953125, 0.213325, 0.2167125, 0.2213416748046875, 0.19443333740234375, 0.19225416259765624, 0.18385416259765625, 0.2338583251953125, 0.2529708251953125, 0.2627541748046875, 0.2772166748046875, 0.2420583251953125, 0.227175, 0.2076208251953125]",0.233161858,40.0329,-105.5464,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
4,US-WCr,"[3.7075002193450928, 3.7333333492279053, 3.607499837875366, 3.703333616256714, 3.7791664600372314, 3.8441667556762695, 3.8683338165283203, 3.7308337688446045, 3.6616668701171875, 3.862499952316284, 3.575000047683716, 3.2808332443237305, 3.827500104904175, 3.702500104904175, 3.549999475479126, 3.564166784286499, 4.268333435058594, 3.7325000762939453, 3.7208335399627686, 3.741666555404663, 3.6450002193450928, 3.744999885559082, 3.6583335399627686, 3.883333206176758, 3.8908331394195557, 4.0933332443237305, 3.6416666507720947, 3.833333730697632, 3.93999981880188, 3.75333309173584, 4.214166641235352, 3.7783336639404297, 3.5774996280670166, 4.0941667556762695, 4.172500133514404, 4.025000095367432, 4.234166622161865, 3.877500295639038, 3.9216668605804443]",3.806175263,"[1.5308332824707032, 1.5529167175292968, 1.5416667175292968, 1.557083282470703, 1.549166717529297, 1.5416667175292968, 1.5525, 1.53875, 1.547083282470703, 1.5695832824707032, 1.568333282470703, 1.535416717529297, 1.5508332824707032, 1.545833282470703, 1.54875, 1.5495832824707032, 1.564583282470703, 1.546666717529297, 1.5320832824707031, 1.53625, 1.537916717529297, 1.53375, 1.5229167175292968, 1.56875, 1.6108332824707032, 1.559166717529297, 1.49, 1.45875, 1.6875, 1.5616667175292969, 1.66625, 1.4154167175292969, 1.485416717529297, 1.6570832824707031, 1.716666717529297, 1.78375, 1.7116667175292968, 1.67, 1.664166717529297]",1.570801286,"[0.442891650390625, 0.449070849609375, 0.453625, 0.445879150390625, 0.443895849609375, 0.450408349609375, 0.464, 0.439670849609375, 0.450833349609375, 0.462279150390625, 0.4411375, 0.443283349609375, 0.4522875, 0.4427, 0.444579150390625, 0.44935, 0.462641650390625, 0.453625, 0.4525375, 0.453195849609375, 0.449458349609375, 0.45555, 0.462645849609375, 0.433008349609375, 0.470695849609375, 0.4642125, 0.418158349609375, 0.424033349609375, 0.458025, 0.450666650390625, 0.4992625, 0.427366650390625, 0.4410625, 0.4693125, 0.4951125, 0.502720849609375, 0.502941650390625, 0.418741650390625, 0.469004150390625]",0.454099254,45.8059,-90.0799,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
5,US-MMS,"[4.646667003631592, 4.530833721160889, 4.534999370574951, 4.5258331298828125, 4.740833282470703, 4.583333492279053, 4.7166666984558105, 4.632500171661377, 4.5808329582214355, 4.703333377838135, 4.395000457763672, 4.486666202545166, 4.615000247955322, 4.6025004386901855, 4.678333282470703, 4.369166851043701, 4.882499694824219, 4.75, 4.865000247955322, 4.860000133514404, 4.733333110809326, 4.758333683013916, 4.520833492279053, 4.991666793823242, 4.87999963760376, 4.820833683013916, 4.640833377838135, 4.499999523162842, 4.749999523162842, 4.775833606719971, 4.775833606719971, 4.735833644866943, 4.619999885559082, 4.603333473205566, 4.93083381652832, 4.806665897369385, 5.036667346954346, 5.009999752044678, 4.638333797454834]",4.698183806,"[2.6329165649414064, 2.61, 2.60625, 2.544166717529297, 2.5079167175292967, 2.5766665649414064, 2.609166564941406, 2.5808334350585938, 2.5991665649414064, 2.60625, 2.6191665649414064, 2.629583435058594, 2.6475, 2.58125, 2.5825, 2.62625, 2.625416564941406, 2.6325, 2.6529165649414064, 2.61125, 2.6170834350585936, 2.616666564941406, 2.466666717529297, 2.54375, 2.48875, 2.5825, 2.524583282470703, 2.515, 2.5991665649414064, 2.765416564941406, 2.8629165649414063, 2.7783334350585935, 2.745833435058594, 2.79875, 2.8854165649414063, 2.9854165649414064, 2.9545834350585936, 3.025, 2.7508334350585937]",2.656111098,"[0.6076625, 0.603204150390625, 0.598283349609375, 0.609266650390625, 0.596920849609375, 0.608670849609375, 0.606854150390625, 0.607891650390625, 0.606879150390625, 0.6152625, 0.611395849609375, 0.581675, 0.620954150390625, 0.6150875, 0.589641650390625, 0.618091650390625, 0.6066875, 0.596545849609375, 0.613075, 0.609170849609375, 0.619045849609375, 0.6108375, 0.604420849609375, 0.604725, 0.6074375, 0.61195, 0.588075, 0.605191650390625, 0.588108349609375, 0.634091650390625, 0.636091650390625, 0.63215, 0.624458349609375, 0.617616650390625, 0.6339, 0.6530375, 0.654495849609375, 0.660045849609375, 0.661220849609375]",0.614618483,39.3232,-86.4131,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
6,CA-Cbo,"[3.354166269302368, 3.3458335399627686, 3.225832939147949, 3.430000066757202, 3.3916666507720947, 3.37250018119812, 3.3916666507720947, 3.37250018119812, 3.367500066757202, 3.5399999618530273, 3.3216664791107178, 3.263333320617676, 3.3358333110809326, 3.4483330249786377, 3.3933334350585938, 3.3450000286102295, 3.5950005054473877, 3.44083309173584, 3.3958330154418945, 3.4800002574920654, 3.441666603088379, 3.3441667556762695, 3.4133331775665283, 3.4733333587646484, 3.3941667079925537, 3.491666793823242, 3.5191667079925537, 3.5958335399627686, 3.572499990463257, 3.6883327960968018, 3.7208330631256104, 3.7216663360595703, 3.5191667079925537, 3.695833444595337, 3.7825000286102295, 3.9616663455963135, 3.745000123977661, 3.6066665649414062, 3.869166612625122]",3.496602529,"[2.515416717529297, 2.5433332824707033, 2.515416717529297, 2.513333282470703, 2.5125, 2.524583282470703, 2.5433332824707033, 2.520833282470703, 2.5366667175292967, 2.57375, 2.53875, 2.526666717529297, 2.5058332824707032, 2.5279167175292967, 2.5370832824707032, 2.5233332824707033, 2.544166717529297, 2.51875, 2.525, 2.5279167175292967, 2.525, 2.495, 2.5879165649414064, 2.461666717529297, 2.4745832824707032, 2.77875, 2.510416717529297, 2.49, 2.55125, 2.425833282470703, 2.5766665649414064, 2.549583282470703, 2.535833282470703, 2.544583282470703, 2.6416665649414064, 2.68875, 2.485, 2.527083282470703, 2.4920832824707033]",2.536314087,"[0.523266650390625, 0.5347125, 0.515191650390625, 0.5375375, 0.53315, 0.539783349609375, 0.567379150390625, 0.542345849609375, 0.560158349609375, 0.555475, 0.517691650390625, 0.541925, 0.527258349609375, 0.518858349609375, 0.549266650390625, 0.527125, 0.553045849609375, 0.533591650390625, 0.543508349609375, 0.541866650390625, 0.532120849609375, 0.519004150390625, 0.534820849609375, 0.5030375, 0.604766650390625, 0.518704150390625, 0.491483349609375, 0.546370849609375, 0.569016650390625, 0.539791650390625, 0.623304150390625, 0.516358349609375, 0.539491650390625, 0.541420849609375, 0.599575, 0.553508349609375, 0.503145849609375, 0.550120849609375, 0.549491650390625]",0.54099156,44.31667,-79.9333,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
7,US-Var,"[3.0116665363311768, 2.510833501815796, 2.388333320617676, 2.4416663646698, 2.9041669368743896, 2.6608331203460693, 2.623333215713501, 2.9499998092651367, 2.695833206176758, 2.734999895095825, 2.56333327293396, 2.6783335208892822, 2.3933331966400146, 3.0491669178009033, 2.9800002574920654, 2.434166669845581, 3.049166440963745, 2.3916666507720947, 2.818333625793457, 2.4816668033599854, 2.4775002002716064, 2.791666269302368, 2.445000171661377, 3.254166603088379, 2.5841667652130127, 2.3549997806549072, 1.9616667032241821, 2.6708335876464844, 2.9641666412353516, 3.0924999713897705, 2.4233334064483643, 2.182499885559082, 2.2891666889190674, 2.430833101272583, 3.1516668796539307, 2.872500419616699, 2.918333053588867, 3.1466665267944336, 2.683333396911621]",2.6783547,"[1.0304166412353515, 0.9695833587646484, 1.0879166412353516, 1.0841666412353517, 1.1295833587646484, 1.14375, 1.1879166412353515, 1.2225, 1.20875, 1.0895833587646484, 1.0441666412353516, 1.0891666412353516, 1.18875, 1.0741666412353517, 1.1279166412353516, 1.1429166412353515, 1.0729166412353515, 1.2329166412353516, 1.1754166412353515, 1.09375, 1.1891666412353517, 1.1041666412353515, 1.1795833587646485, 1.1025, 1.2141666412353516, 1.305, 1.1608333587646484, 1.2479166412353515, 1.0933333587646485, 0.9958333587646484, 1.0058333587646484, 1.0025, 1.01125, 1.0175, 0.9508333587646485, 0.8791666412353516, 0.8954166412353516, 0.8079166412353516, 0.9858333587646484]",1.09089743,"[0.3914125, 0.3697458251953125, 0.426720849609375, 0.39815, 0.423466650390625, 0.431629150390625, 0.4504375, 0.457183349609375, 0.4674, 0.425404150390625, 0.4099, 0.40255, 0.448833349609375, 0.3932791748046875, 0.431670849609375, 0.430745849609375, 0.4023625, 0.4732375, 0.4592375, 0.412075, 0.4351875, 0.419191650390625, 0.444620849609375, 0.3945916748046875, 0.420666650390625, 0.491129150390625, 0.410741650390625, 0.442566650390625, 0.3784208251953125, 0.3861291748046875, 0.421016650390625, 0.4086, 0.422354150390625, 0.4328375, 0.3620041748046875, 0.3446958251953125, 0.3763333251953125, 0.2963708251953125, 0.3731666748046875]",0.414514528,38.4133,-120.9507,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
8,US-GLE,"[1.8225001096725464, 1.9825000762939453, 1.7991665601730347, 1.6924999952316284, 1.8299999237060547, 1.8383331298828125, 1.7316666841506958, 1.7166666984558105, 1.8183332681655884, 1.8574999570846558, 1.870833396911621, 1.7916665077209473, 1.6541666984558105, 1.840833306312561, 1.6974998712539673, 1.8124998807907104, 1.7350001335144043, 1.7649999856948853, 1.7691665887832642, 1.7508333921432495, 1.6825000047683716, 1.7549999952316284, 1.9375001192092896, 1.9299999475479126, 1.902500033378601, 1.944166660308838, 1.6683334112167358, 1.712499976158142, 1.6566667556762695, 1.59333336353302, 1.7708333730697632, 1.6691665649414062, 1.747499942779541, 1.993333339691162, 1.8291667699813843, 1.8183335065841675, 1.8516665697097778, 1.7266664505004883, 1.8000001907348633]",1.788867516,"[0.51625, 0.5245833206176758, 0.5075, 0.5241666793823242, 0.5358333206176757, 0.55125, 0.5316666793823243, 0.50625, 0.54375, 0.5441666793823242, 0.5254166793823242, 0.5091666793823242, 0.5420833206176758, 0.6216666793823242, 0.5333333206176758, 0.5016666793823242, 0.5425, 0.5291666793823242, 0.5441666793823242, 0.5170833206176758, 0.4691666793823242, 0.51875, 0.45, 0.5570833206176757, 0.5095833206176758, 0.6133333206176758, 0.55625, 0.655, 0.5483333206176758, 0.5420833206176758, 0.4475, 0.5091666793823242, 0.5604166793823242, 0.57125, 0.6020833206176758, 0.62, 0.48875, 0.5258333206176757, 0.3679166793823242]",0.53241453,"[0.2688291748046875, 0.2469166748046875, 0.2453875, 0.265, 0.2746541748046875, 0.2783833251953125, 0.2666083251953125, 0.266875, 0.2728333251953125, 0.2791541748046875, 0.247875, 0.2544416748046875, 0.2718541748046875, 0.2985833251953125, 0.2730291748046875, 0.2622333251953125, 0.2671958251953125, 0.2652583251953125, 0.2830541748046875, 0.2639958251953125, 0.26305, 0.2717875, 0.2489333251953125, 0.2854583251953125, 0.2672, 0.2682125, 0.2806166748046875, 0.3130583251953125, 0.2710916748046875, 0.2719291748046875, 0.2403083251953125, 0.2578208251953125, 0.270475, 0.2777666748046875, 0.275825, 0.2955708251953125, 0.263425, 0.2484291748046875, 0.2255541748046875]",0.267914744,41.36653,-106.2399,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
9,US-UMB,"[3.890000104904175, 3.87416672706604, 3.7716665267944336, 3.936666488647461, 3.8824996948242188, 4.019166469573975, 4.125833511352539, 3.947500228881836, 3.7849996089935303, 4.192500591278076, 3.6608333587646484, 3.609999895095825, 3.9683332443237305, 3.875000238418579, 3.919166326522827, 3.78666615486145, 4.330000400543213, 4.144166469573975, 3.9258337020874023, 4.116666793823242, 4.043333530426025, 3.931666612625122, 4.036666393280029, 4.228332996368408, 4.111666679382324, 4.401666641235352, 3.950833320617676, 3.8808329105377197, 4.025000095367432, 4.050000190734863, 4.392499923706055, 4.070000171661377, 3.814166307449341, 4.0341668128967285, 4.259166717529297, 4.24833345413208, 4.15749979019165, 4.066666603088379, 4.054166316986084]",4.013290564,"[1.4670832824707032, 1.484583282470703, 1.47875, 1.442916717529297, 1.4170832824707031, 1.420833282470703, 1.442916717529297, 1.4270832824707032, 1.4670832824707032, 1.4625, 1.466666717529297, 1.41, 1.421666717529297, 1.4916667175292968, 1.442916717529297, 1.453333282470703, 1.47625, 1.42125, 1.40875, 1.4279167175292968, 1.42, 1.4258332824707032, 1.4891667175292969, 1.474583282470703, 1.5808332824707032, 1.37875, 1.5420832824707031, 1.399583282470703, 1.4791667175292968, 1.45625, 1.496666717529297, 1.4779167175292969, 1.420833282470703, 1.46875, 1.544583282470703, 1.632916717529297, 1.421666717529297, 1.4279167175292968, 1.4583332824707032]",1.459668802,"[0.432679150390625, 0.4443875, 0.425258349609375, 0.433295849609375, 0.435616650390625, 0.434475, 0.4557125, 0.430929150390625, 0.463208349609375, 0.4514375, 0.439916650390625, 0.427904150390625, 0.4477875, 0.437441650390625, 0.4267375, 0.449170849609375, 0.445683349609375, 0.4258125, 0.4183, 0.4146375, 0.412616650390625, 0.417979150390625, 0.4234875, 0.417570849609375, 0.462025, 0.432404150390625, 0.4042958251953125, 0.416725, 0.42785, 0.4105, 0.456525, 0.4000916748046875, 0.3903083251953125, 0.4320625, 0.440879150390625, 0.451175, 0.3791041748046875, 0.3866125, 0.4087375]",0.428495939,45.5598,-84.7138,"[1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]"
