site,PFT,resFit3_ET,resFit3_GPPNight
US-Ha1,DBF,-41.50069453,-103.4474488
US-PFa,MF,-15.50567778,-367.9402792
US-NR1,ENF,-13.23193692,-300.9559564
US-MMS,DBF,-140.8622362,239.6027086
US-Var,GRA,-39.7710556,-133.4976273
US-GLE,ENF,13.23193692,300.9559564
US-UMB,DBF,41.72969472,230.0258219
US-Los,WET,-29.47216237,154.4634161
US-Ton,WSA,39.7710556,133.4976273
US-Ne2,CRO,90.88378661,-51.17338554
US-Ne1,CRO,86.48099838,160.4259114
US-Ne3,CRO,30.89064853,-246.6468145
US-Syv,MF,41.50069453,103.4474488
US-SRM,WSA,-47.83289517,-186.8268625
US-ARM,CRO,-168.5797662,-369.5051428
US-Me2,ENF,2.66E-15,1.63E-13
CA-TP1,ENF,-75.07980331,-166.8297601
CA-TP3,ENF,49.43817998,-529.2607391
CA-TP4,ENF,13.38409098,311.6012612
US-Wkg,GRA,23.35944445,166.5557149
CA-Oas,DBF,43.04917124,313.73698
CA-Man,ENF,-46.68009955,34.73067864
US-IB2,GRA,-48.14242051,-366.889997
CA-Obs,ENF,46.68009955,-34.73067864
US-Ivo,WET,1.33E-14,7.11E-15
US-Whs,OSH,-23.35944445,-166.5557149
US-UMd,DBF,15.50567778,367.9402792
US-SRG,GRA,47.83289517,186.8268625
US-Blo,ENF,4.44E-15,-5.68E-14
US-Myb,WET,-9.77E-15,-2.13E-14
US-Oho,DBF,-19.25077687,264.6815771
US-Twt,CRO,-134.8098812,-503.818336
US-Tw1,WET,134.8098812,503.818336
US-Me6,ENF,-4.44E-15,-2.34E-13
US-KS2,CSH,168.5797662,369.5051428
CA-Qfo,ENF,-43.04917124,-313.73698
US-Atq,WET,1.33E-14,-1.42E-14
