site,start_year,end_year,NEE_gCm2y1,GPPdayPartition_gCm2y1,GPPnightPartition_gCm2y1,RECOdayPartition_gCm2y1,RECOnightPartition_gCm2y1,ET_mm_year
CA-Gro,2003,2014,-153.6835083,1107.45725,1082.074333,928.3916667,928.3916667,387.3193987
CA-Man,1994,2008,-11.57368747,617.1435867,1406.460133,1476.319,1476.319,269.6732703
CA-Oas,1996,2010,-113.5183591,1130.501867,1103.676933,990.1589333,990.1589333,362.1198797
CA-Obs,1999,2010,-52.32066917,884.8254167,854.5363333,802.2151667,802.2151667,307.9674103
CA-Qfo,2003,2010,-39.03248625,761.93875,669.21925,630.186875,630.186875,298.0515333
CA-TP1,2003,2014,-59.907975,962.2540833,861.086,803.7425,803.7425,333.5472176
CA-TP3,2002,2014,-511.7927692,670.8138462,604.2923077,161.8425385,161.8425385,470.1221582
CA-TP4,2002,2014,-91.72832308,1377.899231,1445.154308,1353.426154,1353.426154,434.0680692
US-ARM,2003,2012,-43.131014,730.2608,685.6572,642.5262,642.5262,521.0457146
US-Atq,2003,2008,-19.54838667,235.3363167,190.79,171.2415833,171.2415833,167.1669514
US-Blo,1997,2007,-404.7542091,1640.650909,1588.787364,1229.913182,1229.913182,745.9958189
US-GLE,2005,2014,63.089303,696.144,618.2828,679.1694,679.1694,606.8278788
US-Goo,2002,2006,-267.2230716,1350.8776,1451.782,1184.5574,1184.5574,691.8599699
US-Ha1,1991,2012,-188.0347591,1503.266591,1444.385909,1257.4205,1257.4205,414.0216598
US-IB2,2004,2011,-164.5739125,1216.963375,1187.228,1022.657375,1022.657375,592.2165311
US-Ivo,2004,2007,-18.546956,322.24575,292.5875,274.04075,274.04075,176.8205643
US-KS2,2003,2006,-296.01225,1833.4925,1830.2625,1534.25,1534.25,904.4980091
US-Los,2000,2014,-41.30894455,987.8871818,901.9839091,860.6753636,860.6753636,347.1518237
US-MMS,1999,2014,-428.616125,1673.623125,1730.46875,1301.85125,1301.85125,492.2774262
US-Me2,2002,2014,-587.975,1659.445385,1683.487692,1095.511692,1095.511692,545.5575643
US-Me6,2010,2014,-292.6724,885.2004,965.572,672.8992,672.8992,387.9136354
US-Myb,2011,2014,-69.506375,1454.78025,1472.59975,1403.093,1403.093,1381.980315
US-NR1,1998,2014,-148.4568824,268.6837647,208.083,47.43511765,47.43511765,602.2451497
US-Ne1,2001,2013,-266.0990308,1597.906615,1539.133846,1273.036231,1273.036231,706.8194468
US-Ne2,2001,2013,-242.2334692,1459.668538,1326.230385,1083.996231,1083.996231,711.0733837
US-Ne3,2001,2013,-171.2046715,1254.779775,1129.452792,958.2488462,958.2488462,650.9313943
US-Oho,2004,2013,-845.127,1778.279,1814.235,969.1071,969.1071,620.5871951
US-PFa,1995,2014,-11.9007125,352.88885,441.10255,429.2026,429.2026,380.39001
US-SRG,2008,2014,-8.161097286,436.9617143,428.9568571,420.7957143,420.7957143,389.7360134
US-SRM,2004,2014,44.48436364,354.1020909,278.3151818,322.7995455,322.7995455,319.5237996
US-Syv,2001,2014,-34.4206509,1197.1433,1390.448,1356.0284,1356.0284,467.2527839
US-Ton,2001,2014,-143.7465143,854.7785,891.8627143,748.1155714,748.1155714,370.2574256
US-Tw1,2012,2014,-954.6793333,2235.58,2368.7,1414.02,1414.02,1349.824399
US-Twt,2009,2014,106.1415833,1246.996667,1358.455,1464.596667,1464.596667,1079.906934
US-UMB,2000,2014,-268.9146,1323.756667,1298.370667,1029.458,1029.458,454.9711067
US-UMd,2007,2014,-402.0535,1469.3375,1478.245,1076.19175,1076.19175,445.7860216
US-Var,2000,2014,23.05054267,705.6501333,687.4673333,710.518,710.518,297.860178
US-Whs,2007,2014,26.8784875,182.8865875,111.271425,138.149925,138.149925,251.2251712
US-Wkg,2004,2014,-9.469464545,344.5031818,234.4124455,224.9432727,224.9432727,273.9789968
