"","DOY_S","meanAT2","meanAT6","sum_R","rain_events","meanRH2","meanRH6","meanSWC5","meanSWC15","meanSWC30","meanST5","meanST15","meanST30","meanNEE","meanGPP","meanRECO","sdReco","Season","high_day","Rain_DOY","Pulse_Days"
"1",1,0.962729166666667,1.61722916666667,0.508,2,85.6897287545833,85.5544792720833,12.5666666666667,22.8291666666667,22.675,4.84583333333333,5.16458333333333,6.05833333333333,-0.0245064691192708,0.329845672252917,0.305339203120833,0.221344018067967,"Winter",0,0,0
"2",2,-3.42672916666667,-2.523125,2.921,5,89.4186747291667,89.895708604375,12.975,22.93125,22.79375,3.25,4.39375,6.02916666666667,0.148011764379437,0.0954510476443333,0.243462812014583,0.182000483478984,"Winter",0,0,0
"3",3,0.236354166666667,1.62458333333333,0,0,60.4678073297917,58.1328214529167,13.7854166666667,24.9375,23.1208333333333,3.11458333333333,3.85625,5.275,0.17685184861125,0.283543392161875,0.4603952407875,0.898332877048575,"Winter",0,0,0
"4",4,6.4018125,7.90916666666667,0,0,32.5190190991667,29.4740630052083,13.8083333333333,26.6520833333333,23.275,4.21875,4.275,5.34583333333333,0.386667905402917,0.0762873191535417,0.462955224541667,0.136907096227874,"Winter",0,0,0
"5",5,9.15466666666667,10.286875,0,0,40.0308496535417,38.095729253125,13.4395833333333,24.68125,23.2291666666667,5.30416666666667,5.37291666666667,5.73333333333333,0.285539084087708,0.221607412980208,0.507146497064583,0.102975435709262,"Winter",0,0,0
"6",6,5.67091666666667,6.64675,9.017,11,86.4010556914583,84.1985194054167,16.5895833333333,31.9916666666667,23.3333333333333,7,6.98958333333333,6.8,0.423020287009646,0.113489041807292,0.5365093288125,0.681088602922902,"Winter",1,6,1
"7",7,6.30352083333333,7.60341666666667,0,0,60.6391002039583,57.6519286135417,16.2541666666667,36.4604166666667,24.8791666666667,6.30625,6.43958333333333,6.83958333333333,0.239665776231125,0.254033370874167,0.493699147095833,0.412043595942693,"Winter",0,0,0
"8",8,9.32952083333333,10.6383541666667,0,0,46.3623184189583,44.117975805,15.2020833333333,29.8416666666667,24.70625,6.78541666666667,6.73333333333333,7.01666666666667,0.378898513330438,0.165699206427917,0.544597719760417,0.117657237435524,"Winter",0,0,0
"9",9,9.82360416666667,10.7004375,0,0,49.0440915185417,48.3783686414583,14.6395833333333,26.5645833333333,24.3458333333333,7.80625,7.56666666666667,7.38958333333333,0.352202094167708,0.225167709367083,0.577369803533333,0.164620641521185,"Winter",0,0,0
"10",10,6.599,7.5075625,1.905,5,80.034261431875,78.2841686539583,14.6645833333333,25.03125,24.0270833333333,7.57291666666667,7.86666666666667,7.90208333333333,0.189532973250208,0.291435672225333,0.480968645472917,0.276165432779886,"Winter",0,0,0
"11",11,6.17454166666667,7.23591666666667,0,0,72.8667962047917,71.0992349208333,14.8166666666667,25.0541666666667,24.1354166666667,7.91458333333333,7.81458333333333,7.925,0.31222451304225,0.150594354159583,0.46281886720625,0.284413580646214,"Winter",0,0,0
"12",12,6.94991666666667,8.14672916666667,0,0,57.04187231625,55.7124583641667,14.1104166666667,25.0791666666667,24.2041666666667,6.74166666666667,7.03541666666667,7.71666666666667,0.147318375618333,0.267747074837083,0.415065450458333,0.103736217459154,"Winter",0,0,0
"13",13,7.8731875,8.93704166666667,0,0,60.494567668125,59.750588174375,13.7479166666667,23.7979166666667,23.9833333333333,7.30625,7.75416666666667,7.79583333333333,0.143573183696354,0.253866307485417,0.397439491183333,0.0498164266629306,"Winter",0,0,0
"14",14,7.943,9.20858333333333,0,0,59.140740828125,57.0025144316667,13.40625,23.15,23.8125,7.39791666666667,7.83333333333333,7.83541666666667,0.182872646297917,0.184899657327083,0.367772303625,0.0551092785803074,"Winter",0,0,0
"15",15,9.112875,10.4325208333333,0,0,56.1081372383333,54.1335721935417,13.1208333333333,22.5833333333333,23.5833333333333,7.34583333333333,7.9625,7.90416666666667,0.185478589739673,0.17801146543625,0.363490055177083,0.058155852135933,"Winter",0,0,0
"16",16,9.1355,10.5291041666667,0,0,65.65372954,63.2525866552083,12.98125,21.8291666666667,23.3791666666667,8.20208333333333,8.42083333333333,8.16666666666667,0.130047859080417,0.223335681460796,0.353383540539583,0.0870540968716878,"Winter",0,0,0
"17",17,10.1286666666667,11.293625,0,0,49.55331348625,47.9323648666667,12.7916666666667,21.3479166666667,23.2395833333333,8.51041666666667,8.63333333333333,8.46041666666667,0.157495277089625,0.204916558931458,0.362411836025,0.144578836159745,"Winter",0,0,0
"18",18,8.229625,9.32702083333333,0,0,62.380802066875,61.4287628858333,12.5541666666667,21.0479166666667,22.9333333333333,8.5875,8.63541666666667,8.69791666666667,-0.000809380616583333,0.307866704493333,0.307057323875,0.111998756448221,"Winter",0,0,0
"19",19,7.88660416666667,9.06325,0,0,35.8767086960417,34.0508899122917,12.2375,21.0645833333333,22.8479166666667,8.0125,8.08541666666667,8.54791666666667,0.118112430203958,0.169593610873125,0.287706041085417,0.115693521852956,"Winter",0,0,0
"20",20,11.9775208333333,13.0651875,0,0,16.3295349070625,15.5390706022917,12.03125,20.875,22.85,7.82083333333333,7.89791666666667,8.33125,0.162080273796729,0.185251375716896,0.347331649504167,0.125691941555729,"Winter",0,0,0
"21",21,11.2286041666667,12.2184791666667,0,0,28.0236108241667,27.33497258,11.8666666666667,20.2625,22.6729166666667,8.25625,8.39583333333333,8.47291666666667,0.0475817341772917,0.321102313814792,0.368684047997917,0.0955214210264567,"Winter",0,0,0
"22",22,2.37047916666667,3.362125,0,0,45.0479767554167,44.6452656625,11.5666666666667,20.5208333333333,22.54375,7.40416666666667,7.62916666666667,8.42291666666667,0.0191033492576667,0.229540796240854,0.248644145504167,0.109322373478255,"Winter",0,0,0
"23",23,3.67360416666667,4.82933333333333,0,0,31.729482389125,30.5629519954167,11.16875,21.0395833333333,22.8270833333333,5.99583333333333,6.29375,7.70416666666667,0.0561766379880625,0.234119081845833,0.290295719814583,0.148082493670143,"Winter",0,0,0
"24",24,6.39404166666667,8.01139583333333,0,0,25.4034525829167,23.2110887172917,11.05625,20.9645833333333,22.83125,6.28333333333333,6.23125,7.31666666666667,0.0350995215227708,0.2711908178875,0.30629033941875,0.083180872454999,"Winter",0,0,0
