"","site","Latitude (degrees)...2","Longitude (degrees)...3","Years","Site Id","Name","Principal Investigator","Data Availability","Vegetation Abbreviation (IGBP)","Vegetation Description (IGBP)","Climate Class Abbreviation (Koeppen)","Climate Class Description (Koeppen)","Mean Average Precipitation (mm)","Mean Average Tempurature (degrees C)","Country","Latitude (degrees)...16","Longitude (degrees)...17","Elevation (m)","...19","start_year","end_year","NEE_gCm2y1","GPPdayPartition_gCm2y1","GPPnightPartition_gCm2y1","RECOdayPartition_gCm2y1","RECOnightPartition_gCm2y1","ET_mm_year","X","lat","lon","Koppen_Geiger","Topsoil_Organic_Carbon","Subsoil_Organic_Carbon","RockType","MinAge","Elevation","CodeKoppen_Geiger","resFit3_ET","resFit3_GPPNight"
"1","US-Ha1",42.5378,-72.1715,29,"US-Ha1","Harvard Forest EMS Tower (HFR1)","J. William  Munger (jwmunger@seas.harvard.edu)",NA,"DBF","Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.","Dfb","Warm Summer Continental: significant precipitation in all seasons",1071,6.62,"USA",42.5378,-72.1715,340,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",1991,2012,-188.0347591,1503.266591,1444.385909,1257.4205,1257.4205,414.0216598,1,42.5378,-72.1715,"26",0,0,"Plutonic","Devonian",340,"Dfb",-41.50069453214,-103.447448816281
"2","US-PFa",45.9459,-90.2723,25,"US-PFa","Park Falls/WLEF","Ankur Desai (desai@aos.wisc.edu)",NA,"MF","Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.","Dfb","Warm Summer Continental: significant precipitation in all seasons",823,4.33,"USA",45.9459,-90.2723,470,"1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",1995,2014,-11.9007125,352.88885,441.10255,429.2026,429.2026,380.39001,2,45.9459,-90.2723,"26",1.1599999666214,1.1599999666214,"Volcanic","Early Proterozoic",470,"Dfb",-15.5056777831283,-367.940279169696
"3","US-NR1",40.0329,-105.5464,22,"US-NR1","Niwot Ridge Forest (LTER NWT1)","Peter Blanken (Blanken@Colorado.EDU)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfc","Subarctic: severe winter, no dry season, cool summer",800,1.5,"USA",40.0329,-105.5464,3050,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",1998,2014,-148.4568824,268.6837647,208.083,47.43511765,47.43511765,602.2451497,4,40.0329,-105.5464,"27",1.72090005874634,0.725000023841858,"Metamorphic and undivided crystalline","Early Proterozoic",3050,"Dfc",-13.2319369243729,-300.955956437466
"4","US-MMS",39.3232,-86.4131,21,"US-MMS","Morgan Monroe State Forest","Kim Novick (knovick@indiana.edu)",NA,"DBF","Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.","Cfa","Humid Subtropical: mild with no dry season, hot summer",1032,10.85,"USA",39.3232,-86.4131,275,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",1999,2014,-428.616125,1673.623125,1730.46875,1301.85125,1301.85125,492.2774262,6,39.3232,-86.4131,"25",1.1599999666214,1.1599999666214,"Sedimentary","Lower Mississippian",275,"Cfa",-140.862236151264,239.602708574205
"5","US-Var",38.4133,-120.9507,20,"US-Var","Vaira Ranch- Ione","Dennis Baldocchi (Baldocchi@berkeley.edu)",NA,"GRA","Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","Csa","Mediterranean: mild with dry, hot summer",559,15.8,"USA",38.4133,-120.9507,129,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2000,2014,23.05054267,705.6501333,687.4673333,710.518,710.518,297.860178,8,38.4133,-120.9507,"8",0.870000004768372,0.870000004768372,"Volcanic","Jurassic",129,"Csa",-39.7710555957137,-133.497627295909
"6","US-GLE",41.36653,-106.2399,20,"US-GLE","GLEES","Bill Massman (wmassman@fs.fed.us)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfc","Subarctic: severe winter, no dry season, cool summer",1200,0.8,"USA",41.36653,-106.2399,3197,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",2005,2014,63.089303,696.144,618.2828,679.1694,679.1694,606.8278788,9,41.36653,-106.2399,"27",0.617550015449524,0.435000002384186,"Metamorphic and undivided crystalline","Early Proterozoic",3197,"Dfc",13.231936924373,300.955956437466
"7","US-UMB",45.5598,-84.7138,20,"US-UMB","Univ. of Mich. Biological Station","Christopher Gough (cmgough@vcu.edu)",NA,"DBF","Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.","Dfb","Warm Summer Continental: significant precipitation in all seasons",803,5.83,"USA",45.5598,-84.7138,234,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2000,2014,-268.9146,1323.756667,1298.370667,1029.458,1029.458,454.9711067,10,45.5598,-84.7138,"26",NA,NA,"Sedimentary","Upper Devonian",234,"Dfb",41.7296947213226,230.025821866037
"8","US-Los",46.0827,-89.9792,20,"US-Los","Lost Creek","Ankur Desai (desai@aos.wisc.edu)",NA,"WET","Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water","Dfb","Warm Summer Continental: significant precipitation in all seasons",828,4.08,"USA",46.0827,-89.9792,480,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2000,2014,-41.30894455,987.8871818,901.9839091,860.6753636,860.6753636,347.1518237,11,46.0827,-89.9792,"26",0.645829975605011,0.180350005626678,"Sedimentary","Early Proterozoic",480,"Dfb",-29.472162372613,154.463416124088
"9","US-Ton",38.4316,-120.96598,19,"US-Ton","Tonzi Ranch","Dennis Baldocchi (Baldocchi@berkeley.edu)",NA,"WSA","Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.","Csa","Mediterranean: mild with dry, hot summer",559,15.8,"USA",38.4316,-120.96598,177,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",2001,2014,-143.7465143,854.7785,891.8627143,748.1155714,748.1155714,370.2574256,12,38.4316,-120.96598,"8",0.870000004768372,0.870000004768372,"Volcanic","Jurassic",177,"Csa",39.7710555957137,133.497627295909
"10","US-Ne2",41.16487,-96.4701,18,"US-Ne2","Mead - irrigated maize-soybean rotation site","Andy Suyker (asuyker1@unl.edu)",NA,"CRO","Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.","Dfa","Humid Continental: humid with severe winter, no dry season, hot summer",788.89,10.08,"USA",41.16487,-96.4701,362,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",2001,2013,-242.2334692,1459.668538,1326.230385,1083.996231,1083.996231,711.0733837,13,41.16487,-96.4701,"25",2.02999997138977,1.06270003318787,"Sedimentary","Upper Cretaceous",362,"Dfa",90.8837866081974,-51.1733855406322
